gothic murder-mystery yarns are not a new conceit . 	Translation	Positive	Negative	EmotionRationale
but wayne is engaged to the wealthy jessica king ( katie holmes ) , whom annie immediately gets a negative vibe about . 	but wayne is engaged to the wealthy jessica king ( katie holmes ) , whom annie immediately gets a negative vibe about .	1	-2	 but[0] wayne[0] is[0] engaged[0] to[0] the[0] wealthy[0] jessica[0] king[0] katie[0] holmes[0] whom[0] annie[0] immediately[0] gets[0] a[0] negative[-1] vibe[0] about[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
at a party with her best friend linda ( kim dickens ) , annie stumbles upon jessica in a compromising position with lawyer david duncan ( gary cole ) . 	at a party with her best friend linda ( kim dickens ) , annie stumbles upon jessica in a compromising position with lawyer david duncan ( gary cole ) .	2	-1	 at[0] a[0] party[0] with[0] her[0] best[1] friend[1] linda[0] kim[0] dickens[0] annie[0] stumbles[0] upon[0] jessica[0] in[0] a[0] compromising[0] position[0] with[0] lawyer[0] david[0] duncan[0] gary[0] cole[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
soon after , jessica has disappeared , leaving everyone in a frenzy over what could have possibly happened to her , and annie starts to have nightmares and apparitions linking jessica with the vicious redneck donnie barksdale , and the pond behind his home . 	soon after , jessica has disappeared , leaving everyone in a frenzy over what could have possibly happened to her , and annie starts to have nightmares and apparitions linking jessica with the vicious redneck donnie barksdale , and the pond behind his home .	1	-4	 soon[0] after[0] jessica[0] has[0] disappeared[0] leaving[0] everyone[0] in[0] a[0] frenzy[0] over[0] what[0] could[0] have[0] possibly[0] happened[0] to[0] her[0] and[0] annie[0] starts[0] to[0] have[0] nightmares[0] and[0] apparitions[0] linking[0] jessica[0] with[0] the[0] vicious[-3] redneck[0] donnie[0] barksdale[0] and[0] the[0] pond[0] behind[0] his[0] home[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
 " the gift " may be cliched on a sheer storytelling level , but the performances and tight direction from raimi ( who has redeemed himself for his embarrassing last film , 1999's " for love of the game " ) lift the picture up several notches . 	 " the gift " may be cliched on a sheer storytelling level , but the performances and tight direction from raimi ( who has redeemed himself for his embarrassing last film , 199's " for love of the game " ) lift the picture up several notches .	3	-3	 the[0] gift[0] may[0] be[0] cliched[0] on[0] a[0] sheer[0] storytelling[0] level[0] but[0] the[0] performances[0] and[0] tight[0] direction[0] from[0] raimi[0] who[0] has[0] redeemed[0] himself[0] for[0] his[0] embarrassing[-2] last[0] film[0] 1999's/199's[0] for[0] love[2] of[0] the[0] game[0] lift[0] the[0] picture[0] up[0] several[0] notches[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
slowly enveloping the viewer into the many intriguing characters and their individual plights , the disappearance of jessica at the 30-minute mark divulges the movie's true intentions and transforms the proceedings into a taut , at times frightening , horror-mystery . 	slowly enveloping the viewer into the many intriguing characters and their individual plights , the disappearance of jessica at the 30-minute mark divulges the movie's true intentions and transforms the proceedings into a taut , at times frightening , horror-mystery .	2	-5	 slowly[0] enveloping[0] the[0] viewer[0] into[0] the[0] many[0] intriguing[0] characters[0] and[0] their[0] individual[0] plights[0] the[0] disappearance[0] of[0] jessica[0] at[0] the[0] 30[0] minute[0] mark[0] divulges[0] the[0] movie's[0] true[1] intentions[0] and[0] transforms[0] the[0] proceedings[0] into[0] a[0] taut[0] at[0] times[0] frightening[-3] horror[-3][-1 MultiplePositiveWords] mystery[0] [[Sentence=-5,2=word max, 1-5]][[[2,-5 max of sentences]]]
at the center of the film is the exceptional cate blanchett ( 1999's " the talented mr . ripley " ) , who turns annie wilson from what could have been little more than a run-of-the-mill protagonist into a very exact , down-to-earth , realistic person with valid troubles and a caring attitude towards those around her . 	at the center of the film is the exceptional cate blanchett ( 199's " the talented mr .<br> ripley " ) , who turns annie wilson from what could have been little more than a run-of-the-mill protagonist into a very exact , down-to-earth , realistic person with valid troubles and a caring attitude towards those around her .	3	-2	 at[0] the[0] center[0] of[0] the[0] film[0] is[0] the[0] exceptional[0] cate[0] blanchett[0] 1999's/199's[0] the[0] talented[1] mr[0] [[Sentence=-1,2=word max, 1-5]] ripley[0] who[0] turns[0] annie[0] wilson[0] from[0] what[0] could[0] have[0] been[0] little[0] more[0] than[0] a[0] run[0] of[0] the[0] mill[0] protagonist[0] into[0] a[0] very[0] exact[0] down[0] to[0] earth[0] realistic[0] person[0] with[0] valid[0] troubles[-1] and[0] a[0] caring[2] attitude[0] towards[0] those[0] around[0] her[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
blanchett takes the unextraordinary material and runs with it , giving the entire film a truly classy aura that it otherwise might not have had . 	blanchett takes the unextraordinary material and runs with it , giving the entire film a truly classy aura that it otherwise might not have had .	2	-1	 blanchett[0] takes[0] the[0] unextraordinary[0] material[0] and[0] runs[0] with[0] it[0] giving[0] the[0] entire[0] film[0] a[0] truly[1] classy[0] aura[0] that[0] it[0] otherwise[0] might[0] not[0] have[0] had[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
we follow her at every turn because she is so mesmerizing , both as a character and an actress . 	we follow her at every turn because she is so mesmerizing , both as a character and an actress .	1	-1	 we[0] follow[0] her[0] at[0] every[0] turn[0] because[0] she[0] is[0] so[0] mesmerizing[0] both[0] as[0] a[0] character[0] and[0] an[0] actress[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
blanchett isn't the only bright performer , as she is ably supported by one of the best casts of the year . 	blanchett isn't the only bright performer , as she is ably supported by one of the best casts of the year .	2	-1	 blanchett[0] isn't[0] the[0] only[0] bright[0] performer[0] as[0] she[0] is[0] ably[0] supported[1] by[0] one[0] of[0] the[0] best[1] casts[0] of[0] the[0] year[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in her first role following her oscar win for 1999's " boys don't cry , " hilary swank is excellent as the confused valerie , who seeks guidance from annie , but is too scared to take her biggest advice of all : to leave the grossly abusive donnie . 	in her first role following her oscar win for 199's " boys don't cry , " hilary swank is excellent as the confused valerie , who seeks guidance from annie , but is too scared to take her biggest advice of all : to leave the grossly abusive donnie .	4	-4	 in[0] her[0] first[0] role[0] following[0] her[0] oscar[0] win[0] for[0] 1999's/199's[0] boys[0] don't[0] cry[-3][NegatedDueToPreviousWord] hilary[0] swank[0] is[0] excellent[3] as[0] the[0] confused[-1] valerie[0] who[0] seeks[0] guidance[0] from[0] annie[0] but[0] is[0] too[0] scared[-3] to[0] take[0] her[0] biggest[0] advice[0] of[0] all[0] to[0] leave[0] the[0] grossly[-1] abusive[-3] donnie[0] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
as donnie , keanu reeves ( 2000's " the watcher " ) makes an utterly convincing backwoods meanie , so much so that it is difficult to believe he is an actor at all . 	as donnie , keanu reeves ( 200's " the watcher " ) makes an utterly convincing backwoods meanie , so much so that it is difficult to believe he is an actor at all .	1	-2	 as[0] donnie[0] keanu[0] reeves[0] 2000's/200's[0] the[0] watcher[0] makes[0] an[0] utterly[0] convincing[0] backwoods[0] meanie[-1] so[0] much[0] so[0] that[0] it[0] is[0] difficult[-1] to[0] believe[0] he[0] is[0] an[0] actor[0] at[0] all[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
for the often-criticized reeves , whose acting abilities have never been the best , this is the biggest compliment he could possibly get , and it is also one of the better performances he has given . 	for the often-criticized reeves , whose acting abilities have never been the best , this is the biggest compliment he could possibly get , and it is also one of the better performances he has given .	2	-2	 for[0] the[0] often[0] criticized[-1] reeves[0] whose[0] acting[0] abilities[0] have[0] never[0] been[0] the[0] best[1] this[0] is[0] the[0] biggest[0] compliment[1] he[0] could[0] possibly[0] get[0] and[0] it[0] is[0] also[0] one[0] of[0] the[0] better[0] performances[0] he[0] has[0] given[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
giovanni ribisi ( 2000's " the boiler room " ) is heartbreaking as a mentally slow young man who sees annie as his only friend , and wants her to do nothing but help him understand why he is being plagued by bad dreams about his dad . 	giovanni ribisi ( 200's " the boiler room " ) is heartbreaking as a mentally slow young man who sees annie as his only friend , and wants her to do nothing but help him understand why he is being plagued by bad dreams about his dad .	2	-4	 giovanni[0] ribisi[0] 2000's/200's[0] the[0] boiler[0] room[0] is[0] heartbreaking[-3] as[0] a[0] mentally[0] slow[0] young[0] man[0] who[0] sees[0] annie[0] as[0] his[0] only[0] friend[1] and[0] wants[0] her[0] to[0] do[0] nothing[0] but[0] help[0] him[0] understand[0] why[0] he[0] is[0] being[0] plagued[-1] by[0] bad[-1] dreams[0] about[0] his[0] dad[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
in the small , but pivotal role of the sleazy jessica king , katie holmes ( 2000's " wonder boys " ) has turned in yet another stunning supporting turn . 	in the small , but pivotal role of the sleazy jessica king , katie holmes ( 200's " wonder boys " ) has turned in yet another stunning supporting turn .	2	-3	 in[0] the[0] small[0] but[0] pivotal[0] role[0] of[0] the[0] sleazy[-2] jessica[0] king[0] katie[0] holmes[0] 2000's/200's[0] wonder[0] boys[0] has[0] turned[0] in[0] yet[0] another[0] stunning[0] supporting[1] turn[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
her promiscuous role of jessica is one she has never played before , and she is radiant in her few scenes . 	her promiscuous role of jessica is one she has never played before , and she is radiant in her few scenes .	3	-2	 her[0] promiscuous[-1] role[0] of[0] jessica[0] is[0] one[0] she[0] has[0] never[0] played[0] before[0] and[0] she[0] is[0] radiant[2] in[0] her[0] few[0] scenes[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
finally , kim dickens ( 2000's " hollow man " ) makes her usual strong impression as annie's spicy best friend , linda . 	finally , kim dickens ( 200's " hollow man " ) makes her usual strong impression as annie's spicy best friend , linda .	2	-2	 finally[0] kim[0] dickens[0] 2000's/200's[0] hollow[-1] man[0] makes[0] her[0] usual[0] strong[0] impression[0] as[0] annie's[0] spicy[0] best[1] friend[1] linda[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the other notable aspect of " the gift " is its moody atmosphere that lays such a thickly foreboding air over every scene it's almost suffocating . 	the other notable aspect of " the gift " is its moody atmosphere that lays such a thickly foreboding air over every scene it's almost suffocating .	1	-3	 the[0] other[0] notable[0] aspect[0] of[0] the[0] gift[0] is[0] its[0] moody[-2] atmosphere[0] that[0] lays[0] such[0] a[0] thickly[0] foreboding[-1] air[0] over[0] every[0] scene[0] it's[0] almost[0] suffocating[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
thanks to cleverly construed editing by arthur coburn and bob murawski , and the successful use of different eerie sounds effects and a very good music score by christopher young , the movie not only achieves a scary undercurrent , but one that is filled with dread . 	thanks to cleverly construed editing by arthur coburn and bob murawski , and the successful use of different eerie sounds effects and a very good music score by christopher young , the movie not only achieves a scary undercurrent , but one that is filled with dread .	3	-4	 thanks[1] to[0] cleverly[0] construed[0] editing[0] by[0] arthur[0] coburn[0] and[0] bob[0] murawski[0] and[0] the[0] successful[2] use[0] of[0] different[0] eerie[0] sounds[0] effects[0] and[0] a[0] very[0] good[1][1 LastWordBoosterStrength] music[0] score[0] by[0] christopher[0] young[0] the[0] movie[0] not[0] only[0] achieves[0] a[0] scary[-3] undercurrent[0] but[0] one[0] that[0] is[0] filled[0] with[0] dread[-3] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
helped along by a strong screenplay by billy bob thornton and tom epperson , which makes the most of its setting and delightful cast , " the gift " is that rarest of thrillers that actually thrills , and offers up a fair share of chills , too . 	helped along by a strong screenplay by billy bob thornton and tom epperson , which makes the most of its setting and delightful cast , " the gift " is that rarest of thrillers that actually thrills , and offers up a fair share of chills , too .	4	-1	 helped[0] along[0] by[0] a[0] strong[0] screenplay[0] by[0] billy[0] bob[0] thornton[0] and[0] tom[0] epperson[0] which[0] makes[0] the[0] most[0] of[0] its[0] setting[0] and[0] delightful[2] cast[0] the[0] gift[0] is[0] that[0] rarest[0] of[0] thrillers[1] that[0] actually[0] thrills[3] and[0] offers[0] up[0] a[0] fair[0] share[0] of[0] chills[0] too[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
it may not be groundbreakingly original , but it sure is an entertaining ride for the duration of its running time . 	it may not be groundbreakingly original , but it sure is an entertaining ride for the duration of its running time .	1	-1	 it[0] may[0] not[0] be[0] groundbreakingly[0] original[0] but[0] it[0] sure[0] is[0] an[0] entertaining[0] ride[0] for[0] the[0] duration[0] of[0] its[0] running[0] time[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
