 " the fugitive " is probably one of the greatest thrillers ever made . 	Translation	Positive	Negative	EmotionRationale
kimble and gerard are equally matched as there is no way to tell how one is going to outsmart the other . 	kimble and gerard are equally matched as there is no way to tell how one is going to outsmart the other .	1	-1	 kimble[0] and[0] gerard[0] are[0] equally[0] matched[0] as[0] there[0] is[0] no[0] way[0] to[0] tell[0] how[0] one[0] is[0] going[0] to[0] outsmart[0] the[0] other[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
most of the film deals with richard's complex investigation as he tries to find the one-armed man who killed his wife . 	most of the film deals with richard's complex investigation as he tries to find the one-armed man who killed his wife .	1	-4	 most[0] of[0] the[0] film[0] deals[0] with[0] richard's[0] complex[0] investigation[0] as[0] he[0] tries[0] to[0] find[0] the[0] one[0] armed[0] man[0] who[0] killed[-3] his[0] wife[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
ford does not have a lot of lines here , so it is stuart and twohy's script and davis's outstanding direction that make the film as great as it is . 	ford does not have a lot of lines here , so it is stuart and twohy's script and davis's outstanding direction that make the film as great as it is .	3	-1	 ford[0] does[0] not[0] have[0] a[0] lot[0] of[0] lines[0] here[0] so[0] it[0] is[0] stuart[0] and[0] twohy's[0] script[0] and[0] davis's[0] outstanding[2] direction[0] that[0] make[0] the[0] film[0] as[0] great[2] as[0] it[0] is[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
just watching richard use his keen intelligence and wits , disguising himself , and doing his own detective work is very interesting . 	just watching richard use his keen intelligence and wits , disguising himself , and doing his own detective work is very interesting .	3	-1	 just[0] watching[0] richard[0] use[0] his[0] keen[0] intelligence[0] and[0] wits[0] disguising[0] himself[0] and[0] doing[0] his[0] own[0] detective[0] work[0] is[0] very[0] interesting[1][1 LastWordBoosterStrength] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
we know just as little as he does as to why his wife was killed , so as he learns more so do we . 	we know just as little as he does as to why his wife was killed , so as he learns more so do we .	1	-4	 we[0] know[0] just[0] as[0] little[0] as[0] he[0] does[0] as[0] to[0] why[0] his[0] wife[0] was[0] killed[-3] so[0] as[0] he[0] learns[0] more[0] so[0] do[0] we[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
meanwhile gerard and his staff are using all their skills to hunt him down . 	meanwhile gerard and his staff are using all their skills to hunt him down .	1	-1	 meanwhile[0] gerard[0] and[0] his[0] staff[0] are[0] using[0] all[0] their[0] skills[0] to[0] hunt[0] him[0] down[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
at one point they run into each other and a great chase ensues , but richard is just too smart for them . 	at one point they run into each other and a great chase ensues , but richard is just too smart for them .	3	-2	 at[0] one[0] point[0] they[0] run[0] into[0] each[0] other[0] and[0] a[0] great[2] chase[-1] ensues[0] but[0] richard[0] is[0] just[0] too[0] smart[1] for[0] them[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
he leaves clues for gerard to show his innocence and to help him solve the mystery . 	he leaves clues for gerard to show his innocence and to help him solve the mystery .	2	-1	 he[0] leaves[0] clues[0] for[0] gerard[0] to[0] show[0] his[0] innocence[1] and[0] to[0] help[0] him[0] solve[0] the[0] mystery[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
one of the greatest charms to the film is its sense of humor . 	one of the greatest charms to the film is its sense of humor .	3	-1	 one[0] of[0] the[0] greatest[2] charms[1] to[0] the[0] film[0] is[0] its[0] sense[0] of[0] humor[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
there is a great sense of comradeship between gerard and his two closest deputies cosmo renfo ( pantoliano ) and biggs ( roebuck ) . 	there is a great sense of comradeship between gerard and his two closest deputies cosmo renfo ( pantoliano ) and biggs ( roebuck ) .	3	-1	 there[0] is[0] a[0] great[2] sense[0] of[0] comradeship[0] between[0] gerard[0] and[0] his[0] two[0] closest[0] deputies[0] cosmo[0] renfo[0] pantoliano[0] and[0] biggs[0] roebuck[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
they are trying to catch what they believe to be a dangerous murderer , yet they constantly start up small talk with each other , making funny wisecracks and one-liners , but not in any kind of distracting manner . 	they are trying to catch what they believe to be a dangerous murderer , yet they constantly start up small talk with each other , making funny wisecracks and one-liners , but not in any kind of distracting manner .	2	-4	 they[0] are[0] trying[0] to[0] catch[0] what[0] they[0] believe[0] to[0] be[0] a[0] dangerous[-1] murderer[-3] yet[0] they[0] constantly[0] start[0] up[0] small[0] talk[0] with[0] each[0] other[0] making[0] funny[1] wisecracks[0] and[0] one[0] liners[0] but[0] not[0] in[0] any[0] kind[1] of[0] distracting[-1] manner[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the final act concludes with another terrific chase . 	the final act concludes with another terrific chase .	4	-2	 the[0] final[0] act[0] concludes[0] with[0] another[0] terrific[3] chase[-1] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
richard figures out who the killer is and confronts him , and although we get a typical fight scene , the case is far from solved . 	richard figures out who the killer is and confronts him , and although we get a typical fight scene , the case is far from solved .	1	-3	 richard[0] figures[0] out[0] who[0] the[0] killer[-1] is[0] and[0] confronts[-2] him[0] and[0] although[0] we[0] get[0] a[0] typical[0] fight[-2] scene[0] the[0] case[0] is[0] far[0] from[0] solved[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the man who ordered the murder has been under our nose all along , and we don't realize this until the end when both richard and gerard put the pieces together . 	the man who ordered the murder has been under our nose all along , and we don't realize this until the end when both richard and gerard put the pieces together .	1	-4	 the[0] man[0] who[0] ordered[0] the[0] murder[-3] has[0] been[0] under[0] our[0] nose[0] all[0] along[0] and[0] we[0] don't[0] realize[0] this[0] until[0] the[0] end[0] when[0] both[0] richard[0] and[0] gerard[0] put[0] the[0] pieces[0] together[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
maybe the finally scene is a bit much , but it still has a believable atmosphere to it . 	maybe the finally scene is a bit much , but it still has a believable atmosphere to it .	1	-1	 maybe[0] the[0] finally[0] scene[0] is[0] a[0] bit[0] much[0] but[0] it[0] still[0] has[0] a[0] believable[0] atmosphere[0] to[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we're so relieved when justice is served . 	we're so relieved when justice is served .	2	-1	 we're[0] so[0] relieved[1] when[0] justice[0] is[0] served[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's not the plot is that makes " the fugitive " great , it's all the motions the characters go through to make for an intriguing story . 	it's not the plot is that makes " the fugitive " great , it's all the motions the characters go through to make for an intriguing story .	3	-2	 it's[0] not[0] the[0] plot[0] is[0] that[0] makes[0] the[0] fugitive[-1] great[2] it's[0] all[0] the[0] motions[0] the[0] characters[0] go[0] through[0] to[0] make[0] for[0] an[0] intriguing[0] story[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
watching a seemingly average man go through as much as this is what makes the movie so adventurous . 	watching a seemingly average man go through as much as this is what makes the movie so adventurous .	1	-1	 watching[0] a[0] seemingly[0] average[0] man[0] go[0] through[0] as[0] much[0] as[0] this[0] is[0] what[0] makes[0] the[0] movie[0] so[0] adventurous[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if only hollywood could produce more movies like this . 	if only hollywood could produce more movies like this .	2	-1	 if[0] only[0] hollywood[0] could[0] produce[0] more[0] movies[0] like[1] this[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 ( 10/31/96 ) ( 1/29/97 ) ( 6/13/97 ) [see also : " nick of time " ] 	 ( 10/31/96 ) ( 1/29/97 ) ( 6/13/97 ) [see also : " nick of time " ]	1	-1	 10/31/96[0] 1/29/97[0] 6/13/97[0] [see[0] also[0] nick[0] of[0] time[0] ][0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
