slavery is bad . 	Translation	Positive	Negative	EmotionRationale
abolitionists theodore joadson ( morgan freeman ) and lewis tappan ( stellan skarsgard ) want to free them , but tappan sees them primarily as a means to further the cause . 	abolitionists theodore joadson ( morgan freeman ) and lewis tappan ( stellan skarsgard ) want to free them , but tappan sees them primarily as a means to further the cause .	1	-1	 abolitionists[0] theodore[0] joadson[0] morgan[0] freeman[0] and[0] lewis[0] tappan[0] stellan[0] skarsgard[0] want[0] to[0] free[0] them[0] but[0] tappan[0] sees[0] them[0] primarily[0] as[0] a[0] means[0] to[0] further[0] the[0] cause[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
their lawyer roger baldwin ( matthew mcconaughey ) views the case as a simple one of property rights and a chance to make his share of legal fees . 	their lawyer roger baldwin ( matthew mcconaughey ) views the case as a simple one of property rights and a chance to make his share of legal fees .	1	-1	 their[0] lawyer[0] roger[0] baldwin[0] matthew[0] mcconaughey[0] views[0] the[0] case[0] as[0] a[0] simple[0] one[0] of[0] property[0] rights[0] and[0] a[0] chance[0] to[0] make[0] his[0] share[0] of[0] legal[0] fees[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
south carolina senator john c . calhoun ( arliss howard ) pursues the case for the political advancement of the southern states . 	south carolina senator john c .<br> calhoun ( arliss howard ) pursues the case for the political advancement of the southern states .	1	-1	 south[0] carolina[0] senator[0] john[0] c[0] [[Sentence=-1,1=word max, 1-5]] calhoun[0] arliss[0] howard[0] pursues[0] the[0] case[0] for[0] the[0] political[0] advancement[0] of[0] the[0] southern[0] states[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
president martin van buren ( nigel hawthorne ) is willing to force the result towards his own political ends . 	president martin van buren ( nigel hawthorne ) is willing to force the result towards his own political ends .	1	-2	 president[0] martin[0] van[0] buren[0] nigel[0] hawthorne[0] is[0] willing[0] to[0] force[-1] the[0] result[0] towards[0] his[0] own[0] political[0] ends[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
when the verdict looks to free the africans , van buren replaces the judge with one more sympathetic to his wishes . 	when the verdict looks to free the africans , van buren replaces the judge with one more sympathetic to his wishes .	1	-1	 when[0] the[0] verdict[0] looks[0] to[0] free[0] the[0] africans[0] van[0] buren[0] replaces[0] the[0] judge[0] with[0] one[0] more[0] sympathetic[0] to[0] his[0] wishes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
even that doesn't work and the new judge frees the kidnap victims . 	even that doesn't work and the new judge frees the kidnap victims .	1	-3	 even[0] that[0] doesn't[0] work[0] and[0] the[0] new[0] judge[0] frees[0] the[0] kidnap[-1] victims[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
at the urging of calhoun , the president then appeals the case to the supreme court , populated by a majority of slave-owners . 	at the urging of calhoun , the president then appeals the case to the supreme court , populated by a majority of slave-owners .	3	-1	 at[0] the[0] urging[0] of[0] calhoun[0] the[0] president[0] then[0] appeals[0] the[0] case[0] to[0] the[0] supreme[2] court[0] populated[0] by[0] a[0] majority[0] of[0] slave[0] owners[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
this little-known ( try finding it in any history text book ) incident from america's past would have gone down a darker path were it not for former president john quincy adams ( anthony hopkins ) who is persuaded to argue the case before the supreme court . 	this little-known ( try finding it in any history text book ) incident from america's past would have gone down a darker path were it not for former president john quincy adams ( anthony hopkins ) who is persuaded to argue the case before the supreme court .	3	-2	 this[0] little[0] known[0] try[0] finding[0] it[0] in[0] any[0] history[0] text[0] book[0] incident[0] from[0] america's[0] past[0] would[0] have[0] gone[0] down[0] a[0] darker[0] path[0] were[0] it[0] not[0] for[0] former[0] president[0] john[0] quincy[0] adams[0] anthony[0] hopkins[0] who[0] is[0] persuaded[0] to[0] argue[-1] the[0] case[0] before[0] the[0] supreme[2] court[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the slavery issue is easy pickin's for spielberg . 	the slavery issue is easy pickin's for spielberg .	1	-1	 the[0] slavery[0] issue[0] is[0] easy[0] pickin's[0] for[0] spielberg[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
much like his " shindler's list " ( which followed " jurassic park " as this follows " lost world " ) , the moral sides are not difficult ones to choose . 	much like his " shindler's list " ( which followed " jurassic park " as this follows " lost world " ) , the moral sides are not difficult ones to choose .	2	-1	 much[0] like[1] his[0] shindler's[0] list[0] which[0] followed[0] jurassic[0] park[0] as[0] this[0] follows[0] lost[0] world[0] the[0] moral[0] sides[0] are[0] not[0] difficult[-1][NegatedDueToPreviousWord] ones[0] to[0] choose[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
nazis and slave traders : both treat groups of others as less than human . 	nazis and slave traders : both treat groups of others as less than human .	2	-2	 nazis[-1] and[0] slave[0] traders[0] both[0] treat[1] groups[0] of[0] others[0] as[0] less[0] than[0] human[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it's not hard to see who the bad guys are . 	it's not hard to see who the bad guys are .	1	-2	 it's[0] not[0] hard[0] to[0] see[0] who[0] the[0] bad[-1] guys[0] are[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
without that question to ponder , the director's job is more difficult . 	without that question to ponder , the director's job is more difficult .	1	-2	 without[0] that[0] question[0] to[0] ponder[0] the[0] director's[0] job[0] is[0] more[0] difficult[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he has to make the story interesting . 	he has to make the story interesting .	2	-1	 he[0] has[0] to[0] make[0] the[0] story[0] interesting[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
spielberg succeeds for the most part . 	spielberg succeeds for the most part .	3	-1	 spielberg[0] succeeds[2] for[0] the[0] most[0] part[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the visual aspect of the film is beyond reproach . 	the visual aspect of the film is beyond reproach .	1	-2	 the[0] visual[0] aspect[0] of[0] the[0] film[0] is[0] beyond[0] reproach[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
where the movie falls down is a bit more subtle . 	where the movie falls down is a bit more subtle .	1	-1	 where[0] the[0] movie[0] falls[0] down[0] is[0] a[0] bit[0] more[0] subtle[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there are very few _people_ in the tale . 	there are very few _people_ in the tale .	1	-1	 there[0] are[0] very[0] few[0] _people_[0] in[0] the[0] tale[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in fact , cinque is the only character who is fleshed out . 	in fact , cinque is the only character who is fleshed out .	1	-1	 in[0] fact[0] cinque[0] is[0] the[0] only[0] character[0] who[0] is[0] fleshed[0] out[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
tappan and joadson are " abolitionists " : symbols but not humans . 	tappan and joadson are " abolitionists " : symbols but not humans .	1	-1	 tappan[0] and[0] joadson[0] are[0] abolitionists[0] symbols[0] but[0] not[0] humans[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
van buren is a weak politician but nothing else . 	van buren is a weak politician but nothing else .	1	-2	 van[0] buren[0] is[0] a[0] weak[-1] politician[0] but[0] nothing[0] else[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the rest of the " slaves " barely exist other than dressing for the set . 	the rest of the " slaves " barely exist other than dressing for the set .	1	-1	 the[0] rest[0] of[0] the[0] slaves[0] barely[0] exist[0] other[0] than[0] dressing[0] for[0] the[0] set[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
like many other films about people of color , almost all the major players are white . 	like many other films about people of color , almost all the major players are white .	2	-1	 like[1] many[0] other[0] films[0] about[0] people[0] of[0] color[0] almost[0] all[0] the[0] major[0] players[0] are[0] white[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the film's salvation lies in the acting strength of everyone involved and the powerful presence of hounsou . 	the film's salvation lies in the acting strength of everyone involved and the powerful presence of hounsou .	1	-3	 the[0] film's[0] salvation[0] lies[-2] in[0] the[0] acting[0] strength[0] of[0] everyone[0] involved[0] and[0] the[0] powerful[0] presence[0] of[0] hounsou[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the former model's first major role is a winner . 	the former model's first major role is a winner .	2	-1	 the[0] former[0] model's[0] first[0] major[0] role[0] is[0] a[0] winner[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
without speaking more than five words of english , he conveys more emotion than most actors with a thousand lines of dialog . 	without speaking more than five words of english , he conveys more emotion than most actors with a thousand lines of dialog .	1	-1	 without[0] speaking[0] more[0] than[0] five[0] words[0] of[0] english[0] he[0] conveys[0] more[0] emotion[0] than[0] most[0] actors[0] with[0] a[0] thousand[0] lines[0] of[0] dialog[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the other stand-out is hopkins who seems to be making a career out of portraying american presidents ( he also played the title role in " nixon " ) . 	the other stand-out is hopkins who seems to be making a career out of portraying american presidents ( he also played the title role in " nixon " ) .	1	-1	 the[0] other[0] stand[0] out[0] is[0] hopkins[0] who[0] seems[0] to[0] be[0] making[0] a[0] career[0] out[0] of[0] portraying[0] american[0] presidents[0] he[0] also[0] played[0] the[0] title[0] role[0] in[0] nixon[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the impassioned speech by the doddering old man who phases in and out of rationality is among the best court-room drama ever on the screen . 	the impassioned speech by the doddering old man who phases in and out of rationality is among the best court-room drama ever on the screen .	2	-1	 the[0] impassioned[0] speech[0] by[0] the[0] doddering[0] old[0] man[0] who[0] phases[0] in[0] and[0] out[0] of[0] rationality[0] is[0] among[0] the[0] best[1] court[0] room[0] drama[0] ever[0] on[0] the[0] screen[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
there are some other great moments . 	there are some other great moments .	3	-1	 there[0] are[0] some[0] other[0] great[2] moments[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
especially impressive are the african's struggle to understand what is going on in the strange land . 	especially impressive are the african's struggle to understand what is going on in the strange land .	3	-2	 especially[0] impressive[1][1 LastWordBoosterStrength] are[0] the[0] african's[0] struggle[-1] to[0] understand[0] what[0] is[0] going[0] on[0] in[0] the[0] strange[0] land[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
their interpretation of the bible based solely on the pictures and their own experiences is poignant . 	their interpretation of the bible based solely on the pictures and their own experiences is poignant .	1	-1	 their[0] interpretation[0] of[0] the[0] bible[0] based[0] solely[0] on[0] the[0] pictures[0] and[0] their[0] own[0] experiences[0] is[0] poignant[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as grand as the epic is , it would have more impact had it focused more on the experience from the point of view of the africans . 	as grand as the epic is , it would have more impact had it focused more on the experience from the point of view of the africans .	2	-1	 as[0] grand[1] as[0] the[0] epic[0] is[0] it[0] would[0] have[0] more[0] impact[0] had[0] it[0] focused[0] more[0] on[0] the[0] experience[0] from[0] the[0] point[0] of[0] view[0] of[0] the[0] africans[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
more humanity in the fight for humanity would have made it a four-star film . 	more humanity in the fight for humanity would have made it a four-star film .	1	-3	 more[0] humanity[0] in[0] the[0] fight[-2] for[0] humanity[0] would[0] have[0] made[0] it[0] a[0] four[0] star[0] film[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
 ( michael redman has written this column for a real long time and is just now getting around to seeing some 1998 films . ) 	 ( michael redman has written this column for a real long time and is just now getting around to seeing some 1998 films .<br> )	1	-1	 michael[0] redman[0] has[0] written[0] this[0] column[0] for[0] a[0] real[0] long[0] time[0] and[0] is[0] just[0] now[0] getting[0] around[0] to[0] seeing[0] some[0] 1998[0] films[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
