the keen wisdom of an elderly bank robber , the naive ambitions of a sexy hospital nurse , and a partnership that blossoms between the two are the fine components that make up a modest , little caper adventure entitled `where the money is . ' 	Translation	Positive	Negative	EmotionRationale
her days at the hospital facility are spent leading wheelchair calisthenics . 	her days at the hospital facility are spent leading wheelchair calisthenics .	1	-1	 her[0] days[0] at[0] the[0] hospital[0] facility[0] are[0] spent[0] leading[0] wheelchair[0] calisthenics[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
worse , she's in a dead-end relationship with high-school sweetheart wayne ( dylan mcdermott ) . 	worse , she's in a dead-end relationship with high-school sweetheart wayne ( dylan mcdermott ) .	4	-3	 worse[-2] she's[0] in[0] a[0] dead[-2] end[0] relationship[0] with[0] high[0] school[0] sweetheart[3] wayne[0] dylan[0] mcdermott[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
they became a couple because they were king and queen of the prom . 	they became a couple because they were king and queen of the prom .	1	-1	 they[0] became[0] a[0] couple[0] because[0] they[0] were[0] king[0] and[0] queen[0] of[0] the[0] prom[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
to her , this made sense long ago . 	to her , this made sense long ago .	1	-1	 to[0] her[0] this[0] made[0] sense[0] long[0] ago[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but now , it's a different story . 	but now , it's a different story .	1	-1	 but[0] now[0] it's[0] a[0] different[0] story[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
wayne seems equally bored with his life , but is content enough to stay put . 	wayne seems equally bored with his life , but is content enough to stay put .	1	-2	 wayne[0] seems[0] equally[0] bored[-1] with[0] his[0] life[0] but[0] is[0] content[0] enough[0] to[0] stay[0] put[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
wayne's greatest ambition is to become a night shift supervising foreman . 	wayne's greatest ambition is to become a night shift supervising foreman .	3	-1	 wayne's[0] greatest[2] ambition[0] is[0] to[0] become[0] a[0] night[0] shift[0] supervising[0] foreman[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
carol feels as lifeless as many of the other hospital patients , but she's never been anywhere else and doesn't see many other opportunities in life . 	carol feels as lifeless as many of the other hospital patients , but she's never been anywhere else and doesn't see many other opportunities in life .	1	-2	 carol[0] feels[0] as[0] lifeless[-1] as[0] many[0] of[0] the[0] other[0] hospital[0] patients[0] but[0] she's[0] never[0] been[0] anywhere[0] else[0] and[0] doesn't[0] see[0] many[0] other[0] opportunities[0] in[0] life[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
however , when henry falls under her care , her outlook begins to change . 	however , when henry falls under her care , her outlook begins to change .	2	-1	 however[0] when[0] henry[0] falls[0] under[0] her[0] care[1] her[0] outlook[0] begins[0] to[0] change[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the medical reports may state that he suffered a massive stroke . 	the medical reports may state that he suffered a massive stroke .	1	-4	 the[0] medical[0] reports[0] may[0] state[0] that[0] he[0] suffered[-3] a[0] massive[0] stroke[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
carol , however , begins to grow suspicious that henry may just be faking it after all . 	carol , however , begins to grow suspicious that henry may just be faking it after all .	1	-2	 carol[0] however[0] begins[0] to[0] grow[0] suspicious[-1] that[0] henry[0] may[0] just[0] be[0] faking[0] it[0] after[0] all[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
maybe she can get through to him , and maybe she can learn something about the money that he has stashed away . 	maybe she can get through to him , and maybe she can learn something about the money that he has stashed away .	1	-1	 maybe[0] she[0] can[0] get[0] through[0] to[0] him[0] and[0] maybe[0] she[0] can[0] learn[0] something[0] about[0] the[0] money[0] that[0] he[0] has[0] stashed[0] away[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the opening 30 minutes are filled with hilarious attempts of carol trying to bring henry ? back to life . ' 	the opening 30 minutes are filled with hilarious attempts of carol trying to bring henry ?<br> back to life .<br> '	3	-1	 the[0] opening[0] 30[0] minutes[0] are[0] filled[0] with[0] hilarious[2] attempts[0] of[0] carol[0] trying[0] to[0] bring[0] henry[0] [[Sentence=-1,3=word max, 1-5]] back[0] to[0] life[0] [[Sentence=-1,1=word max, 1-5]] '[0] [[Sentence=-1,1=word max, 1-5]][[[3,-1 max of sentences]]]
and what are some of carol's resuscitation techniques ? 	and what are some of carol's resuscitation techniques ?	1	-1	 and[0] what[0] are[0] some[0] of[0] carol's[0] resuscitation[0] techniques[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
perhaps an erotic lapdance might stir his senses . 	perhaps an erotic lapdance might stir his senses .	1	-1	 perhaps[0] an[0] erotic[0] lapdance[0] might[0] stir[0] his[0] senses[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if that fails , maybe she'll try a little shock therapy by pushing him off a 20-foot high pier into the cold lake below . 	if that fails , maybe she'll try a little shock therapy by pushing him off a 20-foot high pier into the cold lake below .	1	-3	 if[0] that[0] fails[-2] maybe[0] she'll[0] try[0] a[0] little[0] shock[-2] therapy[0] by[0] pushing[0] him[0] off[0] a[0] 20[0] foot[0] high[0] pier[0] into[0] the[0] cold[-1] lake[0] below[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
when he finally comes out of his state of self-trance , the movie's direction changes , though it remains equally if not more entertaining . 	when he finally comes out of his state of self-trance , the movie's direction changes , though it remains equally if not more entertaining .	1	-1	 when[0] he[0] finally[0] comes[0] out[0] of[0] his[0] state[0] of[0] self[0] trance[0] the[0] movie's[0] direction[0] changes[0] though[0] it[0] remains[0] equally[0] if[0] not[0] more[0] entertaining[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
carol sees that henry is filled with charisma and self-assuredness . 	carol sees that henry is filled with charisma and self-assuredness .	1	-1	 carol[0] sees[0] that[0] henry[0] is[0] filled[0] with[0] charisma[0] and[0] self[0] assuredness[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she is invigorated by his commanding presence and refreshed by his vibrancy . 	she is invigorated by his commanding presence and refreshed by his vibrancy .	2	-1	 she[0] is[0] invigorated[1] by[0] his[0] commanding[0] presence[0] and[0] refreshed[0] by[0] his[0] vibrancy[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this , of course , puts wayne in an odd situation . 	this , of course , puts wayne in an odd situation .	1	-1	 this[0] of[0] course[0] puts[0] wayne[0] in[0] an[0] odd[0] situation[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
henry and carol's bond grows stronger when they enter into an agreement to rob an armored car . 	henry and carol's bond grows stronger when they enter into an agreement to rob an armored car .	1	-1	 henry[0] and[0] carol's[0] bond[0] grows[0] stronger[0] when[0] they[0] enter[0] into[0] an[0] agreement[0] to[0] rob[0] an[0] armored[0] car[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
henry needs this heist because he is unable to retrieve his original stash . 	henry needs this heist because he is unable to retrieve his original stash .	1	-1	 henry[0] needs[0] this[0] heist[0] because[0] he[0] is[0] unable[0] to[0] retrieve[0] his[0] original[0] stash[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
meanwhile , this is carol's ticket to a better life . 	meanwhile , this is carol's ticket to a better life .	1	-1	 meanwhile[0] this[0] is[0] carol's[0] ticket[0] to[0] a[0] better[0] life[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
wayne is uncomfortable with the situation , but helps out nonetheless . 	wayne is uncomfortable with the situation , but helps out nonetheless .	1	-3	 wayne[0] is[0] uncomfortable[-2] with[0] the[0] situation[0] but[0] helps[0] out[0] nonetheless[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
however , his lack of commitment threatens their success . 	however , his lack of commitment threatens their success .	3	-3	 however[0] his[0] lack[-1] of[0] commitment[0] threatens[-2] their[0] success[2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the heist sequence is suspenseful , well paced , and casts the uneasy feeling that something will horribly go wrong . 	the heist sequence is suspenseful , well paced , and casts the uneasy feeling that something will horribly go wrong .	1	-4	 the[0] heist[0] sequence[0] is[0] suspenseful[0] well[0] paced[0] and[0] casts[0] the[0] uneasy[-1] feeling[0] that[0] something[0] will[0] horribly[-3] go[0] wrong[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
 where the money is' does more to spotlight newman and fiorentino than it does to showcase a story about a nifty heist . 	 where the money is' does more to spotlight newman and fiorentino than it does to showcase a story about a nifty heist .	1	-1	 where[0] the[0] money[0] is'[0] does[0] more[0] to[0] spotlight[0] newman[0] and[0] fiorentino[0] than[0] it[0] does[0] to[0] showcase[0] a[0] story[0] about[0] a[0] nifty[0] heist[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
newman is the real joy of the film , adroitly showing that at age 75 , he's still really hot stuff . 	newman is the real joy of the film , adroitly showing that at age 75 , he's still really hot stuff .	3	-1	 newman[0] is[0] the[0] real[0] joy[2] of[0] the[0] film[0] adroitly[0] showing[0] that[0] at[0] age[0] 75[0] he's[0] still[0] really[0] hot[0] stuff[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
he possesses a sly smile , displays a dominating attitude , and a projects a demeanor that is undeniably attractive . 	he possesses a sly smile , displays a dominating attitude , and a projects a demeanor that is undeniably attractive .	3	-2	 he[0] possesses[0] a[0] sly[-1] smile[2] displays[0] a[0] dominating[0] attitude[0] and[0] a[0] projects[0] a[0] demeanor[0] that[0] is[0] undeniably[0] attractive[1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
fiorentino is also a fun presence . 	fiorentino is also a fun presence .	2	-1	 fiorentino[0] is[0] also[0] a[0] fun[1] presence[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
you root for her despite her sense of amorality . 	you root for her despite her sense of amorality .	1	-3	 you[0] root[0] for[0] her[0] despite[0] her[0] sense[0] of[0] amorality[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
sure , she wants to commit robbery and has little compunction about pushing a wheelchair-stricken man into a lake , but we can see that to escape her dead-end world , she needs to do something drastic . 	sure , she wants to commit robbery and has little compunction about pushing a wheelchair-stricken man into a lake , but we can see that to escape her dead-end world , she needs to do something drastic .	1	-3	 sure[0] she[0] wants[0] to[0] commit[0] robbery[-1] and[0] has[0] little[0] compunction[0] about[0] pushing[0] a[0] wheelchair[0] stricken[-1] man[0] into[0] a[0] lake[0] but[0] we[0] can[0] see[0] that[0] to[0] escape[0] her[0] dead[-2] end[0] world[0] she[0] needs[0] to[0] do[0] something[0] drastic[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
with two charismatic characters such as these , it's hard to ignore that  where the money is' is where the fun is . 	with two charismatic characters such as these , it's hard to ignore that  where the money is' is where the fun is .	2	-1	 with[0] two[0] charismatic[0] characters[0] such[0] as[0] these[0] it's[0] hard[0] to[0] ignore[0] that[0] where[0] the[0] money[0] is'[0] is[0] where[0] the[0] fun[1] is[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
