contact is the 1997 movie i've seen the most - five times to be exact . 	Translation	Positive	Negative	EmotionRationale
when the signal is closely examined , many new developments spring up , and before long , drumlin is stepping in to take over the operation he once scoffed at . 	when the signal is closely examined , many new developments spring up , and before long , drumlin is stepping in to take over the operation he once scoffed at .	1	-2	 when[0] the[0] signal[0] is[0] closely[0] examined[0] many[0] new[0] developments[0] spring[0] up[0] and[0] before[0] long[0] drumlin[0] is[0] stepping[0] in[0] to[0] take[0] over[0] the[0] operation[0] he[0] once[0] scoffed[-1] at[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
eventually , it is concluded that information in the signal may be blueprints for a transportation device used to teleport an earthling to vega ( where the signal seems to have originated ) . 	eventually , it is concluded that information in the signal may be blueprints for a transportation device used to teleport an earthling to vega ( where the signal seems to have originated ) .	1	-1	 eventually[0] it[0] is[0] concluded[0] that[0] information[0] in[0] the[0] signal[0] may[0] be[0] blueprints[0] for[0] a[0] transportation[0] device[0] used[0] to[0] teleport[0] an[0] earthling[0] to[0] vega[0] where[0] the[0] signal[0] seems[0] to[0] have[0] originated[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the media swarms , fanatics go further off the deep end , scientists clamor for new information , politicians huddle in discussion of appropriate actions to take , and presidents are morphed into a celluloid reality ( remember when zemeckis couldn't get enough of this in forrest gump ? ) . 	the media swarms , fanatics go further off the deep end , scientists clamor for new information , politicians huddle in discussion of appropriate actions to take , and presidents are morphed into a celluloid reality ( remember when zemeckis couldn't get enough of this in forest gump ?<br> ) .	1	-2	 the[0] media[0] swarms[0] fanatics[-1] go[0] further[0] off[0] the[0] deep[0] end[0] scientists[0] clamor[0] for[0] new[0] information[0] politicians[0] huddle[0] in[0] discussion[0] of[0] appropriate[0] actions[0] to[0] take[0] and[0] presidents[0] are[0] morphed[0] into[0] a[0] celluloid[0] reality[0] remember[0] when[0] zemeckis[0] couldn't[0] get[0] enough[0] of[0] this[0] in[0] forrest/forest[0] gump[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as if that weren't enough , ellie's discovery leads her to the nation's capital where she again runs into palmer . 	as if that weren't enough , ellie's discovery leads her to the nation's capital where she again runs into palmer .	1	-1	 as[0] if[0] that[0] weren't[0] enough[0] ellie's[0] discovery[0] leads[0] her[0] to[0] the[0] nation's[0] capital[0] where[0] she[0] again[0] runs[0] into[0] palmer[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
contact is based on the novel by carl sagan and deals heavily with the subject of science vs . religion . 	contact is based on the novel by carl sagan and deals heavily with the subject of science vs .<br> religion .	1	-2	 contact[0] is[0] based[0] on[0] the[0] novel[0] by[0] carl[0] sagan[-1] and[0] deals[0] heavily[0] with[0] the[0] subject[0] of[0] science[0] vs[0] [[Sentence=-2,1=word max, 1-5]] religion[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
the impressive thing is how well both aspects are presented , with no signs of bias . 	the impressive thing is how well both aspects are presented , with no signs of bias .	2	-1	 the[0] impressive[1] thing[0] is[0] how[0] well[0] both[0] aspects[0] are[0] presented[0] with[0] no[0] signs[0] of[0] bias[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
arguments for both sides are intelligent , solid , and thought-provoking . 	arguments for both sides are intelligent , solid , and thought-provoking .	2	-2	 arguments[-1] for[0] both[0] sides[0] are[0] intelligent[1] solid[0] and[0] thought[0] provoking[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
when palmer joins a selection committee to choose an ambassador to vega ( of which ellie is a leading candidate ) , personal convictions play a more important role than love interests . 	when palmer joins a selection committee to choose an ambassador to vega ( of which ellie is a leading candidate ) , personal convictions play a more important role than love interests .	3	-2	 when[0] palmer[0] joins[0] a[0] selection[0] committee[0] to[0] choose[0] an[0] ambassador[0] to[0] vega[0] of[0] which[0] ellie[0] is[0] a[0] leading[0] candidate[0] personal[0] convictions[-1] play[0] a[0] more[0] important[0] role[0] than[0] love[2] interests[1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the question is , can a person who doesn't believe in god truly be the best representative of earth when 90% of the planet * does * believe in a higher power ? 	the question is , can a person who doesn't believe in god truly be the best representative of earth when 90% of the planet * does * believe in a higher power ?	2	-1	 the[0] question[0] is[0] can[0] a[0] person[0] who[0] doesn't[0] believe[0] in[0] god[0] truly[1] be[0] the[0] best[1] representative[0] of[0] earth[0] when[0] 90%[0] of[0] the[0] planet[0] does[0] believe[0] in[0] a[0] higher[0] power[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
even when the film wraps up , it's uncertain whether it's meant to play as an advocate for religion , science , both , or even neither , and in our modern day society where " right and wrong " is only opinion ( at least speaking " politically correctly " ) , the ambiguity is an incentive . 	even when the film wraps up , it's uncertain whether it's meant to play as an advocate for religion , science , both , or even neither , and in our modern day society where " right and wrong " is only opinion ( at least speaking " politically correctly " ) , the ambiguity is an incentive .	1	-2	 even[0] when[0] the[0] film[0] wraps[0] up[0] it's[0] uncertain[0] whether[0] it's[0] meant[0] to[0] play[0] as[0] an[0] advocate[0] for[0] religion[0] science[0] both[0] or[0] even[0] neither[0] and[0] in[0] our[0] modern[0] day[0] society[0] where[0] right[0] and[0] wrong[-1] is[0] only[0] opinion[0] at[0] least[0] speaking[0] politically[0] correctly[0] the[0] ambiguity[-1] is[0] an[0] incentive[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
don't get me wrong . 	don't get me wrong .	1	-2	 don't[0] get[0] me[0] wrong[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as much as it sounds like it , contact isn't merely a theology class rolled into a reel of film . 	as much as it sounds like it , contact isn't merely a theology class rolled into a reel of film .	2	-1	 as[0] much[0] as[0] it[0] sounds[0] like[1] it[0] contact[0] isn't[0] merely[0] a[0] theology[0] class[0] rolled[0] into[0] a[0] reel[0] of[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's a * highly * enjoyable two and a half hours . 	it's a * highly * enjoyable two and a half hours .	3	-1	 it's[0] a[0] highly[0] enjoyable[2] two[0] and[0] a[0] half[0] hours[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
despite its seemingly heavy issues , it's not a tedious undertaking to watch this film . 	despite its seemingly heavy issues , it's not a tedious undertaking to watch this film .	3	-1	 despite[0] its[0] seemingly[0] heavy[0] issues[0] it's[0] not[0] a[0] tedious[-2][NegatedDueToPreviousWord] undertaking[0] to[0] watch[0] this[0] film[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the special effects are outstanding , though ( warning ! ) 	the special effects are outstanding , though ( warning !<br> )	3	-1	 the[0] special[1] effects[0] are[0] outstanding[2] though[0] warning[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
highly depreciated on the small screen . 	highly depreciated on the small screen .	1	-2	 highly[0] depreciated[-1] on[0] the[0] small[0] screen[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
even so , some of the subtle visual effects ( that will likely go unnoticed by many ) are even more impressive than ones more recognizable as " sci-fi " . 	even so , some of the subtle visual effects ( that will likely go unnoticed by many ) are even more impressive than ones more recognizable as " sci-fi " .	2	-2	 even[0] so[0] some[0] of[0] the[0] subtle[0] visual[0] effects[0] that[0] will[0] likely[0] go[0] unnoticed[-1] by[0] many[0] are[0] even[0] more[0] impressive[1] than[0] ones[0] more[0] recognizable[0] as[0] sci[0] fi[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the storytelling is rich and complete , and although there are moments in the film that feel quite pretentious ( and at times , even hokey ) , it's easily one of the best 1997 films , and one of the best sci-fi films i've ever seen . 	the storytelling is rich and complete , and although there are moments in the film that feel quite pretentious ( and at times , even hokey ) , it's easily one of the best 1997 films , and one of the best sci-fi films i've ever seen .	2	-2	 the[0] storytelling[0] is[0] rich[0] and[0] complete[0] and[0] although[0] there[0] are[0] moments[0] in[0] the[0] film[0] that[0] feel[0] quite[0] pretentious[-1] and[0] at[0] times[0] even[0] hokey[0] it's[0] easily[0] one[0] of[0] the[0] best[1] 1997[0] films[0] and[0] one[0] of[0] the[0] best[1] sci[0] fi[0] films[0] i've[0] ever[0] seen[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
this is zemeckis' best since back to the future , and for those of us who actually know that forrest gump was astronomically overrated , zemeckis now has real reason to boast . 	this is zemeckis' best since back to the future , and for those of us who actually know that forest gump was astronomically overrated , zemeckis now has real reason to boast .	2	-2	 this[0] is[0] zemeckis'[0] best[1] since[0] back[0] to[0] the[0] future[0] and[0] for[0] those[0] of[0] us[0] who[0] actually[0] know[0] that[0] forrest/forest[0] gump[0] was[0] astronomically[0] overrated[0] zemeckis[0] now[0] has[0] real[0] reason[0] to[0] boast[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
