i feel no hesitation in saying that " there's something about mary " is the best film that i will see all year . 	Translation	Positive	Negative	EmotionRationale
in one of the film's funniest scenes , something goes wrong ( i won't ruin it for those who know nothing about the film ) and ted is unable to face mary ever again . 	in one of the film's funniest scenes , something goes wrong ( i won't ruin it for those who know nothing about the film ) and ted is unable to face mary ever again .	2	-2	 in[0] one[0] of[0] the[0] film's[0] funniest[1] scenes[0] something[0] goes[0] wrong[-1] i[0] won't[0] ruin[-1][NegatedDueToPreviousWord] it[0] for[0] those[0] who[0] know[0] nothing[0] about[0] the[0] film[0] and[0] ted[0] is[0] unable[0] to[0] face[0] mary[0] ever[0] again[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
jump to the present . 	jump to the present .	1	-1	 jump[0] to[0] the[0] present[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
after years of self-loathing , ted finally hires private detective pat healy ( a suitably slimy matt dillon ) to track her down so he can have one last chance at winning the woman he has loved since high school . 	after years of self-loathing , ted finally hires private detective pat healy ( a suitably slimy matt dillon ) to track her down so he can have one last chance at winning the woman he has loved since high school .	4	-1	 after[0] years[0] of[0] self[0] loathing[0] ted[0] finally[0] hires[0] private[0] detective[0] pat[0] healy[0] a[0] suitably[0] slimy[0] matt[0] dillon[0] to[0] track[0] her[0] down[0] so[0] he[0] can[0] have[0] one[0] last[0] chance[0] at[0] winning[1] the[0] woman[0] he[0] has[0] loved[3] since[0] high[0] school[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
healy finds that mary is still a full-blown hottie and decides to try and keep her for himself . 	healy finds that mary is still a full-blown hottie and decides to try and keep her for himself .	1	-1	 healy[0] finds[0] that[0] mary[0] is[0] still[0] a[0] full[0] blown[0] hottie[0] and[0] decides[0] to[0] try[0] and[0] keep[0] her[0] for[0] himself[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
admittingly , the basic story line leaves a little to be desired . 	admittingly , the basic story line leaves a little to be desired .	1	-1	 admittingly[0] the[0] basic[0] story[0] line[0] leaves[0] a[0] little[0] to[0] be[0] desired[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
after all , with a not-really-all-that-funny premise , how can you sustain laughter for nearly two hours ? 	after all , with a not-really-all-that-funny premise , how can you sustain laughter for nearly two hours ?	2	-1	 after[0] all[0] with[0] a[0] not[0] really[0] all[0] that[0] funny[1] premise[0] how[0] can[0] you[0] sustain[0] laughter[1] for[0] nearly[0] two[0] hours[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
somehow , the farrelly's pull it off . 	somehow , the farrelly's pull it off .	1	-1	 somehow[0] the[0] farrelly's[0] pull[0] it[0] off[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the performances here are also right on target . 	the performances here are also right on target .	1	-1	 the[0] performances[0] here[0] are[0] also[0] right[0] on[0] target[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as ted , stiller adds just the right amount of clumsy charm to make his character not irritating , as he would normally be , but very lovable . 	as ted , stiller adds just the right amount of clumsy charm to make his character not irritating , as he would normally be , but very lovable .	3	-2	 as[0] ted[0] stiller[0] adds[0] just[0] the[0] right[0] amount[0] of[0] clumsy[-1] charm[1] to[0] make[0] his[0] character[0] not[0] irritating[-2][NegatedDueToPreviousWord] as[0] he[0] would[0] normally[0] be[0] but[0] very[0] lovable[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
and cameron diaz is perfect in her role for obvious reasons , but the actor who really grabs your attention is w . earl brown as mary's brother . 	and cameron diaz is perfect in her role for obvious reasons , but the actor who really grabs your attention is w .<br> earl brown as mary's brother .	2	-3	 and[0] cameron[0] diaz[0] is[0] perfect[1] in[0] her[0] role[0] for[0] obvious[0] reasons[0] but[0] the[0] actor[0] who[0] really[0] grabs[-1][-1 LastWordBoosterStrength] your[0] attention[0] is[0] w[0] [[Sentence=-3,2=word max, 1-5]] earl[0] brown[0] as[0] mary's[0] brother[0] [[Sentence=-1,1=word max, 1-5]][[[2,-3 max of sentences]]]
no other actor has even come close to playing a mentally retarded man with as much natural ease as brown displays here . 	no other actor has even come close to playing a mentally retarded man with as much natural ease as brown displays here .	2	-2	 no[0] other[0] actor[0] has[0] even[0] come[0] close[0] to[0] playing[1] a[0] mentally[0] retarded[-1] man[0] with[0] as[0] much[0] natural[0] ease[0] as[0] brown[0] displays[0] here[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
i know he won't be nominated , but this is the guy who should not be counted out when it comes time to hand out the oscar nods in february . 	i know he won't be nominated , but this is the guy who should not be counted out when it comes time to hand out the oscar nods in february .	1	-1	 i[0] know[0] he[0] won't[0] be[0] nominated[0] but[0] this[0] is[0] the[0] guy[0] who[0] should[0] not[0] be[0] counted[0] out[0] when[0] it[0] comes[0] time[0] to[0] hand[0] out[0] the[0] oscar[0] nods[0] in[0] february[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as good as the actors are , though , it's the directors' movie all the way . 	as good as the actors are , though , it's the directors' movie all the way .	2	-1	 as[0] good[1] as[0] the[0] actors[0] are[0] though[0] it's[0] the[0] directors'[0] movie[0] all[0] the[0] way[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i guarantee that on almost every other top ten list at the end of the year , you will see the number one space occupied by steven spielberg's wwii epic " saving private ryan " . 	i guarantee that on almost every other top ten list at the end of the year , you will see the number one space occupied by steven spielberg's wwi epic " saving private ryan " .	1	-1	 i[0] guarantee[0] that[0] on[0] almost[0] every[0] other[0] top[0] ten[0] list[0] at[0] the[0] end[0] of[0] the[0] year[0] you[0] will[0] see[0] the[0] number[0] one[0] space[0] occupied[0] by[0] steven[0] spielberg's[0] wwii/wwi[0] epic[0] saving[0] private[0] ryan[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and yes , that is a great film worthy of the recognition it has been getting . 	and yes , that is a great film worthy of the recognition it has been getting .	3	-1	 and[0] yes[0] that[0] is[0] a[0] great[2] film[0] worthy[0] of[0] the[0] recognition[0] it[0] has[0] been[0] getting[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but which is harder ; making a great war film or having your audience laugh so hard that they can't breath for minutes at a time ? 	but which is harder ; making a great war film or having your audience laugh so hard that they can't breath for minutes at a time ?	3	-3	 but[0] which[0] is[0] harder[0] making[0] a[0] great[2] war[-2] film[0] or[0] having[0] your[0] audience[0] laugh[1] so[0] hard[0] that[0] they[0] can't[0] breath[0] for[0] minutes[0] at[0] a[0] time[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
i'll let you decide that one for yourself , but this critic is sticking to his guns . 	i'll let you decide that one for yourself , but this critic is sticking to his guns .	1	-2	 i'll[0] let[0] you[0] decide[0] that[0] one[0] for[0] yourself[0] but[0] this[0] critic[-1] is[0] sticking[0] to[0] his[0] guns[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there is just something about " mary " . 	there is just something about " mary " .	1	-1	 there[0] is[0] just[0] something[0] about[0] mary[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
