just look back two years ago at the coen brothers' comedic gem the big lebowski , change the actors , take away the bowling alley , add a record store , and you've got high fidelity ( or maybe the other way around since nick hornby's novel high fidelity came first ) . 	Translation	Positive	Negative	EmotionRationale
and like his other miserable friends , pop music is where he inevitably goes for comfort . 	and like his other miserable friends , pop music is where he inevitably goes for comfort .	2	-3	 and[0] like[1] his[0] other[0] miserable[-2] friends[1] pop[0] music[0] is[0] where[0] he[0] inevitably[0] goes[0] for[0] comfort[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
he spends the afternoons at his job quizzing his coworkers with obscure trivia or listening to new music and either deriding it or praising it . 	he spends the afternoons at his job quizing his coworkers with obscure trivia or listening to new music and either deriding it or praising it .	3	-2	 he[0] spends[0] the[0] afternoons[0] at[0] his[0] job[0] quizzing/quizing[0] his[0] coworkers[0] with[0] obscure[0] trivia[-1] or[0] listening[0] to[0] new[0] music[0] and[0] either[0] deriding[0] it[0] or[0] praising[2] it[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
whatever human emotions the clash , aretha franklin , and bruce springsteen records hold , rob and co . 	whatever human emotions the clash , aretha franklin , and bruce springsteen records hold , rob and co .	1	-2	 whatever[0] human[0] emotions[0] the[0] clash[-1] aretha[0] franklin[0] and[0] bruce[0] springsteen[0] records[0] hold[0] rob[0] and[0] co[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
grasp them and help fill voids in their social lives . 	grasp them and help fill voids in their social lives .	1	-1	 grasp[0] them[0] and[0] help[0] fill[0] voids[0] in[0] their[0] social[0] lives[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
rob has built an extensive collection in his record store as well as his home and he organizes them depending on what mood he is in . 	rob has built an extensive collection in his record store as well as his home and he organizes them depending on what mood he is in .	1	-1	 rob[0] has[0] built[0] an[0] extensive[0] collection[0] in[0] his[0] record[0] store[0] as[0] well[0] as[0] his[0] home[0] and[0] he[0] organizes[0] them[0] depending[0] on[0] what[0] mood[0] he[0] is[0] in[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
during this confused stage of his life in which the movie focuses on , rob is trying to cope with numerous rejections over the years by visiting past girlfriends and eventually asking why they dumped him . 	during this confused stage of his life in which the movie focuses on , rob is trying to cope with numerous rejections over the years by visiting past girlfriends and eventually asking why they dumped him .	1	-2	 during[0] this[0] confused[-1] stage[0] of[0] his[0] life[0] in[0] which[0] the[0] movie[0] focuses[0] on[0] rob[0] is[0] trying[0] to[0] cope[0] with[0] numerous[0] rejections[-1] over[0] the[0] years[0] by[0] visiting[0] past[0] girlfriends[0] and[0] eventually[0] asking[0] why[0] they[0] dumped[-1] him[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but these aren't any girlfriends ? these girls made the all time top five break ups in the history of rob ( rob's incessant use of lists show how pop music has played a major role in his life ) . 	but these aren't any girlfriends ?<br> these girls made the all time top five break ups in the history of rob ( rob's incessant use of lists show how pop music has played a major role in his life ) .	1	-2	 but[0] these[0] aren't[0] any[0] girlfriends[0] [[Sentence=-1,1=word max, 1-5]] these[0] girls[0] made[0] the[0] all[0] time[0] top[0] five[0] break[0] ups[0] in[0] the[0] history[0] of[0] rob[0] rob's[0] incessant[-1] use[0] of[0] lists[0] show[0] how[0] pop[0] music[0] has[0] played[0] a[0] major[0] role[0] in[0] his[0] life[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the plot in three words is : women and music . 	the plot in three words is : women and music .	1	-1	 the[0] plot[0] in[0] three[0] words[0] is[0] women[0] and[0] music[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the approach director stephen frears takes by having the charismatic rob speak directly to the camera is very effective . 	the approach director stephen frears takes by having the charismatic rob speak directly to the camera is very effective .	1	-1	 the[0] approach[0] director[0] stephen[0] frears[0] takes[0] by[0] having[0] the[0] charismatic[0] rob[0] speak[0] directly[0] to[0] the[0] camera[0] is[0] very[0] effective[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it gives high fidelity a quickly paced , informal structure , adjectives which perfectly parallel rob's own lifestyle . 	it gives high fidelity a quickly paced , informal structure , adjectives which perfectly parallel rob's own lifestyle .	2	-1	 it[0] gives[0] high[0] fidelity[0] a[0] quickly[0] paced[0] informal[0] structure[0] adjectives[0] which[0] perfectly[1] parallel[0] rob's[0] own[0] lifestyle[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it also helps open the viewer's eyes as to how annoying barry is . 	it also helps open the viewer's eyes as to how annoying barry is .	1	-3	 it[0] also[0] helps[0] open[0] the[0] viewer's[0] eyes[0] as[0] to[0] how[0] annoying[-2] barry[0] is[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
jack black steals the show with a hilariously realistic performance as a total sleaze ball . 	jack black steals the show with a hilariously realistic performance as a total sleaze ball .	3	-4	 jack[0] black[0] steals[-2] the[0] show[0] with[0] a[0] hilariously[2] realistic[0] performance[0] as[0] a[0] total[0] sleaze[-2][-1 LastWordBoosterStrength] ball[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
just listening to him speak for five minutes makes the audience immediately sympathetic for rob , who must work with him every day of the week . 	just listening to him speak for five minutes makes the audience immediately sympathetic for rob , who must work with him every day of the week .	1	-1	 just[0] listening[0] to[0] him[0] speak[0] for[0] five[0] minutes[0] makes[0] the[0] audience[0] immediately[0] sympathetic[0] for[0] rob[0] who[0] must[0] work[0] with[0] him[0] every[0] day[0] of[0] the[0] week[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what frears does so well is that he makes us feel sorry for rob while laughing at his misfortunes . 	what frears does so well is that he makes us feel sorry for rob while laughing at his misfortunes .	2	-2	 what[0] frears[0] does[0] so[0] well[0] is[0] that[0] he[0] makes[0] us[0] feel[0] sorry[-1] for[0] rob[0] while[0] laughing[1] at[0] his[0] misfortunes[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
john cusack plays his character convincingly but it is the strong supporting cast , consisting of big stars and character actors , that really defines rob . 	john cusack plays his character convincingly but it is the strong supporting cast , consisting of big stars and character actors , that really defines rob .	2	-1	 john[0] cusack[0] plays[1] his[0] character[0] convincingly[0] but[0] it[0] is[0] the[0] strong[0] supporting[1] cast[0] consisting[0] of[0] big[0] stars[0] and[0] character[0] actors[0] that[0] really[0] defines[0] rob[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
now instead of rob just talking to the camera , after he explains something , the remaining cast members physically and humorously create what he is trying to say . 	now instead of rob just talking to the camera , after he explains something , the remaining cast members physically and humorously create what he is trying to say .	3	-1	 now[0] instead[0] of[0] rob[0] just[0] talking[0] to[0] the[0] camera[0] after[0] he[0] explains[0] something[0] the[0] remaining[0] cast[0] members[0] physically[0] and[0] humorously[2] create[0] what[0] he[0] is[0] trying[0] to[0] say[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the only problem with high fidelity is that it doesn't end when it should have ended . 	the only problem with high fidelity is that it doesn't end when it should have ended .	1	-2	 the[0] only[0] problem[-1] with[0] high[0] fidelity[0] is[0] that[0] it[0] doesn't[0] end[0] when[0] it[0] should[0] have[0] ended[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
instead the movie goes on for a torturous twenty minutes that seem a lot longer than that . 	instead the movie goes on for a torturous twenty minutes that seem a lot longer than that .	1	-2	 instead[0] the[0] movie[0] goes[0] on[0] for[0] a[0] torturous[-1] twenty[0] minutes[0] that[0] seem[0] a[0] lot[0] longer[0] than[0] that[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
also bruce springsteen is completely wasted in a brief cameo halfway through the movie . 	also bruce springsteen is completely wasted in a brief cameo halfway through the movie .	1	-3	 also[0] bruce[0] springsteen[0] is[0] completely[0] wasted[-1][-1 LastWordBoosterStrength] in[0] a[0] brief[0] cameo[0] halfway[0] through[0] the[0] movie[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
high fidelity is a cheerful , old fashioned comedy with a voluminous soundtrack and as many laughs . 	high fidelity is a cheerful , old fashioned comedy with a voluminous soundtrack and as many laughs .	3	-1	 high[0] fidelity[0] is[0] a[0] cheerful[2] old[0] fashioned[0] comedy[0] with[0] a[0] voluminous[0] soundtrack[0] and[0] as[0] many[0] laughs[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i just hope hollywood keeps creating losers on the big screen , they make everyone look and feel great . 	i just hope hollywood keeps creating losers on the big screen , they make everyone look and feel great .	3	-3	 i[0] just[0] hope[2][-1 LastWordBoosterStrength] hollywood[0] keeps[0] creating[0] losers[-2] on[0] the[0] big[0] screen[0] they[0] make[0] everyone[0] look[0] and[0] feel[0] great[2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
