after the average mouse hunt , the silly small soldiers and the entertaining antz , dreamworks try again with the children's film market with this stunning adaptation of the moses story . 	Translation	Positive	Negative	EmotionRationale
jeffrey katzenberg , who produced this film , certainly knows how to keep a child interested . 	jeffrey katzenberg , who produced this film , certainly knows how to keep a child interested .	2	-1	 jeffrey[0] katzenberg[0] who[0] produced[0] this[0] film[0] certainly[0] knows[0] how[0] to[0] keep[0] a[0] child[0] interested[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he's included some songs in the film , plus some comedy , and a exciting chariot chase , to keep the children interested . 	he's included some songs in the film , plus some comedy , and a exciting chariot chase , to keep the children interested .	3	-2	 he's[0] included[0] some[0] songs[0] in[0] the[0] film[0] plus[0] some[0] comedy[0] and[0] a[0] exciting[2] chariot[0] chase[-1] to[0] keep[0] the[0] children[0] interested[1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
and somehow , himself and the directors still manage to get all the drama and intensity of the story across , without ever being boring . 	and somehow , himself and the directors still manage to get all the drama and intensity of the story across , without ever being boring .	1	-2	 and[0] somehow[0] himself[0] and[0] the[0] directors[0] still[0] manage[0] to[0] get[0] all[0] the[0] drama[0] and[0] intensity[0] of[0] the[0] story[0] across[0] without[0] ever[0] being[0] boring[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's a remarkable achievement . 	it's a remarkable achievement .	1	-1	 it's[0] a[0] remarkable[0] achievement[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
also remarkable is the animation , which puts hercules , an almost 'slap dash' effort , to shame . 	also remarkable is the animation , which puts hercules , an almost 'slap dash' effort , to shame .	1	-3	 also[0] remarkable[0] is[0] the[0] animation[0] which[0] puts[0] hercules[0] an[0] almost[0] 'slap[0] dash'[0] effort[0] to[0] shame[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
relying on hand drawn and computer animation , the backgrounds and characters are amazingly detailed . 	relying on hand drawn and computer animation , the backgrounds and characters are amazingly detailed .	3	-1	 relying[0] on[0] hand[0] drawn[0] and[0] computer[0] animation[0] the[0] backgrounds[0] and[0] characters[0] are[0] amazingly[2] detailed[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the film seems a little caught up with it's amazing visuals by showing a lot of sweeping visuals and 'moving' shots , but they _do_ look incredible . 	the film seems a little caught up with it's amazing visuals by showing a lot of sweeping visuals and 'moving' shots , but they _do_ look incredible .	3	-1	 the[0] film[0] seems[0] a[0] little[0] caught[0] up[0] with[0] it's[0] amazing[2] visuals[0] by[0] showing[0] a[0] lot[0] of[0] sweeping[0] visuals[0] and[0] 'moving'[0] shots[0] but[0] they[0] _do_[0] look[0] incredible[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the final 'plague' where god kills every first born child , and the parting of the red sea have to be seen to be believed . 	the final 'plague' where god kills every first born child , and the parting of the red sea have to be seen to be believed .	1	-1	 the[0] final[0] 'plague'[0] where[0] god[0] kills[0] every[0] first[0] born[0] child[0] and[0] the[0] parting[0] of[0] the[0] red[0] sea[0] have[0] to[0] be[0] seen[0] to[0] be[0] believed[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
kudos to the animators . 	kudos to the animators .	1	-1	 kudos[0] to[0] the[0] animators[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the vocal talent is also very good . 	the vocal talent is also very good .	3	-1	 the[0] vocal[0] talent[1] is[0] also[0] very[0] good[1][1 LastWordBoosterStrength] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
val kilmer does a fine job as moses ( although he doesn't sing ) and ralph fiennes is superb as rameses ( and he _does_ sing . ) 	val kilmer does a fine job as moses ( although he doesn't sing ) and ralph fiennes is superb as rameses ( and he _does_ sing .<br> )	3	-1	 val[0] kilmer[0] does[0] a[0] fine[2] job[0] as[0] moses[0] although[0] he[0] doesn't[0] sing[0] and[0] ralph[0] fiennes[0] is[0] superb[0] as[0] rameses[0] and[0] he[0] _does_[0] sing[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
sandra bullock and jeff goldblum are great , and steve martin and martin short are very good , but not in the film long enough . 	sandra bullock and jeff goldblum are great , and steve martin and martin short are very good , but not in the film long enough .	3	-1	 sandra[0] bullock[0] and[0] jeff[0] goldblum[0] are[0] great[2] and[0] steve[0] martin[0] and[0] martin[0] short[0] are[0] very[0] good[1][1 LastWordBoosterStrength] but[0] not[0] in[0] the[0] film[0] long[0] enough[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
finally , michelle pfeiffer does excellent work as moses wife . 	finally , michelle pfeiffer does excellent work as moses wife .	4	-1	 finally[0] michelle[0] pfeiffer[0] does[0] excellent[3] work[0] as[0] moses[0] wife[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
kudos also goes to the voice of god , who instead of booming and bombastic is quiet and subdued . 	kudos also goes to the voice of god , who instead of booming and bombastic is quiet and subdued .	1	-2	 kudos[0] also[0] goes[0] to[0] the[0] voice[0] of[0] god[0] who[0] instead[0] of[0] booming[0] and[0] bombastic[-1] is[0] quiet[0] and[0] subdued[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
sadly , he is uncredited , and i couldn't quite work out who the voice was . 	sadly , he is uncredited , and i couldn't quite work out who the voice was .	1	-2	 sadly[-1] he[0] is[0] uncredited[0] and[0] i[0] couldn't[0] quite[0] work[0] out[0] who[0] the[0] voice[0] was[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 ( but e-mail if you do . ) 	 ( but e-mail if you do .<br> )	1	-1	 but[0] e[0] mail[0] if[0] you[0] do[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the songs are good , ranging from the usual love sonnets to the traditional big production number . 	the songs are good , ranging from the usual love sonnets to the traditional big production number .	3	-1	 the[0] songs[0] are[0] good[1] ranging[0] from[0] the[0] usual[0] love[2] sonnets[0] to[0] the[0] traditional[0] big[0] production[0] number[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
they don't disturb the movie , and while not particularly memorable , they are nice to listen to ( they're well sung aswell . ) 	they don't disturb the movie , and while not particularly memorable , they are nice to listen to ( they're well sung aswell .<br> )	2	-1	 they[0] don't[0] disturb[-1][NegatedDueToPreviousWord] the[0] movie[0] and[0] while[0] not[0] particularly[0] memorable[0] they[0] are[0] nice[1] to[0] listen[0] to[0] they're[0] well[0] sung[0] aswell[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the musical score is suitably epic , with some beautiful tunes . 	the musical score is suitably epic , with some beautiful tunes .	2	-1	 the[0] musical[0] score[0] is[0] suitably[0] epic[0] with[0] some[0] beautiful[2][-1 LastWordBoosterStrength] tunes[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
coupled with the superb visuals , the prince of egypt is a visual and aural treat , backed up with a great story . 	coupled with the superb visuals , the prince of egypt is a visual and aural treat , backed up with a great story .	3	-1	 coupled[0] with[0] the[0] superb[0] visuals[0] the[0] prince[0] of[0] egypt[0] is[0] a[0] visual[0] and[0] aural[0] treat[1] backed[0] up[0] with[0] a[0] great[2] story[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
entertaining both for kids and adults , this film is a must see . 	entertaining both for kids and adults , this film is a must see .	1	-1	 entertaining[0] both[0] for[0] kids[0] and[0] adults[0] this[0] film[0] is[0] a[0] must[0] see[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a david wilcock review ? 1998 	a david wilcock review ?<br> 1998	1	-1	 a[0] david[0] wilcock[0] review[0] [[Sentence=-1,1=word max, 1-5]] 1998[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " you know , for kids " - norville barnes 	 " you know , for kids " - norville barnes	1	-1	 you[0] know[0] for[0] kids[0] norville[0] barnes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
