did claus von bulow try to kill his wife sunny in their newport mansion ? 	Translation	Positive	Negative	EmotionRationale
we follow him through two very different cases ; the case of the johnson case , where two innocent kids are standing on death row for a crime they didn't commit , and von bulow , who he still hasn't figured out . 	we follow him through two very different cases ; the case of the johnson case , where two innocent kids are standing on death row for a crime they didn't commit , and von bulow , who he still hasn't figured out .	2	-3	 we[0] follow[0] him[0] through[0] two[0] very[0] different[0] cases[0] the[0] case[0] of[0] the[0] johnson[0] case[0] where[0] two[0] innocent[1] kids[0] are[0] standing[0] on[0] death[-2] row[0] for[0] a[0] crime[-1] they[0] didn't[0] commit[0] and[0] von[0] bulow[0] who[0] he[0] still[0] hasn't[0] figured[0] out[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
dershowitz doesn't know what happened to sunny , and he is extremely hesitant to take the case . 	dershowitz doesn't know what happened to sunny , and he is extremely hesitant to take the case .	2	-1	 dershowitz[0] doesn't[0] know[0] what[0] happened[0] to[0] sunny[1] and[0] he[0] is[0] extremely[0] hesitant[0] to[0] take[0] the[0] case[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
nevertheless , he does , based on certain things which happen during the investigative process that deeply upset him . 	nevertheless , he does , based on certain things which happen during the investigative process that deeply upset him .	1	-3	 nevertheless[0] he[0] does[0] based[0] on[0] certain[0] things[0] which[0] happen[0] during[0] the[0] investigative[0] process[0] that[0] deeply[0] upset[-2] him[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
together with a group of law students , dershowitz concocts a defense and ultimately get the verdict reversed . 	together with a group of law students , dershowitz concocts a defense and ultimately get the verdict reversed .	1	-1	 together[0] with[0] a[0] group[0] of[0] law[0] students[0] dershowitz[0] concocts[0] a[0] defense[0] and[0] ultimately[0] get[0] the[0] verdict[0] reversed[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
silver's performance is one of a handful of solid roles in this deep film . 	silver's performance is one of a handful of solid roles in this deep film .	1	-1	 silver's[0] performance[0] is[0] one[0] of[0] a[0] handful[0] of[0] solid[0] roles[0] in[0] this[0] deep[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
schroeder directs on many different levels , with multiple plot lines which blend in wonderfully in the mind of alan dershowitz . 	schroeder directs on many different levels , with multiple plot lines which blend in wonderfully in the mind of alan dershowitz .	3	-1	 schroeder[0] directs[0] on[0] many[0] different[0] levels[0] with[0] multiple[0] plot[0] lines[0] which[0] blend[0] in[0] wonderfully[2] in[0] the[0] mind[0] of[0] alan[0] dershowitz[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
there are flaws ; at times , the film gets overly theatrical . 	there are flaws ; at times , the film gets overly theatrical .	1	-1	 there[0] are[0] flaws[0] at[0] times[0] the[0] film[0] gets[0] overly[0] theatrical[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
yet , due to glenn close's troubled and brutally honest performance as sunny von bulow , the use of her comatose body as a narrator works here fairly well . 	yet , due to glen close's troubled and brutally honest performance as sunny von bulow , the use of her comatose body as a narrator works here fairly well .	2	-3	 yet[0] due[0] to[0] glenn/glen[0] close's[0] troubled[-1] and[0] brutally[-2] honest[0] performance[0] as[0] sunny[1] von[0] bulow[0] the[0] use[0] of[0] her[0] comatose[0] body[0] as[0] a[0] narrator[0] works[0] here[0] fairly[0] well[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the flashbacks are good , but at times schroeder doesn't fill in the blanks . 	the flashbacks are good , but at times schroeder doesn't fill in the blanks .	2	-1	 the[0] flashbacks[0] are[0] good[1] but[0] at[0] times[0] schroeder[0] doesn't[0] fill[0] in[0] the[0] blanks[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the movie could have benefited with the increased attention of certain developments during the film , and it could have used a better ending . 	the movie could have benefited with the increased attention of certain developments during the film , and it could have used a better ending .	1	-1	 the[0] movie[0] could[0] have[0] benefited[0] with[0] the[0] increased[0] attention[0] of[0] certain[0] developments[0] during[0] the[0] film[0] and[0] it[0] could[0] have[0] used[0] a[0] better[0] ending[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film progressed wonderfully before ending suddenly , without any intelligent conclusion . 	the film progressed wonderfully before ending suddenly , without any intelligent conclusion .	3	-1	 the[0] film[0] progressed[0] wonderfully[2] before[0] ending[0] suddenly[0] without[0] any[0] intelligent[1] conclusion[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the supporting characters are often neglected , and dershowitz's team should have been allowed to grow character wise , but schroeder over-simplifies the story and the characters . 	the supporting characters are often neglected , and dershowitz's team should have been allowed to grow character wise , but schroeder over-simplifies the story and the characters .	2	-1	 the[0] supporting[1] characters[0] are[0] often[0] neglected[0] and[0] dershowitz's[0] team[0] should[0] have[0] been[0] allowed[0] to[0] grow[0] character[0] wise[0] but[0] schroeder[0] over[0] simplifies[0] the[0] story[0] and[0] the[0] characters[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
yet , for all these flaws , the film is deeply engrossing because of irons . 	yet , for all these flaws , the film is deeply engrossing because of irons .	1	-1	 yet[0] for[0] all[0] these[0] flaws[0] the[0] film[0] is[0] deeply[0] engrossing[0] because[0] of[0] irons[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as von bulow , he is brutally evil . 	as von bulow , he is brutally evil .	1	-4	 as[0] von[0] bulow[0] he[0] is[0] brutally[-2] evil[-2][-1 MultiplePositiveWords] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
anti-semitic , prejudiced , arrogant , protective , he is a rotten , lying monster , whose conviction may have been wrong legally , but morally he was to blame . 	anti-semitic , prejudiced , arrogant , protective , he is a rotten , lying monster , whose conviction may have been wrong legally , but morally he was to blame .	1	-5	 anti[0] semitic[0] prejudiced[-2] arrogant[-2][-1 MultiplePositiveWords] protective[0] he[0] is[0] a[0] rotten[-2] lying[-3][-1 MultiplePositiveWords] monster[-1] whose[0] conviction[-1] may[0] have[0] been[0] wrong[-1] legally[0] but[0] morally[0] he[0] was[0] to[0] blame[-1] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
irons plays him to a cold perfection , with pathetic attempts to gain moral support for his claims to innocence . 	irons plays him to a cold perfection , with pathetic attempts to gain moral support for his claims to innocence .	2	-3	 irons[0] plays[1] him[0] to[0] a[0] cold[-1] perfection[1] with[0] pathetic[-2] attempts[0] to[0] gain[0] moral[0] support[1] for[0] his[0] claims[0] to[0] innocence[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
he is an adulterous liar and a cheat who in all likelihood committed the murder . 	he is an adulterous liar and a cheat who in all likelihood committed the murder .	1	-4	 he[0] is[0] an[0] adulterous[0] liar[-2] and[0] a[0] cheat[-2] who[0] in[0] all[0] likelihood[0] committed[0] the[0] murder[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
however , the genius of reversal of fortune comes in its distinction between moral culpability and legal responsibility . 	however , the genius of reversal of fortune comes in its distinction between moral culpability and legal responsibility .	1	-1	 however[0] the[0] genius[0] of[0] reversal[0] of[0] fortune[0] comes[0] in[0] its[0] distinction[0] between[0] moral[0] culpability[0] and[0] legal[0] responsibility[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there is no doubt von bulow is responsible for his wife's death by years of neglect and coldness . 	there is no doubt von bulow is responsible for his wife's death by years of neglect and coldness .	1	-3	 there[0] is[0] no[0] doubt[-1] von[0] bulow[0] is[0] responsible[0] for[0] his[0] wife's[0] death[-2] by[0] years[0] of[0] neglect[0] and[0] coldness[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
however , legally , did he do the murder ? 	however , legally , did he do the murder ?	1	-4	 however[0] legally[0] did[0] he[0] do[0] the[0] murder[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
schroeder dares the viewer to make up his own mind . 	schroeder dares the viewer to make up his own mind .	1	-1	 schroeder[0] dares[0] the[0] viewer[0] to[0] make[0] up[0] his[0] own[0] mind[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
with all the character flaws , reversal of fortune is an engrossing puzzle because it is intelligent ; he wants the viewer to make up his own mind . 	with all the character flaws , reversal of fortune is an engrossing puzle because it is intelligent ; he wants the viewer to make up his own mind .	2	-1	 with[0] all[0] the[0] character[0] flaws[0] reversal[0] of[0] fortune[0] is[0] an[0] engrossing[0] puzzle/puzle[0] because[0] it[0] is[0] intelligent[1] he[0] wants[0] the[0] viewer[0] to[0] make[0] up[0] his[0] own[0] mind[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
schroeder taunts the viewer with contradictory revelations , and then mentions that the answer to this compelling puzzle shall be revealed when we join sunny von bulow , in death . 	schroeder taunts the viewer with contradictory revelations , and then mentions that the answer to this compelling puzle shall be revealed when we join sunny von bulow , in death .	2	-3	 schroeder[0] taunts[-1] the[0] viewer[0] with[0] contradictory[-1] revelations[0] and[0] then[0] mentions[0] that[0] the[0] answer[0] to[0] this[0] compelling[0] puzzle/puzle[0] shall[0] be[0] revealed[0] when[0] we[0] join[0] sunny[1] von[0] bulow[0] in[0] death[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
for all the failed dramatic theatrics , this is one that works beautifully . 	for all the failed dramatic theatrics , this is one that works beautifully .	3	-3	 for[0] all[0] the[0] failed[-2] dramatic[0] theatrics[0] this[0] is[0] one[0] that[0] works[0] beautifully[2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
we don't know what happened . 	we don't know what happened .	1	-1	 we[0] don't[0] know[0] what[0] happened[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that sense of legal ambiguousness , along with von bulow's obvious moral guilt , is why reversalf fortune works . 	that sense of legal ambiguousness , along with von bulow's obvious moral guilt , is why reversalf fortune works .	1	-4	 that[0] sense[0] of[0] legal[0] ambiguousness[-1] along[0] with[0] von[0] bulow's[0] obvious[0] moral[0] guilt[-3] is[0] why[0] reversalf[0] fortune[0] works[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
in the end , von bulow is as sadistic as ever . 	in the end , von bulow is as sadistic as ever .	1	-1	 in[0] the[0] end[0] von[0] bulow[0] is[0] as[0] sadistic[0] as[0] ever[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
irons is haunting , and that is why reversal of fortune is so good . 	irons is haunting , and that is why reversal of fortune is so good .	2	-1	 irons[0] is[0] haunting[0] and[0] that[0] is[0] why[0] reversal[0] of[0] fortune[0] is[0] so[0] good[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
