when i first heard of contact , the hype was building it up as a sci-fi blockbuster . 	Translation	Positive	Negative	EmotionRationale
her work has never been off the scrutiny of the us government , which considers it a waste of taxpayer's money and politically unviable , her supervisor ( tom skerritt ) pulls the plug on seti . 	her work has never been off the scrutiny of the us government , which considers it a waste of taxpayer's money and politically unviable , her supervisor ( tom skerritt ) pulls the plug on seti .	1	-2	 her[0] work[0] has[0] never[0] been[0] off[0] the[0] scrutiny[0] of[0] the[0] us[0] government[0] which[0] considers[0] it[0] a[0] waste[-1] of[0] taxpayer's[-1] money[0] and[0] politically[0] unviable[0] her[0] supervisor[0] tom[0] skerritt[0] pulls[0] the[0] plug[0] on[0] seti[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
undaunted , allie managed to gather a loyal group of  believers' and eventually found funding from a large private corporation . 	undaunted , allie managed to gather a loyal group of  believers' and eventually found funding from a large private corporation .	2	-1	 undaunted[0] allie[0] managed[0] to[0] gather[0] a[0] loyal[1] group[0] of[0] believers'[0] and[0] eventually[0] found[0] funding[0] from[0] a[0] large[0] private[0] corporation[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the following months were treacherous to their hopes and research as they are contantly pressured by the government but all that changed when one day , she caught an emission of a seemingly intelligent repeating sound-wave . 	the following months were treacherous to their hopes and research as they are contantly pressured by the government but all that changed when one day , she caught an emission of a seemingly intelligent repeating sound-wave .	2	-3	 the[0] following[0] months[0] were[0] treacherous[-2] to[0] their[0] hopes[1] and[0] research[0] as[0] they[0] are[0] contantly[0] pressured[-1] by[0] the[0] government[0] but[0] all[0] that[0] changed[0] when[0] one[0] day[0] she[0] caught[0] an[0] emission[0] of[0] a[0] seemingly[0] intelligent[1] repeating[0] sound[0] wave[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the news of her find attracted hordes of alien believers , cultist , the media and of course , the government . 	the news of her find attracted hordes of alien believers , cultist , the media and of course , the government .	2	-2	 the[0] news[0] of[0] her[0] find[0] attracted[1] hordes[0] of[0] alien[-1] believers[0] cultist[0] the[0] media[0] and[0] of[0] course[0] the[0] government[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the situation became intense upon her discovery of pictorial plans on building a form of transport which were embedded within the repeating sound emission . 	the situation became intense upon her discovery of pictorial plans on building a form of transport which were embedded within the repeating sound emission .	1	-1	 the[0] situation[0] became[0] intense[0] upon[0] her[0] discovery[0] of[0] pictorial[0] plans[0] on[0] building[0] a[0] form[0] of[0] transport[0] which[0] were[0] embedded[0] within[0] the[0] repeating[0] sound[0] emission[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as the world join forces to build this transport , allie is desperate to be the one to go . 	as the world join forces to build this transport , allie is desperate to be the one to go .	1	-3	 as[0] the[0] world[0] join[0] forces[0] to[0] build[0] this[0] transport[0] allie[0] is[0] desperate[-2] to[0] be[0] the[0] one[0] to[0] go[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
she enrols herself among a few hopefuls , to represent the world when the transport is ready for operation . 	she enrols herself among a few hopefuls , to represent the world when the transport is ready for operation .	1	-1	 she[0] enrols[0] herself[0] among[0] a[0] few[0] hopefuls[0] to[0] represent[0] the[0] world[0] when[0] the[0] transport[0] is[0] ready[0] for[0] operation[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
her eligibility for the spot failed when she is questioned on her beliefs in the existence of god by the president's spiritual advisor ( mcconaughey ) ; allie , being an atheist , a result of her belief in fact and science , refuses to budge upon questioning . 	her eligibility for the spot failed when she is questioned on her beliefs in the existence of god by the president's spiritual advisor ( mcconaughey ) ; allie , being an atheist , a result of her belief in fact and science , refuses to budge upon questioning .	1	-3	 her[0] eligibility[0] for[0] the[0] spot[0] failed[-2] when[0] she[0] is[0] questioned[0] on[0] her[0] beliefs[0] in[0] the[0] existence[0] of[0] god[0] by[0] the[0] president's[0] spiritual[0] advisor[0] mcconaughey[0] allie[0] being[0] an[0] atheist[0] a[0] result[0] of[0] her[0] belief[0] in[0] fact[0] and[0] science[0] refuses[-1] to[0] budge[0] upon[0] questioning[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
at this point the movie plot thickens considerably as she is romantically involved with the president's spiritual advisor . 	at this point the movie plot thickens considerably as she is romantically involved with the president's spiritual advisor .	4	-1	 at[0] this[0] point[0] the[0] movie[0] plot[0] thickens[0] considerably[0] as[0] she[0] is[0] romantically[3] involved[0] with[0] the[0] president's[0] spiritual[0] advisor[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
a strong point which propelled the movie is the depth of its main characters played by foster and mcconaughey . 	a strong point which propelled the movie is the depth of its main characters played by foster and mcconaughey .	1	-1	 a[0] strong[0] point[0] which[0] propelled[0] the[0] movie[0] is[0] the[0] depth[0] of[0] its[0] main[0] characters[0] played[0] by[0] foster[0] and[0] mcconaughey[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
from the very first meeting scene , it is obvious that the two of them was sort of kindred spirits but they were worlds apart in almost all aspects , foster being a person drawn to science and facts and mcconaughey being one who believes in faith , hope and the power of the unseen . 	from the very first meeting scene , it is obvious that the two of them was sort of kindred spirits but they were worlds apart in almost all aspects , foster being a person drawn to science and facts and mcconaughey being one who believes in faith , hope and the power of the unseen .	3	-1	 from[0] the[0] very[0] first[0] meeting[0] scene[0] it[0] is[0] obvious[0] that[0] the[0] two[0] of[0] them[0] was[0] sort[0] of[0] kindred[0] spirits[0] but[0] they[0] were[0] worlds[0] apart[0] in[0] almost[0] all[0] aspects[0] foster[0] being[0] a[0] person[0] drawn[0] to[0] science[0] and[0] facts[0] and[0] mcconaughey[0] being[0] one[0] who[0] believes[0] in[0] faith[1] hope[2] and[0] the[0] power[0] of[0] the[0] unseen[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the meeting of their worlds , added with the situation which they are put into makes the entire storytelling process near flawless . 	the meeting of their worlds , added with the situation which they are put into makes the entire storytelling process near flawless .	2	-1	 the[0] meeting[0] of[0] their[0] worlds[0] added[0] with[0] the[0] situation[0] which[0] they[0] are[0] put[0] into[0] makes[0] the[0] entire[0] storytelling[0] process[0] near[0] flawless[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
many people who read the synopsis of this film would find it a tad too ridiculous , but by actually immersing yourself in it , gives you an entirely different perspective ; one which is free from bias and pre-conceptions . 	many people who read the synopsis of this film would find it a tad too ridiculous , but by actually immersing yourself in it , gives you an entirely different perspective ; one which is free from bias and pre-conceptions .	1	-3	 many[0] people[0] who[0] read[0] the[0] synopsis[0] of[0] this[0] film[0] would[0] find[0] it[0] a[0] tad[0] too[0] ridiculous[-2] but[0] by[0] actually[0] immersing[0] yourself[0] in[0] it[0] gives[0] you[0] an[0] entirely[0] different[0] perspective[0] one[0] which[0] is[0] free[0] from[0] bias[0] and[0] pre[0] conceptions[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
zemeckis and his team of screen writers have done a remarkable job in telling this tale through film . 	zemeckis and his team of screen writers have done a remarkable job in telling this tale through film .	1	-1	 zemeckis[0] and[0] his[0] team[0] of[0] screen[0] writers[0] have[0] done[0] a[0] remarkable[0] job[0] in[0] telling[0] this[0] tale[0] through[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
contact works by not delving in controversy but rather , touches the thinking audience , urging them to ponder upon the questions raised in the film concerning fact and faith ; whether one can actually find compromise within . 	contact works by not delving in controversy but rather , touches the thinking audience , urging them to ponder upon the questions raised in the film concerning fact and faith ; whether one can actually find compromise within .	2	-2	 contact[0] works[0] by[0] not[0] delving[0] in[0] controversy[-1] but[0] rather[0] touches[0] the[0] thinking[0] audience[0] urging[0] them[0] to[0] ponder[0] upon[0] the[0] questions[0] raised[0] in[0] the[0] film[0] concerning[-1] fact[0] and[0] faith[1] whether[0] one[0] can[0] actually[0] find[0] compromise[0] within[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
i consider contact as one of the must-sees for this year . 	i consider contact as one of the must-sees for this year .	1	-1	 i[0] consider[0] contact[0] as[0] one[0] of[0] the[0] must[0] sees[0] for[0] this[0] year[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
