 " a bug's life " may not be " toy story , " but it's more close than " antz " was . 	Translation	Positive	Negative	EmotionRationale
not that the plot's really any better than the one in " antz " - it's basically yet another redux of " the seven samurai , " with an ant colony under the control of giant grasshoppers forcing them to produce a product for them or else . 	not that the plot's really any better than the one in " antz " - it's basically yet another redux of " the seven samurai , " with an ant colony under the control of giant grasshoppers forcing them to produce a product for them or else .	1	-1	 not[0] that[0] the[0] plot's[0] really[0] any[0] better[0] than[0] the[0] one[0] in[0] antz[0] it's[0] basically[0] yet[0] another[0] redux[0] of[0] the[0] seven[0] samurai[0] with[0] an[0] ant[0] colony[0] under[0] the[0] control[0] of[0] giant[0] grasshoppers[0] forcing[0] them[0] to[0] produce[0] a[0] product[0] for[0] them[0] or[0] else[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when flik , a bone fide inventor , creates a time-conserving apparatus that accidentally destroys the season's donation , he puts them all in risk , and is sent away so that he won't screw anything up with the pretense that he is searching for help to fight the grasshoppers . 	when flik , a bone fide inventor , creates a time-conserving apparatus that accidentally destroys the season's donation , he puts them all in risk , and is sent away so that he won't screw anything up with the pretense that he is searching for help to fight the grasshoppers .	1	-3	 when[0] flik[0] a[0] bone[0] fide[0] inventor[0] creates[0] a[0] time[0] conserving[0] apparatus[0] that[0] accidentally[-1] destroys[-2] the[0] season's[0] donation[0] he[0] puts[0] them[0] all[0] in[0] risk[-1] and[0] is[0] sent[0] away[0] so[0] that[0] he[0] won't[0] screw[0] anything[0] up[0] with[0] the[0] pretense[-1] that[0] he[0] is[0] searching[0] for[0] help[0] to[0] fight[-2] the[0] grasshoppers[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he runs into a group of " warrirors " who are , unbeknownst to him , a group of carnival bugs , and they agree to help under similar false pretenses . 	he runs into a group of " warrirors " who are , unbeknownst to him , a group of carnival bugs , and they agree to help under similar false pretenses .	1	-1	 he[0] runs[0] into[0] a[0] group[0] of[0] warrirors[0] who[0] are[0] unbeknownst[0] to[0] him[0] a[0] group[0] of[0] carnival[0] bugs[0] and[0] they[0] agree[0] to[0] help[0] under[0] similar[0] false[0] pretenses[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
these bugs are an equally wonderful assortment to anything in " toy story " : foppish walking stick slim ( david hyde-pierce ) , german caterpillar heimlich ( joe ranft ) , quick-tempered and insecure male ladybug francis ( denis leary ) , pretentious praying mantis manny ( jonathan harris ) , his assistant butterfly hypsy ( madeliene kahn ) , spider rosie ( bonnie hunt ) , and two fleas , tuck and roll ( michael mcshane ) , who speak in undiscernable jibberish . 	these bugs are an equally wonderful assortment to anything in " toy story " : foppish walking stick slim ( david hyde-pierce ) , german caterpillar heimlich ( joe ranft ) , quick-tempered and insecure male ladybug francis ( denis leary ) , pretentious praying mantis many ( jonathan harris ) , his assistant butterfly hypsy ( madeliene kahn ) , spider rosie ( bonnie hunt ) , and two fleas , tuck and roll ( michael mcshane ) , who speak in undiscernable jibberish .	3	-2	 these[0] bugs[0] are[0] an[0] equally[0] wonderful[2] assortment[0] to[0] anything[0] in[0] toy[0] story[0] foppish[0] walking[0] stick[0] slim[0] david[0] hyde[0] pierce[0] german[-1] caterpillar[0] heimlich[0] joe[0] ranft[0] quick[0] tempered[0] and[0] insecure[-1] male[0] ladybug[0] francis[0] denis[0] leary[0] pretentious[-1] praying[0] mantis[0] manny/many[0] jonathan[0] harris[0] his[0] assistant[0] butterfly[0] hypsy[0] madeliene[0] kahn[0] spider[0] rosie[0] bonnie[0] hunt[0] and[0] two[0] fleas[0] tuck[0] and[0] roll[0] michael[0] mcshane[0] who[0] speak[0] in[0] undiscernable[0] jibberish[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the writers lightly touch on each bug's place in bug society and the malleability thereof while making a wisecracks at everything they can , and blowing the audience away with wild visual treats . 	the writers lightly touch on each bug's place in bug society and the malleability thereof while making a wisecracks at everything they can , and blowing the audience away with wild visual treats .	1	-2	 the[0] writers[0] lightly[0] touch[0] on[0] each[0] bug's[0] place[0] in[0] bug[-1] society[0] and[0] the[0] malleability[0] thereof[0] while[0] making[0] a[0] wisecracks[0] at[0] everything[0] they[0] can[0] and[0] blowing[0] the[0] audience[0] away[0] with[0] wild[0] visual[0] treats[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
grasshoppers jumping in unison seems like a menacing earthquake . 	grasshoppers jumping in unison seems like a menacing earthquake .	2	-1	 grasshoppers[0] jumping[0] in[0] unison[0] seems[0] like[1] a[0] menacing[0] earthquake[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
a small bird becomes an ominous mortal threat , whose usual mild-mannered squeal is a scream of death . 	a small bird becomes an ominous mortal threat , whose usual mild-mannered squeal is a scream of death .	1	-4	 a[0] small[0] bird[0] becomes[0] an[0] ominous[-2] mortal[0] threat[-2] whose[0] usual[0] mild[0] mannered[0] squeal[0] is[0] a[0] scream[-3] of[0] death[-2] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the bug city is a modern-day metropolis , complete with fireflies temping as traffic lights and a fly sitting on the curb , holding out a cup , with a sign lying next to him that says " kid tore off wings . " 	the bug city is a modern-day metropolis , complete with fireflies temping as traffic lights and a fly sitting on the curb , holding out a cup , with a sign lying next to him that says " kid tore off wings .<br> "	1	-4	 the[0] bug[-1] city[0] is[0] a[0] modern[0] day[0] metropolis[0] complete[0] with[0] fireflies[0] temping[0] as[0] traffic[0] lights[0] and[0] a[0] fly[0] sitting[0] on[0] the[0] curb[0] holding[0] out[0] a[0] cup[0] with[0] a[0] sign[0] lying[-3] next[0] to[0] him[0] that[0] says[0] kid[0] tore[0] off[0] wings[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
and a rainstorm is like a giant flood , with each drop acting like a small bomb dropped at millions of miles per hour . 	and a rainstorm is like a giant flood , with each drop acting like a small bomb dropped at millions of miles per hour .	2	-2	 and[0] a[0] rainstorm[0] is[0] like[1] a[0] giant[0] flood[0] with[0] each[0] drop[-1] acting[0] like[1] a[0] small[0] bomb[-1] dropped[0] at[0] millions[0] of[0] miles[0] per[0] hour[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
around this , the pixar animators stage several large set pieces , like a resuce mission halfway through that is as wild and entertaining as anything this year , and a wonderfully exciting action piece at the end , a chase scene at night through the labyrinthine branches of a small thicket . 	around this , the pixar animators stage several large set pieces , like a resuce mission halfway through that is as wild and entertaining as anything this year , and a wonderfully exciting action piece at the end , a chase scene at night through the labyrinthine branches of a small thicket .	4	-2	 around[0] this[0] the[0] pixar[0] animators[0] stage[0] several[0] large[0] set[0] pieces[0] like[1] a[0] resuce[0] mission[0] halfway[0] through[0] that[0] is[0] as[0] wild[0] and[0] entertaining[0] as[0] anything[0] this[0] year[0] and[0] a[0] wonderfully[2] exciting[2][+1 MultiplePositiveWords] action[0] piece[0] at[0] the[0] end[0] a[0] chase[-1] scene[0] at[0] night[0] through[0] the[0] labyrinthine[0] branches[0] of[0] a[0] small[0] thicket[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
meanwhile , each character gets the spotlight to be completely idisyncratic and interesting , something " antz " couldn't do , and by the end , over the end credits , " a bug's life " pulls it's final punch , out clever-ing " antz " with a series of incessantly hilarious faux-bloopers that come just at the right time , when those who leave immeadiately after the final frame of a film have left , and you can brag that you were one of the elite who stayed and got the full money's worth of entertainment . 	meanwhile , each character gets the spotlight to be completely idisyncratic and interesting , something " antz " couldn't do , and by the end , over the end credits , " a bug's life " pulls it's final punch , out clever-ing " antz " with a series of incessantly hilarious faux-bloopers that come just at the right time , when those who leave immeadiately after the final frame of a film have left , and you can brag that you were one of the elite who stayed and got the full money's worth of entertainment .	3	-2	 meanwhile[0] each[0] character[0] gets[0] the[0] spotlight[0] to[0] be[0] completely[0] idisyncratic[0] and[0] interesting[1] something[0] antz[0] couldn't[0] do[0] and[0] by[0] the[0] end[0] over[0] the[0] end[0] credits[0] a[0] bug's[0] life[0] pulls[0] it's[0] final[0] punch[-1] out[0] clever[0] ing[0] antz[0] with[0] a[0] series[0] of[0] incessantly[0] hilarious[2] faux[0] bloopers[0] that[0] come[0] just[0] at[0] the[0] right[0] time[0] when[0] those[0] who[0] leave[0] immeadiately[0] after[0] the[0] final[0] frame[0] of[0] a[0] film[0] have[0] left[0] and[0] you[0] can[0] brag[-1] that[0] you[0] were[0] one[0] of[0] the[0] elite[0] who[0] stayed[0] and[0] got[0] the[0] full[0] money's[0] worth[0] of[0] entertainment[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
still , it's no " toy story . " 	still , it's no " toy story .<br> "	1	-1	 still[0] it's[0] no[0] toy[0] story[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that film , maybe above any animated film i've ever seen , encompassed almost true perfection in story , character , and wit . 	that film , maybe above any animated film i've ever seen , encompassed almost true perfection in story , character , and wit .	2	-1	 that[0] film[0] maybe[0] above[0] any[0] animated[0] film[0] i've[0] ever[0] seen[0] encompassed[0] almost[0] true[1] perfection[1] in[0] story[0] character[0] and[0] wit[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it proved that it didn't need to brag about it's cutting edge technology to really soar ( it's the least visually striking of the three computer animated films thus far , but is still the most satisfying ) , and created a perfect world of idiosyncratic delights and innocent fun . 	it proved that it didn't need to brag about it's cutting edge technology to really soar ( it's the least visually striking of the three computer animated films thus far , but is still the most satisfying ) , and created a perfect world of idiosyncratic delights and innocent fun .	3	-2	 it[0] proved[0] that[0] it[0] didn't[0] need[0] to[0] brag[-1] about[0] it's[0] cutting[0] edge[0] technology[0] to[0] really[0] soar[0] it's[0] the[0] least[0] visually[0] striking[0] of[0] the[0] three[0] computer[0] animated[0] films[0] thus[0] far[0] but[0] is[0] still[0] the[0] most[0] satisfying[1] and[0] created[0] a[0] perfect[1] world[0] of[0] idiosyncratic[0] delights[2] and[0] innocent[1] fun[1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
yet " a bug's life , " as well as " antz , " are still amazing films , and prove without doubt , that if you're gonna make a computer animated film , send it to the guys who created these three flicks , evne if they're not working under the same roof . 	yet " a bug's life , " as well as " antz , " are still amazing films , and prove without doubt , that if you're gonna make a computer animated film , send it to the guys who created these three flicks , evne if they're not working under the same roof .	3	-2	 yet[0] a[0] bug's[0] life[0] as[0] well[0] as[0] antz[0] are[0] still[0] amazing[2] films[0] and[0] prove[0] without[0] doubt[-1] that[0] if[0] you're[0] gonna[0] make[0] a[0] computer[0] animated[0] film[0] send[0] it[0] to[0] the[0] guys[0] who[0] created[0] these[0] three[0] flicks[0] evne[0] if[0] they're[0] not[0] working[0] under[0] the[0] same[0] roof[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
