wyatt earp has a lot to tell and little to say . 	Translation	Positive	Negative	EmotionRationale
equally amusing is a buffalo-hunting ( and skinning ! ) 	equally amusing is a buffalo-hunting ( and skinning !<br> )	2	-1	 equally[0] amusing[1] is[0] a[0] buffalo[0] hunting[0] and[0] skinning[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
sequence that is decidedly non-pc . 	sequence that is decidedly non-pc .	1	-1	 sequence[0] that[0] is[0] decidedly[0] non[0] pc[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
director lawrence kasdan takes a refreshingly realistic approach to the gunplay . 	director lawrence kasdan takes a refreshingly realistic approach to the gunplay .	1	-2	 director[0] lawrence[0] kasdan[0] takes[0] a[0] refreshingly[0] realistic[0] approach[0] to[0] the[0] gunplay[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the infamous gunfight at the ok corral is both brutal and brief , devoid of almost any theatrics . 	the infamous gunfight at the ok corral is both brutal and brief , devoid of almost any theatrics .	1	-3	 the[0] infamous[-1] gunfight[-1] at[0] the[0] ok[0] corral[0] is[0] both[0] brutal[-2] and[0] brief[0] devoid[-1] of[0] almost[0] any[0] theatrics[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
don't look for much glorified violence here . 	don't look for much glorified violence here .	2	-4	 don't[0] look[0] for[0] much[0] glorified[1] violence[-3] here[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
despite some large exclamation points in the story , the characters * do * come to life . 	despite some large exclamation points in the story , the characters * do * come to life .	1	-1	 despite[0] some[0] large[0] exclamation[0] points[0] in[0] the[0] story[0] the[0] characters[0] do[0] come[0] to[0] life[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the diverse cast includes everyone from betty buckley ( ! ) to mackenzie astin ( ! ! ) . 	the diverse cast includes everyone from betty buckley ( !<br> ) to mackenzie astin ( !<br> !<br> ) .	1	-1	 the[0] diverse[0] cast[0] includes[0] everyone[0] from[0] betty[0] buckley[0] [[Sentence=-1,1=word max, 1-5]] to[0] mackenzie[0] astin[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
kevin costner is very good in the title role . 	kevin costner is very good in the title role .	3	-1	 kevin[0] costner[0] is[0] very[0] good[1][1 LastWordBoosterStrength] in[0] the[0] title[0] role[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
dances with whitney nevers get as steely as the role requires , though , but his transformation from lighthearted law student to stoic sheriff is fun to watch . 	dances with whitney nevers get as steely as the role requires , though , but his transformation from lighthearted law student to stoic sheriff is fun to watch .	2	-1	 dances[0] with[0] whitney[0] nevers[0] get[0] as[0] steely[0] as[0] the[0] role[0] requires[0] though[0] but[0] his[0] transformation[0] from[0] lighthearted[0] law[0] student[0] to[0] stoic[0] sheriff[0] is[0] fun[1] to[0] watch[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he was tougher in a perfect world . 	he was tougher in a perfect world .	2	-2	 he[0] was[0] tougher[-1] in[0] a[0] perfect[1] world[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
his foil is dennis quaid , who pulled a deniro by losing 40  pounds to play the tubercular terror doc holliday . 	his foil is dennis quaid , who pulled a deniro by losing 40  pounds to play the tubercular terror doc holiday .	1	-3	 his[0] foil[0] is[0] dennis[0] quaid[0] who[0] pulled[0] a[0] deniro[0] by[0] losing[-2] 40[0] pounds[0] to[0] play[0] the[0] tubercular[0] terror[-1] doc[0] holliday/holiday[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
gaunt * and * gamely , he's a scene stealer who's seen too little . 	gaunt * and * gamely , he's a scene stealer who's seen too little .	1	-3	 gaunt[0] and[0] gamely[0] he's[0] a[0] scene[0] stealer[-2] who's[0] seen[0] too[0] little[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
other familiar faces include tom sizemore ( looking like bruce mcgill ) , bill pullman ( looking like jeff daniels ) , and lea thompson ( looking like someone other than lea thompson ) . 	other familiar faces include tom sizemore ( looking like bruce mcgill ) , bill pullman ( looking like jeff daniels ) , and lea thompson ( looking like someone other than lea thompson ) .	2	-1	 other[0] familiar[0] faces[0] include[0] tom[0] sizemore[0] looking[0] like[1] bruce[0] mcgill[0] bill[0] pullman[0] looking[0] like[1] jeff[0] daniels[0] and[0] lea[0] thompson[0] looking[0] like[1] someone[0] other[0] than[0] lea[0] thompson[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
both gene hackman and isabella rosselini appear and disappear like magic , while late entries catherine o'hara and jobeth williams are surprisingly solid . 	both gene hackman and isabella rosselini appear and disappear like magic , while late entries catherine o'hara and jobeth williams are surprisingly solid .	2	-1	 both[0] gene[0] hackman[0] and[0] isabella[0] rosselini[0] appear[0] and[0] disappear[0] like[1] magic[0] while[0] late[0] entries[0] catherine[0] o'hara[0] and[0] jobeth[0] williams[0] are[0] surprisingly[0] solid[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
though the story and score should've tried " less is more , " all other credits are technical tops . 	though the story and score should've tried " less is more , " all other credits are technical tops .	1	-1	 though[0] the[0] story[0] and[0] score[0] should've[0] tried[0] less[0] is[0] more[0] all[0] other[0] credits[0] are[0] technical[0] tops[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
production designer ida random , art director gary wissner , and costume designer colleen atwood are some of the vips who helped spend what must've been an enormous budget . 	production designer ida random , art director gary wissner , and costume designer colleen atwood are some of the vips who helped spend what must've been an enormous budget .	1	-1	 production[0] designer[0] ida[0] random[0] art[0] director[0] gary[0] wissner[0] and[0] costume[0] designer[0] colleen[0] atwood[0] are[0] some[0] of[0] the[0] vips[0] who[0] helped[0] spend[0] what[0] must've[0] been[0] an[0] enormous[0] budget[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
clearly no expense was spared . 	clearly no expense was spared .	1	-2	 clearly[0] no[0] expense[-1] was[0] spared[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
