deep rising is one of " those " movies . 	Translation	Positive	Negative	EmotionRationale
the worst cliches in movie history are a b movie's bread and butter . 	the worst cliches in movie history are a b movie's bread and butter .	1	-3	 the[0] worst[-2] cliches[0] in[0] movie[0] history[0] are[0] a[0] b[0] movie's[0] bread[0] and[0] butter[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
therefore , things that would destroy a serious movie actually help us have a good time while watching a movie of lower calibre . 	therefore , things that would destroy a serious movie actually help us have a good time while watching a movie of lower calibre .	2	-2	 therefore[0] things[0] that[0] would[0] destroy[-2][--1 LastWordBoosterStrength] a[0] serious[-1] movie[0] actually[0] help[0] us[0] have[0] a[0] good[1] time[0] while[0] watching[0] a[0] movie[0] of[0] lower[0] calibre[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
of course we know there's a big slimy creature behind that door , that one person will wander off to be picked off by said monster and we always know which persons or person will make it out alive . 	of course we know there's a big slimy creature behind that door , that one person will wander off to be picked off by said monster and we always know which persons or person will make it out alive .	1	-2	 of[0] course[0] we[0] know[0] there's[0] a[0] big[0] slimy[0] creature[0] behind[0] that[0] door[0] that[0] one[0] person[0] will[0] wander[0] off[0] to[0] be[0] picked[0] off[0] by[0] said[0] monster[-1] and[0] we[0] always[0] know[0] which[0] persons[0] or[0] person[0] will[0] make[0] it[0] out[0] alive[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
we just don't know when or how horrible it will be . 	we just don't know when or how horrible it will be .	1	-4	 we[0] just[0] don't[0] know[0] when[0] or[0] how[0] horrible[-3] it[0] will[0] be[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
i went to see deep rising with my expections low and my tolerance for bad dialogue high . 	i went to see deep rising with my expections low and my tolerance for bad dialogue high .	2	-2	 i[0] went[0] to[0] see[0] deep[0] rising[0] with[0] my[0] expections[0] low[-1] and[0] my[0] tolerance[1] for[0] bad[-1] dialogue[0] high[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
imagine my surprise when i discover that deep rising is actually , well , pretty darn funny at times . 	imagine my surprise when i discover that deep rising is actually , well , pretty darn funny at times .	3	-2	 imagine[0] my[0] surprise[0] when[0] i[0] discover[0] that[0] deep[0] rising[0] is[0] actually[0] well[0] pretty[2] darn[-1] funny[1] at[0] times[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
a funny b movie ? 	a funny b movie ?	2	-1	 a[0] funny[1] b[0] movie[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
well , that's new . 	well , that's new .	1	-1	 well[0] that's[0] new[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
these flicks are not supposed to make us laugh . 	these flicks are not supposed to make us laugh .	2	-1	 these[0] flicks[0] are[0] not[0] supposed[0] to[0] make[0] us[0] laugh[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 ( except for a few unintended laughs once a while . ) 	 ( except for a few unintended laughs once a while .<br> )	2	-1	 except[0] for[0] a[0] few[0] unintended[0] laughs[1] once[0] a[0] while[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and before you know it , treat williams , wes studi and famke jansen appear on the big screen . 	and before you know it , treat williams , wes studi and famke jansen appear on the big screen .	2	-1	 and[0] before[0] you[0] know[0] it[0] treat[1] williams[0] wes[0] studi[0] and[0] famke[0] jansen[0] appear[0] on[0] the[0] big[0] screen[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
hey ! i know them guys ( and gal ) from a couple of other movies . 	hey !<br> i know them guys ( and get a life� ) from a couple of other movies .	2	-1	 hey[1] [[Sentence=-1,2=word max, 1-5]] i[0] know[0] them[0] guys[0] and[0] gal[0] from[0] a[0] couple[0] of[0] other[0] movies[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
cool . 	cool .	2	-1	 cool[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
familiar faces . 	familiar faces .	1	-1	 familiar[0] faces[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
so far so good . 	so far so good .	2	-1	 so[0] far[0] so[0] good[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
our man treat is the hero , he'll live . 	our man treat is the hero , he'll live .	3	-1	 our[0] man[0] treat[1] is[0] the[0] hero[2] he'll[0] live[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
wes is a staple of b movies , he is the token victim . 	wes is a staple of b movies , he is the token victim .	1	-3	 wes[0] is[0] a[0] staple[0] of[0] b[0] movies[0] he[0] is[0] the[0] token[0] victim[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
we know he'll buy the farm but he will take a few creeps with him on the way out . 	we know he'll buy the farm but he will take a few creeps with him on the way out .	1	-1	 we[0] know[0] he'll[0] buy[0] the[0] farm[0] but[0] he[0] will[0] take[0] a[0] few[0] creeps[0] with[0] him[0] on[0] the[0] way[0] out[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
famke is the babe , 'nuff said . 	famke is the babe , 'nuff said .	1	-1	 famke[0] is[0] the[0] babe[0] 'nuff[0] said[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there is also a guy with glasses ( the guy with glasses always dies ) a black person ( b movie buffs know that the black guy always dies , never fails ) and a very funny , nerdy guy . 	there is also a guy with glasses ( the guy with glasses always dies ) a black person ( b movie buffs know that the black guy always dies , never fails ) and a very funny , nerdy guy .	3	-3	 there[0] is[0] also[0] a[0] guy[0] with[0] glasses[0] the[0] guy[0] with[0] glasses[0] always[0] dies[0] a[0] black[0] person[0] b[0] movie[0] buffs[0] know[0] that[0] the[0] black[0] guy[0] always[0] dies[0] never[0] fails[-2][NegatedDueToPreviousWord] and[0] a[0] very[0] funny[1][1 LastWordBoosterStrength] nerdy[-2] guy[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
 ( ah ! 	 ( ah !	1	-1	 ah[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
comic relief . 	comic relief .	2	-1	 comic[0] relief[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
how can we possibly explain having to kill him . . . let 	how can we possibly explain having to kill him .<br> .<br> .<br> let	1	-2	 how[0] can[0] we[0] possibly[0] explain[0] having[0] to[0] kill[-1] him[0] [[Sentence=-2,1=word max, 1-5]] let[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
him live . ) 	him live .<br> )	1	-1	 him[0] live[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
after the first fifteen minutes i felt right at home . 	after the first fifteen minutes i felt right at home .	1	-1	 after[0] the[0] first[0] fifteen[0] minutes[0] i[0] felt[0] right[0] at[0] home[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i know who to root for and who i need to boo too and a gum to chew . 	i know who to root for and who i need to boo too and a gum to chew .	1	-1	 i[0] know[0] who[0] to[0] root[0] for[0] and[0] who[0] i[0] need[0] to[0] boo[0] too[0] and[0] a[0] gum[0] to[0] chew[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( please kill me . ) 	 ( please kill me .<br> )	2	-2	 please[1] kill[-1] me[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
suffice it to say that for the next hour and a half i jumped out of my seat a few times , went " ewwww " about a dozen times and nearly had an orgasm over all the explosions and firepower our heroes were packing . 	suffice it to say that for the next hour and a half i jumped out of my seat a few times , went " ew " about a dozen times and nearly had an orgasm over all the explosions and firepower our heroes were packing .	3	-2	 suffice[0] it[0] to[0] say[0] that[0] for[0] the[0] next[0] hour[0] and[0] a[0] half[0] i[0] jumped[0] out[0] of[0] my[0] seat[0] a[0] few[0] times[0] went[0] ewwww/ew[0] about[0] a[0] dozen[0] times[0] and[0] nearly[0] had[0] an[0] orgasm[0] over[0] all[0] the[0] explosions[-1] and[0] firepower[0] our[0] heroes[2] were[0] packing[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
i'm a man , we nottice these things . 	i'm a man , we notice these things .	1	-1	 i'm[0] a[0] man[0] we[0] nottice/notice[0] these[0] things[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
all in all , i'd recommend deep rising if you are looking for a good time and care to leave your brain at the door . . . but 	all in all , i'd recommend deep rising if you are looking for a good time and care to leave your brain at the door .<br> .<br> .<br> but	2	-1	 all[0] in[0] all[0] i'd[0] recommend[0] deep[0] rising[0] if[0] you[0] are[0] looking[0] for[0] a[0] good[1] time[0] and[0] care[1] to[0] leave[0] your[0] brain[0] at[0] the[0] door[0] [[Sentence=-1,2=word max, 1-5]] but[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
bring your sense of humor and excitement in with you . 	bring your sense of humor and excitement in with you .	3	-1	 bring[0] your[0] sense[0] of[0] humor[2] and[0] excitement[2] in[0] with[0] you[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the acting is decent , the effects top rate . 	the acting is decent , the effects top rate .	1	-1	 the[0] acting[0] is[0] decent[0] the[0] effects[0] top[0] rate[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
how to best describe it ? 	how to best describe it ?	2	-1	 how[0] to[0] best[1] describe[0] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
put together the jet ski scene from hard rain , the bug attacks from starship troopers , a couple of james bond like stunts and all those scenes from friday the thirteenth and freddy where you keep screaming " don't go there , he's behind you " and you end up with deep rising . 	put together the jet ski scene from hard rain , the bug attacks from starship troopers , a couple of james bond like stunts and all those scenes from friday the thirteenth and freddy where you keep screaming " don't go there , he's behind you " and you end up with deep rising .	2	-4	 put[0] together[0] the[0] jet[0] ski[0] scene[0] from[0] hard[0] rain[0] the[0] bug[-1] attacks[-2] from[0] starship[0] troopers[0] a[0] couple[0] of[0] james[0] bond[0] like[1] stunts[0] and[0] all[0] those[0] scenes[0] from[0] friday[0] the[0] thirteenth[0] and[0] freddy[0] where[0] you[0] keep[0] screaming[-3] don't[0] go[0] there[0] he's[0] behind[0] you[0] and[0] you[0] end[0] up[0] with[0] deep[0] rising[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
for creepy crawly goodness , tight t-shirts , major firepower and the need to go to the bathroom every fifteen minutes from seing all that water . 	for creepy crawly goodness , tight t-shirts , major firepower and the need to go to the bathroom every fifteen minutes from seing all that water .	3	-1	 for[0] creepy[0] crawly[0] goodness[2] tight[0] t[0] shirts[0] major[0] firepower[0] and[0] the[0] need[0] to[0] go[0] to[0] the[0] bathroom[0] every[0] fifteen[0] minutes[0] from[0] seing[0] all[0] that[0] water[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
