it stands as a moment one will not soon forget : a giant , green ogre flips through the pages of a cliche fairy tale , narrating it with every bit of dull inspiration that the story holds . 	Translation	Positive	Negative	EmotionRationale
but the yapping donkey must face his phobias when presented with the giant , fire-breathing dragon guarding fiona ; either he dies from terror or he triumphs with courage . 	but the yapping donkey must face his phobias when presented with the giant , fire-breathing dragon guarding fiona ; either he dies from terror or he triumphs with courage .	3	-3	 but[0] the[0] yapping[0] donkey[0] must[0] face[0] his[0] phobias[-2] when[0] presented[0] with[0] the[0] giant[0] fire[0] breathing[0] dragon[0] guarding[0] fiona[0] either[0] he[0] dies[0] from[0] terror[-1] or[0] he[0] triumphs[2] with[0] courage[1] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
he wisely chooses courage by pretending as if no dangerous situation actually faces him , allowing the donkey to overcome a horror that likely only continued due to his insistence of them . 	he wisely chooses courage by pretending as if no dangerous situation actually faces him , allowing the donkey to overcome a horror that likely only continued due to his insistence of them .	2	-4	 he[0] wisely[0] chooses[0] courage[1] by[0] pretending[0] as[0] if[0] no[0] dangerous[-1] situation[0] actually[0] faces[0] him[0] allowing[0] the[0] donkey[0] to[0] overcome[0] a[0] horror[-3] that[0] likely[0] only[0] continued[0] due[0] to[0] his[0] insistence[0] of[0] them[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
secondly , upon shrek's and donkey's redeeming of princess fiona , the ogre finds the princess has plans for whomever saves her : to satisfy her desire for a ( human ) knight in shining armor . 	secondly , upon shrek's and donkey's redeeming of princess fiona , the ogre finds the princess has plans for whomever saves her : to satisfy her desire for a ( human ) knight in shining armor .	2	-1	 secondly[0] upon[0] shrek's[0] and[0] donkey's[0] redeeming[0] of[0] princess[0] fiona[0] the[0] ogre[0] finds[0] the[0] princess[0] has[0] plans[0] for[0] whomever[0] saves[1] her[0] to[0] satisfy[1] her[0] desire[0] for[0] a[0] human[0] knight[0] in[0] shining[0] armor[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
throughout this storyline , shrek faces his deep , perpetual misgivings of inhering as an ogre and struggles to determine how he will reveal his true identity to fiona . 	throughout this storyline , shrek faces his deep , perpetual misgivings of inhering as an ogre and struggles to determine how he will reveal his true identity to fiona .	2	-2	 throughout[0] this[0] storyline[0] shrek[0] faces[0] his[0] deep[0] perpetual[0] misgivings[0] of[0] inhering[0] as[0] an[0] ogre[0] and[0] struggles[-1] to[0] determine[0] how[0] he[0] will[0] reveal[0] his[0] true[1] identity[0] to[0] fiona[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
an ongoing struggle occurs between himself and his reluctance of the truth , but eventually , shrek courageously conquers his fear by telling the forbidden secret to fiona . 	an ongoing struggle occurs between himself and his reluctance of the truth , but eventually , shrek courageously conquers his fear by telling the forbidden secret to fiona .	2	-4	 an[0] ongoing[0] struggle[-1] occurs[0] between[0] himself[0] and[0] his[0] reluctance[-1] of[0] the[0] truth[1] but[0] eventually[0] shrek[0] courageously[1] conquers[0] his[0] fear[-3] by[0] telling[0] the[0] forbidden[-1] secret[0] to[0] fiona[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
children can realize from donkey and shrek that fear remains only as complicated as one makes it ; if one sets his/her mind to overcoming something in particular , endless possibilities exist . 	children can realize from donkey and shrek that fear remains only as complicated as one makes it ; if one sets his/her mind to overcoming something in particular , endless possibilities exist .	1	-4	 children[0] can[0] realize[0] from[0] donkey[0] and[0] shrek[0] that[0] fear[-3] remains[0] only[0] as[0] complicated[-1] as[0] one[0] makes[0] it[0] if[0] one[0] sets[0] his/her[0] mind[0] to[0] overcoming[0] something[0] in[0] particular[0] endless[0] possibilities[0] exist[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
after the friendships and courage prevail , the three central characters at the heart of shrek must take one more stretch of development : acceptance . 	after the friendships and courage prevail , the three central characters at the heart of shrek must take one more stretch of development : acceptance .	2	-1	 after[0] the[0] friendships[1] and[0] courage[1] prevail[0] the[0] three[0] central[0] characters[0] at[0] the[0] heart[0] of[0] shrek[0] must[0] take[0] one[0] more[0] stretch[0] of[0] development[0] acceptance[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
surprisingly , fiona holds a dark secret of her own : due to a spell cast upon her years ago , she transforms into an ogre by night . 	surprisingly , fiona holds a dark secret of her own : due to a spell cast upon her years ago , she transforms into an ogre by night .	1	-1	 surprisingly[0] fiona[0] holds[0] a[0] dark[0] secret[0] of[0] her[0] own[0] due[0] to[0] a[0] spell[0] cast[0] upon[0] her[0] years[0] ago[0] she[0] transforms[0] into[0] an[0] ogre[0] by[0] night[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in this storyline , fiona must learn to hold acceptance for herself , and she must realize what beauty truly means : to simply act as one's self . 	in this storyline , fiona must learn to hold acceptance for herself , and she must realize what beauty truly means : to simply act as one's self .	3	-1	 in[0] this[0] storyline[0] fiona[0] must[0] learn[0] to[0] hold[0] acceptance[0] for[0] herself[0] and[0] she[0] must[0] realize[0] what[0] beauty[2] truly[1] means[0] to[0] simply[0] act[0] as[0] one's[0] self[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
upon fiona's learning of shrek's desire to pursue a relationship with her , fiona , knowing that acceptance of herself serves as the only platform for her love with shrek to work , gives in to her inner demons of self-ridicule and hatred . 	upon fiona's learning of shrek's desire to pursue a relationship with her , fiona , knowing that acceptance of herself serves as the only platform for her love with shrek to work , gives in to her inner demons of self-ridicule and hatred .	3	-4	 upon[0] fiona's[0] learning[0] of[0] shrek's[0] desire[0] to[0] pursue[0] a[0] relationship[0] with[0] her[0] fiona[0] knowing[0] that[0] acceptance[0] of[0] herself[0] serves[0] as[0] the[0] only[0] platform[0] for[0] her[0] love[2] with[0] shrek[0] to[0] work[0] gives[0] in[0] to[0] her[0] inner[0] demons[0] of[0] self[0] ridicule[-2] and[0] hatred[-3] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
any child can pull from fiona's transformation the meaning of beauty and the meaning of self-acceptance . 	any child can pull from fiona's transformation the meaning of beauty and the meaning of self-acceptance .	3	-1	 any[0] child[0] can[0] pull[0] from[0] fiona's[0] transformation[0] the[0] meaning[0] of[0] beauty[2] and[0] the[0] meaning[0] of[0] self[0] acceptance[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
on the technical side , shrek triumphs . 	on the technical side , shrek triumphs .	3	-1	 on[0] the[0] technical[0] side[0] shrek[0] triumphs[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
directors adam adamson and vicky jenson pace shrek in a consistent and satisfying manner , evenly distributing the lessons learned by the central characters . 	directors adam adamson and vicky jenson pace shrek in a consistent and satisfying manner , evenly distributing the lessons learned by the central characters .	2	-1	 directors[0] adam[0] adamson[0] and[0] vicky[0] jenson[0] pace[0] shrek[0] in[0] a[0] consistent[0] and[0] satisfying[1] manner[0] evenly[0] distributing[0] the[0] lessons[0] learned[0] by[0] the[0] central[0] characters[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
these central characters spring to life thanks to brilliant voice work from mike myers ( shrek ) , eddie murphy ( donkey ) , and cameron diaz ( princess fiona ) . 	these central characters spring to life thanks to brilliant voice work from mike myers ( shrek ) , eddie murphy ( donkey ) , and cameron diaz ( princess fiona ) .	2	-1	 these[0] central[0] characters[0] spring[0] to[0] life[0] thanks[1] to[0] brilliant[1] voice[0] work[0] from[0] mike[0] myers[0] shrek[0] eddie[0] murphy[0] donkey[0] and[0] cameron[0] diaz[0] princess[0] fiona[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
myers creates his shrek as a lovable and troubled ogre whose green color not only serves as a skin color but perhaps his envy of other , " normal " beings . 	myers creates his shrek as a lovable and troubled ogre whose green color not only serves as a skin color but perhaps his envy of other , " normal " beings .	1	-3	 myers[0] creates[0] his[0] shrek[0] as[0] a[0] lovable[0] and[0] troubled[-1] ogre[0] whose[0] green[0] color[0] not[0] only[0] serves[0] as[0] a[0] skin[0] color[0] but[0] perhaps[0] his[0] envy[-2] of[0] other[0] normal[0] beings[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
murphy succeeds with his donkey through recreating the high-strung persona that so many know the actor to have off screen . 	murphy succeeds with his donkey through recreating the high-strung persona that so many know the actor to have off screen .	3	-1	 murphy[0] succeeds[2] with[0] his[0] donkey[0] through[0] recreating[0] the[0] high[0] strung[0] persona[0] that[0] so[0] many[0] know[0] the[0] actor[0] to[0] have[0] off[0] screen[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
cameron diaz exudes charisma and innocence as fiona , giving the princess/ogre a sense of power that many female characters in animated films lack . 	cameron diaz exudes charisma and innocence as fiona , giving the princess/ogre a sense of power that many female characters in animated films lack .	2	-2	 cameron[0] diaz[0] exudes[0] charisma[0] and[0] innocence[1] as[0] fiona[0] giving[0] the[0] princess/ogre[0] a[0] sense[0] of[0] power[0] that[0] many[0] female[0] characters[0] in[0] animated[0] films[0] lack[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
while the direction and voice work certainly elevate shrek , the ultimate factor in the film succeeding lies in the screenplay , written by ted elliott , terry rossio , joe stillman , and roger s . h . 	while the direction and voice work certainly elevate shrek , the ultimate factor in the film succeeding lies in the screenplay , written by ted elliott , terry rossio , joe stillman , and roger s .<br> h .	3	-3	 while[0] the[0] direction[0] and[0] voice[0] work[0] certainly[0] elevate[0] shrek[0] the[0] ultimate[0] factor[0] in[0] the[0] film[0] succeeding[2] lies[-2] in[0] the[0] screenplay[0] written[0] by[0] ted[0] elliott[0] terry[0] rossio[0] joe[0] stillman[0] and[0] roger[0] s[0] [[Sentence=-3,3=word max, 1-5]] h[0] [[Sentence=-1,1=word max, 1-5]][[[3,-3 max of sentences]]]
schulman . 	schulman .	1	-1	 schulman[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the script never underestimates the intelligence of the viewer , combining the three previously spoken of elements with humor for adults and children alike . 	the script never underestimates the intelligence of the viewer , combining the three previously spoken of elements with humor for adults and children alike .	3	-1	 the[0] script[0] never[0] underestimates[0] the[0] intelligence[0] of[0] the[0] viewer[0] combining[0] the[0] three[0] previously[0] spoken[0] of[0] elements[0] with[0] humor[2] for[0] adults[0] and[0] children[0] alike[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
capping it off with a constant tongue-in-cheek feel that pokes fun at classic disney animated features , the fresh and entertaining screenplay delivers . 	capping it off with a constant tongue-in-cheek feel that pokes fun at classic disney animated features , the fresh and entertaining screenplay delivers .	2	-1	 capping[0] it[0] off[0] with[0] a[0] constant[0] tongue[0] in[0] cheek[0] feel[0] that[0] pokes[0] fun[1] at[0] classic[0] disney[0] animated[0] features[0] the[0] fresh[0] and[0] entertaining[0] screenplay[0] delivers[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
with shrek , dreamworks executive jeffrey katzenberg has certainly one-upped himself by creating an instant animated classic that will live on for ages to come . 	with shrek , dreamworks executive jeffrey katzenberg has certainly one-upped himself by creating an instant animated classic that will live on for ages to come .	1	-1	 with[0] shrek[0] dreamworks[0] executive[0] jeffrey[0] katzenberg[0] has[0] certainly[0] one[0] upped[0] himself[0] by[0] creating[0] an[0] instant[0] animated[0] classic[0] that[0] will[0] live[0] on[0] for[0] ages[0] to[0] come[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the smaller children will laugh and cheer ; the adults will laugh even harder and leave understanding much that their children did not . 	the smaller children will laugh and cheer ; the adults will laugh even harder and leave understanding much that their children did not .	2	-1	 the[0] smaller[0] children[0] will[0] laugh[1] and[0] cheer[1] the[0] adults[0] will[0] laugh[1] even[0] harder[0] and[0] leave[0] understanding[0] much[0] that[0] their[0] children[0] did[0] not[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
a film that breaks stereotypes and creates a definite standard of its own , shrek can certainly endure as one for the ages . 	a film that breaks stereotypes and creates a definite standard of its own , shrek can certainly endure as one for the ages .	1	-1	 a[0] film[0] that[0] breaks[0] stereotypes[0] and[0] creates[0] a[0] definite[0] standard[0] of[0] its[0] own[0] shrek[0] can[0] certainly[0] endure[0] as[0] one[0] for[0] the[0] ages[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
