every once in a while , a film sneaks up on me and takes me completely by surprise . 	Translation	Positive	Negative	EmotionRationale
as a social satire and comedy of manners , princess caraboo is a winner . 	as a social satire and comedy of manners , princess caraboo is a winner .	2	-1	 as[0] a[0] social[0] satire[0] and[0] comedy[0] of[0] manners[0] princess[0] caraboo[0] is[0] a[0] winner[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it takes place in an era when it was common practice in england to jail vagrants and hang beggars , and that practice comes in for an obvious hazing . 	it takes place in an era when it was common practice in england to jail vagrants and hang beggars , and that practice comes in for an obvious hazing .	1	-2	 it[0] takes[0] place[0] in[0] an[0] era[0] when[0] it[0] was[0] common[0] practice[0] in[0] england[0] to[0] jail[-1] vagrants[-1] and[0] hang[-1] beggars[-1] and[0] that[0] practice[0] comes[0] in[0] for[0] an[0] obvious[0] hazing[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but it is handled most effectively through the character of mr . worrall , a drunken womanizer whose bank is in deep trouble thanks to his corruption and ineptitude . 	but it is handled most effectively through the character of mr .<br> worrall , a drunken womanizer whose bank is in deep trouble thanks to his corruption and ineptitude .	2	-4	 but[0] it[0] is[0] handled[0] most[0] effectively[0] through[0] the[0] character[0] of[0] mr[0] [[Sentence=-1,1=word max, 1-5]] worrall[-3] a[0] drunken[-1] womanizer[0] whose[0] bank[0] is[0] in[0] deep[0] trouble[-1] thanks[1] to[0] his[0] corruption[-2] and[0] ineptitude[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
he is worse than one of the idle rich ; he is one of the actively odious gentry so eager to distance themselves from the lower class they think nothing of simply eliminating them , and since the house and money are all from mrs . worrall , he is a bit too close to them for comfort . 	he is worse than one of the idle rich ; he is one of the actively odious gentry so eager to distance themselves from the lower class they think nothing of simply eliminating them , and since the house and money are all from mrs .<br> worrall , he is a bit too close to them for comfort .	2	-4	 he[0] is[0] worse[-2] than[0] one[0] of[0] the[0] idle[0] rich[0] he[0] is[0] one[0] of[0] the[0] actively[0] odious[0] gentry[0] so[0] eager[0] to[0] distance[0] themselves[0] from[0] the[0] lower[0] class[0] they[0] think[0] nothing[0] of[0] simply[0] eliminating[0] them[0] and[0] since[0] the[0] house[0] and[0] money[0] are[0] all[0] from[0] mrs[0] [[Sentence=-3,1=word max, 1-5]] worrall[-3] he[0] is[0] a[0] bit[0] too[0] close[0] to[0] them[0] for[0] comfort[1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
while hypocrisy is an easy target for ridicule , director and co-writer michael austin keeps the treatment too light-hearted to be heavy-handed . 	while hypocrisy is an easy target for ridicule , director and co-writer michael austin keeps the treatment too light-hearted to be heavy-handed .	1	-3	 while[0] hypocrisy[-1] is[0] an[0] easy[0] target[0] for[0] ridicule[-2] director[0] and[0] co[0] writer[0] michael[0] austin[0] keeps[0] the[0] treatment[0] too[0] light[0] hearted[0] to[0] be[0] heavy[0] handed[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he also takes a unique stab at the trendiness of the upper classes , as the princess becomes a " sensation " at court . 	he also takes a unique stab at the trendiness of the upper classes , as the princess becomes a " sensation " at court .	1	-2	 he[0] also[0] takes[0] a[0] unique[0] stab[-1] at[0] the[0] trendiness[0] of[0] the[0] upper[0] classes[0] as[0] the[0] princess[0] becomes[0] a[0] sensation[0] at[0] court[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in one of the film's best sequences , princess caraboo is the guest of honor at a party hosted by the prince regent ( a wonderfully foppish turn by comic john sessions ) , and the lords and ladies end up following her around in a thoroughly silly native dance . 	in one of the film's best sequences , princess caraboo is the guest of honor at a party hosted by the prince regent ( a wonderfully foppish turn by comic john sessions ) , and the lords and ladies end up following her around in a thoroughly silly native dance .	3	-2	 in[0] one[0] of[0] the[0] film's[0] best[1] sequences[0] princess[0] caraboo[0] is[0] the[0] guest[0] of[0] honor[0] at[0] a[0] party[0] hosted[0] by[0] the[0] prince[0] regent[0] a[0] wonderfully[2] foppish[0] turn[0] by[0] comic[0] john[0] sessions[0] and[0] the[0] lords[0] and[0] ladies[0] end[0] up[0] following[0] her[0] around[0] in[0] a[0] thoroughly[0] silly[-1] native[0] dance[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
it is then that princess caraboo shows how easily people are swept up in " sensations , " an idea that takes on a timeless quality ( and makes the film an interesting companion piece to the current quiz show ) . 	it is then that princess caraboo shows how easily people are swept up in " sensations , " an idea that takes on a timeless quality ( and makes the film an interesting companion piece to the current quiz show ) .	2	-1	 it[0] is[0] then[0] that[0] princess[0] caraboo[0] shows[0] how[0] easily[0] people[0] are[0] swept[0] up[0] in[0] sensations[0] an[0] idea[0] that[0] takes[0] on[0] a[0] timeless[0] quality[0] and[0] makes[0] the[0] film[0] an[0] interesting[1] companion[0] piece[0] to[0] the[0] current[0] quiz[0] show[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
social commentary aside , princess caraboo is simply an eminently enjoyable entertainment . 	social commentary aside , princess caraboo is simply an eminently enjoyable entertainment .	3	-1	 social[0] commentary[0] aside[0] princess[0] caraboo[0] is[0] simply[0] an[0] eminently[0] enjoyable[2] entertainment[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the performers are mostly delightful , particularly phoebe cates , who is radiant in a part that requires a gift for pantomime . 	the performers are mostly delightful , particularly phoebe cates , who is radiant in a part that requires a gift for pantomime .	3	-1	 the[0] performers[0] are[0] mostly[0] delightful[2] particularly[0] phoebe[0] cates[0] who[0] is[0] radiant[2] in[0] a[0] part[0] that[0] requires[0] a[0] gift[0] for[0] pantomime[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
her supporting players are also appealing : wendy hughes as the patient and kindly mrs . worrall ; kevin kline as frixos , the worralls' suspicious and superior greek butler ; stephen rea as the world-weary but ultimately romantic gutch . 	her supporting players are also appealing : wendy hughes as the patient and kindly mrs .<br> worrall ; kevin kline as frixos , the worralls' suspicious and superior greek butler ; stephen rea as the world-weary but ultimately romantic gutch .	4	-4	 her[0] supporting[1] players[0] are[0] also[0] appealing[0] wendy[0] hughes[0] as[0] the[0] patient[0] and[0] kindly[1] mrs[0] [[Sentence=-1,2=word max, 1-5]] worrall[-3] kevin[0] kline[0] as[0] frixos[0] the[0] worralls'[-3] suspicious[-1] and[0] superior[2] greek[0] butler[0] stephen[0] rea[0] as[0] the[0] world[0] weary[0] but[0] ultimately[0] romantic[3] gutch[0] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
only john lithgow is a disappointment , turning in a limp performance as a scholar who attempts to verify the princess's identity . 	only john lithgow is a disappointment , turning in a limp performance as a scholar who attempts to verify the princess's identity .	1	-2	 only[0] john[0] lithgow[0] is[0] a[0] disappointment[-1] turning[0] in[0] a[0] limp[-1] performance[0] as[0] a[0] scholar[0] who[0] attempts[0] to[0] verify[0] the[0] princess's[0] identity[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the story twists and turns just enough so that the question of whether or not the princess is really a princess is always in some doubt , without becoming gimmicky . 	the story twists and turns just enough so that the question of whether or not the princess is really a princess is always in some doubt , without becoming gimmicky .	1	-1	 the[0] story[0] twists[0] and[0] turns[0] just[0] enough[0] so[0] that[0] the[0] question[0] of[0] whether[0] or[0] not[0] the[0] princess[0] is[0] really[0] a[0] princess[0] is[0] always[0] in[0] some[0] doubt[-1][--1 LastWordBoosterStrength] without[0] becoming[0] gimmicky[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is unfortunate that the growing attraction between gutch and princess caraboo isn't given more time to develop , because the potential seemed to be there . 	it is unfortunate that the growing attraction between gutch and princess caraboo isn't given more time to develop , because the potential seemed to be there .	2	-2	 it[0] is[0] unfortunate[-1] that[0] the[0] growing[0] attraction[1] between[0] gutch[0] and[0] princess[0] caraboo[0] isn't[0] given[0] more[0] time[0] to[0] develop[0] because[0] the[0] potential[0] seemed[0] to[0] be[0] there[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
when it finally does blossom , it seems too quick to be plausible . 	when it finally does blossom , it seems too quick to be plausible .	1	-1	 when[0] it[0] finally[0] does[0] blossom[0] it[0] seems[0] too[0] quick[0] to[0] be[0] plausible[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
princess caraboo is patient enough in establishing its sense of time and place that it might seem a bit slow to viewers seeking a fantasy romp . 	princess caraboo is patient enough in establishing its sense of time and place that it might seem a bit slow to viewers seeking a fantasy romp .	1	-1	 princess[0] caraboo[0] is[0] patient[0] enough[0] in[0] establishing[0] its[0] sense[0] of[0] time[0] and[0] place[0] that[0] it[0] might[0] seem[0] a[0] bit[0] slow[0] to[0] viewers[0] seeking[0] a[0] fantasy[0] romp[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
still , it has both escapist and intellectual appeal , and is well worth seeking out . 	still , it has both escapist and intellectual appeal , and is well worth seeking out .	1	-1	 still[0] it[0] has[0] both[0] escapist[0] and[0] intellectual[0] appeal[0] and[0] is[0] well[0] worth[0] seeking[0] out[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is the kind of film that makes my job its most rewarding--a hidden gem . 	it is the kind of film that makes my job its most rewarding-a hidden gem .	2	-1	 it[0] is[0] the[0] kind[1] of[0] film[0] that[0] makes[0] my[0] job[0] its[0] most[0] rewarding[1] a[0] hidden[0] gem[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
