did you ever wonder if dennis rodman was actually from this planet ? 	Translation	Positive	Negative	EmotionRationale
he is accompanied by a flippant rookie , " j " , played by will smith . 	he is accompanied by a flippant rookie , " j " , played by will smith .	1	-1	 he[0] is[0] accompanied[0] by[0] a[0] flippant[0] rookie[0] j[0] played[0] by[0] will[0] smith[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but , despite this shoot-em-up , protect-earth-from-destruction premise , this is nothing at all like a typical summer action movie . 	but , despite this shoot-em-up , protect-earth-from-destruction premise , this is nothing at all like a typical summer action movie .	2	-2	 but[0] despite[0] this[0] shoot[-1] em[0] up[0] protect[0] earth[0] from[0] destruction[-1] premise[0] this[0] is[0] nothing[0] at[0] all[0] like[1] a[0] typical[0] summer[0] action[0] movie[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
and , this isn't an independence day knockoff . 	and , this isn't an independence day knockoff .	1	-1	 and[0] this[0] isn't[0] an[0] independence[0] day[0] knockoff[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
rather , this is a stylishly offbeat sci-fi comedy that pokes fun at what the government always denies ? that there are real aliens that live here , and that the government does its darndest to cover them up . 	rather , this is a stylishly offbeat sci-fi comedy that pokes fun at what the government always denies ?<br> that there are real aliens that live here , and that the government does its darndest to cover them up .	2	-1	 rather[0] this[0] is[0] a[0] stylishly[0] offbeat[0] sci[0] fi[0] comedy[0] that[0] pokes[0] fun[1] at[0] what[0] the[0] government[0] always[0] denies[0] [[Sentence=-1,2=word max, 1-5]] that[0] there[0] are[0] real[0] aliens[0] that[0] live[0] here[0] and[0] that[0] the[0] government[0] does[0] its[0] darndest[0] to[0] cover[0] them[0] up[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
but to give it some sense of excitement and to keep it within the parameters of the summer movie recipe , there must be some kind of earth-hangs-in-the-balance scenario . 	but to give it some sense of excitement and to keep it within the parameters of the summer movie recipe , there must be some kind of earth-hangs-in-the-balance scenario .	3	-1	 but[0] to[0] give[0] it[0] some[0] sense[0] of[0] excitement[2] and[0] to[0] keep[0] it[0] within[0] the[0] parameters[0] of[0] the[0] summer[0] movie[0] recipe[0] there[0] must[0] be[0] some[0] kind[1][-1 LastWordBoosterStrength] of[0] earth[0] hangs[0] in[0] the[0] balance[0] scenario[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
yet , this movie is very appealing . 	yet , this movie is very appealing .	1	-1	 yet[0] this[0] movie[0] is[0] very[0] appealing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the abundance of wierdness ( talking aliens , pee-wee atomizers , a mortician who 'lives' for her work , and lots of yucky bugs and slime-splattering galore ) , is played straight , like as if this were normal ( of course , we are in nyc ) . 	the abundance of wierdness ( talking aliens , pee-wee atomizers , a mortician who 'lives' for her work , and lots of yucky bugs and slime-splattering galore ) , is played straight , like as if this were normal ( of course , we are in nyc ) .	2	-2	 the[0] abundance[0] of[0] wierdness[0] talking[0] aliens[0] pee[0] wee[-1] atomizers[0] a[0] mortician[0] who[0] 'lives'[0] for[0] her[0] work[0] and[0] lots[0] of[0] yucky[0] bugs[0] and[0] slime[-1] splattering[0] galore[0] is[0] played[0] straight[0] like[1] as[0] if[0] this[0] were[0] normal[0] of[0] course[0] we[0] are[0] in[0] nyc[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it gives it a deadpan feel , which makes it all the more funnier and odder . 	it gives it a deadpan feel , which makes it all the more funnier and odder .	2	-1	 it[0] gives[0] it[0] a[0] deadpan[0] feel[0] which[0] makes[0] it[0] all[0] the[0] more[0] funnier[1] and[0] odder[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
jones plays the venerable seen-it-all agent with seriousness and maturity . 	jones plays the venerable seen-it-all agent with seriousness and maturity .	2	-2	 jones[0] plays[1] the[0] venerable[1] seen[0] it[0] all[0] agent[0] with[0] seriousness[-1] and[0] maturity[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
smith is likeable and makes a great comic partner to jones' straight man routine . 	smith is likeable and makes a great comic partner to jones' straight man routine .	3	-1	 smith[0] is[0] likeable[2] and[0] makes[0] a[0] great[2] comic[0] partner[0] to[0] jones'[0] straight[0] man[0] routine[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
they click like dorothy's ruby red shoes . 	they click like dorothy's ruby red shoes .	2	-1	 they[0] click[0] like[1] dorothy's[0] ruby[0] red[0] shoes[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the look and feel of the movie is made even better with direction from barry sonnenfeld ( the addam's family ) . 	the look and feel of the movie is made even better with direction from barry sonnenfeld ( the addam's family ) .	1	-1	 the[0] look[0] and[0] feel[0] of[0] the[0] movie[0] is[0] made[0] even[0] better[0] with[0] direction[0] from[0] barry[0] sonnenfeld[0] the[0] addam's[0] family[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this guy has a knack for 'gothic' comedy , and successfully transfers his macabre sense of humor onto the screen . 	this guy has a knack for 'gothic' comedy , and successfully transfers his macabre sense of humor onto the screen .	3	-1	 this[0] guy[0] has[0] a[0] knack[0] for[0] 'gothic'[0] comedy[0] and[0] successfully[2] transfers[0] his[0] macabre[0] sense[0] of[0] humor[2] onto[0] the[0] screen[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
and , an appropriate dose of special effects helps to bolster the oddness of their task without diverting attention from the human actors . 	and , an appropriate dose of special effects helps to bolster the oddness of their task without diverting attention from the human actors .	2	-1	 and[0] an[0] appropriate[0] dose[0] of[0] special[1] effects[0] helps[0] to[0] bolster[0] the[0] oddness[0] of[0] their[0] task[0] without[0] diverting[0] attention[0] from[0] the[0] human[0] actors[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the story moves well , and before you know it , the end credits are already rolling ! 	the story moves well , and before you know it , the end credits are already rolling !	1	-1	 the[0] story[0] moves[0] well[0] and[0] before[0] you[0] know[0] it[0] the[0] end[0] credits[0] are[0] already[0] rolling[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the result is 100 minutes worth of fun in the form of ewwwws and blechhhs , aaaahhhs and wows . 	the result is 100 minutes worth of fun in the form of ewws and blechs , ahs and wows .	3	-1	 the[0] result[0] is[0] 100[0] minutes[0] worth[0] of[0] fun[1] in[0] the[0] form[0] of[0] ewwwws/ewws[0] and[0] blechhhs/blechs[0][+0.6 MultipleLetters] aaaahhhs/ahs[0] and[0] wows[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
let the men in black protect and color your world . 	let the men in black protect and color your world .	1	-1	 let[0] the[0] men[0] in[0] black[0] protect[0] and[0] color[0] your[0] world[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
