i was anxious to see this for a long time . 	Translation	Positive	Negative	EmotionRationale
you can tell this just by watching the opening scene where casey becker ( drew barrymore ) is making popcorn , getting ready to watch a video , and some guy who sounds like a killer calls her up to play a game with her that involves horror movie triva that , if she gets it wrong , will get her and her boyfriend killed . 	you can tell this just by watching the opening scene where casey becker ( drew barrymore ) is making popcorn , getting ready to watch a video , and some guy who sounds like a killer calls her up to play a game with her that involves horror movie triva that , if she gets it wrong , will get her and her boyfriend killed .	2	-4	 you[0] can[0] tell[0] this[0] just[0] by[0] watching[0] the[0] opening[0] scene[0] where[0] casey[0] becker[0] drew[0] barrymore[0] is[0] making[0] popcorn[0] getting[0] ready[0] to[0] watch[0] a[0] video[0] and[0] some[0] guy[0] who[0] sounds[0] like[1] a[0] killer[-1] calls[0] her[0] up[0] to[0] play[0] a[0] game[0] with[0] her[0] that[0] involves[0] horror[-3] movie[0] triva[0] that[0] if[0] she[0] gets[0] it[0] wrong[-1] will[0] get[0] her[0] and[0] her[0] boyfriend[0] killed[-3] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
she knows what to answer when he asks her horror film questions , she just can't answer his final question , " what door am i at ? " 	she knows what to answer when he asks her horror film questions , she just can't answer his final question , " what door am i at ?<br> "	1	-4	 she[0] knows[0] what[0] to[0] answer[0] when[0] he[0] asks[0] her[0] horror[-3] film[0] questions[0] she[0] just[0] can't[0] answer[0] his[0] final[0] question[0] what[0] door[0] am[0] i[0] at[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
and that gets her killed . 	and that gets her killed .	1	-4	 and[0] that[0] gets[0] her[0] killed[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
that scene works because in a normal horror film , half the things that happen in that scene would never happen . 	that scene works because in a normal horror film , half the things that happen in that scene would never happen .	1	-4	 that[0] scene[0] works[0] because[0] in[0] a[0] normal[0] horror[-3] film[0] half[0] the[0] things[0] that[0] happen[0] in[0] that[0] scene[0] would[0] never[0] happen[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the plot is typical horror stuff : sidney prescott ( an impressive neve campbell ) , an attractive young high school student who's mother was killed a year ago tommorrow , is being stalked by a killer who's previously murdered one of her classmates ( casey , naturally ) , and everybody in this small , california town is a suspect , including sidney's boyfriend , billy loomis . 	the plot is typical horror stuff : sidney prescott ( an impressive neve campbell ) , an attractive young high school student who's mother was killed a year ago tomorrow , is being stalked by a killer who's previously murdered one of her classmates ( casey , naturally ) , and everybody in this small , california town is a suspect , including sidney's boyfriend , billy loomis .	2	-4	 the[0] plot[0] is[0] typical[0] horror[-3] stuff[0] sidney[0] prescott[0] an[0] impressive[1] neve[0] campbell[0] an[0] attractive[1] young[0] high[0] school[0] student[0] who's[0] mother[0] was[0] killed[-3] a[0] year[0] ago[0] tommorrow/tomorrow[0] is[0] being[0] stalked[0] by[0] a[0] killer[-1] who's[0] previously[0] murdered[-3] one[0] of[0] her[0] classmates[0] casey[0] naturally[0] and[0] everybody[0] in[0] this[0] small[0] california[0] town[0] is[0] a[0] suspect[-1] including[0] sidney's[0] boyfriend[0] billy[0] loomis[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
but as i said before , these people know how horror movies work , and that's what makes it so appealing . 	but as i said before , these people know how horror movies work , and that's what makes it so appealing .	1	-4	 but[0] as[0] i[0] said[0] before[0] these[0] people[0] know[0] how[0] horror[-3] movies[0] work[0] and[0] that's[0] what[0] makes[0] it[0] so[0] appealing[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
that and the references to horror movies , like when casey says , " the first ( nightmare on elm street ) was scary , but the rest sucked . " 	that and the references to horror movies , like when casey says , " the first ( nightmare on elm street ) was scary , but the rest sucked .<br> "	2	-4	 that[0] and[0] the[0] references[0] to[0] horror[-3] movies[0] like[1] when[0] casey[0] says[0] the[0] first[0] nightmare[-2] on[0] elm[0] street[0] was[0] scary[-3] but[0] the[0] rest[0] sucked[-1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
which is obviously director wes craven ( who does a good job of poking fun of the genre that made him a legend ) patting himself on the back as he directed the first nightmare movie and none of the others , and when tatum , sidney's friend , mentions the director , wes carpenter , which is obviously an homage by writer kevin williamson to not only craven , but also director john carpenter . 	which is obviously director wes craven ( who does a good job of poking fun of the genre that made him a legend ) patting himself on the back as he directed the first nightmare movie and none of the others , and when tatum , sidney's friend , mentions the director , wes carpenter , which is obviously an homage by writer kevin williamson to not only craven , but also director john carpenter .	2	-3	 which[0] is[0] obviously[0] director[0] wes[0] craven[-1] who[0] does[0] a[0] good[1] job[0] of[0] poking[0] fun[1] of[0] the[0] genre[0] that[0] made[0] him[0] a[0] legend[0] patting[0] himself[0] on[0] the[0] back[0] as[0] he[0] directed[0] the[0] first[0] nightmare[-2] movie[0] and[0] none[0] of[0] the[0] others[0] and[0] when[0] tatum[0] sidney's[0] friend[1] mentions[0] the[0] director[0] wes[0] carpenter[0] which[0] is[0] obviously[0] an[0] homage[0] by[0] writer[0] kevin[0] williamson[0] to[0] not[0] only[0] craven[-1][NegatedDueToPreviousWord] but[0] also[0] director[0] john[0] carpenter[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the cast is well chosen , neve campbell pulls off a good heroine ( and unlike most horror film heroines , she * can * act ) , drew barrymore does a good janet leigh impression for what little time she has in the film , and david arquette is impressive . 	the cast is well chosen , neve campbell pulls off a good heroine ( and unlike most horror film heroines , she * can * act ) , drew barrymore does a good janet leigh impression for what little time she has in the film , and david arquette is impressive .	3	-4	 the[0] cast[0] is[0] well[0] chosen[0] neve[0] campbell[0] pulls[0] off[0] a[0] good[1] heroine[2] and[0] unlike[0] most[0] horror[-3] film[0] heroines[2] she[0] can[0] act[0] drew[0] barrymore[0] does[0] a[0] good[1] janet[0] leigh[0] impression[0] for[0] what[0] little[0] time[0] she[0] has[0] in[0] the[0] film[0] and[0] david[0] arquette[0] is[0] impressive[1] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
also good ( and funny ) in his role is henry winkler ( " the fonz " ) as the school principal . 	also good ( and funny ) in his role is henry winkler ( " the fonz " ) as the school principal .	2	-1	 also[0] good[1] and[0] funny[1] in[0] his[0] role[0] is[0] henry[0] winkler[0] the[0] fonz[0] as[0] the[0] school[0] principal[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i took half a point off for the unnecessary ( albeit limited ) appearance by friends' courteney cox as reporter , gail edwards , sidney's rival because she covered her mother's disappearance . 	i took half a point off for the unnecessary ( albeit limited ) appearance by friends' courteney cox as reporter , gail edwards , sidney's rival because she covered her mother's disappearance .	2	-2	 i[0] took[0] half[0] a[0] point[0] off[0] for[0] the[0] unnecessary[-1] albeit[0] limited[0] appearance[0] by[0] friends'[1] courteney[0] cox[0] as[0] reporter[0] gail[0] edwards[0] sidney's[0] rival[-1] because[0] she[0] covered[0] her[0] mother's[0] disappearance[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
i hate that show , i hate those actors . 	i hate that show , i hate those actors .	1	-4	 i[0] hate[-3] that[0] show[0] i[0] hate[-3] those[0] actors[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
they're untalented , overexposed , and overpaid , imho , and i would think wes craven is smart enough to know those actors are overexposed enough , but i suppose he isn't . 	they're untalented , overexposed , and overpaid , imho , and i would think wes craven is smart enough to know those actors are overexposed enough , but i suppose he isn't .	2	-2	 they're[0] untalented[0] overexposed[0] and[0] overpaid[0] imho[0] and[0] i[0] would[0] think[0] wes[0] craven[-1] is[0] smart[1] enough[0] to[0] know[0] those[0] actors[0] are[0] overexposed[0] enough[0] but[0] i[0] suppose[0] he[0] isn't[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
