jake kasdan , son of one of the best screenwriters around , breaks into filmmaking by writing and directing this hard-to-categorize detective story : part mystery , part comedy , part character study and part romance . 	Translation	Positive	Negative	EmotionRationale
gregory stark ( ryan o'neill ) hires zero to find his lost keys . 	gregory stark ( ryan o'neill ) hires zero to find his lost keys .	1	-2	 gregory[0] stark[-1] ryan[0] o'neill[0] hires[0] zero[0] to[0] find[0] his[0] lost[0] keys[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it seems that he kept a safety deposit box key on the ring , and the box apparently contains some incriminating evidence . 	it seems that he kept a safety deposit box key on the ring , and the box apparently contains some incriminating evidence .	2	-1	 it[0] seems[0] that[0] he[0] kept[0] a[0] safety[1] deposit[0] box[0] key[0] on[0] the[0] ring[0] and[0] the[0] box[0] apparently[0] contains[0] some[0] incriminating[0] evidence[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
now , stark is being blackmailed , and needs to reclaim his key before the nightmare can end . 	now , stark is being blackmailed , and needs to reclaim his key before the nightmare can end .	1	-3	 now[0] stark[-1] is[0] being[0] blackmailed[-2] and[0] needs[0] to[0] reclaim[0] his[0] key[0] before[0] the[0] nightmare[-2] can[0] end[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
to solve this case , zero reluctantly crawls out of his shell . 	to solve this case , zero reluctantly crawls out of his shell .	1	-2	 to[0] solve[0] this[0] case[0] zero[0] reluctantly[-1] crawls[0] out[0] of[0] his[0] shell[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
however , this is when he is vulnerable . . . and 	however , this is when he is vulnerable .<br> .<br> .<br> and	1	-3	 however[0] this[0] is[0] when[0] he[0] is[0] vulnerable[-2] [[Sentence=-3,1=word max, 1-5]] and[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
this time he falls for charms of a wily paramedic , gloria sullivan ( kim dickens ) , who may be involved in the blackmail scheme . 	this time he falls for charms of a wily paramedic , gloria sullivan ( kim dickens ) , who may be involved in the blackmail scheme .	2	-3	 this[0] time[0] he[0] falls[0] for[0] charms[1] of[0] a[0] wily[-1] paramedic[0] gloria[1] sullivan[0] kim[0] dickens[0] who[0] may[0] be[0] involved[0] in[0] the[0] blackmail[-2] scheme[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
for the first time , zero has to question his own objectivity , as he finds his client less and less sympathetic . 	for the first time , zero has to question his own objectivity , as he finds his client less and less sympathetic .	1	-1	 for[0] the[0] first[0] time[0] zero[0] has[0] to[0] question[0] his[0] own[0] objectivity[0] as[0] he[0] finds[0] his[0] client[0] less[0] and[0] less[0] sympathetic[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
zero effect is weakest in its obviously " wacky " scenes depicting daryl zero's odd behavior . 	zero effect is weakest in its obviously " wacky " scenes depicting daryl zero's odd behavior .	1	-2	 zero[0] effect[0] is[0] weakest[-1] in[0] its[0] obviously[0] wacky[0] scenes[0] depicting[0] daryl[0] zero's[0] odd[0] behavior[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
such scenes might be appropriate in an out-and-out satire , making zero an ace ventura-ish character . 	such scenes might be appropriate in an out-and-out satire , making zero an ace ventura-ish character .	1	-1	 such[0] scenes[0] might[0] be[0] appropriate[0] in[0] an[0] out[0] and[0] out[0] satire[0] making[0] zero[0] an[0] ace[0] ventura[0] ish[0] character[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
however , there's a much meatier movie in here . . . it just takes a while to get out . 	however , there's a much meatier movie in here .<br> .<br> .<br> it just takes a while to get out .	1	-1	 however[0] there's[0] a[0] much[0] meatier[0] movie[0] in[0] here[0] [[Sentence=-1,1=word max, 1-5]] it[0] just[0] takes[0] a[0] while[0] to[0] get[0] out[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that's not to say that there's not a place for humor in this film . 	that's not to say that there's not a place for humor in this film .	3	-1	 that's[0] not[0] to[0] say[0] that[0] there's[0] not[0] a[0] place[0] for[0] humor[2] in[0] this[0] film[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
in fact , some of the best scenes are ben stiller's wonderfully underplayed comic moments of absolute disgust and frustration with his employer . 	in fact , some of the best scenes are ben stiller's wonderfully underplayed comic moments of absolute disgust and frustration with his employer .	3	-4	 in[0] fact[0] some[0] of[0] the[0] best[1] scenes[0] are[0] ben[0] stiller's[0] wonderfully[2] underplayed[0] comic[0] moments[0] of[0] absolute[0] disgust[-3] and[0] frustration[-2] with[0] his[0] employer[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
however , the over-the-top scenes never quite gel with the rest of the film , and they aren't funny enough to stand on their own . 	however , the over-the-top scenes never quite gel with the rest of the film , and they aren't funny enough to stand on their own .	1	-2	 however[0] the[0] over[0] the[0] top[0] scenes[0] never[0] quite[0] gel[0] with[0] the[0] rest[0] of[0] the[0] film[0] and[0] they[0] aren't[0] funny[1][NegatedDueToPreviousWord] enough[0] to[0] stand[0] on[0] their[0] own[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
once the investigation is underway , however , zero's brilliance really begins to shine . 	once the investigation is underway , however , zero's brilliance really begins to shine .	2	-1	 once[0] the[0] investigation[0] is[0] underway[0] however[0] zero's[0] brilliance[1] really[0] begins[0] to[0] shine[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
his lightning quick inferences are as fascinating as many of sherlock's own . 	his lightning quick inferences are as fascinating as many of sherlock's own .	1	-1	 his[0] lightning[0] quick[0] inferences[0] are[0] as[0] fascinating[0] as[0] many[0] of[0] sherlock's[0] own[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as the mystery begins to unfold , zero's deductions lead the plot in interesting directions , but never lose the viewer . 	as the mystery begins to unfold , zero's deductions lead the plot in interesting directions , but never lose the viewer .	2	-1	 as[0] the[0] mystery[0] begins[0] to[0] unfold[0] zero's[0] deductions[0] lead[0] the[0] plot[0] in[0] interesting[1] directions[0] but[0] never[0] lose[-1][NegatedDueToPreviousWord] the[0] viewer[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
zero effect works well during its romantic scenes as well . 	zero effect works well during its romantic scenes as well .	4	-1	 zero[0] effect[0] works[0] well[0] during[0] its[0] romantic[3] scenes[0] as[0] well[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
zero's relationship with gloria is low-key , but it hits all the right notes . 	zero's relationship with gloria is low-key , but it hits all the right notes .	2	-2	 zero's[0] relationship[0] with[0] gloria[1] is[0] low[-1] key[0] but[0] it[0] hits[0] all[0] the[0] right[0] notes[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
however , we are always kept distant from gloria's character . 	however , we are always kept distant from gloria's character .	2	-1	 however[0] we[0] are[0] always[0] kept[0] distant[0] from[0] gloria's[1] character[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
she's given plenty of development , but we never understand what she is thinking . 	she's given plenty of development , but we never understand what she is thinking .	1	-1	 she's[0] given[0] plenty[0] of[0] development[0] but[0] we[0] never[0] understand[0] what[0] she[0] is[0] thinking[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
perhaps that may be intentional : to place the audience in zero's zone of detachment . 	perhaps that may be intentional : to place the audience in zero's zone of detachment .	1	-2	 perhaps[0] that[0] may[0] be[0] intentional[0] to[0] place[0] the[0] audience[0] in[0] zero's[0] zone[0] of[0] detachment[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but , on the whole , it is frustrating . 	but , on the whole , it is frustrating .	1	-3	 but[0] on[0] the[0] whole[0] it[0] is[0] frustrating[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
bill pullman , when he's not spacing out , creates a vibrant character in daryl zero . 	bill pullman , when he's not spacing out , creates a vibrant character in daryl zero .	1	-1	 bill[0] pullman[0] when[0] he's[0] not[0] spacing[0] out[0] creates[0] a[0] vibrant[0] character[0] in[0] daryl[0] zero[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there's one moment when zero briefly connects to the world which he has managed to detach from for many years , and it is shockingly moving . . . expressing a seriousness that heretofore was unassociated with the character , but one which fits in well . 	there's one moment when zero briefly connects to the world which he has managed to detach from for many years , and it is shockingly moving .<br> .<br> .<br> expressing a seriousness that heretofore was unassociated with the character , but one which fits in well .	1	-3	 there's[0] one[0] moment[0] when[0] zero[0] briefly[0] connects[0] to[0] the[0] world[0] which[0] he[0] has[0] managed[0] to[0] detach[0] from[0] for[0] many[0] years[0] and[0] it[0] is[0] shockingly[-2] moving[0] [[Sentence=-3,1=word max, 1-5]] expressing[0] a[0] seriousness[-1] that[0] heretofore[0] was[0] unassociated[0] with[0] the[0] character[0] but[0] one[0] which[0] fits[0] in[0] well[0] [[Sentence=-2,1=word max, 1-5]][[[1,-3 max of sentences]]]
and , although it is sometimes hard to take a detective called " zero " seriously , it is at this moment that the viewer understands the meaning behind the name . 	and , although it is sometimes hard to take a detective called " zero " seriously , it is at this moment that the viewer understands the meaning behind the name .	1	-1	 and[0] although[0] it[0] is[0] sometimes[0] hard[0] to[0] take[0] a[0] detective[0] called[0] zero[0] seriously[0] it[0] is[0] at[0] this[0] moment[0] that[0] the[0] viewer[0] understands[0] the[0] meaning[0] behind[0] the[0] name[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
although zero effect is a bit awkward in places , it is a strong debut for kasdan , and shows great promise . 	although zero effect is a bit awkward in places , it is a strong debut for kasdan , and shows great promise .	3	-2	 although[0] zero[0] effect[0] is[0] a[0] bit[0] awkward[-1] in[0] places[0] it[0] is[0] a[0] strong[0] debut[0] for[0] kasdan[0] and[0] shows[0] great[2] promise[1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
