the " submarine " genre of movies seems to be one of the most intriguing and compelling types of storytelling there is . 	Translation	Positive	Negative	EmotionRationale
the mission goes horribly wrong however , and as a result , mcconaughey and only a handful of his crew ( as well as a captured german ) become trapped aboard the u-571 in enemy waters . 	the mission goes horribly wrong however , and as a result , mcconaughey and only a handful of his crew ( as well as a captured german ) become trapped aboard the you-571 in enemy waters .	1	-4	 the[0] mission[0] goes[0] horribly[-3] wrong[-1] however[0] and[0] as[0] a[0] result[0] mcconaughey[0] and[0] only[0] a[0] handful[0] of[0] his[0] crew[0] as[0] well[0] as[0] a[0] captured[-1] german[-1] become[0] trapped[0] aboard[0] the[0] u[0] -571[0] in[0] enemy[-1] waters[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the first great thing about u-571 is the film's opening sequence . 	the first great thing about you-571 is the film's opening sequence .	3	-1	 the[0] first[0] great[2] thing[0] about[0] u[0] -571[0] is[0] the[0] film's[0] opening[0] sequence[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the german crew of u-571 are under attack , which sets the events of the rest of the film into motion . 	the german crew of you-571 are under attack , which sets the events of the rest of the film into motion .	1	-3	 the[0] german[-1] crew[0] of[0] u[0] -571[0] are[0] under[0] attack[-2] which[0] sets[0] the[0] events[0] of[0] the[0] rest[0] of[0] the[0] film[0] into[0] motion[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it's tense , exciting and fascinating . 	it's tense , exciting and fascinating .	3	-3	 it's[0] tense[-2] exciting[2] and[0] fascinating[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
and i applaud the filmmakers for not copping out and instead keeping the entire sequence in german with english subtitles . 	and i applaud the filmmakers for not coping out and instead keeping the entire sequence in german with english subtitles .	2	-2	 and[0] i[0] applaud[1] the[0] filmmakers[0] for[0] not[0] copping/coping[0] out[0] and[0] instead[0] keeping[0] the[0] entire[0] sequence[0] in[0] german[-1] with[0] english[0] subtitles[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
most movies with a scene this long would have panicked and had the german crew speaking english right away . 	most movies with a scene this long would have panicked and had the german crew speaking english right away .	1	-3	 most[0] movies[0] with[0] a[0] scene[0] this[0] long[0] would[0] have[0] panicked[-2] and[0] had[0] the[0] german[-1] crew[0] speaking[0] english[0] right[0] away[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
once the plot gets moving , u-571 gives us action sequence after action sequence , making the audience wonder " ok , now how do they get out of this ? " . 	once the plot gets moving , you-571 gives us action sequence after action sequence , making the audience wonder " ok , now how do they get out of this ?<br> " .	1	-1	 once[0] the[0] plot[0] gets[0] moving[0] u[0] -571[0] gives[0] us[0] action[0] sequence[0] after[0] action[0] sequence[0] making[0] the[0] audience[0] wonder[0] ok[0] now[0] how[0] do[0] they[0] get[0] out[0] of[0] this[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the stakes keep raising ( much like in executive decision , an excellent action-thriller ) , and even though the audience knows how the film will end , it's a lot of fun getting there . 	the stakes keep raising ( much like in executive decision , an excellent action-thriller ) , and even though the audience knows how the film will end , it's a lot of fun getting there .	4	-1	 the[0] stakes[0] keep[0] raising[0] much[0] like[1] in[0] executive[0] decision[0] an[0] excellent[3] action[0] thriller[1] and[0] even[0] though[0] the[0] audience[0] knows[0] how[0] the[0] film[0] will[0] end[0] it's[0] a[0] lot[0] of[0] fun[1] getting[0] there[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
i only have two minor complaints about the entire film . 	i only have two minor complaints about the entire film .	1	-2	 i[0] only[0] have[0] two[0] minor[0] complaints[-1] about[0] the[0] entire[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the first comes from the scenes which follow the opening sequence . 	the first comes from the scenes which follow the opening sequence .	1	-1	 the[0] first[0] comes[0] from[0] the[0] scenes[0] which[0] follow[0] the[0] opening[0] sequence[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
while their purpose is to introduce us to the characters and to get the story going ( which they do ) , i feel as though it could have been done much quicker , and less conventionally . 	while their purpose is to introduce us to the characters and to get the story going ( which they do ) , i feel as though it could have been done much quicker , and less conventionally .	1	-1	 while[0] their[0] purpose[0] is[0] to[0] introduce[0] us[0] to[0] the[0] characters[0] and[0] to[0] get[0] the[0] story[0] going[0] which[0] they[0] do[0] i[0] feel[0] as[0] though[0] it[0] could[0] have[0] been[0] done[0] much[0] quicker[0] and[0] less[0] conventionally[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i mean , did we really have to see the ship's crew at a wedding ? 	i mean , did we really have to see the ship's crew at a wedding ?	1	-1	 i[0] mean[0] did[0] we[0] really[0] have[0] to[0] see[0] the[0] ship's[0] crew[0] at[0] a[0] wedding[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
because of that , you now know exactly what's going to happen to the groom ! 	because of that , you now know exactly what's going to happen to the groom !	1	-1	 because[0] of[0] that[0] you[0] now[0] know[0] exactly[0] what's[0] going[0] to[0] happen[0] to[0] the[0] groom[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
my other gripe would be during the film's finale . 	my other gripe would be during the film's finale .	1	-1	 my[0] other[0] gripe[0] would[0] be[0] during[0] the[0] film's[0] finale[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there's an explosion which ends the film that is one of the weakest looking cgi effects since the president's plane crashed into the ocean at the end of air force one . 	there's an explosion which ends the film that is one of the weakest looking cgi effects since the president's plane crashed into the ocean at the end of air force one .	1	-2	 there's[0] an[0] explosion[-1] which[0] ends[0] the[0] film[0] that[0] is[0] one[0] of[0] the[0] weakest[-1] looking[0] cgi[0] effects[0] since[0] the[0] president's[0] plane[0] crashed[0] into[0] the[0] ocean[0] at[0] the[0] end[0] of[0] air[0] force[-1] one[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i cannot stress this enough . . . 	i cannot stress this enough .<br> .<br> .	2	-1	 i[0] cannot[0] stress[-1][NegatedDueToPreviousWord] this[0] enough[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
until a cgi effect can be made to look like a model effect , stick with using models . 	until a cgi effect can be made to look like a model effect , stick with using models .	2	-1	 until[0] a[0] cgi[0] effect[0] can[0] be[0] made[0] to[0] look[0] like[1] a[0] model[0] effect[0] stick[0] with[0] using[0] models[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
yes , u-571 is historically incorrect and there are surely some specifics in the plot that people who have been onboard a submarine will tell you " that couldn't happen " , but the overall point of this film is entertainment . 	yes , you-571 is historically incorrect and there are surely some specifics in the plot that people who have been onboard a submarine will tell you " that couldn't happen " , but the overall point of this film is entertainment .	1	-2	 yes[0] u[0] -571[0] is[0] historically[0] incorrect[-1] and[0] there[0] are[0] surely[0] some[0] specifics[0] in[0] the[0] plot[0] that[0] people[0] who[0] have[0] been[0] onboard[0] a[0] submarine[0] will[0] tell[0] you[0] that[0] couldn't[0] happen[0] but[0] the[0] overall[0] point[0] of[0] this[0] film[0] is[0] entertainment[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it succeeds fantastically . 	it succeeds fantastically .	3	-1	 it[0] succeeds[2] fantastically[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
[pg-13] 	[pg-13]	1	-1	 [pg[0] -13][0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
