notting hill's trailer is awful : a laughless , schmaltzy montage . 	Translation	Positive	Negative	EmotionRationale
richard curtis has tapped into fantasy we all have considered , and for at least its first half-hour the picture's " beauty and the beast " -like scenario is ( romantic ) escapism of the highest order . 	richard curtis has tapped into fantasy we all have considered , and for at least its first half-hour the picture's " beauty and the beast " -like scenario is ( romantic ) escapism of the highest order .	4	-1	 richard[0] curtis[0] has[0] tapped[0] into[0] fantasy[0] we[0] all[0] have[0] considered[0] and[0] for[0] at[0] least[0] its[0] first[0] half[0] hour[0] the[0] picture's[0] beauty[2] and[0] the[0] beast[0] like[1] scenario[0] is[0] romantic[3] escapism[0] of[0] the[0] highest[0] order[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
as with groundhog day or pleasantville , while watching the high-concept comedy notting hill one constantly imagines him/herself in the lead ; it's william's ordinaryness that entices the spoiled and bored anna . 	as with groundhog day or pleasantville , while watching the high-concept comedy noting hill one constantly imagines him/herself in the lead ; it's william's ordinaryness that entices the spoiled and bored anna .	3	-2	 as[0] with[0] groundhog[0] day[0] or[0] pleasantville[2] while[0] watching[0] the[0] high[0] concept[0] comedy[0] notting/noting[0] hill[0] one[0] constantly[0] imagines[0] him/herself[0] in[0] the[0] lead[0] it's[0] william's[0] ordinaryness[0] that[0] entices[0] the[0] spoiled[-1] and[0] bored[-1] anna[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
curtis ( who previously penned four weddings and a funeral ) is also smart enough to know that the unlikely couple's situation is not enough to fuel two hours' worth of entertainment , so some of notting hill's finest moments revolve around william's eccentric friends and family . 	curtis ( who previously penned four weddings and a funeral ) is also smart enough to know that the unlikely couple's situation is not enough to fuel two hours' worth of entertainment , so some of noting hill's finest moments revolve around william's eccentric friends and family .	2	-2	 curtis[0] who[0] previously[0] penned[0] four[0] weddings[0] and[0] a[0] funeral[0] is[0] also[0] smart[1] enough[0] to[0] know[0] that[0] the[0] unlikely[0] couple's[0] situation[0] is[0] not[0] enough[0] to[0] fuel[0] two[0] hours'[0] worth[0] of[0] entertainment[0] so[0] some[0] of[0] notting/noting[0] hill's[0] finest[0] moments[0] revolve[0] around[0] william's[0] eccentric[-1] friends[1] and[0] family[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
by now , dear reader , you've probably heard a lot about rhys ifans' performance as william's imbecilic welsh flatmate . 	by now , dear reader , you've probably heard a lot about rhys ifans' performance as william's imbecilic welsh flatmate .	2	-1	 by[0] now[0] dear[1] reader[0] you've[0] probably[0] heard[0] a[0] lot[0] about[0] rhys[0] ifans'[0] performance[0] as[0] william's[0] imbecilic[0] welsh[0] flatmate[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
yes , he's a crowd pleaser , a walking sight gag , but his character is not nearly as involving as the wheelchair-bound ( and appropriately named ) bella ( mckee , the anguished waitress of naked ) or max ( tom mcinnerny ) , her lousy chef of a husband . 	yes , he's a crowd pleaser , a walking sight gag , but his character is not nearly as involving as the wheelchair-bound ( and appropriately named ) bella ( mckee , the anguished waitress of naked ) or max ( tom mcinnerny ) , her lousy chef of a husband .	2	-4	 yes[0] he's[0] a[0] crowd[0] pleaser[1] a[0] walking[0] sight[0] gag[0] but[0] his[0] character[0] is[0] not[0] nearly[0] as[0] involving[0] as[0] the[0] wheelchair[0] bound[0] and[0] appropriately[0] named[0] bella[0] mckee[0] the[0] anguished[-3] waitress[0] of[0] naked[0] or[0] max[0] tom[0] mcinnerny[0] her[0] lousy[-2] chef[0] of[0] a[0] husband[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
in the movie's best sequence , william , anna , and company sit around bloated from max's latest concoction and hold a contest : the last brownie on the table goes to the diner with the saddest life . 	in the movie's best sequence , william , anna , and company sit around bloated from max's latest concoction and hold a contest : the last brownie on the table goes to the diner with the saddest life .	2	-4	 in[0] the[0] movie's[0] best[1] sequence[0] william[0] anna[0] and[0] company[0] sit[0] around[0] bloated[0] from[0] max's[0] latest[0] concoction[0] and[0] hold[0] a[0] contest[0] the[0] last[0] brownie[0] on[0] the[0] table[0] goes[0] to[0] the[0] diner[0] with[0] the[0] saddest[-3] life[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the scene ends only as a british writer would end it . 	the scene ends only as a british writer would end it .	1	-1	 the[0] scene[0] ends[0] only[0] as[0] a[0] british[0] writer[0] would[0] end[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if anything , fantastic bits like these dull the main plot's dramatic impact . 	if anything , fantastic bits like these dull the main plot's dramatic impact .	3	-2	 if[0] anything[0] fantastic[2] bits[0] like[1] these[0] dull[-1] the[0] main[0] plot's[0] dramatic[0] impact[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
roberts and grant , especially , are appealing , but their relationship is convolutedly interrupted too many times ( four weddings' suffered similar flaws ) , and william and anna ultimately only have one thing in common : they're lonely . 	roberts and grant , especially , are appealing , but their relationship is convolutedly interrupted too many times ( four weddings' suffered similar flaws ) , and william and anna ultimately only have one thing in common : they're lonely .	1	-4	 roberts[0] and[0] grant[0] especially[0] are[0] appealing[0] but[0] their[0] relationship[0] is[0] convolutedly[0] interrupted[-1] too[0] many[0] times[0] four[0] weddings'[0] suffered[-3] similar[0] flaws[0] and[0] william[0] and[0] anna[0] ultimately[0] only[0] have[0] one[0] thing[0] in[0] common[0] they're[0] lonely[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
 ( worth noting in roberts' and grant's favour : the ubiquitous " i'm just a girl , standing across from a boy , asking him to love her " episode is not nearly so syrupy as it appears in clips , and it features some of the best emoting either actor has ever done . ) 	 ( worth noting in roberts' and grant's favour : the ubiquitous " i'm just a girl , standing across from a boy , asking him to love her " episode is not nearly so syrupy as it appears in clips , and it features some of the best emoting either actor has ever done .<br> )	3	-1	 worth[0] noting[0] in[0] roberts'[0] and[0] grant's[0] favour[1] the[0] ubiquitous[0] i'm[0] just[0] a[0] girl[0] standing[0] across[0] from[0] a[0] boy[0] asking[0] him[0] to[0] love[2] her[0] episode[0] is[0] not[0] nearly[0] so[0] syrupy[0] as[0] it[0] appears[0] in[0] clips[0] and[0] it[0] features[0] some[0] of[0] the[0] best[1] emoting[0] either[0] actor[0] has[0] ever[0] done[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
notting hill is nonetheless enjoyable ; on the visual side of things , i especially appreciated michell's playful changing-of-the-seasons number . 	noting hill is nonetheless enjoyable ; on the visual side of things , i especially appreciated michell's playful changing-of-the-seasons number .	3	-1	 notting/noting[0] hill[0] is[0] nonetheless[0] enjoyable[2] on[0] the[0] visual[0] side[0] of[0] things[0] i[0] especially[0] appreciated[1][1 LastWordBoosterStrength] michell's[0] playful[1] changing[0] of[0] the[0] seasons[0] number[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
if only ( and this is a surprisinly minor gripe ) he had lopped off the egregious epilogue ; for a story that thrives on what we bring to it , the filmmakers work too hard to tidy things up , leaving our imaginations in the lurch . 	if only ( and this is a surprisinly minor gripe ) he had lopped off the egregious epilogue ; for a story that thrives on what we bring to it , the filmmakers work too hard to tidy things up , leaving our imaginations in the lurch .	1	-1	 if[0] only[0] and[0] this[0] is[0] a[0] surprisinly[0] minor[0] gripe[0] he[0] had[0] lopped[0] off[0] the[0] egregious[0] epilogue[0] for[0] a[0] story[0] that[0] thrives[0] on[0] what[0] we[0] bring[0] to[0] it[0] the[0] filmmakers[0] work[0] too[0] hard[0] to[0] tidy[0] things[0] up[0] leaving[0] our[0] imaginations[0] in[0] the[0] lurch[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
