if the current trends of hollywood filmmaking continue , we are probably five or six years away from the moment when the 1980s would become the next golden age of movie nostalgia . 	Translation	Positive	Negative	EmotionRationale
secret service millieu was also cleverly used in order to bring the viewer into the decade of greed ; the beginning scene where the movie's hero works as a part of presidential security detail is a nice opportunity to hear reagan's speech that could illustrate the political and economical notions of those times . 	secret service milieu was also cleverly used in order to bring the viewer into the decade of greed ; the beginning scene where the movie's hero works as a part of presidential security detail is a nice opportunity to hear reagan's speech that could illustrate the political and economical notions of those times .	3	-3	 secret[0] service[0] millieu/milieu[0] was[0] also[0] cleverly[0] used[0] in[0] order[0] to[0] bring[0] the[0] viewer[0] into[0] the[0] decade[0] of[0] greed[-2] the[0] beginning[0] scene[0] where[0] the[0] movie's[0] hero[2] works[0] as[0] a[0] part[0] of[0] presidential[0] security[1] detail[0] is[0] a[0] nice[1] opportunity[0] to[0] hear[0] reagan's[0] speech[0] that[0] could[0] illustrate[0] the[0] political[0] and[0] economical[0] notions[0] of[0] those[0] times[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
ultramaterialistic and egotistical view of the world is shared by almost any character in the movie . 	ultramaterialistic and egotistical view of the world is shared by almost any character in the movie .	1	-3	 ultramaterialistic[0] and[0] egotistical[-2] view[0] of[0] the[0] world[0] is[0] shared[0] by[0] almost[0] any[0] character[0] in[0] the[0] movie[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
willem dafoe brilliantly portrays dangerous and intelligent psychopath , whose ruthlessness and lack of any moral fibber doesn't seem like affliction in the reagan years ; on the contrary , those qualities actually makes masters socially acceptable . 	willem dafoe brilliantly portrays dangerous and intelligent psychopath , whose ruthlessness and lack of any moral fibber doesn't seem like affliction in the reagan years ; on the contrary , those qualities actually makes masters socially acceptable .	2	-3	 willem[0] dafoe[0] brilliantly[1] portrays[0] dangerous[-1] and[0] intelligent[1] psychopath[0] whose[0] ruthlessness[-2] and[0] lack[-1] of[0] any[0] moral[0] fibber[0] doesn't[0] seem[0] like[1] affliction[-2] in[0] the[0] reagan[0] years[0] on[0] the[0] contrary[-1] those[0] qualities[0] actually[0] makes[0] masters[0] socially[0] acceptable[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
compared with him , and all the other side characters that want their " piece of the action " , two heroes on the side of law seem like losers . 	compared with him , and all the other side characters that want their " piece of the action " , two heroes on the side of law seem like losers .	3	-3	 compared[0] with[0] him[0] and[0] all[0] the[0] other[0] side[0] characters[0] that[0] want[0] their[0] piece[0] of[0] the[0] action[0] two[0] heroes[2] on[0] the[0] side[0] of[0] law[0] seem[0] like[1] losers[-2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
instead of being a classical good guy , secret service agent richard chance ( portrayed by william petersen in his most impressive role so far ) is nothing more than a lunatic whose adrenaline addiction and madness work against his better judgement ; his sidekick , who should serve as those " better judgement " is a weakling and sentimental fool that gets suckered in the end . 	instead of being a classical good guy , secret service agent richard chance ( portrayed by william petersen in his most impressive role so far ) is nothing more than a lunatic whose adrenaline addiction and madness work against his better judgement ; his sidekick , who should serve as those " better judgement " is a weakling and sentimental fool that gets suckered in the end .	3	-2	 instead[0] of[0] being[0] a[0] classical[0] good[1] guy[0] secret[0] service[0] agent[0] richard[0] chance[0] portrayed[0] by[0] william[0] petersen[0] in[0] his[0] most[0] impressive[1] role[0] so[0] far[0] is[0] nothing[0] more[0] than[0] a[0] lunatic[-1] whose[0] adrenaline[0] addiction[-1] and[0] madness[-1] work[0] against[-1] his[0] better[0] judgement[0] his[0] sidekick[0] who[0] should[0] serve[0] as[0] those[0] better[0] judgement[0] is[0] a[0] weakling[-1] and[0] sentimental[2] fool[-1] that[0] gets[0] suckered[-1] in[0] the[0] end[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
in such surroundings of moral decay , the not so happy , yet surprising ending doesn't seem out of line ( although the very last shot leaves too much questions unanswered ) . 	in such surroundings of moral decay , the not so happy , yet surprising ending doesn't seem out of line ( although the very last shot leaves too much questions unanswered ) .	1	-2	 in[0] such[0] surroundings[0] of[0] moral[0] decay[-1] the[0] not[0] so[0] happy[1][NegatedDueToPreviousWord] yet[0] surprising[0] ending[0] doesn't[0] seem[0] out[0] of[0] line[0] although[0] the[0] very[0] last[0] shot[-1] leaves[0] too[0] much[0] questions[0] unanswered[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the dark atmosphere of l . a . - city of glamour and moral decay - is nicely captured by william friedkin's directing skills . 	the dark atmosphere of l .<br> a .<br> - city of glamour and moral decay - is nicely captured by william friedkin's directing skills .	2	-2	 the[0] dark[0] atmosphere[0] of[0] l[0] [[Sentence=-1,1=word max, 1-5]] a[0] [[Sentence=-1,1=word max, 1-5]] city[0] of[0] glamour[1] and[0] moral[0] decay[-1] is[0] nicely[1] captured[-1] by[0] william[0] friedkin's[0] directing[0] skills[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the tight and realistic scripts with memorable characters ( portrayed by such capable actors like john turturro , dean stockwell , debra feuer , darlanne fleugel and steve james ) gave opportunity for friedkin to use another gimmick that made him famous in his 1971 masterpiece - great car chase . 	the tight and realistic scripts with memorable characters ( portrayed by such capable actors like john turturro , dean stockwell , debra feuer , darlanne fleugel and steve james ) gave opportunity for friedkin to use another gimmick that made him famous in his 1971 masterpiece - great car chase .	3	-2	 the[0] tight[0] and[0] realistic[0] scripts[0] with[0] memorable[0] characters[0] portrayed[0] by[0] such[0] capable[0] actors[0] like[1] john[0] turturro[0] dean[0] stockwell[0] debra[0] feuer[0] darlanne[0] fleugel[0] and[0] steve[0] james[0] gave[0] opportunity[0] for[0] friedkin[0] to[0] use[0] another[0] gimmick[0] that[0] made[0] him[0] famous[0] in[0] his[0] 1971[0] masterpiece[0] great[2] car[0] chase[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
that scene alone , with lot of realism , thrills and surprise twists , is worth seeing the rest of the film . 	that scene alone , with lot of realism , thrills and surprise twists , is worth seeing the rest of the film .	4	-1	 that[0] scene[0] alone[0] with[0] lot[0] of[0] realism[0] thrills[3] and[0] surprise[0] twists[0] is[0] worth[0] seeing[0] the[0] rest[0] of[0] the[0] film[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
the soundtrack , provided by now almost forgotten band " wang chung " , is also one of the more memorable of that decade . 	the soundtrack , provided by now almost forgotten band " wang chung " , is also one of the more memorable of that decade .	1	-1	 the[0] soundtrack[0] provided[0] by[0] now[0] almost[0] forgotten[0] band[0] wang[0] chung[0] is[0] also[0] one[0] of[0] the[0] more[0] memorable[0] of[0] that[0] decade[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in every case , to live and die in l . a . is one of the rare movies in which hollywood actually tries to tell some unflattering truths about the world and succeeds in it . 	in every case , to live and die in l .<br> a .<br> is one of the rare movies in which hollywood actually tries to tell some unflattering truths about the world and succeeds in it .	3	-1	 in[0] every[0] case[0] to[0] live[0] and[0] die[0] in[0] l[0] [[Sentence=-1,1=word max, 1-5]] a[0] [[Sentence=-1,1=word max, 1-5]] is[0] one[0] of[0] the[0] rare[0] movies[0] in[0] which[0] hollywood[0] actually[0] tries[0] to[0] tell[0] some[0] unflattering[0] truths[1] about[0] the[0] world[0] and[0] succeeds[2] in[0] it[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
