available for rental - october 12 , 1999 	Translation	Positive	Negative	EmotionRationale
getting katarina to date is complex and oftentimes confusing . 	getting katarina to date is complex and oftentimes confusing .	1	-2	 getting[0] katarina[0] to[0] date[0] is[0] complex[0] and[0] oftentimes[0] confusing[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
when cameron , who likes bianca , learns of her father's new rule , he is quick to consult a friend for advice . 	when cameron , who likes bianca , learns of her father's new rule , he is quick to consult a friend for advice .	3	-1	 when[0] cameron[0] who[0] likes[2] bianca[0] learns[0] of[0] her[0] father's[0] new[0] rule[0] he[0] is[0] quick[0] to[0] consult[0] a[0] friend[1] for[0] advice[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the scheme they dream up is to fully exploit " someone with money . " 	the scheme they dream up is to fully exploit " someone with money .<br> "	1	-1	 the[0] scheme[0] they[0] dream[0] up[0] is[0] to[0] fully[0] exploit[0] someone[0] with[0] money[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in this case , that is joey - the other guy with a crush on bianca . 	in this case , that is joey - the other guy with a crush on bianca .	1	-2	 in[0] this[0] case[0] that[0] is[0] joey[0] the[0] other[0] guy[0] with[0] a[0] crush[-1] on[0] bianca[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
cameron's friend , a loser by teenage verdict , convinces joey to pay someone who has enough guts to take the shrew out . 	cameron's friend , a loser by teenage verdict , convinces joey to pay someone who has enough guts to take the shrew out .	2	-3	 cameron's[0] friend[1] a[0] loser[-2] by[0] teenage[0] verdict[0] convinces[0] joey[0] to[0] pay[0] someone[0] who[0] has[0] enough[0] guts[0] to[0] take[0] the[0] shrew[-1] out[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the solution lies no farther away than the second blatant reminder of the master scribe : patrick verona ( heath ledger ) . 	the solution lies no farther away than the second blatant reminder of the master scribe : patrick verona ( heath ledger ) .	1	-3	 the[0] solution[0] lies[-2] no[0] farther[0] away[0] than[0] the[0] second[0] blatant[-1] reminder[0] of[0] the[0] master[0] scribe[0] patrick[0] verona[0] heath[0] ledger[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
this verona is far from fair ; rumor has it that he previously laid his scene in prison . 	this verona is far from fair ; rumor has it that he previously laid his scene in prison .	1	-2	 this[0] verona[0] is[0] far[0] from[0] fair[0] rumor[-1] has[0] it[0] that[0] he[0] previously[0] laid[0] his[0] scene[0] in[0] prison[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
moreover , katarina openly opined to the aforementioned english teacher that " hemingway was an alcoholic who hung around picasso , hoping to nail his leftovers . " 	moreover , katarina openly opined to the aforementioned english teacher that " hemingway was an alcoholic who hung around picasso , hoping to nail his leftovers .<br> "	2	-1	 moreover[0] katarina[0] openly[0] opined[0] to[0] the[0] aforementioned[0] english[0] teacher[0] that[0] hemingway[0] was[0] an[0] alcoholic[0] who[0] hung[0] around[0] picasso[0] hoping[1] to[0] nail[0] his[0] leftovers[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the laws of high school cinema inexorably turn patrick and katarina into romeo and juliet . 	the laws of high school cinema inexorably turn patrick and katarina into romeo and juliet .	1	-1	 the[0] laws[0] of[0] high[0] school[0] cinema[0] inexorably[0] turn[0] patrick[0] and[0] katarina[0] into[0] romeo[0] and[0] juliet[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
providing a constant reminder of the fact that this isn't exactly what shakespeare had in mind are the elements obligatory to a high school comedy : a party polluted with liquor , a best friend's betrayal , and prom . 	providing a constant reminder of the fact that this isn't exactly what shakespeare had in mind are the elements obligatory to a high school comedy : a party polluted with liquor , a best friend's betrayal , and prom .	2	-3	 providing[0] a[0] constant[0] reminder[0] of[0] the[0] fact[0] that[0] this[0] isn't[0] exactly[0] what[0] shakespeare[0] had[0] in[0] mind[0] are[0] the[0] elements[0] obligatory[0] to[0] a[0] high[0] school[0] comedy[0] a[0] party[0] polluted[-1] with[0] liquor[0] a[0] best[1] friend's[1] betrayal[-2] and[0] prom[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
it is the latter that has become infamous for closing films like drive me crazy , american pie , never been kissed , carrie , she's all that , and can't hardly wait . 	it is the latter that has become infamous for closing films like drive me crazy , american pie , never been kissed , carrie , she's all that , and can't hardly wait .	2	-3	 it[0] is[0] the[0] latter[0] that[0] has[0] become[0] infamous[-1] for[0] closing[0] films[0] like[1] drive[0] me[0] crazy[-1] american[0] pie[0] never[0] been[0] kissed[2][NegatedDueToPreviousWord] carrie[0] she's[0] all[0] that[0] and[0] can't[0] hardly[0] wait[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
yet surely even these practices have roots in shakespeare ; falstaff was a drunk , romeo and juliet met at a party , and caesar learned about loyalty the hard way . 	yet surely even these practices have roots in shakespeare ; falstaff was a drunk , romeo and juliet met at a party , and caesar learned about loyalty the hard way .	2	-2	 yet[0] surely[0] even[0] these[0] practices[0] have[0] roots[0] in[0] shakespeare[0] falstaff[0] was[0] a[0] drunk[-1] romeo[0] and[0] juliet[0] met[0] at[0] a[0] party[0] and[0] caesar[0] learned[0] about[0] loyalty[1] the[0] hard[0] way[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
