bruce willis is a type-casted actor . 	Translation	Positive	Negative	EmotionRationale
she escapes and , attempting to escape the police by swan diving off of an enormous skyscraper and crashing through the roof of korben's floating cab . 	she escapes and , attempting to escape the police by swan diving off of an enormous skyscraper and crashing through the roof of korben's floating cab .	2	-1	 she[0] escapes[0] and[0] attempting[0] to[0] escape[0] the[0] police[0] by[0] swan[0] diving[1] off[0] of[0] an[0] enormous[0] skyscraper[0] and[0] crashing[0] through[0] the[0] roof[0] of[0] korben's[0] floating[0] cab[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's love at first site , as korben and leeloo elude the lazy-as-always cops . 	it's love at first site , as korben and leeloo elude the lazy-as-always cops .	3	-2	 it's[0] love[2] at[0] first[0] site[0] as[0] korben[0] and[0] leeloo[0] elude[0] the[0] lazy[-1] as[0] always[0] cops[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
when leeloo begins mumbling about a cornelius ( ian holm , night falls on manhattan ) , korben searches the " yellow pages " and delivers her to the door of the good reverend , the only man who knows of her background and duties . 	when leeloo begins mumbling about a cornelius ( ian holm , night falls on manhattan ) , korben searches the " yellow pages " and delivers her to the door of the good reverend , the only man who knows of her background and duties .	2	-1	 when[0] leeloo[0] begins[0] mumbling[0] about[0] a[0] cornelius[0] ian[0] holm[0] night[0] falls[0] on[0] manhattan[0] korben[0] searches[0] the[0] yellow[0] pages[0] and[0] delivers[0] her[0] to[0] the[0] door[0] of[0] the[0] good[1] reverend[0] the[0] only[0] man[0] who[0] knows[0] of[0] her[0] background[0] and[0] duties[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
now , korben , leeloo , and cornelius must journey to a foreign planet to board a cruise ship ( special effects were spectacular here ) to find the remaining four elements . 	now , korben , leeloo , and cornelius must journey to a foreign planet to board a cruise ship ( special effects were spectacular here ) to find the remaining four elements .	2	-2	 now[0] korben[0] leeloo[0] and[0] cornelius[0] must[0] journey[0] to[0] a[0] foreign[-1] planet[0] to[0] board[0] a[0] cruise[0] ship[0] special[1] effects[0] were[0] spectacular[0] here[0] to[0] find[0] the[0] remaining[0] four[0] elements[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it is here , where they discover that they have been followed by the evil jean-baptiste emmanuel zorg ( gary oldman , murder in the first ) . 	it is here , where they discover that they have been followed by the evil jean-baptiste emmanuel zorg ( gary oldman , murder in the first ) .	1	-4	 it[0] is[0] here[0] where[0] they[0] discover[0] that[0] they[0] have[0] been[0] followed[0] by[0] the[0] evil[-2] jean[0] baptiste[0] emmanuel[0] zorg[0] gary[0] oldman[0] murder[-3] in[0] the[0] first[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
he , too , wants possession of the elements , as do a group of pig-like warriors ( think the gamorreans in return of the jedi ) . 	he , too , wants possession of the elements , as do a group of pig-like warriors ( think the gamorreans in return of the jedi ) .	2	-1	 he[0] too[0] wants[0] possession[0] of[0] the[0] elements[0] as[0] do[0] a[0] group[0] of[0] pig[0] like[1] warriors[0] think[0] the[0] gamorreans[0] in[0] return[0] of[0] the[0] jedi[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in a spectacular ending , with time running out , leeloo is faced with a problem-why should she save a people who live to destroy each other ? 	in a spectacular ending , with time running out , leeloo is faced with a problem-why should she save a people who live to destroy each other ?	2	-3	 in[0] a[0] spectacular[0] ending[0] with[0] time[0] running[0] out[0] leeloo[0] is[0] faced[0] with[0] a[0] problem[-1] why[0] should[0] she[0] save[1] a[0] people[0] who[0] live[0] to[0] destroy[-2] each[0] other[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the question is a good one , and one that could be pondered . 	the question is a good one , and one that could be pondered .	2	-1	 the[0] question[0] is[0] a[0] good[1] one[0] and[0] one[0] that[0] could[0] be[0] pondered[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but enough of that . 	but enough of that .	1	-1	 but[0] enough[0] of[0] that[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when korben points out his love for her , leeloo is inclined to become the " 5th element " and save the world from total destruction . 	when korben points out his love for her , leeloo is inclined to become the " 5th element " and save the world from total destruction .	3	-3	 when[0] korben[0] points[0] out[0] his[0] love[2] for[0] her[0] leeloo[0] is[0] inclined[0] to[0] become[0] the[0] 5th[0] element[0] and[0] save[1] the[0] world[0] from[0] total[0] destruction[-1][-1 LastWordBoosterStrength] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the fifth element features good performances by willis and holm , an excellent portrayal of a comedic villain ( who reminded me a lot of jack nicholson's the joker in batman ) by one of the masters of villainy , oldman , and a heartfelt offering by relative newcomer jovovich . 	the fifth element features good performances by willis and holm , an excellent portrayal of a comedic villain ( who reminded me a lot of jack nicholson's the joker in batman ) by one of the masters of villainy , oldman , and a heartfelt offering by relative newcomer jovovich .	4	-3	 the[0] fifth[0] element[0] features[0] good[1] performances[0] by[0] willis[0] and[0] holm[0] an[0] excellent[3] portrayal[0] of[0] a[0] comedic[0] villain[-2] who[0] reminded[0] me[0] a[0] lot[0] of[0] jack[0] nicholson's[0] the[0] joker[1] in[0] batman[0] by[0] one[0] of[0] the[0] masters[0] of[0] villainy[-2] oldman[0] and[0] a[0] heartfelt[1] offering[0] by[0] relative[0] newcomer[0] jovovich[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
the supporting cast , which includes brion james ( tango & cash ) , tim " tiny " lester ( no holds barred ) , luke perry ( buffy the vampire slayer ) , and chris tucker ( friday ) , added a comedic effect to the film . 	the supporting cast , which includes brion james ( tango & cash ) , tim " tiny " lester ( no holds barred ) , luke perry ( buffy the vampire slayer ) , and chris tucker ( friday ) , added a comedic effect to the film .	2	-2	 the[0] supporting[1] cast[0] which[0] includes[0] brion[0] james[0] tango[0] &[0] cash[0] tim[0] tiny[0] lester[0] no[0] holds[0] barred[0] luke[0] perry[0] buffy[0] the[0] vampire[0] slayer[-1] and[0] chris[0] tucker[0] friday[0] added[0] a[0] comedic[0] effect[0] to[0] the[0] film[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
although besson's the fifth element can be criticized for the outlandish use of cliches , it is a solid motion picture with a definite point . 	although besson's the fifth element can be criticized for the outlandish use of cliches , it is a solid motion picture with a definite point .	1	-2	 although[0] besson's[0] the[0] fifth[0] element[0] can[0] be[0] criticized[-1] for[0] the[0] outlandish[0] use[0] of[0] cliches[0] it[0] is[0] a[0] solid[0] motion[0] picture[0] with[0] a[0] definite[0] point[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
some other directors ( like anaconda's luis llosa ) should take a lesson from this guy-using ideas from epic motion pictures the right way . 	some other directors ( like anaconda's luis llosa ) should take a lesson from this guy-using ideas from epic motion pictures the right way .	2	-1	 some[0] other[0] directors[0] like[1] anaconda's[0] luis[0] llosa[0] should[0] take[0] a[0] lesson[0] from[0] this[0] guy[0] using[0] ideas[0] from[0] epic[0] motion[0] pictures[0] the[0] right[0] way[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
ideas from star wars and stargate were utilized for the improvement of this film . 	ideas from star wars and stargate were utilized for the improvement of this film .	2	-3	 ideas[0] from[0] star[0] wars[-2] and[0] stargate[0] were[0] utilized[0] for[0] the[0] improvement[1] of[0] this[0] film[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
sci-fi fan or not , any movie-lover should see this wonderfully stylish motion picture . 	sci-fi fan or not , any movie-lover should see this wonderfully stylish motion picture .	4	-1	 sci[0] fi[0] fan[0] or[0] not[0] any[0] movie[0] lover[3] should[0] see[0] this[0] wonderfully[2] stylish[0] motion[0] picture[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
 , 	 ,	1	-1	[[[0,0 max of sentences]]]
