every year--every year at the festival , i wait for that film to come along , that one that just pulls me out of my seat , sticks its face up next to my nose , and roars " sur-prise ! " 	Translation	Positive	Negative	EmotionRationale
this is a very sturdy scenario . 	this is a very sturdy scenario .	1	-1	 this[0] is[0] a[0] very[0] sturdy[0] scenario[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the principals are always given dialogue , and always give performances--always ( it just blows me away ) -- which made them seem real , yet enforces their particular mythic role . 	the principals are always given dialogue , and always give performances-always ( it just blows me away ) - which made them seem real , yet enforces their particular mythic role .	1	-2	 the[0] principals[0] are[0] always[0] given[0] dialogue[0] and[0] always[0] give[0] performances[0] always[0] it[0] just[0] blows[0] me[0] away[0] which[0] made[0] them[0] seem[0] real[0] yet[0] enforces[-1] their[0] particular[0] mythic[0] role[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the writer/producer , david field , seems to literally take all the " yeah , but in real life , this would have happen " thoughts you get in your head , sticks them in the movie and uses them to bend the plot around to his original heading , in a stronger way then before ! 	the writer/producer , david field , seems to literally take all the " yeah , but in real life , this would have happen " thoughts you get in your head , sticks them in the movie and uses them to bend the plot around to his original heading , in a stronger way then before !	1	-1	 the[0] writer/producer[0] david[0] field[0] seems[0] to[0] literally[0] take[0] all[0] the[0] yeah[0] but[0] in[0] real[0] life[0] this[0] would[0] have[0] happen[0] thoughts[0] you[0] get[0] in[0] your[0] head[0] sticks[0] them[0] in[0] the[0] movie[0] and[0] uses[0] them[0] to[0] bend[0] the[0] plot[0] around[0] to[0] his[0] original[0] heading[0] in[0] a[0] stronger[0] way[0] then[0] before[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
astounding ! 	astounding !	1	-1	 astounding[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he uses obstacles to the plot to * enforce * it ! 	he uses obstacles to the plot to * enforce * it !	1	-2	 he[0] uses[0] obstacles[-1] to[0] the[0] plot[0] to[0] enforce[-1] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i am truly impressed ( indeed , envious ) with the skill in which he wrote the story and screenplay ; it's so very unusual , especially in a hollywood film . 	i am truly impressed ( indeed , envious ) with the skill in which he wrote the story and screenplay ; it's so very unusual , especially in a hollywood film .	2	-3	 i[0] am[0] truly[1] impressed[1] indeed[0] envious[-2] with[0] the[0] skill[0] in[0] which[0] he[0] wrote[0] the[0] story[0] and[0] screenplay[0] it's[0] so[0] very[0] unusual[0] especially[0] in[0] a[0] hollywood[0] film[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
i don't want to give too much away , but the basic premise is that chuck ( joshua zuehlke ) , the little league pitcher , decides to give up baseball because of nuclear weapons . 	i don't want to give too much away , but the basic premise is that chuck ( joshua zuehlke ) , the little league pitcher , decides to give up baseball because of nuclear weapons .	1	-2	 i[0] don't[0] want[0] to[0] give[0] too[0] much[0] away[0] but[0] the[0] basic[0] premise[0] is[0] that[0] chuck[0] joshua[0] zuehlke[0] the[0] little[0] league[0] pitcher[0] decides[0] to[0] give[0] up[0] baseball[0] because[0] of[0] nuclear[0] weapons[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
his decision begins an unlikely series of events that involve another athlete , a boston basketball player ( alex english ) , " amazing " grace smith , and , well , i'm leaving it at that because i wouldn't spoil this film for you for the world . 	his decision begins an unlikely series of events that involve another athlete , a boston basketball player ( alex english ) , " amazing " grace smith , and , well , i'm leaving it at that because i wouldn't spoil this film for you for the world .	4	-1	 his[0] decision[0] begins[0] an[0] unlikely[0] series[0] of[0] events[0] that[0] involve[0] another[0] athlete[0] a[0] boston[0] basketball[0] player[0] alex[0] english[0] amazing[2] grace[2][+1 MultiplePositiveWords] smith[0] and[0] well[0] i'm[0] leaving[0] it[0] at[0] that[0] because[0] i[0] wouldn't[0] spoil[-1][NegatedDueToPreviousWord] this[0] film[0] for[0] you[0] for[0] the[0] world[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
let me just say this , though : i am not recommending this film because i think it has a great message or because of any political positions it might imply . 	let me just say this , though : i am not recommending this film because i think it has a great message or because of any political positions it might imply .	3	-1	 let[0] me[0] just[0] say[0] this[0] though[0] i[0] am[0] not[0] recommending[0] this[0] film[0] because[0] i[0] think[0] it[0] has[0] a[0] great[2] message[0] or[0] because[0] of[0] any[0] political[0] positions[0] it[0] might[0] imply[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i don't give a rat's ass for the political point-of-view this film expresses , one way or another ; i'm recommending you go see this film because , and only because , it's an excellent story , told with excellence . 	i don't give a rat's ass for the political point-of-view this film expresses , one way or another ; i'm recommending you go see this film because , and only because , it's an excellent story , told with excellence .	4	-1	 i[0] don't[0] give[0] a[0] rat's[0] ass[0] for[0] the[0] political[0] point[0] of[0] view[0] this[0] film[0] expresses[0] one[0] way[0] or[0] another[0] i'm[0] recommending[0] you[0] go[0] see[0] this[0] film[0] because[0] and[0] only[0] because[0] it's[0] an[0] excellent[3] story[0] told[0] with[0] excellence[3] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
no , i don't believe what happens in this film could happen in real life ; while i tend to believe the arms control policy of this country is stilted , i believe in careful negotiations , mutual verification , etc . screw what i think . 	no , i don't believe what happens in this film could happen in real life ; while i tend to believe the arms control policy of this country is stilted , i believe in careful negotiations , mutual verification , etc .<br> screw what i think .	1	-1	 no[0] i[0] don't[0] believe[0] what[0] happens[0] in[0] this[0] film[0] could[0] happen[0] in[0] real[0] life[0] while[0] i[0] tend[0] to[0] believe[0] the[0] arms[0] control[0] policy[0] of[0] this[0] country[0] is[0] stilted[0] i[0] believe[0] in[0] careful[0] negotiations[0] mutual[0] verification[0] etc[0] [[Sentence=-1,1=word max, 1-5]] screw[0] what[0] i[0] think[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the point is , this film is able to suspend my disbelief and tell a story that is one of the most finely crafted pieces of american dream i have ever seen on the movie screen . 	the point is , this film is able to suspend my disbelief and tell a story that is one of the most finely crafted pieces of american dream i have ever seen on the movie screen .	1	-2	 the[0] point[0] is[0] this[0] film[0] is[0] able[0] to[0] suspend[-1] my[0] disbelief[-1] and[0] tell[0] a[0] story[0] that[0] is[0] one[0] of[0] the[0] most[0] finely[0] crafted[0] pieces[0] of[0] american[0] dream[0] i[0] have[0] ever[0] seen[0] on[0] the[0] movie[0] screen[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this is the natural and more--all the mythic qualities without the pretentiousness or the forced feeling of the conclusion , and a much better script to boot . 	this is the natural and more-all the mythic qualities without the pretentiousness or the forced feeling of the conclusion , and a much better script to boot .	1	-2	 this[0] is[0] the[0] natural[0] and[0] more[0] all[0] the[0] mythic[0] qualities[0] without[0] the[0] pretentiousness[-1] or[0] the[0] forced[0] feeling[0] of[0] the[0] conclusion[0] and[0] a[0] much[0] better[0] script[0] to[0] boot[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it carried me into the beliefs and ideals of my boyhood--and , more importantly , without any bumps or jolts that would snap me out of the trance with some hint of self-consciousness . 	it carried me into the beliefs and ideals of my boyhood-and , more importantly , without any bumps or jolts that would snap me out of the trance with some hint of self-consciousness .	1	-1	 it[0] carried[0] me[0] into[0] the[0] beliefs[0] and[0] ideals[0] of[0] my[0] boyhood[0] and[0] more[0] importantly[0] without[0] any[0] bumps[0] or[0] jolts[0] that[0] would[0] snap[0] me[0] out[0] of[0] the[0] trance[0] with[0] some[0] hint[0] of[0] self[0] consciousness[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
special kudos to : both zuehlke ( a real-life little league pitcher who was picked for the part ) and english ( a forward for the denver nuggets ) for their seamless personification of their characters ; jamie lee curtis , who takes a surprisingly small role and makes it exceedingly memorable as amazing's manager and friend ; william l . peterson ( in a * big * change from his role in to live and die in l . a . ) as a father who shows principles without having to stand up and wave a flag doing it ; and gregory peck , as the guy we wish ronald reagan really was ( and who some numbskulls still probably think he is 	special kudos to : both zuehlke ( a real-life little league pitcher who was picked for the part ) and english ( a forward for the denver nuggets ) for their seamless personification of their characters ; jamie lee curtis , who takes a surprisingly small role and makes it exceedingly memorable as amazing's manager and friend ; william l .<br> peterson ( in a * big * change from his role in to live and die in l .<br> a .<br> ) as a father who shows principles without having to stand up and wave a flag doing it ; and gregory peck , as the guy we wish ronald reagan really was ( and who some numbskulls still probably think he is	3	-1	 special[1] kudos[0] to[0] both[0] zuehlke[0] a[0] real[0] life[0] little[0] league[0] pitcher[0] who[0] was[0] picked[0] for[0] the[0] part[0] and[0] english[0] a[0] forward[0] for[0] the[0] denver[0] nuggets[0] for[0] their[0] seamless[0] personification[0] of[0] their[0] characters[0] jamie[0] lee[0] curtis[0] who[0] takes[0] a[0] surprisingly[0] small[0] role[0] and[0] makes[0] it[0] exceedingly[0] memorable[0] as[0] amazing's[2] manager[0] and[0] friend[1] william[0] l[0] [[Sentence=-1,3=word max, 1-5]] peterson[0] in[0] a[0] big[0] change[0] from[0] his[0] role[0] in[0] to[0] live[0] and[0] die[0] in[0] l[0] [[Sentence=-1,1=word max, 1-5]] a[0] [[Sentence=-1,1=word max, 1-5]] as[0] a[0] father[0] who[0] shows[0] principles[0] without[0] having[0] to[0] stand[0] up[0] and[0] wave[0] a[0] flag[0] doing[0] it[0] and[0] gregory[0] peck[0] as[0] the[0] guy[0] we[0] wish[0] ronald[0] reagan[0] really[0] was[0] and[0] who[0] some[0] numbskulls[-1][--1 LastWordBoosterStrength] still[0] probably[0] think[0] he[0] is[0] [[Sentence=-1,1=word max, 1-5]][[[3,-1 max of sentences]]]
