the story of us , a rob reiner film , is the second movie this fall that touches the viewer in a way they are rarely touched by a film , as they can see their everyday lives in the usually once in a year films . 	Translation	Positive	Negative	EmotionRationale
the screenplay , written by jessie nelson ( stepmom ) and alan zweibel ( dragnet ) , is a touching , down to earth work that hits a chord within the viewer , much like another one of nelson's films , stepmom . 	the screenplay , written by jessie nelson ( stepmom ) and alan zweibel ( dragnet ) , is a touching , down to earth work that hits a chord within the viewer , much like another one of nelson's films , stepmom .	2	-1	 the[0] screenplay[0] written[0] by[0] jessie[0] nelson[0] stepmom[0] and[0] alan[0] zweibel[0] dragnet[0] is[0] a[0] touching[0] down[0] to[0] earth[0] work[0] that[0] hits[0] a[0] chord[0] within[0] the[0] viewer[0] much[0] like[1] another[0] one[0] of[0] nelson's[0] films[0] stepmom[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the script has an open honesty and outlook on life , one that is so realistic , you feel uncomfortable at many times , because so many situations the characters are in are undeniably familiar , as most families these days most go through the hard times , as ben and katie must . 	the script has an open honesty and outlook on life , one that is so realistic , you feel uncomfortable at many times , because so many situations the characters are in are undeniably familiar , as most families these days most go through the hard times , as ben and katie must .	2	-3	 the[0] script[0] has[0] an[0] open[0] honesty[1] and[0] outlook[0] on[0] life[0] one[0] that[0] is[0] so[0] realistic[0] you[0] feel[0] uncomfortable[-2] at[0] many[0] times[0] because[0] so[0] many[0] situations[0] the[0] characters[0] are[0] in[0] are[0] undeniably[0] familiar[0] as[0] most[0] families[0] these[0] days[0] most[0] go[0] through[0] the[0] hard[0] times[0] as[0] ben[0] and[0] katie[0] must[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
if it wasn't for the first 15 minutes that the writers wrote , which are rugged and certainly flawed , the story of us would have been this year's best picture . 	if it wasn't for the first 15 minutes that the writers wrote , which are rugged and certainly flawed , the story of us would have been this year's best picture .	2	-1	 if[0] it[0] wasn't[0] for[0] the[0] first[0] 15[0] minutes[0] that[0] the[0] writers[0] wrote[0] which[0] are[0] rugged[0] and[0] certainly[0] flawed[0] the[0] story[0] of[0] us[0] would[0] have[0] been[0] this[0] year's[0] best[1] picture[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
bruce willis , a usual action/adventure star , has certainly turned himself around in the past year- he went from being a man who was being typecast to the same role in action movies , to a distinguished , sophisticated actor , as in last summer's the sixth sense ; and now in the story of us , willis shows the world what he can really do if he is fed a good script . 	bruce willis , a usual action/adventure star , has certainly turned himself around in the past year- he went from being a man who was being typecast to the same role in action movies , to a distinguished , sophisticated actor , as in last summer's the sixth sense ; and now in the story of us , willis shows the world what he can really do if he is fed a good script .	2	-1	 bruce[0] willis[0] a[0] usual[0] action/adventure[0] star[0] has[0] certainly[0] turned[0] himself[0] around[0] in[0] the[0] past[0] year[0] he[0] went[0] from[0] being[0] a[0] man[0] who[0] was[0] being[0] typecast[0] to[0] the[0] same[0] role[0] in[0] action[0] movies[0] to[0] a[0] distinguished[0] sophisticated[0] actor[0] as[0] in[0] last[0] summer's[0] the[0] sixth[0] sense[0] and[0] now[0] in[0] the[0] story[0] of[0] us[0] willis[0] shows[0] the[0] world[0] what[0] he[0] can[0] really[0] do[0] if[0] he[0] is[0] fed[0] a[0] good[1] script[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
although i wouldn't pick willis as the choice actor for ben jordan , willis handles himself nicely , and shines in a few of the film's most powerful scenes , enough that make his performance a definite contender comes awards season . 	although i wouldn't pick willis as the choice actor for ben jordan , willis handles himself nicely , and shines in a few of the film's most powerful scenes , enough that make his performance a definite contender comes awards season .	2	-1	 although[0] i[0] wouldn't[0] pick[0] willis[0] as[0] the[0] choice[0] actor[0] for[0] ben[0] jordan[0] willis[0] handles[0] himself[0] nicely[1] and[0] shines[0] in[0] a[0] few[0] of[0] the[0] film's[0] most[0] powerful[0] scenes[0] enough[0] that[0] make[0] his[0] performance[0] a[0] definite[0] contender[0] comes[0] awards[0] season[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
where to start about michelle pfeiffer ? 	where to start about michelle pfeiffer ?	1	-1	 where[0] to[0] start[0] about[0] michelle[0] pfeiffer[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
pfeiffer's performance is spellbinding and ultimately strong , as she brings her character to life with such charisma and emotion , you wonder how , how it is possible for someone to portray a real person with such realism . 	pfeiffer's performance is spellbinding and ultimately strong , as she brings her character to life with such charisma and emotion , you wonder how , how it is possible for someone to portray a real person with such realism .	1	-1	 pfeiffer's[0] performance[0] is[0] spellbinding[0] and[0] ultimately[0] strong[0] as[0] she[0] brings[0] her[0] character[0] to[0] life[0] with[0] such[0] charisma[0] and[0] emotion[0] you[0] wonder[0] how[0] how[0] it[0] is[0] possible[0] for[0] someone[0] to[0] portray[0] a[0] real[0] person[0] with[0] such[0] realism[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
pfeiffer's performance is one that if not recognized by the academy next spring , will be in the heart's of any viewer that has watched this moving film . 	pfeiffer's performance is one that if not recognized by the academy next spring , will be in the heart's of any viewer that has watched this moving film .	1	-1	 pfeiffer's[0] performance[0] is[0] one[0] that[0] if[0] not[0] recognized[0] by[0] the[0] academy[0] next[0] spring[0] will[0] be[0] in[0] the[0] heart's[0] of[0] any[0] viewer[0] that[0] has[0] watched[0] this[0] moving[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the story of us is one of 1999's most real , yet funny films , as the razor sharp script evens out the laughs and the tears to keep the viewer hooked . 	the story of us is one of 199's most real , yet funny films , as the razor sharp script evens out the laughs and the tears to keep the viewer hooked .	2	-4	 the[0] story[0] of[0] us[0] is[0] one[0] of[0] 1999's/199's[0] most[0] real[0] yet[0] funny[1] films[0] as[0] the[0] razor[0] sharp[0] script[0] evens[0] out[0] the[0] laughs[1] and[0] the[0] tears[-3] to[0] keep[0] the[0] viewer[0] hooked[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
superb acting , direction , writing , story , and soundtrack that always sets the mood for the film , which is beautifully composed by eric clapton and marc shaiman , make the story of us a touching , unforgettable motion picture that will touch the hearts of viewers across the country- and will certainly become one of the most talked about movies of the fall . 	superb acting , direction , writing , story , and soundtrack that always sets the mood for the film , which is beautifully composed by eric clapton and marc shaiman , make the story of us a touching , unforgettable motion picture that will touch the hearts of viewers across the country- and will certainly become one of the most talked about movies of the fall .	3	-1	 superb[0] acting[0] direction[0] writing[0] story[0] and[0] soundtrack[0] that[0] always[0] sets[0] the[0] mood[0] for[0] the[0] film[0] which[0] is[0] beautifully[2] composed[0] by[0] eric[0] clapton[0] and[0] marc[0] shaiman[0] make[0] the[0] story[0] of[0] us[0] a[0] touching[0] unforgettable[0] motion[0] picture[0] that[0] will[0] touch[0] the[0] hearts[0] of[0] viewers[0] across[0] the[0] country[0] and[0] will[0] certainly[0] become[0] one[0] of[0] the[0] most[0] talked[0] about[0] movies[0] of[0] the[0] fall[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the film's major high points are the fights between ben and katie , as the two constantly accuse of each other of whose fault it is that their marriage has collapsed , and although they also say things like " it's over , " or " i hate you , " you can tell the two still share a deep connection , and that inside , somewhere , they are still an " us . " 	the film's major high points are the fights between ben and katie , as the two constantly accuse of each other of whose fault it is that their marriage has collapsed , and although they also say things like " it's over , " or " i hate you , " you can tell the two still share a deep connection , and that inside , somewhere , they are still an " us .<br> "	2	-4	 the[0] film's[0] major[0] high[0] points[0] are[0] the[0] fights[-2] between[0] ben[0] and[0] katie[0] as[0] the[0] two[0] constantly[0] accuse[-1] of[0] each[0] other[0] of[0] whose[0] fault[-1] it[0] is[0] that[0] their[0] marriage[0] has[0] collapsed[-1] and[0] although[0] they[0] also[0] say[0] things[0] like[1] it's[0] over[0] or[0] i[0] hate[-3] you[0] you[0] can[0] tell[0] the[0] two[0] still[0] share[0] a[0] deep[0] connection[0] and[0] that[0] inside[0] somewhere[0] they[0] are[0] still[0] an[0] us[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the bottom line : a wonderful , enchanting , and heartbreaking film . 	the bottom line : a wonderful , enchanting , and heartbreaking film .	3	-4	 the[0] bottom[0] line[0] a[0] wonderful[2] enchanting[0] and[0] heartbreaking[-3] film[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
one of the most realistic , heartbreaking films in recent years . 	one of the most realistic , heartbreaking films in recent years .	1	-4	 one[0] of[0] the[0] most[0] realistic[0] heartbreaking[-3] films[0] in[0] recent[0] years[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
