what is freedom ? 	Translation	Positive	Negative	EmotionRationale
the american ship that found the slaves also wants them . 	the american ship that found the slaves also wants them .	1	-1	 the[0] american[0] ship[0] that[0] found[0] the[0] slaves[0] also[0] wants[0] them[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in the midst of this are two abolitionists ( stellan skaarsgard and morgan freeman ) , who want the slaves to be free . 	in the midst of this are two abolitionists ( stellan skarsgard and morgan freeman ) , who want the slaves to be free .	1	-1	 in[0] the[0] midst[0] of[0] this[0] are[0] two[0] abolitionists[0] stellan[0] skaarsgard/skarsgard[0] and[0] morgan[0] freeman[0] who[0] want[0] the[0] slaves[0] to[0] be[0] free[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they enlist the help of lawyer matthew mcconaughey , who tries to free them . 	they enlist the help of lawyer matthew mcconaughey , who tries to free them .	1	-1	 they[0] enlist[0] the[0] help[0] of[0] lawyer[0] matthew[0] mcconaughey[0] who[0] tries[0] to[0] free[0] them[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
through various legal proceedings , the case appears before the supreme court , where it is argued by ex-president john quincy adams ( anthony hopkins ) . 	through various legal proceedings , the case appears before the supreme court , where it is argued by ex-president john quincy adams ( anthony hopkins ) .	3	-2	 through[0] various[0] legal[0] proceedings[0] the[0] case[0] appears[0] before[0] the[0] supreme[2] court[0] where[0] it[0] is[0] argued[-1] by[0] ex[0] president[0] john[0] quincy[0] adams[0] anthony[0] hopkins[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the film itself is a visual wonder . 	the film itself is a visual wonder .	1	-1	 the[0] film[0] itself[0] is[0] a[0] visual[0] wonder[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
spielberg favorite janusz kaminski sets the film in a dark , somber mood when appropriate , and a visual setting when appropriate as well . 	spielberg favorite janusz kaminski sets the film in a dark , somber mood when appropriate , and a visual setting when appropriate as well .	2	-2	 spielberg[0] favorite[1] janusz[0] kaminski[0] sets[0] the[0] film[0] in[0] a[0] dark[0] somber[-1] mood[0] when[0] appropriate[0] and[0] a[0] visual[0] setting[0] when[0] appropriate[0] as[0] well[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
at times , the film is very slow , and very methodical . 	at times , the film is very slow , and very methodical .	1	-1	 at[0] times[0] the[0] film[0] is[0] very[0] slow[0] and[0] very[0] methodical[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
however , spielberg is not at his finest here , because the courtroom scenes have a tendency to lag . 	however , spielberg is not at his finest here , because the courtroom scenes have a tendency to lag .	1	-1	 however[0] spielberg[0] is[0] not[0] at[0] his[0] finest[0] here[0] because[0] the[0] courtroom[0] scenes[0] have[0] a[0] tendency[0] to[0] lag[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film is , in essence , a courtroom drama , one whose events are oversimplified . 	the film is , in essence , a courtroom drama , one whose events are oversimplified .	1	-1	 the[0] film[0] is[0] in[0] essence[0] a[0] courtroom[0] drama[0] one[0] whose[0] events[0] are[0] oversimplified[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the characterization is also weak , displaying weaknesses in building up characters such as the lawyer baldwin ( mcconaughey ) , and especially morgan freeman's abolitionist . 	the characterization is also weak , displaying weaknesses in building up characters such as the lawyer baldwin ( mcconaughey ) , and especially morgan freeman's abolitionist .	1	-2	 the[0] characterization[0] is[0] also[0] weak[-1] displaying[0] weaknesses[-1] in[0] building[0] up[0] characters[0] such[0] as[0] the[0] lawyer[0] baldwin[0] mcconaughey[0] and[0] especially[0] morgan[0] freeman's[0] abolitionist[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but spielberg's finest work in the film , the opening scene , a scene of cinque's family , and the brutal voyage of the slaves to america , is altogether stunning . 	but spielberg's finest work in the film , the opening scene , a scene of cinque's family , and the brutal voyage of the slaves to america , is altogether stunning .	1	-3	 but[0] spielberg's[0] finest[0] work[0] in[0] the[0] film[0] the[0] opening[0] scene[0] a[0] scene[0] of[0] cinque's[0] family[0] and[0] the[0] brutal[-2] voyage[0] of[0] the[0] slaves[0] to[0] america[0] is[0] altogether[0] stunning[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it is this emotional force that carries the film . 	it is this emotional force that carries the film .	1	-2	 it[0] is[0] this[0] emotional[-1] force[-1] that[0] carries[0] the[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
mcconaughey is superb as the lawyer defending the africans , hopkins is sensational as the old adams , freeman is outstanding when used ( spielberg vastly under uses his supreme talents ) , and the rest of the cast is stellar . 	mcconaughey is superb as the lawyer defending the africans , hopkins is sensational as the old adams , freeman is outstanding when used ( spielberg vastly under uses his supreme talents ) , and the rest of the cast is stellar .	3	-1	 mcconaughey[0] is[0] superb[0] as[0] the[0] lawyer[0] defending[0] the[0] africans[0] hopkins[0] is[0] sensational[0] as[0] the[0] old[0] adams[0] freeman[0] is[0] outstanding[2] when[0] used[0] spielberg[0] vastly[0] under[0] uses[0] his[0] supreme[2] talents[1] and[0] the[0] rest[0] of[0] the[0] cast[0] is[0] stellar[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the movie , however , belongs to hounsou . 	the movie , however , belongs to hounsou .	1	-1	 the[0] movie[0] however[0] belongs[0] to[0] hounsou[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his emotional intensity is brilliant . 	his emotional intensity is brilliant .	2	-2	 his[0] emotional[-1] intensity[0] is[0] brilliant[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
spielberg manages to make even the slowest scenes sparkle with focus on hounsou , and the film's extraordinary power is simply captivating . 	spielberg manages to make even the slowest scenes sparkle with focus on hounsou , and the film's extraordinary power is simply captivating .	1	-1	 spielberg[0] manages[0] to[0] make[0] even[0] the[0] slowest[0] scenes[0] sparkle[0] with[0] focus[0] on[0] hounsou[0] and[0] the[0] film's[0] extraordinary[0] power[0] is[0] simply[0] captivating[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film is flawed , for most of the supporting characters are merely cardboard . 	the film is flawed , for most of the supporting characters are merely cardboard .	2	-1	 the[0] film[0] is[0] flawed[0] for[0] most[0] of[0] the[0] supporting[1] characters[0] are[0] merely[0] cardboard[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but that doesn't matter . 	but that doesn't matter .	1	-1	 but[0] that[0] doesn't[0] matter[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the story is a gripping one , and one of extreme importance . 	the story is a gripping one , and one of extreme importance .	1	-1	 the[0] story[0] is[0] a[0] gripping[0] one[0] and[0] one[0] of[0] extreme[0] importance[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
kudos to spielberg for finding it , finding the right men for the job , and letting the audience listen to the words of cinque . 	kudos to spielberg for finding it , finding the right men for the job , and letting the audience listen to the words of cinque .	1	-1	 kudos[0] to[0] spielberg[0] for[0] finding[0] it[0] finding[0] the[0] right[0] men[0] for[0] the[0] job[0] and[0] letting[0] the[0] audience[0] listen[0] to[0] the[0] words[0] of[0] cinque[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a good job all around . 	a good job all around .	2	-1	 a[0] good[1] job[0] all[0] around[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
