look back at all the times in your life when there was a fork in the path to the future . 	Translation	Positive	Negative	EmotionRationale
the " road not taken " approach isn't just a plot device , either . 	the " road not taken " approach isn't just a plot device , either .	1	-1	 the[0] road[0] not[0] taken[0] approach[0] isn't[0] just[0] a[0] plot[0] device[0] either[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
writer/director peter howitt expands upon both possible fates of a character after she just misses/catches a train . 	writer/director peter howitt expands upon both possible fates of a character after she just misses/catches a train .	1	-1	 writer/director[0] peter[0] howitt[0] expands[0] upon[0] both[0] possible[0] fates[0] of[0] a[0] character[0] after[0] she[0] just[0] misses/catches[0] a[0] train[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the audience watches , with ever-growing fascination , how this one event impacts upon every aspect of her life : her future career , where she lives , whom she loves , and whether she has a family . 	the audience watches , with ever-growing fascination , how this one event impacts upon every aspect of her life : her future career , where she lives , whom she loves , and whether she has a family .	3	-1	 the[0] audience[0] watches[0] with[0] ever[0] growing[0] fascination[0] how[0] this[0] one[0] event[0] impacts[0] upon[0] every[0] aspect[0] of[0] her[0] life[0] her[0] future[0] career[0] where[0] she[0] lives[0] whom[0] she[0] loves[2] and[0] whether[0] she[0] has[0] a[0] family[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
as her separate destinies diverge and then re-converge , she becomes two completely different individuals . 	as her separate destinies diverge and then re-converge , she becomes two completely different individuals .	1	-1	 as[0] her[0] separate[0] destinies[0] diverge[0] and[0] then[0] re[0] converge[0] she[0] becomes[0] two[0] completely[0] different[0] individuals[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that woman is helen , played by gwyneth paltrow as a long , dark- haired brit . 	that woman is helen , played by gwyneth paltrow as a long , dark- haired brit .	1	-1	 that[0] woman[0] is[0] helen[0] played[0] by[0] gwyneth[0] paltrow[0] as[0] a[0] long[0] dark[0] haired[0] brit[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one day , after losing her job as an advertising executive , she decides to return home in the middle of the day . 	one day , after losing her job as an advertising executive , she decides to return home in the middle of the day .	1	-3	 one[0] day[0] after[0] losing[-2] her[0] job[0] as[0] an[0] advertising[0] executive[0] she[0] decides[0] to[0] return[0] home[0] in[0] the[0] middle[0] of[0] the[0] day[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the scene of the pivotal moment is a train platform . 	the scene of the pivotal moment is a train platform .	1	-1	 the[0] scene[0] of[0] the[0] pivotal[0] moment[0] is[0] a[0] train[0] platform[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in scenario #1 , she just slips through the sliding doors before the train pulls out of the station . 	in scenario #1 , she just slips through the sliding doors before the train pulls out of the station .	1	-1	 in[0] scenario[0] #1[0] she[0] just[0] slips[0] through[0] the[0] sliding[0] doors[0] before[0] the[0] train[0] pulls[0] out[0] of[0] the[0] station[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
on board , she meets the cheerful , talkative james ( john hannah ) , a monty python fan who is taken with her beauty . 	on board , she meets the cheerful , talkative james ( john hannah ) , a monty python fan who is taken with her beauty .	3	-1	 on[0] board[0] she[0] meets[0] the[0] cheerful[2] talkative[0] james[0] john[0] hannah[0] a[0] monty[0] python[0] fan[0] who[0] is[0] taken[0] with[0] her[0] beauty[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
minutes later , in her flat , she walks in on her lover , gerry ( john lynch ) , in bed with another woman ( jeanne tripplehorn ) . 	minutes later , in her flat , she walks in on her lover , gerry ( john lynch ) , in bed with another woman ( jeanne tripplehorn ) .	4	-1	 minutes[0] later[0] in[0] her[0] flat[0] she[0] walks[0] in[0] on[0] her[0] lover[3] gerry[0] john[0] lynch[0] in[0] bed[0] with[0] another[0] woman[0] jeanne[0] tripplehorn[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
in scenario #2 , she misses the train and , shortly thereafter , is the victim of an attempted mugging . 	in scenario #2 , she misses the train and , shortly thereafter , is the victim of an attempted mugging .	1	-3	 in[0] scenario[0] #2[0] she[0] misses[-2] the[0] train[0] and[0] shortly[0] thereafter[0] is[0] the[0] victim[-2] of[0] an[0] attempted[0] mugging[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
she doesn't meet james and fails to make it home in time to discover gerry's infidelity . 	she doesn't meet james and fails to make it home in time to discover gerry's infidelity .	1	-3	 she[0] doesn't[0] meet[0] james[0] and[0] fails[-2] to[0] make[0] it[0] home[0] in[0] time[0] to[0] discover[0] gerry's[0] infidelity[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
juxtaposed one against the other , while sharing many places , cues , and characters , the two stories proceed in parallel from there . 	juxtaposed one against the other , while sharing many places , cues , and characters , the two stories proceed in parallel from there .	1	-2	 juxtaposed[0] one[0] against[-1] the[0] other[0] while[0] sharing[0] many[0] places[0] cues[0] and[0] characters[0] the[0] two[0] stories[0] proceed[0] in[0] parallel[0] from[0] there[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
on one level , for viewers who enjoy pondering the workings of fate , sliding doors can be viewed as a deep and wonderful experience . 	on one level , for viewers who enjoy pondering the workings of fate , sliding doors can be viewed as a deep and wonderful experience .	3	-1	 on[0] one[0] level[0] for[0] viewers[0] who[0] enjoy[2] pondering[0] the[0] workings[0] of[0] fate[0] sliding[0] doors[0] can[0] be[0] viewed[0] as[0] a[0] deep[0] and[0] wonderful[2] experience[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but , for those who just appreciate a romantic comedy characterized by solid acting , a script with a few twists , and a great deal of genuinely funny material , sliding doors still fits the bill . 	but , for those who just appreciate a romantic comedy characterized by solid acting , a script with a few twists , and a great deal of genuinely funny material , sliding doors still fits the bill .	4	-1	 but[0] for[0] those[0] who[0] just[0] appreciate[1][-1 LastWordBoosterStrength] a[0] romantic[3] comedy[0] characterized[0] by[0] solid[0] acting[0] a[0] script[0] with[0] a[0] few[0] twists[0] and[0] a[0] great[2] deal[0] of[0] genuinely[0] funny[1] material[0] sliding[0] doors[0] still[0] fits[0] the[0] bill[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
one of its most obvious strengths is that it can satisfy many different types of audiences -- those who demand something substantial from their motion pictures , and those who could care less . 	one of its most obvious strengths is that it can satisfy many different types of audiences - those who demand something substantial from their motion pictures , and those who could care less .	2	-1	 one[0] of[0] its[0] most[0] obvious[0] strengths[0] is[0] that[0] it[0] can[0] satisfy[1] many[0] different[0] types[0] of[0] audiences[0] those[0] who[0] demand[0] something[0] substantial[0] from[0] their[0] motion[0] pictures[0] and[0] those[0] who[0] could[0] care[1][-1 LastWordBoosterStrength] less[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it shouldn't come as any surprise that the acting , at least from three of the four leads , is solid . 	it shouldn't come as any surprise that the acting , at least from three of the four leads , is solid .	1	-1	 it[0] shouldn't[0] come[0] as[0] any[0] surprise[0] that[0] the[0] acting[0] at[0] least[0] from[0] three[0] of[0] the[0] four[0] leads[0] is[0] solid[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
paltrow , who does double duty as two helens who are initially the same , yet gradually become much different , is the standout . 	paltrow , who does double duty as two helens who are initially the same , yet gradually become much different , is the standout .	1	-2	 paltrow[0] who[0] does[0] double[0] duty[-1] as[0] two[0] helens[0] who[0] are[0] initially[0] the[0] same[0] yet[0] gradually[0] become[0] much[0] different[0] is[0] the[0] standout[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
she plays both of her roles effectively and believably -- the shy , insecure woman who stays with gerry and the liberated , platinum-blond who severs the ties to her old life and embarks on a new career with a new man . 	she plays both of her roles effectively and believably - the shy , insecure woman who stays with gerry and the liberated , platinum-blond who severs the ties to her old life and embarks on a new career with a new man .	2	-3	 she[0] plays[1] both[0] of[0] her[0] roles[0] effectively[0] and[0] believably[0] the[0] shy[-2] insecure[-1] woman[0] who[0] stays[0] with[0] gerry[0] and[0] the[0] liberated[0] platinum[0] blond[0] who[0] severs[0] the[0] ties[0] to[0] her[0] old[0] life[0] and[0] embarks[0] on[0] a[0] new[0] career[0] with[0] a[0] new[0] man[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
john hannah , known to most american viewers as the younger gay character in four weddings and a funeral , is instantly likable . 	john hannah , known to most american viewers as the younger gay character in four weddings and a funeral , is instantly likable .	1	-2	 john[0] hannah[0] known[0] to[0] most[0] american[0] viewers[0] as[0] the[0] younger[0] gay[-1] character[0] in[0] four[0] weddings[0] and[0] a[0] funeral[0] is[0] instantly[0] likable[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
john lynch , taking a break from movies about ireland's troubles , does a good job presenting gerry as a inept , selfish philanderer . 	john lynch , taking a break from movies about ireland's troubles , does a good job presenting gerry as a inept , selfish philanderer .	2	-4	 john[0] lynch[0] taking[0] a[0] break[0] from[0] movies[0] about[0] ireland's[0] troubles[-1] does[0] a[0] good[1] job[0] presenting[0] gerry[0] as[0] a[0] inept[0] selfish[-3] philanderer[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
only jeanne tripplehorn , who plays an over-the-top vixen , seems out of place . 	only jeanne tripplehorn , who plays an over-the-top vixen , seems out of place .	2	-1	 only[0] jeanne[0] tripplehorn[0] who[0] plays[1] an[0] over[0] the[0] top[0] vixen[0] seems[0] out[0] of[0] place[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
her attempts at broad comedy are occasionally jarring , and it's occasionally difficult to see her lydia as anything more than a plot element . 	her attempts at broad comedy are occasionally jarring , and it's occasionally difficult to see her lydia as anything more than a plot element .	1	-2	 her[0] attempts[0] at[0] broad[0] comedy[0] are[0] occasionally[0] jarring[0] and[0] it's[0] occasionally[0] difficult[-1] to[0] see[0] her[0] lydia[0] as[0] anything[0] more[0] than[0] a[0] plot[0] element[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
one member of the supporting cast deserves special notice . 	one member of the supporting cast deserves special notice .	2	-1	 one[0] member[0] of[0] the[0] supporting[1] cast[0] deserves[0] special[1] notice[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
douglas mcferran , who plays gerry's best friend , russell , is an absolute delight , stealing every scene that he's in . 	douglas mcferran , who plays gerry's best friend , russell , is an absolute delight , stealing every scene that he's in .	3	-3	 douglas[0] mcferran[0] who[0] plays[1] gerry's[0] best[1] friend[1] russell[0] is[0] an[0] absolute[0] delight[2] stealing[-2] every[0] scene[0] that[0] he's[0] in[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
part of this is surely because he is given the best lines in the movie . 	part of this is surely because he is given the best lines in the movie .	2	-1	 part[0] of[0] this[0] is[0] surely[0] because[0] he[0] is[0] given[0] the[0] best[1] lines[0] in[0] the[0] movie[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
on one occasion , he has a marvelous monologue bemoaning how advances in the telecommunications industry have trapped men into a life of monogamy . 	on one occasion , he has a marvelous monologue bemoaning how advances in the telecommunications industry have trapped men into a life of monogamy .	1	-1	 on[0] one[0] occasion[0] he[0] has[0] a[0] marvelous[0] monologue[0] bemoaning[0] how[0] advances[0] in[0] the[0] telecommunications[0] industry[0] have[0] trapped[0] men[0] into[0] a[0] life[0] of[0] monogamy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
on another occasion , while laughing at gerry's plight with the women in his life , he comments , " being with you makes the wait for the next episode of seinfeld more bearable . " 	on another occasion , while laughing at gerry's plight with the women in his life , he comments , " being with you makes the wait for the next episode of seinfeld more bearable .<br> "	2	-2	 on[0] another[0] occasion[0] while[0] laughing[1] at[0] gerry's[0] plight[-1] with[0] the[0] women[0] in[0] his[0] life[0] he[0] comments[0] being[0] with[0] you[0] makes[0] the[0] wait[0] for[0] the[0] next[0] episode[0] of[0] seinfeld[0] more[0] bearable[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
but it's not all in the dialogue . 	but it's not all in the dialogue .	1	-1	 but[0] it's[0] not[0] all[0] in[0] the[0] dialogue[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
mcferran tears into this part with relish ; his performance becomes one of the most memorable aspects of a top-notch comedy . 	mcferran tears into this part with relish ; his performance becomes one of the most memorable aspects of a top-notch comedy .	1	-4	 mcferran[0] tears[-3] into[0] this[0] part[0] with[0] relish[0] his[0] performance[0] becomes[0] one[0] of[0] the[0] most[0] memorable[0] aspects[0] of[0] a[0] top[0] notch[0] comedy[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
this is the first feature film for peter howitt , and he approaches the task with unimpeachable aplomb . 	this is the first feature film for peter howitt , and he approaches the task with unimpeachable aplomb .	1	-1	 this[0] is[0] the[0] first[0] feature[0] film[0] for[0] peter[0] howitt[0] and[0] he[0] approaches[0] the[0] task[0] with[0] unimpeachable[0] aplomb[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the script is shrewd and inventive , combining wit , romance , and intelligent melodrama into a crowd-pleasing whole . 	the script is shrewd and inventive , combining wit , romance , and intelligent melodrama into a crowd-pleasing whole .	4	-1	 the[0] script[0] is[0] shrewd[0] and[0] inventive[0] combining[0] wit[0] romance[3] and[0] intelligent[1] melodrama[0] into[0] a[0] crowd[0] pleasing[2] whole[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
sliding doors grants more than just a good time at the movies , however . 	sliding doors grants more than just a good time at the movies , however .	2	-1	 sliding[0] doors[0] grants[0] more[0] than[0] just[0] a[0] good[1] time[0] at[0] the[0] movies[0] however[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
for those who are so inclined , its central theme offers an opportunity to ponder some of the more philosophical questions about the workings of the universe -- all while having a good time . 	for those who are so inclined , its central theme offers an opportunity to ponder some of the more philosophical questions about the workings of the universe - all while having a good time .	2	-1	 for[0] those[0] who[0] are[0] so[0] inclined[0] its[0] central[0] theme[0] offers[0] an[0] opportunity[0] to[0] ponder[0] some[0] of[0] the[0] more[0] philosophical[0] questions[0] about[0] the[0] workings[0] of[0] the[0] universe[0] all[0] while[0] having[0] a[0] good[1] time[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
