director dominic sena ( who made the highly underrated kalifornia ) and producer jerry bruckheimer ( the rock , armageddon ) bring us a slick and entertaining remake of the 1974 film of the same name that absolutely no one has ever seen . 	Translation	Positive	Negative	EmotionRationale
thereby adding some meat to the plot . 	thereby adding some meat to the plot .	1	-1	 thereby[0] adding[0] some[0] meat[0] to[0] the[0] plot[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the finale is essentially just a big car chase , and there just aren't ways to make car chases interesting anymore . 	the finale is essentially just a big car chase , and there just aren't ways to make car chases interesting anymore .	2	-2	 the[0] finale[0] is[0] essentially[0] just[0] a[0] big[0] car[0] chase[-1] and[0] there[0] just[0] aren't[0] ways[0] to[0] make[0] car[0] chases[-1] interesting[1] anymore[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it's all been done . 	it's all been done .	1	-1	 it's[0] all[0] been[0] done[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the chase is also shot and edited in that " jerry bruckheimer action sequence " kind of way that leaves the audience wondering what specifically is going on in the scene . 	the chase is also shot and edited in that " jerry bruckheimer action sequence " kind of way that leaves the audience wondering what specifically is going on in the scene .	2	-2	 the[0] chase[-1] is[0] also[0] shot[-1] and[0] edited[0] in[0] that[0] jerry[0] bruckheimer[0] action[0] sequence[0] kind[1] of[0] way[0] that[0] leaves[0] the[0] audience[0] wondering[0] what[0] specifically[0] is[0] going[0] on[0] in[0] the[0] scene[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
sure it's a car chase , but what exactly are the particulars of it ? 	sure it's a car chase , but what exactly are the particulars of it ?	1	-2	 sure[0] it's[0] a[0] car[0] chase[-1] but[0] what[0] exactly[0] are[0] the[0] particulars[0] of[0] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's very hard to tell . 	it's very hard to tell .	1	-1	 it's[0] very[0] hard[0] to[0] tell[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
finally , there's a stunt during this scene that comes close to challenging the " bus jumping the ramp " sequence from speed in the " oh , i don't think so . . . " 	finally , there's a stunt during this scene that comes close to challenging the " bus jumping the ramp " sequence from speed in the " oh , i don't think so .<br> .<br> .<br> "	1	-2	 finally[0] there's[0] a[0] stunt[-1] during[0] this[0] scene[0] that[0] comes[0] close[0] to[0] challenging[0] the[0] bus[0] jumping[0] the[0] ramp[0] sequence[0] from[0] speed[0] in[0] the[0] oh[0] i[0] don't[0] think[0] so[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
department . 	department .	1	-1	 department[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
despite those minor complaints , gone in sixty seconds is pure summer movie entertainment . 	despite those minor complaints , gone in sixty seconds is pure summer movie entertainment .	1	-2	 despite[0] those[0] minor[0] complaints[-1] gone[0] in[0] sixty[0] seconds[0] is[0] pure[0] summer[0] movie[0] entertainment[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's not thought provoking , but it's shiny , loud and fun . . . 	it's not thought provoking , but it's shiny , loud and fun .<br> .<br> .	2	-1	 it's[0] not[0] thought[0] provoking[0] but[0] it's[0] shiny[0] loud[0] and[0] fun[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
just what a summer flick should be . 	just what a summer flick should be .	1	-1	 just[0] what[0] a[0] summer[0] flick[0] should[0] be[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
[pg-13] 	[pg-13]	1	-1	 [pg[0] -13][0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
