it shows that america remains ambivalent over the nature of its political system . 	Translation	Positive	Negative	EmotionRationale
woody harrelson as the lead character reprises his role as a to-hell-with-morality , to-hell-with-the-law , and to-hell-with-the-system anti-christ that we last saw in natural born killers . 	woody harrelson as the lead character reprises his role as a to-hell-with-morality , to-hell-with-the-law , and to-hell-with-the-system anti-christ that we last saw in natural born killers .	1	-2	 woody[0] harrelson[0] as[0] the[0] lead[0] character[0] reprises[0] his[0] role[0] as[0] a[0] to[0] hell[-1] with[0] morality[0] to[0] hell[-1] with[0] the[0] law[0] and[0] to[0] hell[-1] with[0] the[0] system[0] anti[0] christ[0] that[0] we[0] last[0] saw[0] in[0] natural[0] born[0] killers[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and he is outrageous and convincing as a nihilistic atheist who nonetheless loves his ex-stripper wife dearly . 	and he is outrageous and convincing as a nihilistic atheist who nonetheless loves his ex-stripper wife dearly .	3	-3	 and[0] he[0] is[0] outrageous[-2] and[0] convincing[0] as[0] a[0] nihilistic[0] atheist[0] who[0] nonetheless[0] loves[2] his[0] ex[0] stripper[0] wife[0] dearly[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the latter is played with abandon , conviction and sensitivity all at once by courtney love , who is the real star of the show and really snubbed of an academy award best actress nomination , if not of the award itself . 	the latter is played with abandon , conviction and sensitivity all at once by courtney love , who is the real star of the show and really snubbed of an academy award best actress nomination , if not of the award itself .	3	-2	 the[0] latter[0] is[0] played[0] with[0] abandon[-1] conviction[-1] and[0] sensitivity[0] all[0] at[0] once[0] by[0] courtney[0] love[2] who[0] is[0] the[0] real[0] star[0] of[0] the[0] show[0] and[0] really[0] snubbed[0] of[0] an[0] academy[0] award[0] best[1] actress[0] nomination[0] if[0] not[0] of[0] the[0] award[0] itself[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
edward norton plays their jerky lawyer . 	edward norton plays their jerky lawyer .	2	-1	 edward[0] norton[0] plays[1] their[0] jerky[0] lawyer[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the relationship between harrelson and love brings out another great paradox - superficially they are immoral outcasts who've had it coming ; woody gets shot and becomes paralysed from the waist down , and courtney dies of aids . 	the relationship between harrelson and love brings out another great paradox - superficially they are immoral outcasts who've had it coming ; woody gets shot and becomes paralysed from the waist down , and courtney dies of aids .	3	-3	 the[0] relationship[0] between[0] harrelson[0] and[0] love[2] brings[0] out[0] another[0] great[2] paradox[0] superficially[-1] they[0] are[0] immoral[-2] outcasts[0] who've[0] had[0] it[0] coming[0] woody[0] gets[0] shot[-1] and[0] becomes[0] paralysed[0] from[0] the[0] waist[0] down[0] and[0] courtney[0] dies[0] of[0] aids[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
god's damnation . 	god's damnation .	1	-2	 god's[0] damnation[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but in the powerful love they have for each other , each standing by the other in turn , the two leads highlight the question how much is the nihilist still a moralist and ( in the american context ) a christian , if they can love and care , and feel just like anyone else on a personal level . 	but in the powerful love they have for each other , each standing by the other in turn , the two leads highlight the question how much is the nihilist still a moralist and ( in the american context ) a christian , if they can love and care , and feel just like anyone else on a personal level .	3	-1	 but[0] in[0] the[0] powerful[0] love[2] they[0] have[0] for[0] each[0] other[0] each[0] standing[0] by[0] the[0] other[0] in[0] turn[0] the[0] two[0] leads[0] highlight[0] the[0] question[0] how[0] much[0] is[0] the[0] nihilist[0] still[0] a[0] moralist[0] and[0] in[0] the[0] american[0] context[0] a[0] christian[0] if[0] they[0] can[0] love[2] and[0] care[1] and[0] feel[0] just[0] like[1][-1 LastWordBoosterStrength] anyone[0] else[0] on[0] a[0] personal[0] level[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
friedrich nietzsche once talked about how the atheist must uncover for himself the full consequences of atheism by ridding himself of all moral-christian influences . 	friedrich nietzsche once talked about how the atheist must uncover for himself the full consequences of atheism by ridding himself of all moral-christian influences .	1	-1	 friedrich[0] nietzsche[0] once[0] talked[0] about[0] how[0] the[0] atheist[0] must[0] uncover[0] for[0] himself[0] the[0] full[0] consequences[0] of[0] atheism[0] by[0] ridding[0] himself[0] of[0] all[0] moral[0] christian[0] influences[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
to go beyond good and evil . 	to go beyond good and evil .	2	-3	 to[0] go[0] beyond[0] good[1] and[0] evil[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
this is a great picture , no doubt , and i love it personally . 	this is a great picture , no doubt , and i love it personally .	3	-2	 this[0] is[0] a[0] great[2] picture[0] no[0] doubt[-1] and[0] i[0] love[2] it[0] personally[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
because it is moving , funny , ends with open american optimism blah blah . 	because it is moving , funny , ends with open american optimism blah blah .	2	-2	 because[0] it[0] is[0] moving[0] funny[1] ends[0] with[0] open[0] american[0] optimism[1] blah[-1] blah[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
but i like it and admire it because it comes from a fine american tradition that dares to raise difficult questions , and call into doubt ideas and doctrines that otherwise are used as catchphrases . 	but i like it and admire it because it comes from a fine american tradition that dares to raise difficult questions , and call into doubt ideas and doctrines that otherwise are used as catchphrases .	3	-2	 but[0] i[0] like[1] it[0] and[0] admire[2] it[0] because[0] it[0] comes[0] from[0] a[0] fine[2] american[0] tradition[0] that[0] dares[0] to[0] raise[0] difficult[-1] questions[0] and[0] call[0] into[0] doubt[-1] ideas[0] and[0] doctrines[0] that[0] otherwise[0] are[0] used[0] as[0] catchphrases[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
there are times when movies go beyond the story they tell and reflect something of hidden realities . 	there are times when movies go beyond the story they tell and reflect something of hidden realities .	1	-1	 there[0] are[0] times[0] when[0] movies[0] go[0] beyond[0] the[0] story[0] they[0] tell[0] and[0] reflect[0] something[0] of[0] hidden[0] realities[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this movie is not so much about larry flynt , but about americans and american society . 	this movie is not so much about larry flynt , but about americans and american society .	1	-1	 this[0] movie[0] is[0] not[0] so[0] much[0] about[0] larry[0] flynt[0] but[0] about[0] americans[0] and[0] american[0] society[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
