 " the faculty , " the heavily-hyped and advertised sci-fi/horror film that has teamed up director robert rodriguez ( 1995's " desperado " and 1996's " from dusk till dawn " ) and screenwriter kevin williamson ( 1996's " scream " and 1997's " scream 2 " ) , is being called a cross between " invasion of the body snatchers " and " the breakfast club , " and i don't think i could describe it any better than that . 	Translation	Positive	Negative	EmotionRationale
one exception were the teens , who , aside from elijah wood , are not very well-known , but they all aquit themselves nicely , particularly wood ( the seasoned pro ) , clea duvall , and jordanna brewster . 	one exception were the teens , who , aside from elijah wood , are not very well-known , but they all aquit themselves nicely , particularly wood ( the seasoned pro ) , clea duvall , and jordanna brewster .	2	-1	 one[0] exception[0] were[0] the[0] teens[0] who[0] aside[0] from[0] elijah[0] wood[0] are[0] not[0] very[0] well[0] known[0] but[0] they[0] all[0] aquit[0] themselves[0] nicely[1] particularly[0] wood[0] the[0] seasoned[0] pro[0] clea[0] duvall[0] and[0] jordanna[0] brewster[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
as members of the faculty , robert patrick ( " t2 : judgement day " ) was creepy as the gym coach ; piper laurie was amusing and threatening as the drama teacher ; bebe neuwirth actually was somehow able to look like an alien ; and salma hayek , as the school nurse with a bad case of the cold , was very funny in a small role . 	as members of the faculty , robert patrick ( " t2 : judgement day " ) was creepy as the gym coach ; piper laurie was amusing and threatening as the drama teacher ; bebe neuwirth actually was somehow able to look like an alien ; and salma hayek , as the school nurse with a bad case of the cold , was very funny in a small role .	3	-3	 as[0] members[0] of[0] the[0] faculty[0] robert[0] patrick[0] t2[0] judgement[0] day[0] was[0] creepy[0] as[0] the[0] gym[0] coach[0] piper[0] laurie[0] was[0] amusing[1] and[0] threatening[-2] as[0] the[0] drama[0] teacher[0] bebe[0] neuwirth[0] actually[0] was[0] somehow[0] able[0] to[0] look[0] like[1] an[0] alien[-1] and[0] salma[0] hayek[0] as[0] the[0] school[0] nurse[0] with[0] a[0] bad[-1] case[0] of[0] the[0] cold[-1] was[0] very[0] funny[1][1 LastWordBoosterStrength] in[0] a[0] small[0] role[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the standout , in my opinion , of the whole cast was famke janssen who turns in an oddly touching performance as the shy and meek english teacher who , after turning into an alien , becomes the sex bombshell . 	the standout , in my opinion , of the whole cast was famke janssen who turns in an oddly touching performance as the shy and meek english teacher who , after turning into an alien , becomes the sex bombshell .	1	-3	 the[0] standout[0] in[0] my[0] opinion[0] of[0] the[0] whole[0] cast[0] was[0] famke[0] janssen[0] who[0] turns[0] in[0] an[0] oddly[0] touching[0] performance[0] as[0] the[0] shy[-2] and[0] meek[-1] english[0] teacher[0] who[0] after[0] turning[0] into[0] an[0] alien[-1] becomes[0] the[0] sex[0] bombshell[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
if there was any problem i had with the faculty , it was that some of them were given no real payoff in the climactic sequence . 	if there was any problem i had with the faculty , it was that some of them were given no real payoff in the climactic sequence .	1	-2	 if[0] there[0] was[0] any[0] problem[-1] i[0] had[0] with[0] the[0] faculty[0] it[0] was[0] that[0] some[0] of[0] them[0] were[0] given[0] no[0] real[0] payoff[0] in[0] the[0] climactic[0] sequence[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
since the teenagers realize that in order to save everyone they must kill the " queen " alien , many of the faculty members disappear . 	since the teenagers realize that in order to save everyone they must kill the " queen " alien , many of the faculty members disappear .	2	-2	 since[0] the[0] teenagers[0] realize[0] that[0] in[0] order[0] to[0] save[1] everyone[0] they[0] must[0] kill[-1] the[0] queen[0] alien[-1] many[0] of[0] the[0] faculty[0] members[0] disappear[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it might have been more fun if they had to face every one of the teachers , although the finale is still pretty impressive , and includes some showstopping creature effects , especially for a relatively low 15-million-dollar budget . 	it might have been more fun if they had to face every one of the teachers , although the finale is still pretty impressive , and includes some showstopping creature effects , especially for a relatively low 15-million-dollar budget .	3	-2	 it[0] might[0] have[0] been[0] more[0] fun[1] if[0] they[0] had[0] to[0] face[0] every[0] one[0] of[0] the[0] teachers[0] although[0] the[0] finale[0] is[0] still[0] pretty[2] impressive[1] and[0] includes[0] some[0] showstopping[0] creature[0] effects[0] especially[0] for[0] a[0] relatively[0] low[-1] 15[0] million[0] dollar[0] budget[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
although not one of the best horror or science-fiction films i have seen , " the faculty " is still an exciting and worthy film that dimension films was smart to release around the holiday season when this type of genre offering is usually not released . 	although not one of the best horror or science-fiction films i have seen , " the faculty " is still an exciting and worthy film that dimension films was smart to release around the holiday season when this type of genre offering is usually not released .	3	-4	 although[0] not[0] one[0] of[0] the[0] best[1] horror[-3] or[0] science[0] fiction[0] films[0] i[0] have[0] seen[0] the[0] faculty[0] is[0] still[0] an[0] exciting[2] and[0] worthy[0] film[0] that[0] dimension[0] films[0] was[0] smart[1] to[0] release[0] around[0] the[0] holiday[0] season[0] when[0] this[0] type[0] of[0] genre[0] offering[0] is[0] usually[0] not[0] released[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
while the story is as old as the hills , it is also , in a way , timeless , because everyone , i think , has suspected at one time or another that a certain person simply did not act right , as if they really weren't human . 	while the story is as old as the hills , it is also , in a way , timeless , because everyone , i think , has suspected at one time or another that a certain person simply did not act right , as if they really weren't human .	1	-1	 while[0] the[0] story[0] is[0] as[0] old[0] as[0] the[0] hills[0] it[0] is[0] also[0] in[0] a[0] way[0] timeless[0] because[0] everyone[0] i[0] think[0] has[0] suspected[0] at[0] one[0] time[0] or[0] another[0] that[0] a[0] certain[0] person[0] simply[0] did[0] not[0] act[0] right[0] as[0] if[0] they[0] really[0] weren't[0] human[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and by putting this idea in the setting of a small-town high school , it perfectly contrasts with the alienation that most teenagers usually go through when relating to adults and other peers . 	and by putting this idea in the setting of a small-town high school , it perfectly contrasts with the alienation that most teenagers usually go through when relating to adults and other peers .	2	-2	 and[0] by[0] putting[0] this[0] idea[0] in[0] the[0] setting[0] of[0] a[0] small[0] town[0] high[0] school[0] it[0] perfectly[1] contrasts[0] with[0] the[0] alienation[-1] that[0] most[0] teenagers[0] usually[0] go[0] through[0] when[0] relating[0] to[0] adults[0] and[0] other[0] peers[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
  note : the ad and poster campaign for this film is hugely misleading , as it features r & b artist usher raymond as one of the main characters . 	  note : the ad and poster campaign for this film is hugely misleading , as it features are & b artist usher raymond as one of the main characters .	1	-1	 note[0] the[0] ad[0] and[0] poster[0] campaign[0] for[0] this[0] film[0] is[0] hugely[0] misleading[0] as[0] it[0] features[0] r[0] &[0] b[0] artist[0] usher[0] raymond[0] as[0] one[0] of[0] the[0] main[0] characters[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in actuality , he only has a small role as one of stan's buddies who becomes quarterback after stan resigns from the team . 	in actuality , he only has a small role as one of stan's buddies who becomes quarterback after stan resigns from the team .	1	-2	 in[0] actuality[0] he[0] only[0] has[0] a[0] small[0] role[0] as[0] one[0] of[0] stan's[0] buddies[0] who[0] becomes[0] quarterback[0] after[0] stan[0] resigns[-1] from[0] the[0] team[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
if i were one of the heads from dimension , i would change this advertising at once , since it is unnecessary and rather deceiving . 	if i were one of the heads from dimension , i would change this advertising at once , since it is unnecessary and rather deceiving .	1	-2	 if[0] i[0] were[0] one[0] of[0] the[0] heads[0] from[0] dimension[0] i[0] would[0] change[0] this[0] advertising[0] at[0] once[0] since[0] it[0] is[0] unnecessary[-1] and[0] rather[0] deceiving[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
