ingredients : man with amnesia who wakes up wanted for murder , dark science fiction city controlled by alien beings with mental powers . 	Translation	Positive	Negative	EmotionRationale
and how come nobody seems to remember how to leave the city , or how to get to nearby shell beach ? 	and how come nobody seems to remember how to leave the city , or how to get to nearby shell beach ?	1	-1	 and[0] how[0] come[0] nobody[0] seems[0] to[0] remember[0] how[0] to[0] leave[0] the[0] city[0] or[0] how[0] to[0] get[0] to[0] nearby[0] shell[0] beach[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
every night , around midnight , john notices that the whole city enters a state of suspended animation , and at this time , creepy alien experimenters known as the 'strangers' come out and do nasty things like inject fake memories into people's heads with big hypodermic needles . 	every night , around midnight , john notices that the whole city enters a state of suspended animation , and at this time , creepy alien experimenters known as the 'strangers' come out and do nasty things like inject fake memories into people's heads with big hypodermic needles .	2	-3	 every[0] night[0] around[0] midnight[0] john[0] notices[0] that[0] the[0] whole[0] city[0] enters[0] a[0] state[0] of[0] suspended[0] animation[0] and[0] at[0] this[0] time[0] creepy[0] alien[-1] experimenters[0] known[0] as[0] the[0] 'strangers'[0] come[0] out[0] and[0] do[0] nasty[-2] things[0] like[1] inject[0] fake[-1] memories[0] into[0] people's[0] heads[0] with[0] big[0] hypodermic[0] needles[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the strangers have the ability to 'tune , ' or warp reality using telepathic powers . 	the strangers have the ability to 'tune , ' or warp reality using telepathic powers .	1	-2	 the[0] strangers[0] have[0] the[0] ability[0] to[0] 'tune[0] '[0] or[0] warp[-1] reality[0] using[0] telepathic[0] powers[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
turns out , the city is not on earth at all . 	turns out , the city is not on earth at all .	1	-1	 turns[0] out[0] the[0] city[0] is[0] not[0] on[0] earth[0] at[0] all[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and the reason why john doesn't fall victim to the nightly suspended animation , is because he is a human mutation that possesses the same god-like reality-warping abilities as the strangers . 	and the reason why john doesn't fall victim to the nightly suspended animation , is because he is a human mutation that possesses the same god-like reality-warping abilities as the strangers .	2	-3	 and[0] the[0] reason[0] why[0] john[0] doesn't[0] fall[0] victim[-2] to[0] the[0] nightly[0] suspended[0] animation[0] is[0] because[0] he[0] is[0] a[0] human[0] mutation[0] that[0] possesses[0] the[0] same[0] god[0] like[1] reality[0] warping[-1] abilities[0] as[0] the[0] strangers[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
even with the help of scientist dr . daniel schreber , can john take back the dark city ? 	even with the help of scientist dr .<br> daniel schreber , can john take back the dark city ?	1	-1	 even[0] with[0] the[0] help[0] of[0] scientist[0] dr[0] [[Sentence=-1,1=word max, 1-5]] daniel[0] schreber[0] can[0] john[0] take[0] back[0] the[0] dark[0] city[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
opinion : director alex proyas ( he also directed the crow ) mentions this in the dark city press kit : in films , science fiction is always " used to have big spaceships blow up cities . 	opinion : director alex proyas ( he also directed the crow ) mentions this in the dark city press kit : in films , science fiction is always " used to have big spaceships blow up cities .	1	-1	 opinion[0] director[0] alex[0] proyas[0] he[0] also[0] directed[0] the[0] crow[0] mentions[0] this[0] in[0] the[0] dark[0] city[0] press[0] kit[0] in[0] films[0] science[0] fiction[0] is[0] always[0] used[0] to[0] have[0] big[0] spaceships[0] blow[0] up[0] cities[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i think we're a little tired of that . " 	i think we're a little tired of that .<br> "	1	-2	 i[0] think[0] we're[0] a[0] little[0] tired[-1] of[0] that[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
according to director proyas , probably the most interesting thing about dark city is its layers . 	according to director proyas , probably the most interesting thing about dark city is its layers .	2	-1	 according[0] to[0] director[0] proyas[0] probably[0] the[0] most[0] interesting[1] thing[0] about[0] dark[0] city[0] is[0] its[0] layers[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's designed so that you can watch the film over again , and examine it from the perspective of a main character other than murdoch . 	it's designed so that you can watch the film over again , and examine it from the perspective of a main character other than murdoch .	1	-1	 it's[0] designed[0] so[0] that[0] you[0] can[0] watch[0] the[0] film[0] over[0] again[0] and[0] examine[0] it[0] from[0] the[0] perspective[0] of[0] a[0] main[0] character[0] other[0] than[0] murdoch[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's a philosophical piece . 	it's a philosophical piece .	1	-1	 it's[0] a[0] philosophical[0] piece[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
cinematic science fiction is basically a thinly disguised shootout between the good humans and the bad aliens ( whether they be klingons , giant bugs , or proponents of the dark side of the force ) . 	cinematic science fiction is basically a thinly disguised shootout between the good humans and the bad aliens ( whether they be klingons , giant bugs , or proponents of the dark side of the force ) .	2	-2	 cinematic[0] science[0] fiction[0] is[0] basically[0] a[0] thinly[0] disguised[0] shootout[-1] between[0] the[0] good[1] humans[0] and[0] the[0] bad[-1] aliens[0] whether[0] they[0] be[0] klingons[0] giant[0] bugs[0] or[0] proponents[0] of[0] the[0] dark[0] side[0] of[0] the[0] force[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
but science fiction in books reaches beyond the 'shoot-em-up' level and targets the big questions , questions like who are we ? 	but science fiction in books reaches beyond the 'shoot-em-up' level and targets the big questions , questions like who are we ?	2	-1	 but[0] science[0] fiction[0] in[0] books[0] reaches[0] beyond[0] the[0] 'shoot[0] em[0] up'[0] level[0] and[0] targets[0] the[0] big[0] questions[0] questions[0] like[1] who[0] are[0] we[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
what is the human condition ? 	what is the human condition ?	1	-1	 what[0] is[0] the[0] human[0] condition[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what is ethical ? 	what is ethical ?	1	-1	 what[0] is[0] ethical[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what would a true human being do ? 	what would a true human being do ?	2	-1	 what[0] would[0] a[0] true[1] human[0] being[0] do[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
far from comic book style on the order of spawn , batman , or the mutant ninja turtles , dark city not only features the showdown between good humans and powerful aliens , but it also asks questions worthy of films such as brazil or blade runner . 	far from comic book style on the order of spawn , batman , or the mutant ninja turtles , dark city not only features the showdown between good humans and powerful aliens , but it also asks questions worthy of films such as brazil or blade runner .	2	-1	 far[0] from[0] comic[0] book[0] style[0] on[0] the[0] order[0] of[0] spawn[0] batman[0] or[0] the[0] mutant[0] ninja[0] turtles[0] dark[0] city[0] not[0] only[0] features[0] the[0] showdown[0] between[0] good[1] humans[0] and[0] powerful[0] aliens[0] but[0] it[0] also[0] asks[0] questions[0] worthy[0] of[0] films[0] such[0] as[0] brazil[0] or[0] blade[0] runner[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
dark city is what philosophers would call an existentialist screenplay . 	dark city is what philosophers would call an existentialist screenplay .	1	-1	 dark[0] city[0] is[0] what[0] philosophers[0] would[0] call[0] an[0] existentialist[0] screenplay[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a little more than 200 years ago , the world was filled with unhappy peasants - - unhappy because nearly every aspect of their lives was controlled by totalitarian , military , conformist , medieval regimes . 	a little more than 200 years ago , the world was filled with unhappy peasants - - unhappy because nearly every aspect of their lives was controlled by totalitarian , military , conformist , medieval regimes .	1	-3	 a[0] little[0] more[0] than[0] 200[0] years[0] ago[0] the[0] world[0] was[0] filled[0] with[0] unhappy[-2] peasants[0] unhappy[-2] because[0] nearly[0] every[0] aspect[0] of[0] their[0] lives[0] was[0] controlled[0] by[0] totalitarian[0] military[0] conformist[0] medieval[0] regimes[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the people took refuge in religion , the idea being that earthly life was a time of suffering , but after death , heaven would be available . 	the people took refuge in religion , the idea being that earthly life was a time of suffering , but after death , heaven would be available .	2	-4	 the[0] people[0] took[0] refuge[0] in[0] religion[0] the[0] idea[0] being[0] that[0] earthly[0] life[0] was[0] a[0] time[0] of[0] suffering[-3] but[0] after[0] death[-2] heaven[1] would[0] be[0] available[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
meanwhile , the state used these same ideas to prop up their regimes ; the king was often head of the religion and therefore sanctioned by heaven . 	meanwhile , the state used these same ideas to prop up their regimes ; the king was often head of the religion and therefore sanctioned by heaven .	2	-1	 meanwhile[0] the[0] state[0] used[0] these[0] same[0] ideas[0] to[0] prop[0] up[0] their[0] regimes[0] the[0] king[0] was[0] often[0] head[0] of[0] the[0] religion[0] and[0] therefore[0] sanctioned[0] by[0] heaven[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
when science finally overturned religion , the medieval dictatorships came tumbling down and were replaced by democratic governments . 	when science finally overturned religion , the medieval dictatorships came tumbling down and were replaced by democratic governments .	1	-2	 when[0] science[0] finally[0] overturned[-1] religion[0] the[0] medieval[0] dictatorships[0] came[0] tumbling[0] down[0] and[0] were[0] replaced[0] by[0] democratic[0] governments[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but the new fear was that the power of science and experimentation would be used to create a world order as darkly totalitarian as the old . 	but the new fear was that the power of science and experimentation would be used to create a world order as darkly totalitarian as the old .	1	-4	 but[0] the[0] new[0] fear[-3] was[0] that[0] the[0] power[0] of[0] science[0] and[0] experimentation[0] would[0] be[0] used[0] to[0] create[0] a[0] world[0] order[0] as[0] darkly[0] totalitarian[0] as[0] the[0] old[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
this is the time period when writers and philosophers such as freud , kant , kafka , nietzsche , and dostoevsky pondered what society should be , and what place the individual had in it . 	this is the time period when writers and philosophers such as freud , kant , kafka , nietzsche , and dostoevsky pondered what society should be , and what place the individual had in it .	1	-1	 this[0] is[0] the[0] time[0] period[0] when[0] writers[0] and[0] philosophers[0] such[0] as[0] freud[0] kant[0] kafka[0] nietzsche[0] and[0] dostoevsky[0] pondered[0] what[0] society[0] should[0] be[0] and[0] what[0] place[0] the[0] individual[0] had[0] in[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the existentialists' in particular wrote about the power of the lone individual against what may be a hostile , indifferent , or alienated universe . 	the existentialists' in particular wrote about the power of the lone individual against what may be a hostile , indifferent , or alienated universe .	1	-3	 the[0] existentialists'[0] in[0] particular[0] wrote[0] about[0] the[0] power[0] of[0] the[0] lone[-1] individual[0] against[-1] what[0] may[0] be[0] a[0] hostile[-2] indifferent[-1] or[0] alienated[-1] universe[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in dark city , when the last dying , defeated alien asks john murdoch why the aliens' scientific experiments on the human beings' brains failed , murdoch replies , pointing to his head , " because the human condition isn't located in here . " 	in dark city , when the last dying , defeated alien asks john murdoch why the aliens' scientific experiments on the human beings' brains failed , murdoch replies , pointing to his head , " because the human condition isn't located in here .<br> "	1	-3	 in[0] dark[0] city[0] when[0] the[0] last[0] dying[-1] defeated[0] alien[-1] asks[0] john[0] murdoch[0] why[0] the[0] aliens'[0] scientific[0] experiments[0] on[0] the[0] human[0] beings'[0] brains[0] failed[-2] murdoch[0] replies[0] pointing[0] to[0] his[0] head[0] because[0] the[0] human[0] condition[0] isn't[0] located[0] in[0] here[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
