there is a scene early in soul food , george tillman's comedy-drama about a large african-american family and the ordeals they go through during a crisis , that caught me completely off guard . 	Translation	Positive	Negative	EmotionRationale
there is lots of conversation , lots of laughs , and the occasional controversy . 	there is lots of conversation , lots of laughs , and the occasional controversy .	2	-2	 there[0] is[0] lots[0] of[0] conversation[0] lots[0] of[0] laughs[1] and[0] the[0] occasional[0] controversy[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
mama jo presides over the family like all mothers should . 	mama jo presides over the family like all mothers should .	2	-1	 mama[0] jo[0] presides[0] over[0] the[0] family[0] like[1] all[0] mothers[0] should[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
she is stern and disciplined , but also caring and forgiving . 	she is stern and disciplined , but also caring and forgiving .	3	-2	 she[0] is[0] stern[-1] and[0] disciplined[0] but[0] also[0] caring[2] and[0] forgiving[1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
everything is going fine , until a tragedy befalls mama jo . 	everything is going fine , until a tragedy befalls mama jo .	3	-3	 everything[0] is[0] going[0] fine[2] until[0] a[0] tragedy[-2] befalls[0] mama[0] jo[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
all of a sudden , a chain reaction of events begin to destroy the family . 	all of a sudden , a chain reaction of events begin to destroy the family .	1	-3	 all[0] of[0] a[0] sudden[0] a[0] chain[0] reaction[0] of[0] events[0] begin[0] to[0] destroy[-2] the[0] family[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it gets so bad , sunday dinner is even cancelled . 	it gets so bad , sunday dinner is even cancelled .	1	-2	 it[0] gets[0] so[0] bad[-1] sunday[0] dinner[0] is[0] even[0] cancelled[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
without mama jo's guidance , there is noone to keep the family together , which frustrates ahmad . 	without mama jo's guidance , there is none to keep the family together , which frustrates ahmad .	1	-3	 without[0] mama[0] jo's[0] guidance[0] there[0] is[0] noone/none[0] to[0] keep[0] the[0] family[0] together[0] which[0] frustrates[-2] ahmad[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
miles and maxine's marriage begins to fall apart , as he focuses on his music and flirts with the troublesome faith . 	miles and maxine's marriage begins to fall apart , as he focuses on his music and flirts with the troublesome faith .	2	-2	 miles[0] and[0] maxine's[0] marriage[0] begins[0] to[0] fall[0] apart[0] as[0] he[0] focuses[0] on[0] his[0] music[0] and[0] flirts[1] with[0] the[0] troublesome[-1] faith[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
lem's temper gets the best of him when his convict past starts to catch up to him . 	lem's temper gets the best of him when his convict past starts to catch up to him .	2	-3	 lem's[0] temper[-2] gets[0] the[0] best[1] of[0] him[0] when[0] his[0] convict[-1] past[0] starts[0] to[0] catch[0] up[0] to[0] him[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
and teri tries to prevent maxine's efforts to sell mama jo's house . 	and teri tries to prevent maxine's efforts to sell mama jo's house .	1	-1	 and[0] teri[0] tries[0] to[0] prevent[0] maxine's[0] efforts[0] to[0] sell[0] mama[0] jo's[0] house[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the third act of the film deals with ahmad's attempts to patch things up . 	the third act of the film deals with ahmad's attempts to patch things up .	1	-1	 the[0] third[0] act[0] of[0] the[0] film[0] deals[0] with[0] ahmad's[0] attempts[0] to[0] patch[0] things[0] up[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he decides to take over where mama jo left off , and tries to get the family back together for one more sunday dinner . 	he decides to take over where mama jo left off , and tries to get the family back together for one more sunday dinner .	1	-1	 he[0] decides[0] to[0] take[0] over[0] where[0] mama[0] jo[0] left[0] off[0] and[0] tries[0] to[0] get[0] the[0] family[0] back[0] together[0] for[0] one[0] more[0] sunday[0] dinner[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the acting by everyone in the ensemble is outstanding , with special notices to irma p . hall and brandon hammond . 	the acting by everyone in the ensemble is outstanding , with special notices to irma p .<br> hall and brandon hammond .	3	-1	 the[0] acting[0] by[0] everyone[0] in[0] the[0] ensemble[0] is[0] outstanding[2] with[0] special[1] notices[0] to[0] irma[0] p[0] [[Sentence=-1,3=word max, 1-5]] hall[0] and[0] brandon[0] hammond[0] [[Sentence=-1,1=word max, 1-5]][[[3,-1 max of sentences]]]
hall gives a performance that deserves to be recognized by the academy . 	hall gives a performance that deserves to be recognized by the academy .	1	-1	 hall[0] gives[0] a[0] performance[0] that[0] deserves[0] to[0] be[0] recognized[0] by[0] the[0] academy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
her mama jo is one of the most memorable characters i have ever encountered in a movie . 	her mama jo is one of the most memorable characters i have ever encountered in a movie .	1	-1	 her[0] mama[0] jo[0] is[0] one[0] of[0] the[0] most[0] memorable[0] characters[0] i[0] have[0] ever[0] encountered[0] in[0] a[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
brandon hammond is an actor with a bright future . 	brandon hammond is an actor with a bright future .	1	-1	 brandon[0] hammond[0] is[0] an[0] actor[0] with[0] a[0] bright[0] future[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he is wise enough not to play cutesy and shows an admirable range and depth , and speaks the final lines of the movie on the perfect note . 	he is wise enough not to play cutesy and shows an admirable range and depth , and speaks the final lines of the movie on the perfect note .	3	-1	 he[0] is[0] wise[0] enough[0] not[0] to[0] play[0] cutesy[1] and[0] shows[0] an[0] admirable[2] range[0] and[0] depth[0] and[0] speaks[0] the[0] final[0] lines[0] of[0] the[0] movie[0] on[0] the[0] perfect[1] note[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
tillman obviously based this movie on his own memories of growing up . 	tillman obviously based this movie on his own memories of growing up .	1	-1	 tillman[0] obviously[0] based[0] this[0] movie[0] on[0] his[0] own[0] memories[0] of[0] growing[0] up[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
every scene in the movie is purposeful and convincing ( except maybe an odd flashback sequence ) . 	every scene in the movie is purposeful and convincing ( except maybe an odd flashback sequence ) .	1	-1	 every[0] scene[0] in[0] the[0] movie[0] is[0] purposeful[0] and[0] convincing[0] except[0] maybe[0] an[0] odd[0] flashback[0] sequence[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the dialogue is beleiveable and funny . 	the dialogue is beleiveable and funny .	2	-1	 the[0] dialogue[0] is[0] beleiveable[0] and[0] funny[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and then there's the food . 	and then there's the food .	1	-1	 and[0] then[0] there's[0] the[0] food[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
tillman gives us several close ups of the soul food , and it indeed looks very tasty . 	tillman gives us several close ups of the soul food , and it indeed looks very tasty .	1	-1	 tillman[0] gives[0] us[0] several[0] close[0] ups[0] of[0] the[0] soul[0] food[0] and[0] it[0] indeed[0] looks[0] very[0] tasty[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i can see why sunday dinners became such a tradition for this family . 	i can see why sunday dinners became such a tradition for this family .	1	-1	 i[0] can[0] see[0] why[0] sunday[0] dinners[0] became[0] such[0] a[0] tradition[0] for[0] this[0] family[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
soul food is one of the most purely entertaining movies of the year . 	soul food is one of the most purely entertaining movies of the year .	1	-1	 soul[0] food[0] is[0] one[0] of[0] the[0] most[0] purely[0] entertaining[0] movies[0] of[0] the[0] year[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
