do you want to know the truth about cats and dogs ? 	Translation	Positive	Negative	EmotionRationale
so she gives him nora's body description and stands him up . 	so she gives him nora's body description and stands him up .	1	-1	 so[0] she[0] gives[0] him[0] nora's[0] body[0] description[0] and[0] stands[0] him[0] up[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
nora happens to be in the studio the next day when the dog man comes by and abby asks her for a big favor . 	nora happens to be in the studio the next day when the dog man comes by and aby asks her for a big favor .	2	-1	 nora[0] happens[0] to[0] be[0] in[0] the[0] studio[0] the[0] next[0] day[0] when[0] the[0] dog[0] man[0] comes[0] by[0] and[0] abby/aby[0] asks[0] her[0] for[0] a[0] big[0] favor[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
she goes along with the masquerade and the three of them head out for a night of fun , abby assuming the role of a goat cheese farmer named donna . 	she goes along with the masquerade and the three of them head out for a night of fun , aby assuming the role of a goat cheese farmer named donna .	2	-1	 she[0] goes[0] along[0] with[0] the[0] masquerade[0] and[0] the[0] three[0] of[0] them[0] head[0] out[0] for[0] a[0] night[0] of[0] fun[1] abby/aby[0] assuming[0] the[0] role[0] of[0] a[0] goat[0] cheese[0] farmer[0] named[0] donna[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the dog man finds out even though this girl is beautiful , she's not quite as intellectual or confident about herself in person , but he doesn't suspect anything , realizing he's not living in a " three's company " episode . 	the dog man finds out even though this girl is beautiful , she's not quite as intellectual or confident about herself in person , but he doesn't suspect anything , realizing he's not living in a " three's company " episode .	3	-2	 the[0] dog[0] man[0] finds[0] out[0] even[0] though[0] this[0] girl[0] is[0] beautiful[2] she's[0] not[0] quite[0] as[0] intellectual[0] or[0] confident[1] about[0] herself[0] in[0] person[0] but[0] he[0] doesn't[0] suspect[-1] anything[0] realizing[0] he's[0] not[0] living[0] in[0] a[0] three's[0] company[0] episode[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the charade continues , with abby furthering the relationship over the phone ( including a decidedly unnecessary phone sex/masturbation sequence ) and nora furthering it in person , while eventually finding herself attracted to the dog man . 	the charade continues , with aby furthering the relationship over the phone ( including a decidedly unnecessary phone sex/masturbation sequence ) and nora furthering it in person , while eventually finding herself attracted to the dog man .	2	-2	 the[0] charade[0] continues[0] with[0] abby/aby[0] furthering[0] the[0] relationship[0] over[0] the[0] phone[0] including[0] a[0] decidedly[0] unnecessary[-1] phone[0] sex/masturbation[0] sequence[0] and[0] nora[0] furthering[0] it[0] in[0] person[0] while[0] eventually[0] finding[0] herself[0] attracted[1] to[0] the[0] dog[0] man[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
like sleepless in seattle , this comedy/romance is predictable all the way through , but we care enough about the characters that we root them on and will the romance to blossom . 	like sleepless in seattle , this comedy/romance is predictable all the way through , but we care enough about the characters that we root them on and will the romance to blossom .	4	-2	 like[1] sleepless[-1] in[0] seattle[0] this[0] comedy/romance[0] is[0] predictable[0] all[0] the[0] way[0] through[0] but[0] we[0] care[1] enough[0] about[0] the[0] characters[0] that[0] we[0] root[0] them[0] on[0] and[0] will[0] the[0] romance[3] to[0] blossom[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
the truth about cats and dogs isn't quite as entertaining as i was expecting it to be , but it handles well a theme i could identify with . 	the truth about cats and dogs isn't quite as entertaining as i was expecting it to be , but it handles well a theme i could identify with .	2	-1	 the[0] truth[1] about[0] cats[0] and[0] dogs[0] isn't[0] quite[0] as[0] entertaining[0] as[0] i[0] was[0] expecting[0] it[0] to[0] be[0] but[0] it[0] handles[0] well[0] a[0] theme[0] i[0] could[0] identify[0] with[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the thing is , i find janeane garafolo rather attractive . 	the thing is , i find janeane garafolo rather attractive .	2	-1	 the[0] thing[0] is[0] i[0] find[0] janeane[0] garafolo[0] rather[0] attractive[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
she's no uma but i'm sure in real life she'd have no problems attracting men . 	she's no uma but i'm sure in real life she'd have no problems attracting men .	2	-2	 she's[0] no[0] uma[0] but[0] i'm[0] sure[0] in[0] real[0] life[0] she'd[0] have[0] no[0] problems[-1] attracting[1] men[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
i , on the other hand , couldn't attract a man to save my life . . . 	i , on the other hand , couldn't attract a man to save my life .<br> .<br> .	2	-2	 i[0] on[0] the[0] other[0] hand[0] couldn't[0] attract[1][NegatedDueToPreviousWord] a[0] man[0] to[0] save[1] my[0] life[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
and am rather proud of that fact . 	and am rather proud of that fact .	2	-1	 and[0] am[0] rather[0] proud[1] of[0] that[0] fact[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
