steven spielberg is now considered as one of the hollywood deities , because of the rare capability to deliver both huge commercial hits , like jurassic park , and " oscar " -awarded critical triumphs like schindler's list . 	Translation	Positive	Negative	EmotionRationale
that was partly because he made the movie very realistic using the authentic ufo-related incidents as the element of the plot . 	that was partly because he made the movie very realistic using the authentic ufo-related incidents as the element of the plot .	1	-1	 that[0] was[0] partly[0] because[0] he[0] made[0] the[0] movie[0] very[0] realistic[0] using[0] the[0] authentic[0] ufo[0] related[0] incidents[0] as[0] the[0] element[0] of[0] the[0] plot[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the story begins with one of such incidents - team of international scientists come to the sonorra desert in mexico to find the u . s . navy planes of who went missing decades ago during the famous flight 19 . 	the story begins with one of such incidents - team of international scientists come to the sonora desert in mexico to find the you .<br> s .<br> navy planes of who went missing decades ago during the famous flight 19 .	1	-1	 the[0] story[0] begins[0] with[0] one[0] of[0] such[0] incidents[0] team[0] of[0] international[0] scientists[0] come[0] to[0] the[0] sonorra/sonora[0] desert[0] in[0] mexico[0] to[0] find[0] the[0] u[0] [[Sentence=-1,1=word max, 1-5]] s[0] [[Sentence=-1,1=word max, 1-5]] navy[0] planes[0] of[0] who[0] went[0] missing[0] decades[0] ago[0] during[0] the[0] famous[0] flight[0] 19[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
such events coincide with the ufo incident witnessed by roy neary ( richard dreyfuss ) , power company worker from muncie , indiana , who later becomes obsessed with his experience . 	such events coincide with the ufo incident witnessed by roy neary ( richard dreyfuss ) , power company worker from muncie , indiana , who later becomes obsessed with his experience .	1	-3	 such[0] events[0] coincide[0] with[0] the[0] ufo[0] incident[0] witnessed[0] by[0] roy[0] neary[0] richard[0] dreyfuss[0] power[0] company[0] worker[0] from[0] muncie[0] indiana[0] who[0] later[0] becomes[0] obsessed[-2] with[0] his[0] experience[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
because of his obsession he loses his job , family and sanity , but his loss is nothing compared to the experience of jillian guiler ( melinda dillon ) , single mother whose son becomes the victim of alien abduction . 	because of his obsession he loses his job , family and sanity , but his loss is nothing compared to the experience of jillian guiler ( melinda dillon ) , single mother whose son becomes the victim of alien abduction .	1	-3	 because[0] of[0] his[0] obsession[-2] he[0] loses[-1] his[0] job[0] family[0] and[0] sanity[0] but[0] his[0] loss[-2] is[0] nothing[0] compared[0] to[0] the[0] experience[0] of[0] jillian[0] guiler[0] melinda[0] dillon[0] single[0] mother[0] whose[0] son[0] becomes[0] the[0] victim[-2] of[0] alien[-1] abduction[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in the meantime , the scientists decipher the strange signals from outer space and u . s . government , in co-operation with the french , led by lacombe ( francois truffaut ) begin with the preparation for ultra-secret project . 	in the meantime , the scientists decipher the strange signals from outer space and you .<br> s .<br> government , in co-operation with the french , led by lacombe ( francois truffaut ) begin with the preparation for ultra-secret project .	1	-1	 in[0] the[0] meantime[0] the[0] scientists[0] decipher[0] the[0] strange[0] signals[0] from[0] outer[0] space[0] and[0] u[0] [[Sentence=-1,1=word max, 1-5]] s[0] [[Sentence=-1,1=word max, 1-5]] government[0] in[0] co[0] operation[0] with[0] the[0] french[0] led[0] by[0] lacombe[0] francois[0] truffaut[0] begin[0] with[0] the[0] preparation[0] for[0] ultra[0] secret[0] project[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when the news of the poison gas leak in the middle of wyoming reach neary , he finally sees some sense in all his visions and begins the perilous journey toward the centre of endangered area . 	when the news of the poison gas leak in the middle of wyoming reach neary , he finally sees some sense in all his visions and begins the perilous journey toward the centre of endangered area .	1	-3	 when[0] the[0] news[0] of[0] the[0] poison[-2] gas[0] leak[-1] in[0] the[0] middle[0] of[0] wyoming[0] reach[0] neary[0] he[0] finally[0] sees[0] some[0] sense[0] in[0] all[0] his[0] visions[0] and[0] begins[0] the[0] perilous[-1] journey[0] toward[0] the[0] centre[0] of[0] endangered[-1] area[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
there he is joined by jillian who shared the similar visions . 	there he is joined by jillian who shared the similar visions .	1	-1	 there[0] he[0] is[0] joined[0] by[0] jillian[0] who[0] shared[0] the[0] similar[0] visions[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
two of them must break through military pickets and reach their destination to find whatever is there . 	two of them must break through military pickets and reach their destination to find whatever is there .	1	-1	 two[0] of[0] them[0] must[0] break[0] through[0] military[0] pickets[0] and[0] reach[0] their[0] destination[0] to[0] find[0] whatever[0] is[0] there[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
spielberg here shows great mastery by using the very same techniques of jaws to make completely different effects . 	spielberg here shows great mastery by using the very same techniques of jaws to make completely different effects .	3	-1	 spielberg[0] here[0] shows[0] great[2] mastery[0] by[0] using[0] the[0] very[0] same[0] techniques[0] of[0] jaws[0] to[0] make[0] completely[0] different[0] effects[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the slow , gradual yet very disciplined series of dramatic incidents - " close encounters " - is set in order to bring the viewer to the great revelation in the finale . 	the slow , gradual yet very disciplined series of dramatic incidents - " close encounters " - is set in order to bring the viewer to the great revelation in the finale .	3	-1	 the[0] slow[0] gradual[0] yet[0] very[0] disciplined[0] series[0] of[0] dramatic[0] incidents[0] close[0] encounters[0] is[0] set[0] in[0] order[0] to[0] bring[0] the[0] viewer[0] to[0] the[0] great[2] revelation[0] in[0] the[0] finale[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but , instead of the fear and horror we had to endure during the jaws , we are now overwhelmed by the sense of boyish wonder . 	but , instead of the fear and horror we had to endure during the jaws , we are now overwhelmed by the sense of boyish wonder .	1	-4	 but[0] instead[0] of[0] the[0] fear[-3] and[0] horror[-3] we[0] had[0] to[0] endure[0] during[0] the[0] jaws[0] we[0] are[0] now[0] overwhelmed[-2] by[0] the[0] sense[0] of[0] boyish[0] wonder[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
throughout the movie the viewer knows that something big , magnificent and wonderful is about to happen , and great magician spielberg delivers his promise in the end . 	throughout the movie the viewer knows that something big , magnificent and wonderful is about to happen , and great magician spielberg delivers his promise in the end .	4	-1	 throughout[0] the[0] movie[0] the[0] viewer[0] knows[0] that[0] something[0] big[0] magnificent[3] and[0] wonderful[2] is[0] about[0] to[0] happen[0] and[0] great[2] magician[0] spielberg[0] delivers[0] his[0] promise[1] in[0] the[0] end[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
the last sequence , with its , even in this age , impressive special effects by the great virtuoso douglas trumbull , would leave many mouths open . 	the last sequence , with its , even in this age , impressive special effects by the great virtuoso douglas trumbull , would leave many mouths open .	4	-1	 the[0] last[0] sequence[0] with[0] its[0] even[0] in[0] this[0] age[0] impressive[1] special[1] effects[0] by[0] the[0] great[2] virtuoso[2][+1 MultiplePositiveWords] douglas[0] trumbull[0] would[0] leave[0] many[0] mouths[0] open[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
one of the great virtues of this film is its optimism . 	one of the great virtues of this film is its optimism .	4	-1	 one[0] of[0] the[0] great[2] virtues[2][+1 MultiplePositiveWords] of[0] this[0] film[0] is[0] its[0] optimism[1] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
aliens , who almost always get portrayed as the monsters in science-fiction cinema , are here benevolent and harmless creatures and the first contact between them and humanity is a beginning of something wonderful . 	aliens , who almost always get portrayed as the monsters in science-fiction cinema , are here benevolent and harmless creatures and the first contact between them and humanity is a beginning of something wonderful .	3	-1	 aliens[0] who[0] almost[0] always[0] get[0] portrayed[0] as[0] the[0] monsters[0] in[0] science[0] fiction[0] cinema[0] are[0] here[0] benevolent[1] and[0] harmless[1] creatures[0] and[0] the[0] first[0] contact[0] between[0] them[0] and[0] humanity[0] is[0] a[0] beginning[0] of[0] something[0] wonderful[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it is very ironic , when we consider that the two classic sf movies that visually inspired spielberg actually told quite different story - howard hawks' thing and byron haskin's war of the worlds presented extraterrestrials as the threat to the mankind . 	it is very ironic , when we consider that the two classic sf movies that visually inspired spielberg actually told quite different story - howard hawks' thing and byron haskin's war of the worlds presented extraterrestrials as the threat to the mankind .	3	-3	 it[0] is[0] very[0] ironic[-1][-1 LastWordBoosterStrength] when[0] we[0] consider[0] that[0] the[0] two[0] classic[0] sf[0] movies[0] that[0] visually[0] inspired[2] spielberg[0] actually[0] told[0] quite[0] different[0] story[0] howard[0] hawks'[0] thing[0] and[0] byron[0] haskin's[0] war[-2] of[0] the[0] worlds[0] presented[0] extraterrestrials[0] as[0] the[0] threat[-2] to[0] the[0] mankind[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
spielberg's humane approach and faith in the future also lies in great contrast to the pessimistic mood of its era ; the only hint of the contemporary gloom is post-watergate portrayal of government as conspiratorial towards the public . 	spielberg's humane approach and faith in the future also lies in great contrast to the pessimistic mood of its era ; the only hint of the contemporary gloom is post-watergate portrayal of government as conspiratorial towards the public .	3	-3	 spielberg's[0] humane[0] approach[0] and[0] faith[1] in[0] the[0] future[0] also[0] lies[-2] in[0] great[2] contrast[0] to[0] the[0] pessimistic[-2] mood[0] of[0] its[0] era[0] the[0] only[0] hint[0] of[0] the[0] contemporary[0] gloom[-2] is[0] post[0] watergate[0] portrayal[0] of[0] government[0] as[0] conspiratorial[-1] towards[0] the[0] public[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
but , even such government is much more harmless compared to the murderous and chain-smoking men in black that became the stereotype thanks to x-files and its more cynical and disturbing visions . 	but , even such government is much more harmless compared to the murderous and chain-smoking men in black that became the stereotype thanks to x-files and its more cynical and disturbing visions .	2	-4	 but[0] even[0] such[0] government[0] is[0] much[0] more[0] harmless[1] compared[0] to[0] the[0] murderous[-3] and[0] chain[0] smoking[0] men[0] in[0] black[0] that[0] became[0] the[0] stereotype[0] thanks[1] to[0] x[1] files[0] and[0] its[0] more[0] cynical[-1] and[0] disturbing[-1] visions[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
there lies the main , and probably the only flaw of this great picture - lack of conflict , and consequently , lack of drama . 	there lies the main , and probably the only flaw of this great picture - lack of conflict , and consequently , lack of drama .	3	-3	 there[0] lies[-2] the[0] main[0] and[0] probably[0] the[0] only[0] flaw[-1] of[0] this[0] great[2] picture[0] lack[-1] of[0] conflict[-1] and[0] consequently[0] lack[-1] of[0] drama[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the movie has few excitements or even action scenes ( especially the last that may be an interesting homage to hitchcock's north by northwest ) but generally , almost everyone - neary , jillian , government , aliens - are the good guys . 	the movie has few excitements or even action scenes ( especially the last that may be an interesting homage to hitchcock's north by northwest ) but generally , almost everyone - neary , jillian , government , aliens - are the good guys .	3	-1	 the[0] movie[0] has[0] few[0] excitements[2] or[0] even[0] action[0] scenes[0] especially[0] the[0] last[0] that[0] may[0] be[0] an[0] interesting[1] homage[0] to[0] hitchcock's[0] north[0] by[0] northwest[0] but[0] generally[0] almost[0] everyone[0] neary[0] jillian[0] government[0] aliens[0] are[0] the[0] good[1] guys[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
despite such shortcomings , the actors were good and manage to bring multidimensionality to their simple roles . 	despite such shortcomings , the actors were good and manage to bring multidimensionality to their simple roles .	2	-2	 despite[0] such[0] shortcomings[-1] the[0] actors[0] were[0] good[1] and[0] manage[0] to[0] bring[0] multidimensionality[0] to[0] their[0] simple[0] roles[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
richard dreyfuss is very convincing as a ordinary , yet nice guy , who sinks into insanity only to rediscover himself in a grand finale . 	richard dreyfuss is very convincing as a ordinary , yet nice guy , who sinks into insanity only to rediscover himself in a grand finale .	2	-1	 richard[0] dreyfuss[0] is[0] very[0] convincing[0] as[0] a[0] ordinary[0] yet[0] nice[1] guy[0] who[0] sinks[0] into[0] insanity[0] only[0] to[0] rediscover[0] himself[0] in[0] a[0] grand[1] finale[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
melinda dillon was , on the other hand , nominated for " oscar " as a struggling mother , yet she was overshadowed by teri garr as neary's long-suffering wife ronnie . 	melinda dillon was , on the other hand , nominated for " oscar " as a struggling mother , yet she was overshadowed by teri gar as neary's long-suffering wife ronnie .	1	-4	 melinda[0] dillon[0] was[0] on[0] the[0] other[0] hand[0] nominated[0] for[0] oscar[0] as[0] a[0] struggling[-1] mother[0] yet[0] she[0] was[0] overshadowed[0] by[0] teri[0] garr/gar[0] as[0] neary's[0] long[0] suffering[-3] wife[0] ronnie[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
apart from visual wonders of this film , spielberg's semi-official composer john williams again excels by his beautiful music , this time using the simple melody both as the element of a plot , and as the basis for his score . 	apart from visual wonders of this film , spielberg's semi-official composer john williams again excels by his beautiful music , this time using the simple melody both as the element of a plot , and as the basis for his score .	3	-1	 apart[0] from[0] visual[0] wonders[0] of[0] this[0] film[0] spielberg's[0] semi[0] official[0] composer[0] john[0] williams[0] again[0] excels[2] by[0] his[0] beautiful[2] music[0] this[0] time[0] using[0] the[0] simple[0] melody[0] both[0] as[0] the[0] element[0] of[0] a[0] plot[0] and[0] as[0] the[0] basis[0] for[0] his[0] score[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the aliens , who are the main subject of this film , were visually very convincing . 	the aliens , who are the main subject of this film , were visually very convincing .	1	-1	 the[0] aliens[0] who[0] are[0] the[0] main[0] subject[0] of[0] this[0] film[0] were[0] visually[0] very[0] convincing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
too convincing , one of my acquaintances in the ufo-researching circles said . 	too convincing , one of my acquaintances in the ufo-researching circles said .	1	-1	 too[0] convincing[0] one[0] of[0] my[0] acquaintances[0] in[0] the[0] ufo[0] researching[0] circles[0] said[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
according to him , the depiction of extraterrestrials as grey-skinned little people with big eyes was so accurate , that it managed to freak out powerful government figures interested in suppressing the truth about ufos . 	according to him , the depiction of extraterrestrials as grey-skinned little people with big eyes was so accurate , that it managed to freak out powerful government figures interested in suppressing the truth about ufos .	2	-2	 according[0] to[0] him[0] the[0] depiction[0] of[0] extraterrestrials[0] as[0] grey[0] skinned[0] little[0] people[0] with[0] big[0] eyes[0] was[0] so[0] accurate[0] that[0] it[0] managed[0] to[0] freak[-1] out[0] powerful[0] government[0] figures[0] interested[1] in[0] suppressing[-1] the[0] truth[1] about[0] ufos[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
so , they later approached spielberg and ordered him to make another movie with alien , this time designed to be anything but the real life . 	so , they later approached spielberg and ordered him to make another movie with alien , this time designed to be anything but the real life .	1	-2	 so[0] they[0] later[0] approached[0] spielberg[0] and[0] ordered[0] him[0] to[0] make[0] another[0] movie[0] with[0] alien[-1] this[0] time[0] designed[0] to[0] be[0] anything[0] but[0] the[0] real[0] life[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the result was e . t . , for many years the biggest commercial hit of all times , yet less inspirational for ufo enthusiasts . 	the result was e .<br> t .<br> , for many years the biggest commercial hit of all times , yet less inspirational for ufo enthusiasts .	3	-1	 the[0] result[0] was[0] e[0] [[Sentence=-1,1=word max, 1-5]] t[0] [[Sentence=-1,1=word max, 1-5]] for[0] many[0] years[0] the[0] biggest[0] commercial[0] hit[0] of[0] all[0] times[0] yet[0] less[0] inspirational[2] for[0] ufo[0] enthusiasts[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
anyway , whether the viewer believes in existence of extraterrestrials or ufos , close encounters of the third kind remains the great movie , and one of the rare uplifting experiences in modern cinema . 	anyway , whether the viewer believes in existence of extraterrestrials or ufos , close encounters of the third kind remains the great movie , and one of the rare uplifting experiences in modern cinema .	3	-1	 anyway[0] whether[0] the[0] viewer[0] believes[0] in[0] existence[0] of[0] extraterrestrials[0] or[0] ufos[0] close[0] encounters[0] of[0] the[0] third[0] kind[1] remains[0] the[0] great[2] movie[0] and[0] one[0] of[0] the[0] rare[0] uplifting[0] experiences[0] in[0] modern[0] cinema[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
