in the grand scheme of mel gibson movies , payback was better than conspiracy theory , but not as good as braveheart or lethal weapon . 	Translation	Positive	Negative	EmotionRationale
when the director refused , another one was brought in to do the re-shoot . 	when the director refused , another one was brought in to do the re-shoot .	1	-2	 when[0] the[0] director[0] refused[-1] another[0] one[0] was[0] brought[0] in[0] to[0] do[0] the[0] re[0] shoot[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
so as a result while the final product is apparently better than the original ( although personally i would love to see the original version for comparisons sake ) it does get a bit of a choppy feel to it towards the end . 	so as a result while the final product is apparently better than the original ( although personally i would love to see the original version for comparisons sake ) it does get a bit of a choppy feel to it towards the end .	2	-1	 so[0] as[0] a[0] result[0] while[0] the[0] final[0] product[0] is[0] apparently[0] better[0] than[0] the[0] original[0] although[0] personally[0] i[0] would[0] love[2][-1 LastWordBoosterStrength] to[0] see[0] the[0] original[0] version[0] for[0] comparisons[0] sake[0] it[0] does[0] get[0] a[0] bit[0] of[0] a[0] choppy[0] feel[0] to[0] it[0] towards[0] the[0] end[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's always tough to make a film where the main character is a villain , unless that person has some redeeming qualities . 	it's always tough to make a film where the main character is a villain , unless that person has some redeeming qualities .	1	-3	 it's[0] always[0] tough[-1] to[0] make[0] a[0] film[0] where[0] the[0] main[0] character[0] is[0] a[0] villain[-2] unless[0] that[0] person[0] has[0] some[0] redeeming[0] qualities[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in this case , gibson's character has few redeeming qualities . 	in this case , gibson's character has few redeeming qualities .	1	-1	 in[0] this[0] case[0] gibson's[0] character[0] has[0] few[0] redeeming[0] qualities[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but hey , its mel , so even when he is killing people in cold blood we are still rooting for him . 	but hey , its mel , so even when he is killing people in cold blood we are still rooting for him .	2	-2	 but[0] hey[1] its[0] mel[0] so[0] even[0] when[0] he[0] is[0] killing[-1] people[0] in[0] cold[-1] blood[0] we[0] are[0] still[0] rooting[0] for[0] him[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
my guess is that if that you put some other johnny bananas actor in this role , the audience would not be quite as responsive . 	my guess is that if that you put some other johnny bananas actor in this role , the audience would not be quite as responsive .	1	-1	 my[0] guess[0] is[0] that[0] if[0] that[0] you[0] put[0] some[0] other[0] johnny[0] bananas[0] actor[0] in[0] this[0] role[0] the[0] audience[0] would[0] not[0] be[0] quite[0] as[0] responsive[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
gibson is gibson , whether he is playing a suicidal cop or a stone cold killer , he does a good job . 	gibson is gibson , whether he is playing a suicidal cop or a stone cold killer , he does a good job .	2	-2	 gibson[0] is[0] gibson[0] whether[0] he[0] is[0] playing[1] a[0] suicidal[0] cop[0] or[0] a[0] stone[0] cold[-1] killer[-1] he[0] does[0] a[0] good[1] job[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
he almost guarantees that no matter what else happens in the rest of the movie at least the audience is going to get one good performance . 	he almost guarantees that no matter what else happens in the rest of the movie at least the audience is going to get one good performance .	2	-1	 he[0] almost[0] guarantees[0] that[0] no[0] matter[0] what[0] else[0] happens[0] in[0] the[0] rest[0] of[0] the[0] movie[0] at[0] least[0] the[0] audience[0] is[0] going[0] to[0] get[0] one[0] good[1] performance[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this time out mel is surrounded by a good supporting cast , including maria bello ( as his love interest ) , william devane and kris kristofferson ( as mod bosses ) . 	this time out mel is surrounded by a good supporting cast , including maria bello ( as his love interest ) , william devane and kris kristofferson ( as mod bosses ) .	3	-1	 this[0] time[0] out[0] mel[0] is[0] surrounded[0] by[0] a[0] good[1] supporting[1] cast[0] including[0] maria[0] bello[0] as[0] his[0] love[2] interest[1] william[0] devane[0] and[0] kris[0] kristofferson[0] as[0] mod[0] bosses[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the man who steals the show and unfortunately doesn't have a real big part is james coburn ( as yet another mobster ) . 	the man who steals the show and unfortunately doesn't have a real big part is james coburn ( as yet another mobster ) .	1	-3	 the[0] man[0] who[0] steals[-2] the[0] show[0] and[0] unfortunately[-1] doesn't[0] have[0] a[0] real[0] big[0] part[0] is[0] james[0] coburn[0] as[0] yet[0] another[0] mobster[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
if i had one big disappointment in this film , it would be that coburn didn't have a bigger role . 	if i had one big disappointment in this film , it would be that coburn didn't have a bigger role .	1	-2	 if[0] i[0] had[0] one[0] big[0] disappointment[-1] in[0] this[0] film[0] it[0] would[0] be[0] that[0] coburn[0] didn't[0] have[0] a[0] bigger[0] role[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in the end , payback is a fairly solid action thriller , just not in quite the same league as some of mel gibson's other work . 	in the end , payback is a fairly solid action thriller , just not in quite the same league as some of mel gibson's other work .	2	-1	 in[0] the[0] end[0] payback[0] is[0] a[0] fairly[0] solid[0] action[0] thriller[1] just[0] not[0] in[0] quite[0] the[0] same[0] league[0] as[0] some[0] of[0] mel[0] gibson's[0] other[0] work[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
