devotees of robert a . heinlein , be forewarned : paul verhoeven's starship troopers is less an adaptation of heinlein's novel than it is a literary satire . 	Translation	Positive	Negative	EmotionRationale
if starship troopers had been turned into a tv-movie , aaron spelling would have produced it . 	if starship troopers had been turned into a tv-movie , aron spelling would have produced it .	1	-1	 if[0] starship[0] troopers[0] had[0] been[0] turned[0] into[0] a[0] tv[0] movie[0] aaron/aron[0] spelling[0] would[0] have[0] produced[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's a story which requires emoting , not acting ; it's a prime time soap opera with big guns , played for all the dopey melodrama it's worth . 	it's a story which requires emoting , not acting ; it's a prime time soap opera with big guns , played for all the dopey melodrama it's worth .	1	-2	 it's[0] a[0] story[0] which[0] requires[0] emoting[0] not[0] acting[0] it's[0] a[0] prime[0] time[0] soap[0] opera[0] with[0] big[0] guns[-1] played[0] for[0] all[0] the[0] dopey[0] melodrama[0] it's[0] worth[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the no-name cast also plays into verhoeven's treatment of heinlein's most controversial conceit . 	the no-name cast also plays into verhoeven's treatment of heinlein's most controversial conceit .	2	-2	 the[0] no[0] name[0] cast[0] also[0] plays[1] into[0] verhoeven's[0] treatment[0] of[0] heinlein's[0] most[0] controversial[-1] conceit[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
in this society , we learn , one can only be a full citizen after completing some sort of federal service , military for most . 	in this society , we learn , one can only be a full citizen after completing some sort of federal service , military for most .	1	-1	 in[0] this[0] society[0] we[0] learn[0] one[0] can[0] only[0] be[0] a[0] full[0] citizen[0] after[0] completing[0] some[0] sort[0] of[0] federal[0] service[0] military[0] for[0] most[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
verhoeven pays the notion plenty of lip service , then proceeds to skewer it with brilliant mock recruitment ads ( named after the world war ii-era " why we fight " series ) in which youngsters are indoctrinated into the joys of firearms , or the pleasures of stomping cockroaches . 	verhoeven pays the notion plenty of lip service , then proceeds to skewer it with brilliant mock recruitment ads ( named after the world war i-era " why we fight " series ) in which youngsters are indoctrinated into the joys of firearms , or the pleasures of stomping cockroaches .	3	-3	 verhoeven[0] pays[0] the[0] notion[0] plenty[0] of[0] lip[0] service[0] then[0] proceeds[0] to[0] skewer[0] it[0] with[0] brilliant[1] mock[-2] recruitment[0] ads[0] named[0] after[0] the[0] world[0] war[-2] ii/i[0] era[0] why[0] we[0] fight[-2] series[0] in[0] which[0] youngsters[0] are[0] indoctrinated[0] into[0] the[0] joys[2] of[0] firearms[0] or[0] the[0] pleasures[2] of[0] stomping[0] cockroaches[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
these characters really are just " fresh meat for the grinder , " as one character puts it , which makes their lack of familiarity all the more fitting . 	these characters really are just " fresh meat for the grinder , " as one character puts it , which makes their lack of familiarity all the more fitting .	1	-2	 these[0] characters[0] really[0] are[0] just[0] fresh[0] meat[0] for[0] the[0] grinder[0] as[0] one[0] character[0] puts[0] it[0] which[0] makes[0] their[0] lack[-1] of[0] familiarity[0] all[0] the[0] more[0] fitting[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's not that starship troopers is anti-military , because it never treats the true horror of war as anything but a great big , violent video game . 	it's not that starship troopers is anti-military , because it never treats the true horror of war as anything but a great big , violent video game .	3	-4	 it's[0] not[0] that[0] starship[0] troopers[0] is[0] anti[0] military[0] because[0] it[0] never[0] treats[0] the[0] true[1] horror[-3] of[0] war[-2] as[0] anything[0] but[0] a[0] great[2] big[0] violent[-2] video[0] game[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
in fact , the characters are living the propaganda ( particularly johnny , who receives so many field promotions he may not remember his own rank by the time the film ends ) . 	in fact , the characters are living the propaganda ( particularly johnny , who receives so many field promotions he may not remember his own rank by the time the film ends ) .	1	-2	 in[0] fact[0] the[0] characters[0] are[0] living[0] the[0] propaganda[-1] particularly[0] johnny[0] who[0] receives[0] so[0] many[0] field[0] promotions[0] he[0] may[0] not[0] remember[0] his[0] own[0] rank[0] by[0] the[0] time[0] the[0] film[0] ends[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
verhoeven is actually having it both ways -- he's making fun of gung-ho boosterism even as he fires his fresh-faced recruits into battle on a gung-ho booster rocket of visual effects . 	verhoeven is actually having it both ways - he's making fun of gung-ho boosterism even as he fires his fresh-faced recruits into battle on a gung-ho booster rocket of visual effects .	2	-2	 verhoeven[0] is[0] actually[0] having[0] it[0] both[0] ways[0] he's[0] making[0] fun[1] of[0] gung[-1] ho[0] boosterism[0] even[0] as[0] he[0] fires[0] his[0] fresh[0] faced[0] recruits[0] into[0] battle[-1] on[0] a[0] gung[-1] ho[0] booster[0] rocket[0] of[0] visual[0] effects[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
if that makes starship troopers hypocritical , at least it's enthusiastically staged hypocrisy . 	if that makes starship troopers hypocritical , at least it's enthusiastically staged hypocrisy .	3	-2	 if[0] that[0] makes[0] starship[0] troopers[0] hypocritical[0] at[0] least[0] it's[0] enthusiastically[2] staged[0] hypocrisy[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
there may not be a person worth caring about in the whole film , but it moves like nobody's business . 	there may not be a person worth caring about in the whole film , but it moves like nobody's business .	3	-1	 there[0] may[0] not[0] be[0] a[0] person[0] worth[0] caring[2] about[0] in[0] the[0] whole[0] film[0] but[0] it[0] moves[0] like[1] nobody's[0] business[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
verhoeven stages some thrilling action sequences , sending swarms of bugs after the anonymous grunts then having various body parts strewn about the screen like landscaping . 	verhoeven stages some thrilling action sequences , sending swarms of bugs after the anonymous grunts then having various body parts strewn about the screen like landscaping .	3	-1	 verhoeven[0] stages[0] some[0] thrilling[3][-1 LastWordBoosterStrength] action[0] sequences[0] sending[0] swarms[0] of[0] bugs[0] after[0] the[0] anonymous[0] grunts[0] then[0] having[0] various[0] body[0] parts[0] strewn[0] about[0] the[0] screen[0] like[1] landscaping[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it is that rare special effects blockbuster which demonstrates a sense of pacing to match its budget ; i was caught up in the action enough of the time that i wasn't perpetually groaning over the absence of real human beings . 	it is that rare special effects blockbuster which demonstrates a sense of pacing to match its budget ; i was caught up in the action enough of the time that i wasn't perpetually groaning over the absence of real human beings .	2	-2	 it[0] is[0] that[0] rare[0] special[1] effects[0] blockbuster[-1] which[0] demonstrates[0] a[0] sense[0] of[0] pacing[0] to[0] match[0] its[0] budget[0] i[0] was[0] caught[0] up[0] in[0] the[0] action[0] enough[0] of[0] the[0] time[0] that[0] i[0] wasn't[0] perpetually[0] groaning[0] over[0] the[0] absence[-1] of[0] real[0] human[0] beings[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
i wish i could find it in myself to work up more outrage over the callous way humans are dispatched in starship troopers , but it didn't work out that way . 	i wish i could find it in myself to work up more outrage over the callous way humans are dispatched in starship troopers , but it didn't work out that way .	1	-4	 i[0] wish[0] i[0] could[0] find[0] it[0] in[0] myself[0] to[0] work[0] up[0] more[0] outrage[-2] over[0] the[0] callous[-3] way[0] humans[0] are[0] dispatched[0] in[0] starship[0] troopers[0] but[0] it[0] didn't[0] work[0] out[0] that[0] way[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
that would be punishing verhoeven for getting to the heart of his material . 	that would be punishing verhoeven for getting to the heart of his material .	1	-2	 that[0] would[0] be[0] punishing[-1] verhoeven[0] for[0] getting[0] to[0] the[0] heart[0] of[0] his[0] material[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
