one of the more unusual and suggestively violent films ever made , " se7en " is just a few steps away from brilliance . 	Translation	Positive	Negative	EmotionRationale
that is , if a human being could be so intelligent , patient , wealthy , and disillusioned . 	that is , if a human being could be so intelligent , patient , wealthy , and disillusioned .	2	-2	 that[0] is[0] if[0] a[0] human[0] being[0] could[0] be[0] so[0] intelligent[1] patient[0] wealthy[0] and[0] disillusioned[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
after the most bizarre opening credits i've ever seen ( refreshingly different in editing style and musical accompaniment ) , the initial character development takes place . 	after the most bizarre opening credits i've ever seen ( refreshingly different in editing style and musical accompaniment ) , the initial character development takes place .	1	-2	 after[0] the[0] most[0] bizarre[-1] opening[0] credits[0] i've[0] ever[0] seen[0] refreshingly[0] different[0] in[0] editing[0] style[0] and[0] musical[0] accompaniment[0] the[0] initial[0] character[0] development[0] takes[0] place[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
morgan freeman stars as detective william somerset , a knowledgeable veteran who is ready to give up on his job and the sickness of society . 	morgan freeman stars as detective william somerset , a knowledgeable veteran who is ready to give up on his job and the sickness of society .	1	-2	 morgan[0] freeman[0] stars[0] as[0] detective[0] william[0] somerset[0] a[0] knowledgeable[0] veteran[0] who[0] is[0] ready[0] to[0] give[0] up[0] on[0] his[0] job[0] and[0] the[0] sickness[-1] of[0] society[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
brad pitt co-stars as detective david mills , the young hotshot who is brand new to this unnamed city and full of fury to catch the bad guys . 	brad pit co-stars as detective david mills , the young hotshot who is brand new to this unnamed city and full of fury to catch the bad guys .	1	-4	 brad[0] pitt/pit[0] co[0] stars[0] as[0] detective[0] david[0] mills[0] the[0] young[0] hotshot[0] who[0] is[0] brand[0] new[0] to[0] this[0] unnamed[0] city[0] and[0] full[0] of[0] fury[-3] to[0] catch[0] the[0] bad[-1] guys[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
these two fine actors give the film its human qualities ( along with the appealing gwyneth paltrow , who plays tracy , mills' wife ) . 	these two fine actors give the film its human qualities ( along with the appealing gwyneth paltrow , who plays tracy , mills' wife ) .	3	-1	 these[0] two[0] fine[2] actors[0] give[0] the[0] film[0] its[0] human[0] qualities[0] along[0] with[0] the[0] appealing[0] gwyneth[0] paltrow[0] who[0] plays[1] tracy[0] mills'[0] wife[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
however , none of them stands out above the material . 	however , none of them stands out above the material .	1	-1	 however[0] none[0] of[0] them[0] stands[0] out[0] above[0] the[0] material[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
no disrespect intended , but two other actors could have played these parts and the film probably would have been about the same . 	no disrespect intended , but two other actors could have played these parts and the film probably would have been about the same .	1	-1	 no[0] disrespect[0] intended[0] but[0] two[0] other[0] actors[0] could[0] have[0] played[0] these[0] parts[0] and[0] the[0] film[0] probably[0] would[0] have[0] been[0] about[0] the[0] same[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
an ironic note is that somerset has only a week ( or 7 , that's seven , days ) left on the force to train his young protege . 	an ironic note is that somerset has only a week ( or 7 , that's seven , days ) left on the force to train his young protege .	1	-2	 an[0] ironic[-1] note[0] is[0] that[0] somerset[0] has[0] only[0] a[0] week[0] or[0] 7[0] that's[0] seven[0] days[0] left[0] on[0] the[0] force[-1] to[0] train[0] his[0] young[0] protege[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the title of the picture also refers to the 7 deadly sins , as chronicled by john milton in " paradise lost " --gluttony , greed , sloth , lust , pride , envy , & wrath . 	the title of the picture also refers to the 7 deadly sins , as chronicled by john milton in " paradise lost " -gluttony , greed , sloth , lust , pride , envy , & wrath .	4	-3	 the[0] title[0] of[0] the[0] picture[0] also[0] refers[0] to[0] the[0] 7[0] deadly[-1] sins[-2] as[0] chronicled[0] by[0] john[0] milton[0] in[0] paradise[3] lost[0] gluttony[0] greed[-2] sloth[-1] lust[0] pride[1] envy[-2] &[0] wrath[-1] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
incidentally , i wrote the sins in order of how each victim was found . 	incidentally , i wrote the sins in order of how each victim was found .	1	-3	 incidentally[0] i[0] wrote[0] the[0] sins[-2] in[0] order[0] of[0] how[0] each[0] victim[-2] was[0] found[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it's the last two sins that are the most intriguing and shocking , but i won't give that away . 	it's the last two sins that are the most intriguing and shocking , but i won't give that away .	1	-3	 it's[0] the[0] last[0] two[0] sins[-2] that[0] are[0] the[0] most[0] intriguing[0] and[0] shocking[-2] but[0] i[0] won't[0] give[0] that[0] away[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
as i said , this has a great ending and no one should spoil it . 	as i said , this has a great ending and no one should spoil it .	3	-1	 as[0] i[0] said[0] this[0] has[0] a[0] great[2] ending[0] and[0] no[0] one[0] should[0] spoil[-1][--1 LastWordBoosterStrength] it[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
anyway , the brilliant killer sets out to make a statement to the world that these sins will no longer be tolerated and he makes the " sinners " suffer for it . 	anyway , the brilliant killer sets out to make a statement to the world that these sins will no longer be tolerated and he makes the " sinners " suffer for it .	2	-4	 anyway[0] the[0] brilliant[1] killer[-1] sets[0] out[0] to[0] make[0] a[0] statement[0] to[0] the[0] world[0] that[0] these[0] sins[-2] will[0] no[0] longer[0] be[0] tolerated[0] and[0] he[0] makes[0] the[0] sinners[0] suffer[-3] for[0] it[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the two partners stumble over the corpse of a grotesquely obese man . 	the two partners stumble over the corpse of a grotesquely obese man .	1	-2	 the[0] two[0] partners[0] stumble[0] over[0] the[0] corpse[0] of[0] a[0] grotesquely[0] obese[-1] man[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
they learn that he was murdered--forced to eat himself to death . 	they learn that he was murdered-forced to eat himself to death .	1	-4	 they[0] learn[0] that[0] he[0] was[0] murdered[-3] forced[0] to[0] eat[0] himself[0] to[0] death[-2] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the killer leaves small clues at this and other murders and , of course , somerset and mills are smart enough to stay with him all the way . 	the killer leaves small clues at this and other murders and , of course , somerset and mills are smart enough to stay with him all the way .	2	-4	 the[0] killer[-1] leaves[0] small[0] clues[0] at[0] this[0] and[0] other[0] murders[-3] and[0] of[0] course[0] somerset[0] and[0] mills[0] are[0] smart[1] enough[0] to[0] stay[0] with[0] him[0] all[0] the[0] way[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
if they didn't , it would be one short movie ! 	if they didn't , it would be one short movie !	1	-1	 if[0] they[0] didn't[0] it[0] would[0] be[0] one[0] short[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the deliberate pace allows for craftsmanship of detail and story . 	the deliberate pace allows for craftsmanship of detail and story .	1	-1	 the[0] deliberate[0] pace[0] allows[0] for[0] craftsmanship[0] of[0] detail[0] and[0] story[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we see a lot of blood , but it's not especially violent . 	we see a lot of blood , but it's not especially violent .	4	-1	 we[0] see[0] a[0] lot[0] of[0] blood[0] but[0] it's[0] not[0] especially[0] violent[-2][-1 LastWordBoosterStrength][NegatedDueToPreviousWord] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
the suggestion of what happens is far more disgusting than anything actually shown--like most of the violence in " pulp fiction " . 	the suggestion of what happens is far more disgusting than anything actually shown-like most of the violence in " pulp fiction " .	2	-4	 the[0] suggestion[0] of[0] what[0] happens[0] is[0] far[0] more[0] disgusting[-3] than[0] anything[0] actually[0] shown[0] like[1] most[0] of[0] the[0] violence[-3] in[0] pulp[0] fiction[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
 " se7en " is gory , graphic , and disturbing , but all the gore is post-death . 	 " se7en " is gory , graphic , and disturbing , but all the gore is post-death .	1	-3	 se7en[0] is[0] gory[0] graphic[0] and[0] disturbing[-1] but[0] all[0] the[0] gore[0] is[0] post[0] death[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
still , if you tend to get queasy , don't eat food during this film . 	still , if you tend to get queasy , don't eat food during this film .	1	-1	 still[0] if[0] you[0] tend[0] to[0] get[0] queasy[0] don't[0] eat[0] food[0] during[0] this[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
kevin spacey plays john doe , the avenging angel who claims that he's the messenger who will right the wrongs with his teachings . 	kevin spacey plays john doe , the avenging angel who claims that he's the messenger who will right the wrongs with his teachings .	2	-3	 kevin[0] spacey[0] plays[1] john[0] doe[0] the[0] avenging[0] angel[0] who[0] claims[0] that[0] he's[0] the[0] messenger[0] who[0] will[0] right[0] the[0] wrongs[-2] with[0] his[0] teachings[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
like many crazy men , he has some fine ideas , but some sick ways of expressing himself . 	like many crazy men , he has some fine ideas , but some sick ways of expressing himself .	2	-2	 like[1] many[0] crazy[-1] men[0] he[0] has[0] some[0] fine[2][-1 LastWordBoosterStrength] ideas[0] but[0] some[0] sick[-1][--1 LastWordBoosterStrength] ways[0] of[0] expressing[0] himself[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
spacey doesn't appear until the final 30 minutes and also doesn't receive billing in the opening credits . 	spacey doesn't appear until the final 30 minutes and also doesn't receive billing in the opening credits .	1	-1	 spacey[0] doesn't[0] appear[0] until[0] the[0] final[0] 30[0] minutes[0] and[0] also[0] doesn't[0] receive[0] billing[0] in[0] the[0] opening[0] credits[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
however , it's his appearance that turns this film upside down and for that he should have gotten an oscar nomination . 	however , it's his appearance that turns this film upside down and for that he should have gotten an oscar nomination .	1	-1	 however[0] it's[0] his[0] appearance[0] that[0] turns[0] this[0] film[0] upside[0] down[0] and[0] for[0] that[0] he[0] should[0] have[0] gotten[0] an[0] oscar[0] nomination[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a great villain manages to make you either root for him or feel compelled to listen to his ramblings regardless of whether you agree with him or not . 	a great villain manages to make you either root for him or feel compelled to listen to his ramblings regardless of whether you agree with him or not .	3	-3	 a[0] great[2] villain[-2] manages[0] to[0] make[0] you[0] either[0] root[0] for[0] him[0] or[0] feel[0] compelled[0] to[0] listen[0] to[0] his[0] ramblings[0] regardless[-1] of[0] whether[0] you[0] agree[0] with[0] him[0] or[0] not[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
this character is so well written that it's hard to disagree when he says that what he is doing will be remembered by everyone . 	this character is so well written that it's hard to disagree when he says that what he is doing will be remembered by everyone .	1	-2	 this[0] character[0] is[0] so[0] well[0] written[0] that[0] it's[0] hard[0] to[0] disagree[-1] when[0] he[0] says[0] that[0] what[0] he[0] is[0] doing[0] will[0] be[0] remembered[0] by[0] everyone[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
no serial killer has ever been so creative . 	no serial killer has ever been so creative .	1	-2	 no[0] serial[0] killer[-1] has[0] ever[0] been[0] so[0] creative[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 " se7en " is blatantly unsubtle with its messages about the horrors of the world and it's often a little too depressing . 	 " se7en " is blatantly unsubtle with its messages about the horrors of the world and it's often a little too depressing .	1	-4	 se7en[0] is[0] blatantly[-1] unsubtle[0] with[0] its[0] messages[0] about[0] the[0] horrors[-3] of[0] the[0] world[0] and[0] it's[0] often[0] a[0] little[0] too[0] depressing[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
what it lacks in those areas , it makes up for with believable dialogue , top-notch screenwriting , unexpected twists , and realistic characters . 	what it lacks in those areas , it makes up for with believable dialogue , top-notch screenwriting , unexpected twists , and realistic characters .	1	-1	 what[0] it[0] lacks[0] in[0] those[0] areas[0] it[0] makes[0] up[0] for[0] with[0] believable[0] dialogue[0] top[0] notch[0] screenwriting[0] unexpected[0] twists[0] and[0] realistic[0] characters[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the technical aspects of the film are unobtrusive . 	the technical aspects of the film are unobtrusive .	1	-1	 the[0] technical[0] aspects[0] of[0] the[0] film[0] are[0] unobtrusive[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
fincher uses lighting , music , and editing quite well , but his story is always the thrust of the film . 	fincher uses lighting , music , and editing quite well , but his story is always the thrust of the film .	1	-1	 fincher[0] uses[0] lighting[0] music[0] and[0] editing[0] quite[0] well[0] but[0] his[0] story[0] is[0] always[0] the[0] thrust[0] of[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
fortunately , we don't find out what happens to mills and somerset after the closing credits ( which are run backwards up the screen ! ) . 	fortunately , we don't find out what happens to mills and somerset after the closing credits ( which are run backwards up the screen !<br> ) .	1	-1	 fortunately[0] we[0] don't[0] find[0] out[0] what[0] happens[0] to[0] mills[0] and[0] somerset[0] after[0] the[0] closing[0] credits[0] which[0] are[0] run[0] backwards[0] up[0] the[0] screen[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's better to imagine what paths they will follow . 	it's better to imagine what paths they will follow .	1	-1	 it's[0] better[0] to[0] imagine[0] what[0] paths[0] they[0] will[0] follow[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is not the kind of film you turn away from and quickly forget . 	this is not the kind of film you turn away from and quickly forget .	1	-2	 this[0] is[0] not[0] the[0] kind[1][NegatedDueToPreviousWord] of[0] film[0] you[0] turn[0] away[0] from[0] and[0] quickly[0] forget[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's got a sinister message and john doe is right about one thing--the evils of the world aren't going to cure themselves . 	it's got a sinister message and john doe is right about one thing-the evils of the world aren't going to cure themselves .	1	-4	 it's[0] got[0] a[0] sinister[-3] message[0] and[0] john[0] doe[0] is[0] right[0] about[0] one[0] thing[0] the[0] evils[-2] of[0] the[0] world[0] aren't[0] going[0] to[0] cure[0] themselves[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
 " se7en " raises some tough questions and it's intelligent enough to allow its audience to answer many of those questions for themselves . 	 " se7en " raises some tough questions and it's intelligent enough to allow its audience to answer many of those questions for themselves .	2	-1	 se7en[0] raises[0] some[0] tough[-1][--1 LastWordBoosterStrength] questions[0] and[0] it's[0] intelligent[1] enough[0] to[0] allow[0] its[0] audience[0] to[0] answer[0] many[0] of[0] those[0] questions[0] for[0] themselves[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
useless trivia--co-stars in 1995's " se7en " , brad pitt and kevin spacey also competed for the 1995 best supporting actor oscar--pitt in " 12 monkeys " , spacey in " the usual suspects " ( for which he won ) . 	useless trivia-co-stars in 1995's " se7en " , brad pit and kevin spacey also competed for the 1995 best supporting actor oscar-pit in " 12 monkeys " , spacey in " the usual suspects " ( for which he won ) .	2	-3	 useless[-2] trivia[-1] co[0] stars[0] in[0] 1995's[0] se7en[0] brad[0] pitt/pit[0] and[0] kevin[0] spacey[0] also[0] competed[0] for[0] the[0] 1995[0] best[1] supporting[1] actor[0] oscar[0] pitt/pit[0] in[0] 12[0] monkeys[0] spacey[0] in[0] the[0] usual[0] suspects[0] for[0] which[0] he[0] won[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
