star wars : episode 1 - the phantom menace ( 1999 ) 	Translation	Positive	Negative	EmotionRationale
the phantom menace takes place decades before the setting of original films . 	the phantom menace takes place decades before the setting of original films .	1	-3	 the[0] phantom[0] menace[-2] takes[0] place[0] decades[0] before[0] the[0] setting[0] of[0] original[0] films[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
as the film opens , obi-wan kenobi ( ewan mcgregor ) , the wise old master who introduced luke to the force in the original star wars , is only a young jedi apprentice , still learning from his fellow jedi and instructor , qui-gon jinn ( liam neeson ) . 	as the film opens , obi-wan kenobi ( ewan mcgregor ) , the wise old master who introduced luke to the force in the original star wars , is only a young jedi apprentice , still learning from his fellow jedi and instructor , qui-gon jin ( liam neeson ) .	1	-3	 as[0] the[0] film[0] opens[0] obi[0] wan[0] kenobi[0] ewan[0] mcgregor[0] the[0] wise[0] old[0] master[0] who[0] introduced[0] luke[0] to[0] the[0] force[-1] in[0] the[0] original[0] star[0] wars[-2] is[0] only[0] a[0] young[0] jedi[0] apprentice[0] still[0] learning[0] from[0] his[0] fellow[0] jedi[0] and[0] instructor[0] qui[0] gon[0] jinn/jin[0] liam[0] neeson[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the republic government has sent the two jedi to settle a trade dispute that has developed into a blockade of the planet naboo by a shifty trade federation . 	the republic government has sent the two jedi to settle a trade dispute that has developed into a blockade of the planet naboo by a shifty trade federation .	1	-2	 the[0] republic[0] government[0] has[0] sent[0] the[0] two[0] jedi[0] to[0] settle[0] a[0] trade[0] dispute[-1] that[0] has[0] developed[0] into[0] a[0] blockade[-1] of[0] the[0] planet[0] naboo[0] by[0] a[0] shifty[0] trade[0] federation[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the jedi quickly find themselves not in negotiations , but in the middle of a planetary invasion , rushing to protect naboo's young queen amidala ( natalie portman ) . 	the jedi quickly find themselves not in negotiations , but in the middle of a planetary invasion , rushing to protect naboo's young queen amidala ( natalie portman ) .	1	-1	 the[0] jedi[0] quickly[0] find[0] themselves[0] not[0] in[0] negotiations[0] but[0] in[0] the[0] middle[0] of[0] a[0] planetary[0] invasion[0] rushing[0] to[0] protect[0] naboo's[0] young[0] queen[0] amidala[0] natalie[0] portman[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
later , after eventually rescuing amidala and helping her escape naboo , they are forced to stop at tatooine to repair their battle-damaged ship before bringing her to the galactic senate to make an appeal for justice . 	later , after eventually rescuing amidala and helping her escape naboo , they are forced to stop at tatooine to repair their battle-damaged ship before bringing her to the galactic senate to make an appeal for justice .	1	-2	 later[0] after[0] eventually[0] rescuing[0] amidala[0] and[0] helping[0] her[0] escape[0] naboo[0] they[0] are[0] forced[0] to[0] stop[0] at[0] tatooine[0] to[0] repair[0] their[0] battle[-1] damaged[0] ship[0] before[0] bringing[0] her[0] to[0] the[0] galactic[0] senate[0] to[0] make[0] an[0] appeal[0] for[0] justice[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
on tatooine , qui-gon discovers a young slave boy , anakin skywalker ( jake lloyd ) , who not only can help them get the parts they need , but displays uncanny intelligence , insight , and instincts . 	on tatooine , qui-gon discovers a young slave boy , anakin skywalker ( jake lloyd ) , who not only can help them get the parts they need , but displays uncanny intelligence , insight , and instincts .	1	-1	 on[0] tatooine[0] qui[0] gon[0] discovers[0] a[0] young[0] slave[0] boy[0] anakin[0] skywalker[0] jake[0] lloyd[0] who[0] not[0] only[0] can[0] help[0] them[0] get[0] the[0] parts[0] they[0] need[0] but[0] displays[0] uncanny[0] intelligence[0] insight[0] and[0] instincts[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
qui-gon senses the child is " unusually strong " with the force and begins to suspect that he may be " the one " prophesized to " bring balance to the force . " 	qui-gon senses the child is " unusually strong " with the force and begins to suspect that he may be " the one " prophesized to " bring balance to the force .<br> "	1	-2	 qui[0] gon[0] senses[0] the[0] child[0] is[0] unusually[0] strong[0] with[0] the[0] force[-1] and[0] begins[0] to[0] suspect[-1] that[0] he[0] may[0] be[0] the[0] one[0] prophesized[0] to[0] bring[0] balance[0] to[0] the[0] force[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as anyone who has watched the original star wars trilogy knows , far from being a galactic savior , the innocent-looking 9-year-old will in time become the ruthless darth vader . 	as anyone who has watched the original star wars trilogy knows , far from being a galactic savior , the innocent-looking 9-year-old will in time become the ruthless darth vader .	2	-3	 as[0] anyone[0] who[0] has[0] watched[0] the[0] original[0] star[0] wars[-2] trilogy[0] knows[0] far[0] from[0] being[0] a[0] galactic[0] savior[0] the[0] innocent[1] looking[0] 9[0] year[0] old[0] will[0] in[0] time[0] become[0] the[0] ruthless[-2] darth[0] vader[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
complicating matters further is a mysterious hooded figure , darth sidious , is behind the trade blockade and invasion of naboo , and sends out a lethal apprentice , darth maul , to find and capture queen amidala . 	complicating matters further is a mysterious hooded figure , darth sidious , is behind the trade blockade and invasion of naboo , and sends out a lethal apprentice , darth maul , to find and capture queen amidala .	1	-2	 complicating[0] matters[0] further[0] is[0] a[0] mysterious[0] hooded[0] figure[0] darth[0] sidious[0] is[0] behind[0] the[0] trade[0] blockade[-1] and[0] invasion[0] of[0] naboo[0] and[0] sends[0] out[0] a[0] lethal[0] apprentice[0] darth[0] maul[0] to[0] find[0] and[0] capture[-1] queen[0] amidala[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
while amidala and the jedi fight to save her planet , they soon also have to deal with the deadly and relentless darth maul . 	while amidala and the jedi fight to save her planet , they soon also have to deal with the deadly and relentless darth maul .	2	-3	 while[0] amidala[0] and[0] the[0] jedi[0] fight[-2] to[0] save[1] her[0] planet[0] they[0] soon[0] also[0] have[0] to[0] deal[0] with[0] the[0] deadly[-1] and[0] relentless[0] darth[0] maul[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
if the plot sounds a bit complicated , it is . 	if the plot sounds a bit complicated , it is .	1	-2	 if[0] the[0] plot[0] sounds[0] a[0] bit[0] complicated[-1] it[0] is[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the phantom menace not only introduces an earlier generation of characters and an immediate crisis , but sets up the foundation for the events that will eventually lead to the fall of the republic , the demise of the jedi knights , anakin's turn to evil , and the rise of the dark empire of original trilogy . 	the phantom menace not only introduces an earlier generation of characters and an immediate crisis , but sets up the foundation for the events that will eventually lead to the fall of the republic , the demise of the jedi knights , anakin's turn to evil , and the rise of the dark empire of original trilogy .	1	-3	 the[0] phantom[0] menace[-2] not[0] only[0] introduces[0] an[0] earlier[0] generation[0] of[0] characters[0] and[0] an[0] immediate[0] crisis[-2] but[0] sets[0] up[0] the[0] foundation[0] for[0] the[0] events[0] that[0] will[0] eventually[0] lead[0] to[0] the[0] fall[0] of[0] the[0] republic[0] the[0] demise[-1] of[0] the[0] jedi[0] knights[0] anakin's[0] turn[0] to[0] evil[-2] and[0] the[0] rise[0] of[0] the[0] dark[0] empire[0] of[0] original[0] trilogy[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but the complexity is not overwhelming . 	but the complexity is not overwhelming .	3	-1	 but[0] the[0] complexity[0] is[0] not[0] overwhelming[-2][NegatedDueToPreviousWord] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the story moves quickly , with the only drawback being that many questions , predictably , remain unanswered at the end of the film , setting the stage for the next episode . 	the story moves quickly , with the only drawback being that many questions , predictably , remain unanswered at the end of the film , setting the stage for the next episode .	1	-1	 the[0] story[0] moves[0] quickly[0] with[0] the[0] only[0] drawback[0] being[0] that[0] many[0] questions[0] predictably[0] remain[0] unanswered[0] at[0] the[0] end[0] of[0] the[0] film[0] setting[0] the[0] stage[0] for[0] the[0] next[0] episode[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one of the reasons the film's story seems hazy is not that it is too confusing , but too unfocused . 	one of the reasons the film's story seems hazy is not that it is too confusing , but too unfocused .	1	-2	 one[0] of[0] the[0] reasons[0] the[0] film's[0] story[0] seems[0] hazy[-1] is[0] not[0] that[0] it[0] is[0] too[0] confusing[-1] but[0] too[0] unfocused[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's unclear whose story phantom menace is . 	it's unclear whose story phantom menace is .	1	-3	 it's[0] unclear[-1] whose[0] story[0] phantom[0] menace[-2] is[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in the original trilogy , the movies were clearly luke's story , with the stories centering around his growth from farmboy to rebel hero to jedi knight . 	in the original trilogy , the movies were clearly luke's story , with the stories centering around his growth from farmboy to rebel hero to jedi knight .	3	-2	 in[0] the[0] original[0] trilogy[0] the[0] movies[0] were[0] clearly[0] luke's[0] story[0] with[0] the[0] stories[0] centering[0] around[0] his[0] growth[0] from[0] farmboy[0] to[0] rebel[-1] hero[2] to[0] jedi[0] knight[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
but it's unclear whether this new film is anakin's story or obi-wan's . 	but it's unclear whether this new film is anakin's story or obi-wan's .	1	-2	 but[0] it's[0] unclear[-1] whether[0] this[0] new[0] film[0] is[0] anakin's[0] story[0] or[0] obi[0] wan's[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
if this trilogy is centered on anakin , it's a shaky foundation . 	if this trilogy is centered on anakin , it's a shaky foundation .	1	-2	 if[0] this[0] trilogy[0] is[0] centered[0] on[0] anakin[0] it's[0] a[0] shaky[-1] foundation[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
lloyd , like many child actors , lacks the subtle acting skills of adult performers , and as a result , his character seems shallow and unimpressive . 	lloyd , like many child actors , lacks the subtle acting skills of adult performers , and as a result , his character seems shallow and unimpressive .	2	-2	 lloyd[0] like[1] many[0] child[0] actors[0] lacks[0] the[0] subtle[0] acting[0] skills[0] of[0] adult[0] performers[0] and[0] as[0] a[0] result[0] his[0] character[0] seems[0] shallow[-1] and[0] unimpressive[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
on screen , we see nothing that suggests a dark side lurking underneath his little-boy face , or for that matter , any presence that would make him seem so special that qui-gon is willing to believe he is " the one . " 	on screen , we see nothing that suggests a dark side lurking underneath his little-boy face , or for that matter , any presence that would make him seem so special that qui-gon is willing to believe he is " the one .<br> "	2	-1	 on[0] screen[0] we[0] see[0] nothing[0] that[0] suggests[0] a[0] dark[0] side[0] lurking[0] underneath[0] his[0] little[0] boy[0] face[0] or[0] for[0] that[0] matter[0] any[0] presence[0] that[0] would[0] make[0] him[0] seem[0] so[0] special[1] that[0] qui[0] gon[0] is[0] willing[0] to[0] believe[0] he[0] is[0] the[0] one[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the rest of the cast does fine , though they often work with some iffy dialogue by lucas . 	the rest of the cast does fine , though they often work with some iffy dialogue by lucas .	3	-1	 the[0] rest[0] of[0] the[0] cast[0] does[0] fine[2] though[0] they[0] often[0] work[0] with[0] some[0] iffy[0] dialogue[0] by[0] lucas[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
neeson is perfect as an aging jedi knight . 	neeson is perfect as an aging jedi knight .	2	-1	 neeson[0] is[0] perfect[1] as[0] an[0] aging[0] jedi[0] knight[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
mcgregor is well-cast as obi-wan and conveys a balance of youthful energy and calm sensibility . 	mcgregor is well-cast as obi-wan and conveys a balance of youthful energy and calm sensibility .	2	-1	 mcgregor[0] is[0] well[0] cast[0] as[0] obi[0] wan[0] and[0] conveys[0] a[0] balance[0] of[0] youthful[0] energy[0] and[0] calm[1] sensibility[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
portman fits the role of a young queen well , but her lines were often very formal , giving her little room to give her character much personality . 	portman fits the role of a young queen well , but her lines were often very formal , giving her little room to give her character much personality .	1	-1	 portman[0] fits[0] the[0] role[0] of[0] a[0] young[0] queen[0] well[0] but[0] her[0] lines[0] were[0] often[0] very[0] formal[0] giving[0] her[0] little[0] room[0] to[0] give[0] her[0] character[0] much[0] personality[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the biggest problem with the phantom menace is not the plot or the characters , but the interaction between them . 	the biggest problem with the phantom menace is not the plot or the characters , but the interaction between them .	1	-3	 the[0] biggest[0] problem[-1] with[0] the[0] phantom[0] menace[-2] is[0] not[0] the[0] plot[0] or[0] the[0] characters[0] but[0] the[0] interaction[0] between[0] them[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
individually , the characters in this new film are no less developed than those in the original star wars , and the storyline is not more confusing than previous films in the series . 	individually , the characters in this new film are no less developed than those in the original star wars , and the storyline is not more confusing than previous films in the series .	2	-3	 individually[0] the[0] characters[0] in[0] this[0] new[0] film[0] are[0] no[0] less[0] developed[0] than[0] those[0] in[0] the[0] original[0] star[0] wars[-2] and[0] the[0] storyline[0] is[0] not[0] more[0] confusing[-1][NegatedDueToPreviousWord] than[0] previous[0] films[0] in[0] the[0] series[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
but unlike the previous trilogy , lucas doesn't do as good of a job playing the characters off one another . 	but unlike the previous trilogy , lucas doesn't do as good of a job playing the characters off one another .	2	-1	 but[0] unlike[0] the[0] previous[0] trilogy[0] lucas[0] doesn't[0] do[0] as[0] good[1] of[0] a[0] job[0] playing[1] the[0] characters[0] off[0] one[0] another[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in star wars , there were immediate contrasts and memorable exchanges between luke and han , han and obi-wan , and leia and luke . 	in star wars , there were immediate contrasts and memorable exchanges between luke and han , han and obi-wan , and leia and luke .	1	-3	 in[0] star[0] wars[-2] there[0] were[0] immediate[0] contrasts[0] and[0] memorable[0] exchanges[0] between[0] luke[0] and[0] han[0] han[0] and[0] obi[0] wan[0] and[0] leia[0] and[0] luke[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the ensemble played off each other and immediately showed their distinct attitudes and personalities . 	the ensemble played off each other and immediately showed their distinct attitudes and personalities .	1	-1	 the[0] ensemble[0] played[0] off[0] each[0] other[0] and[0] immediately[0] showed[0] their[0] distinct[0] attitudes[0] and[0] personalities[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in the sequence in where luke , han , and chewbacca attempt to rescue leia from her cell on the death star , the audience learns a lot about all four characters in the ways they react to the immediate problems and each other . 	in the sequence in where luke , han , and chewbacca attempt to rescue leia from her cell on the death star , the audience learns a lot about all four characters in the ways they react to the immediate problems and each other .	1	-3	 in[0] the[0] sequence[0] in[0] where[0] luke[0] han[0] and[0] chewbacca[0] attempt[0] to[0] rescue[0] leia[0] from[0] her[0] cell[0] on[0] the[0] death[-2] star[0] the[0] audience[0] learns[0] a[0] lot[0] about[0] all[0] four[0] characters[0] in[0] the[0] ways[0] they[0] react[0] to[0] the[0] immediate[0] problems[-1] and[0] each[0] other[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
there is no comparable sequence in the phantom menace to flesh out the characters and their relationships with each other . 	there is no comparable sequence in the phantom menace to flesh out the characters and their relationships with each other .	1	-3	 there[0] is[0] no[0] comparable[0] sequence[0] in[0] the[0] phantom[0] menace[-2] to[0] flesh[0] out[0] the[0] characters[0] and[0] their[0] relationships[0] with[0] each[0] other[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
individually , they are interesting characters with clear motivations and interests , but lucas develops little chemistry or tension between the them . 	individually , they are interesting characters with clear motivations and interests , but lucas develops little chemistry or tension between the them .	2	-3	 individually[0] they[0] are[0] interesting[1] characters[0] with[0] clear[0] motivations[0] and[0] interests[1] but[0] lucas[0] develops[0] little[0] chemistry[0] or[0] tension[-2] between[0] the[0] them[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
this is perhaps the most glaring weakness of this film , and is probably the reason it has disappointed many reviewers . 	this is perhaps the most glaring weakness of this film , and is probably the reason it has disappointed many reviewers .	1	-2	 this[0] is[0] perhaps[0] the[0] most[0] glaring[0] weakness[-1] of[0] this[0] film[0] and[0] is[0] probably[0] the[0] reason[0] it[0] has[0] disappointed[-1] many[0] reviewers[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but despite the need for a richer dialogue and stronger character interaction , the film is still very engaging . 	but despite the need for a richer dialogue and stronger character interaction , the film is still very engaging .	1	-1	 but[0] despite[0] the[0] need[0] for[0] a[0] richer[0] dialogue[0] and[0] stronger[0] character[0] interaction[0] the[0] film[0] is[0] still[0] very[0] engaging[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
many of the wonderful elements of lucas' previous films make the phantom menace both memorable and entertaining . 	many of the wonderful elements of lucas' previous films make the phantom menace both memorable and entertaining .	3	-3	 many[0] of[0] the[0] wonderful[2] elements[0] of[0] lucas'[0] previous[0] films[0] make[0] the[0] phantom[0] menace[-2] both[0] memorable[0] and[0] entertaining[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
first , of course , is the remarkably rich and imaginative universe lucas creates . 	first , of course , is the remarkably rich and imaginative universe lucas creates .	2	-1	 first[0] of[0] course[0] is[0] the[0] remarkably[0] rich[0] and[0] imaginative[1] universe[0] lucas[0] creates[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the characters visit magical underwater cities , evade dinosaur-sized sea monsters , fight battle droids and menacing " destroyers " on venetian-looking planet of naboo , watch a spectacular event , part roman-chariot race , part nascar circuit , on the arid desert planet of tatooine , then head to corsucant , the gothic urban capital of the republic and home to the galactic senate and the jedi council . 	the characters visit magical underwater cities , evade dinosaur-sized sea monsters , fight battle droids and menacing " destroyers " on venetian-looking planet of naboo , watch a spectacular event , part roman-chariot race , part nascar circuit , on the arid desert planet of tatooine , then head to corsucant , the gothic urban capital of the republic and home to the galactic senate and the jedi council .	1	-3	 the[0] characters[0] visit[0] magical[0] underwater[0] cities[0] evade[-1] dinosaur[0] sized[0] sea[0] monsters[0] fight[-2] battle[-1] droids[0] and[0] menacing[0] destroyers[-2] on[0] venetian[0] looking[0] planet[0] of[0] naboo[0] watch[0] a[0] spectacular[0] event[0] part[0] roman[0] chariot[0] race[0] part[0] nascar[0] circuit[0] on[0] the[0] arid[0] desert[0] planet[0] of[0] tatooine[0] then[0] head[0] to[0] corsucant[0] the[0] gothic[0] urban[0] capital[0] of[0] the[0] republic[0] and[0] home[0] to[0] the[0] galactic[0] senate[0] and[0] the[0] jedi[0] council[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
each location is elaborate and complex . 	each location is elaborate and complex .	1	-1	 each[0] location[0] is[0] elaborate[0] and[0] complex[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
lucas never settles for vague ideas about the look of his settings , he creates rich , spectacular landscapes , palaces , and skylines . 	lucas never settles for vague ideas about the look of his settings , he creates rich , spectacular landscapes , palaces , and skylines .	1	-2	 lucas[0] never[0] settles[0] for[0] vague[-1] ideas[0] about[0] the[0] look[0] of[0] his[0] settings[0] he[0] creates[0] rich[0] spectacular[0] landscapes[0] palaces[0] and[0] skylines[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
most of the new special effects in his re-released special edition trilogy in 1997 were changes that allowed him to give the earlier movies the look and feel that just weren't possible when the films were made . 	most of the new special effects in his re-released special edition trilogy in 1997 were changes that allowed him to give the earlier movies the look and feel that just weren't possible when the films were made .	2	-1	 most[0] of[0] the[0] new[0] special[1] effects[0] in[0] his[0] re[0] released[0] special[1] edition[0] trilogy[0] in[0] 1997[0] were[0] changes[0] that[0] allowed[0] him[0] to[0] give[0] the[0] earlier[0] movies[0] the[0] look[0] and[0] feel[0] that[0] just[0] weren't[0] possible[0] when[0] the[0] films[0] were[0] made[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
more than ever , in this new film , lucas' universe is filled with a menagerie of creatures , robots with personalities , and a supporting cast of aliens who interact with the main characters . 	more than ever , in this new film , lucas' universe is filled with a menagerie of creatures , robots with personalities , and a supporting cast of aliens who interact with the main characters .	2	-1	 more[0] than[0] ever[0] in[0] this[0] new[0] film[0] lucas'[0] universe[0] is[0] filled[0] with[0] a[0] menagerie[0] of[0] creatures[0] robots[0] with[0] personalities[0] and[0] a[0] supporting[1] cast[0] of[0] aliens[0] who[0] interact[0] with[0] the[0] main[0] characters[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the best such character is watto , a greedy tatooine junk dealer who owns anakin and his mother as slaves . 	the best such character is watto , a greedy tatooine junk dealer who owns anakin and his mother as slaves .	2	-3	 the[0] best[1] such[0] character[0] is[0] watto[0] a[0] greedy[-2] tatooine[0] junk[-1] dealer[0] who[0] owns[0] anakin[0] and[0] his[0] mother[0] as[0] slaves[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
watto has a scratchy italian voice and a short , paunchy body with oddly mismatched wings that flutter like a hummingbird as he floats around the room . 	watto has a scratchy italian voice and a short , paunchy body with oddly mismatched wings that flutter like a hummingbird as he floats around the room .	2	-1	 watto[0] has[0] a[0] scratchy[0] italian[0] voice[0] and[0] a[0] short[0] paunchy[0] body[0] with[0] oddly[0] mismatched[0] wings[0] that[0] flutter[0] like[1] a[0] hummingbird[0] as[0] he[0] floats[0] around[0] the[0] room[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
of all the computer-generated characters in the film , watto is the best done and most enjoyable . 	of all the computer-generated characters in the film , watto is the best done and most enjoyable .	3	-1	 of[0] all[0] the[0] computer[0] generated[0] characters[0] in[0] the[0] film[0] watto[0] is[0] the[0] best[1] done[0] and[0] most[0] enjoyable[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
speaking of computer-generated characters , no review of the phantom menace is complete without mentioning the most controversial figure in the film : jar jar binks . 	speaking of computer-generated characters , no review of the phantom menace is complete without mentioning the most controversial figure in the film : jar jar binks .	1	-3	 speaking[0] of[0] computer[0] generated[0] characters[0] no[0] review[0] of[0] the[0] phantom[0] menace[-2] is[0] complete[0] without[0] mentioning[0] the[0] most[0] controversial[-1] figure[0] in[0] the[0] film[0] jar[0] jar[0] binks[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
with more than 80 minutes of screen time , jar jar is the realization of george lucas' dream to include a fully computer-generated character into the cast of the new trilogy . 	with more than 80 minutes of screen time , jar jar is the realization of george lucas' dream to include a fully computer-generated character into the cast of the new trilogy .	1	-1	 with[0] more[0] than[0] 80[0] minutes[0] of[0] screen[0] time[0] jar[0] jar[0] is[0] the[0] realization[0] of[0] george[0] lucas'[0] dream[0] to[0] include[0] a[0] fully[0] computer[0] generated[0] character[0] into[0] the[0] cast[0] of[0] the[0] new[0] trilogy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
