for many people , procrastination isn't a problem to overcome , it's a high art . 	Translation	Positive	Negative	EmotionRationale
james may be suicidal and psychotic . 	james may be suicidal and psychotic .	1	-1	 james[0] may[0] be[0] suicidal[0] and[0] psychotic[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
certainly everything that comes out of his mouth is a lie . 	certainly everything that comes out of his mouth is a lie .	1	-1	 certainly[0] everything[0] that[0] comes[0] out[0] of[0] his[0] mouth[0] is[0] a[0] lie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he makes up a past of working clash anguish because the truth of wealth and comfort just isn't interesting enough . 	he makes up a past of working clash anguish because the truth of wealth and comfort just isn't interesting enough .	2	-4	 he[0] makes[0] up[0] a[0] past[0] of[0] working[0] clash[-1] anguish[-3] because[0] the[0] truth[1] of[0] wealth[0] and[0] comfort[1] just[0] isn't[0] interesting[1][NegatedDueToPreviousWord] enough[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
as the weekend progresses , they are both forced to fully engage life . 	as the weekend progresses , they are both forced to fully engage life .	1	-1	 as[0] the[0] weekend[0] progresses[0] they[0] are[0] both[0] forced[0] to[0] fully[0] engage[0] life[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that's the question they must face : comfort or real experiences ? 	that's the question they must face : comfort or real experiences ?	2	-1	 that's[0] the[0] question[0] they[0] must[0] face[0] comfort[1] or[0] real[0] experiences[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the film takes some interesting chances . 	the film takes some interesting chances .	1	-1	 the[0] film[0] takes[0] some[0] interesting[1][-1 LastWordBoosterStrength] chances[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
non-traditional relationships are presented as matter-of-fact . 	non-traditional relationships are presented as matter-of-fact .	1	-1	 non[0] traditional[0] relationships[0] are[0] presented[0] as[0] matter[0] of[0] fact[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
extra-marital , gay , interracial , professor-student : here they aren't judged , merely choices . 	extra-marital , gay , interracial , professor-student : here they aren't judged , merely choices .	1	-2	 extra[0] marital[0] gay[-1] interracial[0] professor[0] student[0] here[0] they[0] aren't[0] judged[0] merely[0] choices[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the actors are all first-rate . 	the actors are all first-rate .	1	-1	 the[0] actors[0] are[0] all[0] first[0] rate[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
douglas triumphs , playing against type as he spends most of his time disheveled , unshaven and clad in a pink women's house robe . 	douglas triumphs , playing against type as he spends most of his time disheveled , unshaven and clad in a pink women's house robe .	3	-2	 douglas[0] triumphs[2] playing[1] against[-1] type[0] as[0] he[0] spends[0] most[0] of[0] his[0] time[0] disheveled[0] unshaven[0] and[0] clad[0] in[0] a[0] pink[0] women's[0] house[0] robe[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
maguire's disengaged alienation works perfectly here . 	maguire's disengaged alienation works perfectly here .	2	-2	 maguire's[0] disengaged[0] alienation[-1] works[0] perfectly[1] here[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
robert downey jr . as grady's agent livens up his scenes . 	robert downey jr .<br> as grady's agent livens up his scenes .	1	-1	 robert[0] downey[0] jr[0] [[Sentence=-1,1=word max, 1-5]] as[0] grady's[0] agent[0] livens[0] up[0] his[0] scenes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
director curtis hanson ( " l . a . 	director curtis hanson ( " l .<br> a .	1	-1	 director[0] curtis[0] hanson[0] l[0] [[Sentence=-1,1=word max, 1-5]] a[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
confidential " ) makes a few missteps . 	confidential " ) makes a few missteps .	1	-1	 confidential[0] makes[0] a[0] few[0] missteps[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the women are underused . 	the women are underused .	1	-1	 the[0] women[0] are[0] underused[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
frances mcdormand does a good job of her limited role of sara , grady's married lover but we never understand much of who she is . 	frances mcdormand does a good job of her limited role of sara , grady's married lover but we never understand much of who she is .	4	-1	 frances[0] mcdormand[0] does[0] a[0] good[1] job[0] of[0] her[0] limited[0] role[0] of[0] sara[0] grady's[0] married[0] lover[3] but[0] we[0] never[0] understand[0] much[0] of[0] who[0] she[0] is[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
the chemistry between the two of them is non-existent which makes some of the ending unconvincing . 	the chemistry between the two of them is non-existent which makes some of the ending unconvincing .	1	-1	 the[0] chemistry[0] between[0] the[0] two[0] of[0] them[0] is[0] non[0] existent[0] which[0] makes[0] some[0] of[0] the[0] ending[0] unconvincing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
katie holmes is a student with a major crush on the professor , but her character goes nowhere . 	katie holmes is a student with a major crush on the professor , but her character goes nowhere .	1	-2	 katie[0] holmes[0] is[0] a[0] student[0] with[0] a[0] major[0] crush[-1] on[0] the[0] professor[0] but[0] her[0] character[0] goes[0] nowhere[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
we never even see grady's exiting wife . 	we never even see grady's exiting wife .	1	-1	 we[0] never[0] even[0] see[0] grady's[0] exiting[0] wife[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is very much a guy's film . 	this is very much a guy's film .	1	-1	 this[0] is[0] very[0] much[0] a[0] guy's[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the varied relationships between the men are much more convincing than any of the others . 	the varied relationships between the men are much more convincing than any of the others .	1	-1	 the[0] varied[0] relationships[0] between[0] the[0] men[0] are[0] much[0] more[0] convincing[0] than[0] any[0] of[0] the[0] others[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
grady's alternating mentoring and rejection of james is the centerpoint of the film , not him and sara . 	grady's alternating mentoring and rejection of james is the centerpoint of the film , not him and sara .	1	-2	 grady's[0] alternating[0] mentoring[0] and[0] rejection[-1] of[0] james[0] is[0] the[0] centerpoint[0] of[0] the[0] film[0] not[0] him[0] and[0] sara[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as the boomers age , expect to see more mid-life crisis films to catch the attention of that demographic . 	as the boomers age , expect to see more mid-life crisis films to catch the attention of that demographic .	1	-3	 as[0] the[0] boomers[0] age[0] expect[0] to[0] see[0] more[0] mid[0] life[0] crisis[-2] films[0] to[0] catch[0] the[0] attention[0] of[0] that[0] demographic[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
eventually it'll probably become cliche , but right now we've got a winner . 	eventually it'll probably become cliche , but right now we've got a winner .	2	-1	 eventually[0] it'll[0] probably[0] become[0] cliche[0] but[0] right[0] now[0] we've[0] got[0] a[0] winner[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i'll finish this in a second . 	i'll finish this in a second .	1	-1	 i'll[0] finish[0] this[0] in[0] a[0] second[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
right now i have to grab some paint . 	right now i have to grab some paint .	1	-2	 right[0] now[0] i[0] have[0] to[0] grab[-1] some[0] paint[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i noticed some trim in the other room that needs a little touch-up . 	i noticed some trim in the other room that needs a little touch-up .	1	-1	 i[0] noticed[0] some[0] trim[0] in[0] the[0] other[0] room[0] that[0] needs[0] a[0] little[0] touch[0] up[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( michael redman has written this column for so long that he's made mid-life crisis a career choice . ) 	 ( michael redman has written this column for so long that he's made mid-life crisis a career choice .<br> )	1	-3	 michael[0] redman[0] has[0] written[0] this[0] column[0] for[0] so[0] long[0] that[0] he's[0] made[0] mid[0] life[0] crisis[-2] a[0] career[0] choice[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
