of all the films i've come to see this year ( 1997 ) , i think only chasing amy had as many " laugh-out-loud " moments . 	Translation	Positive	Negative	EmotionRationale
like i said , each character really shines , even when done with a subtle approach . 	like i said , each character really shines , even when done with a subtle approach .	2	-1	 like[1] i[0] said[0] each[0] character[0] really[0] shines[0] even[0] when[0] done[0] with[0] a[0] subtle[0] approach[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
you can't really watch these people and not think they're real people ! 	you can't really watch these people and not think they're real people !	1	-1	 you[0] can't[0] really[0] watch[0] these[0] people[0] and[0] not[0] think[0] they're[0] real[0] people[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
even they way they talk , with awkward pauses and stumbles that don't feel staged at all , you feel like you're watching a real , albeit funny , documentary . 	even they way they talk , with awkward pauses and stumbles that don't feel staged at all , you feel like you're watching a real , albeit funny , documentary .	2	-2	 even[0] they[0] way[0] they[0] talk[0] with[0] awkward[-1] pauses[0] and[0] stumbles[0] that[0] don't[0] feel[0] staged[0] at[0] all[0] you[0] feel[0] like[1] you're[0] watching[0] a[0] real[0] albeit[0] funny[1] documentary[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
and even with silly lyrics , the original songs when the play is finally put on , are absolutely wonderful ! 	and even with silly lyrics , the original songs when the play is finally put on , are absolutely wonderful !	4	-2	 and[0] even[0] with[0] silly[-1] lyrics[0] the[0] original[0] songs[0] when[0] the[0] play[0] is[0] finally[0] put[0] on[0] are[0] absolutely[0] wonderful[2][1 LastWordBoosterStrength] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
as a word of note , despite it's " r " rating , waiting for guffman is really quite clean . 	as a word of note , despite it's " are " rating , waiting for guffman is really quite clean .	1	-1	 as[0] a[0] word[0] of[0] note[0] despite[0] it's[0] r[0] rating[0] waiting[0] for[0] guffman[0] is[0] really[0] quite[0] clean[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this rating came from a brief , very brief use of the grand-daddy of all swear words . 	this rating came from a brief , very brief use of the grand-daddy of all swear words .	2	-2	 this[0] rating[0] came[0] from[0] a[0] brief[0] very[0] brief[0] use[0] of[0] the[0] grand[1] daddy[0] of[0] all[0] swear[-1] words[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
even if that really bothers you , let me say that it's not presented in a vulgar , cheap-laugh way . 	even if that really bothers you , let me say that it's not presented in a vulgar , cheap-laugh way .	2	-3	 even[0] if[0] that[0] really[0] bothers[-1][-1 LastWordBoosterStrength] you[0] let[0] me[0] say[0] that[0] it's[0] not[0] presented[0] in[0] a[0] vulgar[-1] cheap[-1] laugh[1] way[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
it's actually quite humorous and tastefully done ! 	it's actually quite humorous and tastefully done !	3	-1	 it's[0] actually[0] quite[0] humorous[2] and[0] tastefully[0] done[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it might be hard knowing what to expect with waiting for guffman . 	it might be hard knowing what to expect with waiting for guffman .	1	-1	 it[0] might[0] be[0] hard[0] knowing[0] what[0] to[0] expect[0] with[0] waiting[0] for[0] guffman[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's silly humor , but it's also so dry , subtle , and intelligently done that you're not insulted by it . 	it's silly humor , but it's also so dry , subtle , and intelligently done that you're not insulted by it .	3	-2	 it's[0] silly[-1] humor[2] but[0] it's[0] also[0] so[0] dry[0] subtle[0] and[0] intelligently[1] done[0] that[0] you're[0] not[0] insulted[-2][NegatedDueToPreviousWord] by[0] it[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
it's always really nice to see a comedy that isn't all slapstick and vulgarity , and this film is one of the better ones of the better ones ! 	it's always really nice to see a comedy that isn't all slapstick and vulgarity , and this film is one of the better ones of the better ones !	3	-1	 it's[0] always[0] really[0] nice[1][1 LastWordBoosterStrength] to[0] see[0] a[0] comedy[0] that[0] isn't[0] all[0] slapstick[-1][NegatedDueToPreviousWord] and[0] vulgarity[0] and[0] this[0] film[0] is[0] one[0] of[0] the[0] better[0] ones[0] of[0] the[0] better[0] ones[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i'd recommend seeing it ! 	i'd recommend seeing it !	1	-1	 i'd[0] recommend[0] seeing[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
