tone alone cannot sustain a film , but it can go a long way . 	Translation	Positive	Negative	EmotionRationale
minor characters , like crispin glover as the town's mortician , are vividly realized , and there are echoes of the last picture show in mary steenburgen's desperately unhappy housewife . 	minor characters , like crispin glover as the town's mortician , are vividly realized , and there are echoes of the last picture show in mary steenburgen's desperately unhappy housewife .	2	-4	 minor[0] characters[0] like[1] crispin[0] glover[0] as[0] the[0] town's[0] mortician[0] are[0] vividly[0] realized[0] and[0] there[0] are[0] echoes[0] of[0] the[0] last[0] picture[0] show[0] in[0] mary[0] steenburgen's[0] desperately[-2] unhappy[-2][-1 MultiplePositiveWords] housewife[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
one of the most perfectly realized scenes focuses on the grand opening of a burger franchise , attended by the entire town and accompanied by the off-key high school band . 	one of the most perfectly realized scenes focuses on the grand opening of a burger franchise , attended by the entire town and accompanied by the off-key high school band .	2	-1	 one[0] of[0] the[0] most[0] perfectly[1] realized[0] scenes[0] focuses[0] on[0] the[0] grand[1] opening[0] of[0] a[0] burger[0] franchise[0] attended[0] by[0] the[0] entire[0] town[0] and[0] accompanied[0] by[0] the[0] off[0] key[0] high[0] school[0] band[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
not a single note in the depiction of endora rang false . 	not a single note in the depiction of endora rang false .	1	-1	 not[0] a[0] single[0] note[0] in[0] the[0] depiction[0] of[0] endora[0] rang[0] false[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the same can be said of the character of gilbert . 	the same can be said of the character of gilbert .	1	-1	 the[0] same[0] can[0] be[0] said[0] of[0] the[0] character[0] of[0] gilbert[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's testimony to the precision involved in his creation that he came together completely with one perfectly placed line , when becky responds to gilbert's description of his father with , " i knew someone like that once . " 	it's testimony to the precision involved in his creation that he came together completely with one perfectly placed line , when becky responds to gilbert's description of his father with , " i knew someone like that once .<br> "	2	-1	 it's[0] testimony[0] to[0] the[0] precision[0] involved[0] in[0] his[0] creation[0] that[0] he[0] came[0] together[0] completely[0] with[0] one[0] perfectly[1] placed[0] line[0] when[0] becky[0] responds[0] to[0] gilbert's[0] description[0] of[0] his[0] father[0] with[0] i[0] knew[0] someone[0] like[1] that[0] once[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
gilbert is a man harboring an ever-growing bitterness about where he finds himself in life , a bitterness which reveals itself in moments of surprising cruelty . 	gilbert is a man harboring an ever-growing bitterness about where he finds himself in life , a bitterness which reveals itself in moments of surprising cruelty .	1	-4	 gilbert[0] is[0] a[0] man[0] harboring[0] an[0] ever[0] growing[0] bitterness[-1] about[0] where[0] he[0] finds[0] himself[0] in[0] life[0] a[0] bitterness[-1] which[0] reveals[0] itself[0] in[0] moments[0] of[0] surprising[0] cruelty[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
in one scene , he allows local children to look at his mother through their window , displaying her like a side show attraction . 	in one scene , he allows local children to look at his mother through their window , displaying her like a side show attraction .	2	-1	 in[0] one[0] scene[0] he[0] allows[0] local[0] children[0] to[0] look[0] at[0] his[0] mother[0] through[0] their[0] window[0] displaying[0] her[0] like[1] a[0] side[0] show[0] attraction[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
his entire life seems to be mocked by arnie's repeated chants of , " we're not going anywhere , " but instead of expressing his dissatisfaction he lets his anger simmer , and it becomes clear that he is following in his father's footsteps in this regard . 	his entire life seems to be mocked by arnie's repeated chants of , " we're not going anywhere , " but instead of expressing his dissatisfaction he lets his anger simmer , and it becomes clear that he is following in his father's footsteps in this regard .	1	-4	 his[0] entire[0] life[0] seems[0] to[0] be[0] mocked[-2] by[0] arnie's[0] repeated[0] chants[0] of[0] we're[0] not[0] going[0] anywhere[0] but[0] instead[0] of[0] expressing[0] his[0] dissatisfaction[-1] he[0] lets[0] his[0] anger[-3] simmer[0] and[0] it[0] becomes[0] clear[0] that[0] he[0] is[0] following[0] in[0] his[0] father's[0] footsteps[0] in[0] this[0] regard[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
johnny depp expertly demonstrates the tension central to gilbert by playing everything below the surface , but he never gives in to one-dimensional blankness or simply regurgitates his naif roles in benny & joon and edward scissorhands . 	johnny dep expertly demonstrates the tension central to gilbert by playing everything below the surface , but he never gives in to one-dimensional blankness or simply regurgitates his naif roles in benny & joon and edward scissorhands .	2	-3	 johnny[0] depp/dep[0] expertly[0] demonstrates[0] the[0] tension[-2] central[0] to[0] gilbert[0] by[0] playing[1] everything[0] below[0] the[0] surface[0] but[0] he[0] never[0] gives[0] in[0] to[0] one[0] dimensional[0] blankness[0] or[0] simply[0] regurgitates[0] his[0] naif[0] roles[0] in[0] benny[0] &[0] joon[0] and[0] edward[0] scissorhands[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
depp's performance is overshadowed , however , by leonardo dicaprio's astonishing oscar-nominated supporting work as arnie . 	depp's performance is overshadowed , however , by leonardo dicaprio's astonishing oscar-nominated supporting work as arnie .	2	-1	 depp's[0] performance[0] is[0] overshadowed[0] however[0] by[0] leonardo[0] dicaprio's[0] astonishing[0] oscar[0] nominated[0] supporting[1] work[0] as[0] arnie[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he puts to shame such big name actors as john malkovich and dustin hoffman , whose mentally challenged characters never seemed completely real . 	he puts to shame such big name actors as john malkovich and dustin hoffman , whose mentally challenged characters never seemed completely real .	1	-3	 he[0] puts[0] to[0] shame[-2] such[0] big[0] name[0] actors[0] as[0] john[0] malkovich[0] and[0] dustin[0] hoffman[0] whose[0] mentally[0] challenged[-1] characters[0] never[0] seemed[0] completely[0] real[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
dicaprio is perfect to the last twitch and squeal , and anyone who has ever spent time with mentally challenged kids will be hard-pressed to spot a flaw . 	dicaprio is perfect to the last twitch and squeal , and anyone who has ever spent time with mentally challenged kids will be hard-pressed to spot a flaw .	2	-2	 dicaprio[0] is[0] perfect[1] to[0] the[0] last[0] twitch[0] and[0] squeal[0] and[0] anyone[0] who[0] has[0] ever[0] spent[0] time[0] with[0] mentally[0] challenged[-1] kids[0] will[0] be[0] hard[0] pressed[0] to[0] spot[0] a[0] flaw[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
darlene cates , a first-time actor , brings real pain to her scenes as gilbert's tortured mother , and laura harrington and mary kate schellhardt are solid as gilbert's sisters . 	darlene cates , a first-time actor , brings real pain to her scenes as gilbert's tortured mother , and laura harrington and mary kate schellhardt are solid as gilbert's sisters .	1	-4	 darlene[0] cates[0] a[0] first[0] time[0] actor[0] brings[0] real[0] pain[-3] to[0] her[0] scenes[0] as[0] gilbert's[0] tortured[-3] mother[0] and[0] laura[0] harrington[0] and[0] mary[0] kate[0] schellhardt[0] are[0] solid[0] as[0] gilbert's[0] sisters[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
only juliette lewis doesn't quite click , playing a critical role with her now familiar dopey drone and too little genuine spark . 	only juliette lewis doesn't quite click , playing a critical role with her now familiar dopey drone and too little genuine spark .	2	-2	 only[0] juliette[0] lewis[0] doesn't[0] quite[0] click[0] playing[1] a[0] critical[-1] role[0] with[0] her[0] now[0] familiar[0] dopey[0] drone[0] and[0] too[0] little[0] genuine[0] spark[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
gilbert grape does seem to drift into its conclusion , but it never lost me . 	gilbert grape does seem to drift into its conclusion , but it never lost me .	1	-1	 gilbert[0] grape[0] does[0] seem[0] to[0] drift[0] into[0] its[0] conclusion[0] but[0] it[0] never[0] lost[0] me[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
thanks to a lovingly created setting and a marvelous cast , this 1993 release proves well worth the wait . 	thanks to a lovingly created setting and a marvelous cast , this 1993 release proves well worth the wait .	4	-1	 thanks[1] to[0] a[0] lovingly[3] created[0] setting[0] and[0] a[0] marvelous[0] cast[0] this[0] 1993[0] release[0] proves[0] well[0] worth[0] the[0] wait[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
