note : some may consider portions of the following text to be spoilers . 	Translation	Positive	Negative	EmotionRationale
one of the interesting things about the little mermaid is something which now curiously dates it : the voices cast for its motley crew of characters . 	one of the interesting things about the little mermaid is something which now curiously dates it : the voices cast for its motley crew of characters .	2	-2	 one[0] of[0] the[0] interesting[1] things[0] about[0] the[0] little[0] mermaid[0] is[0] something[0] which[0] now[0] curiously[0] dates[0] it[0] the[0] voices[0] cast[0] for[0] its[0] motley[-1] crew[0] of[0] characters[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
this film was produced just before the distracting concept of using celebrity voices became in vogue , which started to a certain degree with beauty and the beast and was irrevocably exacerbated by robin williams' much-heralded turn in aladdin ; by the release of the lion king and henceforth , the majority of characters in the animated films were voiced by celebrities . 	this film was produced just before the distracting concept of using celebrity voices became in vogue , which started to a certain degree with beauty and the beast and was irrevocably exacerbated by robin williams' much-heralded turn in aladdin ; by the release of the lion king and henceforth , the majority of characters in the animated films were voiced by celebrities .	3	-2	 this[0] film[0] was[0] produced[0] just[0] before[0] the[0] distracting[-1] concept[0] of[0] using[0] celebrity[0] voices[0] became[0] in[0] vogue[0] which[0] started[0] to[0] a[0] certain[0] degree[0] with[0] beauty[2] and[0] the[0] beast[0] and[0] was[0] irrevocably[0] exacerbated[0] by[0] robin[0] williams'[0] much[0] heralded[0] turn[0] in[0] aladdin[0] by[0] the[0] release[0] of[0] the[0] lion[0] king[0] and[0] henceforth[0] the[0] majority[0] of[0] characters[0] in[0] the[0] animated[0] films[0] were[0] voiced[0] by[0] celebrities[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
while it's understandable that animated features lacking the name-recognition or drawing power of disney ( say , balto's use of kevin bacon and bridget fonda , or even anastasia's showcasing of meg ryan and john cusack ) would be forced to turn to this strategy in order to hype their products , it's unfortunate that even disney has embraced this policy . 	while it's understandable that animated features lacking the name-recognition or drawing power of disney ( say , balto's use of kevin bacon and bridget fonda , or even anastasia's showcasing of meg ryan and john cusack ) would be forced to turn to this strategy in order to hype their products , it's unfortunate that even disney has embraced this policy .	1	-2	 while[0] it's[0] understandable[0] that[0] animated[0] features[0] lacking[0] the[0] name[0] recognition[0] or[0] drawing[0] power[0] of[0] disney[0] say[0] balto's[0] use[0] of[0] kevin[0] bacon[0] and[0] bridget[0] fonda[0] or[0] even[0] anastasia's[0] showcasing[0] of[0] meg[0] ryan[0] and[0] john[0] cusack[0] would[0] be[0] forced[0] to[0] turn[0] to[0] this[0] strategy[0] in[0] order[0] to[0] hype[0] their[0] products[0] it's[0] unfortunate[-1] that[0] even[0] disney[0] has[0] embraced[0] this[0] policy[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
do we really need to hear , say , demi moore as esmerelda in the hunchback of notre dame ? 	do we really need to hear , say , demi more as esmerelda in the hunchback of notre dame ?	1	-1	 do[0] we[0] really[0] need[0] to[0] hear[0] say[0] demi[0] moore/more[0] as[0] esmerelda[0] in[0] the[0] hunchback[0] of[0] notre[0] dame[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
is the film's entertainment value really augmented by hearing a recognizable voice , rather than a voice which best suits the role ? 	is the film's entertainment value really augmented by hearing a recognizable voice , rather than a voice which best suits the role ?	2	-1	 is[0] the[0] film's[0] entertainment[0] value[1] really[0] augmented[0] by[0] hearing[0] a[0] recognizable[0] voice[0] rather[0] than[0] a[0] voice[0] which[0] best[1] suits[0] the[0] role[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 ( i'm not exactly on the edge of my seat for eddie murphy in the upcoming mulan . ) 	 ( i'm not exactly on the edge of my seat for eddie murphy in the upcoming mulan .<br> )	1	-1	 i'm[0] not[0] exactly[0] on[0] the[0] edge[0] of[0] my[0] seat[0] for[0] eddie[0] murphy[0] in[0] the[0] upcoming[0] mulan[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
fortunately , the performers who voice the characters in the little mermaid , although perhaps more obscure , are impeccably cast . 	fortunately , the performers who voice the characters in the little mermaid , although perhaps more obscure , are impeccably cast .	1	-1	 fortunately[0] the[0] performers[0] who[0] voice[0] the[0] characters[0] in[0] the[0] little[0] mermaid[0] although[0] perhaps[0] more[0] obscure[0] are[0] impeccably[0] cast[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
chief among them is jodi benson , a 1992 tony nominee for her stage work in crazy for you , who voices the film's heroine ariel to perfection ; with a wonderfully expressive speaking voice full of youthful vigor , and gorgeous singing voice , ms . benson provides a most engaging anchor for the film . 	chief among them is jodi benson , a 1992 tony nominee for her stage work in crazy for you , who voices the film's heroine ariel to perfection ; with a wonderfully expressive speaking voice full of youthful vigor , and gorgeous singing voice , ms .<br> benson provides a most engaging anchor for the film .	3	-2	 chief[0] among[0] them[0] is[0] jodi[0] benson[0] a[0] 1992[0] tony[0] nominee[0] for[0] her[0] stage[0] work[0] in[0] crazy[-1] for[0] you[0] who[0] voices[0] the[0] film's[0] heroine[2] ariel[0] to[0] perfection[1] with[0] a[0] wonderfully[2] expressive[0] speaking[0] voice[0] full[0] of[0] youthful[0] vigor[0] and[0] gorgeous[2] singing[0] voice[0] ms[0] [[Sentence=-2,3=word max, 1-5]] benson[0] provides[0] a[0] most[0] engaging[0] anchor[0] for[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[3,-2 max of sentences]]]
 ( she's the only reason i'd even consider catching flubber . ) 	 ( she's the only reason i'd even consider catching flubber .<br> )	1	-1	 she's[0] the[0] only[0] reason[0] i'd[0] even[0] consider[0] catching[0] flubber[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
similarly , samuel e . wright is terrific in the showy role of sebastian , the weary guardian crab . 	similarly , samuel e .<br> wright is terrific in the showy role of sebastian , the weary guardian crab .	4	-1	 similarly[0] samuel[0] e[0] [[Sentence=-1,1=word max, 1-5]] wright[0] is[0] terrific[3] in[0] the[0] showy[0] role[0] of[0] sebastian[0] the[0] weary[0] guardian[0] crab[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
he easily milks his lovable character's comic moments for all they're worth , and his rendering of two of the little mermaid's big tunes -- " under the sea " and " kiss the girl " -- have become the stuff of legend . 	he easily milks his lovable character's comic moments for all they're worth , and his rendering of two of the little mermaid's big tunes - " under the sea " and " kiss the girl " - have become the stuff of legend .	3	-1	 he[0] easily[0] milks[0] his[0] lovable[0] character's[0] comic[0] moments[0] for[0] all[0] they're[0] worth[0] and[0] his[0] rendering[0] of[0] two[0] of[0] the[0] little[0] mermaid's[0] big[0] tunes[0] under[0] the[0] sea[0] and[0] kiss[2] the[0] girl[0] have[0] become[0] the[0] stuff[0] of[0] legend[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
pat carrol is deliciously villainous and vampy as the evil sea-witch ursula , while kenneth mars' booming voice conveys the stern yet affectionate authority of ariel's father , king triton . 	pat carol is deliciously villainous and vampy as the evil sea-witch ursula , while kenneth mars' booming voice conveys the stern yet affectionate authority of ariel's father , king triton .	3	-3	 pat[0] carrol/carol[0] is[0] deliciously[2] villainous[-2] and[0] vampy[0] as[0] the[0] evil[-2] sea[0] witch[0] ursula[0] while[0] kenneth[0] mars'[0] booming[0] voice[0] conveys[0] the[0] stern[-1] yet[0] affectionate[2] authority[0] of[0] ariel's[0] father[0] king[0] triton[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
in large roles and small ( edie mcclurg as dotting busybody carlotta is ideal , and rene auberjonois has great fun with his exuberant french chef ) , the little mermaid is impeccably cast . 	in large roles and small ( edie mcclurg as dotting busybody carlotta is ideal , and rene auberjonois has great fun with his exuberant french chef ) , the little mermaid is impeccably cast .	3	-2	 in[0] large[0] roles[0] and[0] small[0] edie[0] mcclurg[0] as[0] dotting[0] busybody[-1] carlotta[0] is[0] ideal[0] and[0] rene[0] auberjonois[0] has[0] great[2] fun[1] with[0] his[0] exuberant[2] french[0] chef[0] the[0] little[0] mermaid[0] is[0] impeccably[0] cast[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
of course , the little mermaid will probably be best remembered for its remarkable collection of songs composed by the songwriting team of alan menken ( music ) and howard ashman ( lyrics ) , who had created little shop of horrors and would go on to compose beauty and the beast and aladdin for disney before mr . ashman's untimely death . 	of course , the little mermaid will probably be best remembered for its remarkable collection of songs composed by the songwriting team of alan menken ( music ) and howard ashman ( lyrics ) , who had created little shop of horrors and would go on to compose beauty and the beast and aladdin for disney before mr .<br> ashman's untimely death .	3	-4	 of[0] course[0] the[0] little[0] mermaid[0] will[0] probably[0] be[0] best[1] remembered[0] for[0] its[0] remarkable[0] collection[0] of[0] songs[0] composed[0] by[0] the[0] songwriting[0] team[0] of[0] alan[0] menken[0] music[0] and[0] howard[0] ashman[0] lyrics[0] who[0] had[0] created[0] little[0] shop[0] of[0] horrors[-3] and[0] would[0] go[0] on[0] to[0] compose[0] beauty[2] and[0] the[0] beast[0] and[0] aladdin[0] for[0] disney[0] before[0] mr[0] [[Sentence=-4,3=word max, 1-5]] ashman's[0] untimely[-1] death[-2] [[Sentence=-3,1=word max, 1-5]][[[3,-4 max of sentences]]]
not only are mr . menken's tunes unbearably catchy , but mr . ashman's charming lyrics are fully integrated into the film's storyline so that the songs are a virtual extension of the character's dialogue , and consequently work wonderfully within the context of the film . 	not only are mr .<br> menken's tunes unbearably catchy , but mr .<br> ashman's charming lyrics are fully integrated into the film's storyline so that the songs are a virtual extension of the character's dialogue , and consequently work wonderfully within the context of the film .	3	-4	 not[0] only[0] are[0] mr[0] [[Sentence=-1,1=word max, 1-5]] menken's[0] tunes[0] unbearably[-3] catchy[0] but[0] mr[0] [[Sentence=-4,1=word max, 1-5]] ashman's[0] charming[1] lyrics[0] are[0] fully[0] integrated[0] into[0] the[0] film's[0] storyline[0] so[0] that[0] the[0] songs[0] are[0] a[0] virtual[0] extension[0] of[0] the[0] character's[0] dialogue[0] and[0] consequently[0] work[0] wonderfully[2] within[0] the[0] context[0] of[0] the[0] film[0] [[Sentence=-1,3=word max, 1-5]][[[3,-4 max of sentences]]]
mr . menken's score for the film is equally top-notch ; the sequence where eric ( voiced by christopher daniel barnes ) and ariel tour his kingdom in a horse-drawn carriage becomes magical and wondrous with mr . menken's fine score . 	mr .<br> menken's score for the film is equally top-notch ; the sequence where eric ( voiced by christopher daniel barnes ) and ariel tour his kingdom in a horse-drawn carriage becomes magical and wondrous with mr .<br> menken's fine score .	3	-1	 mr[0] [[Sentence=-1,1=word max, 1-5]] menken's[0] score[0] for[0] the[0] film[0] is[0] equally[0] top[0] notch[0] the[0] sequence[0] where[0] eric[0] voiced[0] by[0] christopher[0] daniel[0] barnes[0] and[0] ariel[0] tour[0] his[0] kingdom[0] in[0] a[0] horse[0] drawn[0] carriage[0] becomes[0] magical[0] and[0] wondrous[0] with[0] mr[0] [[Sentence=-1,1=word max, 1-5]] menken's[0] fine[2] score[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it appears that most people prefer the delightfully colourful production number for the calypso-styled " under the sea " as joyfully crooned by mr . wright , which won the academy award and golden globe awards for best song -- indeed , one of the many little joys in screening the film during its re-release was listening to children scattered throughout the audience singing along with the tune -- but my favourite is ms . benson's heartfelt rendition of the ballad " part of your world " , an achingly beautiful tune of yearning and hope ( wonderfully lyricized by mr . ashman ) which , accompanied by the film's most dazzlingly polished animation sequence , packs an emotional wallop which literally brought tears to my eyes . 	it appears that most people prefer the delightfully colourful production number for the calypso-styled " under the sea " as joyfully crooned by mr .<br> wright , which won the academy award and golden globe awards for best song - indeed , one of the many little joys in screening the film during its re-release was listening to children scattered throughout the audience singing along with the tune - but my favourite is ms .<br> benson's heartfelt rendition of the ballad " part of your world " , an achingly beautiful tune of yearning and hope ( wonderfully lyricized by mr .<br> ashman ) which , accompanied by the film's most dazlingly polished animation sequence , packs an emotional wallop which literally brought tears to my eyes .	4	-4	 it[0] appears[0] that[0] most[0] people[0] prefer[0] the[0] delightfully[2] colourful[0] production[0] number[0] for[0] the[0] calypso[0] styled[0] under[0] the[0] sea[0] as[0] joyfully[2] crooned[0] by[0] mr[0] [[Sentence=-1,3=word max, 1-5]] wright[0] which[0] won[0] the[0] academy[0] award[0] and[0] golden[0] globe[0] awards[0] for[0] best[1] song[0] indeed[0] one[0] of[0] the[0] many[0] little[0] joys[2] in[0] screening[0] the[0] film[0] during[0] its[0] re[0] release[0] was[0] listening[0] to[0] children[0] scattered[0] throughout[0] the[0] audience[0] singing[0] along[0] with[0] the[0] tune[0] but[0] my[0] favourite[1] is[0] ms[0] [[Sentence=-1,3=word max, 1-5]] benson's[0] heartfelt[1] rendition[0] of[0] the[0] ballad[0] part[0] of[0] your[0] world[0] an[0] achingly[0] beautiful[2] tune[0] of[0] yearning[-1] and[0] hope[2] wonderfully[2][+1 MultiplePositiveWords] lyricized[0] by[0] mr[0] [[Sentence=-2,4=word max, 1-5]] ashman[0] which[0] accompanied[0] by[0] the[0] film's[0] most[0] dazzlingly/dazlingly[0] polished[0] animation[0] sequence[0] packs[0] an[0] emotional[-1] wallop[0] which[0] literally[0] brought[0] tears[-3] to[0] my[0] eyes[0] [[Sentence=-4,1=word max, 1-5]][[[4,-4 max of sentences]]]
during the song's reprise , which builds to a crescendo with ariel arching on a rock as a wave crashes in , the cumulative effect is nothing short of breathtaking , and one becomes acutely aware that this single instance is one of the finest in animation history . 	during the song's reprise , which builds to a crescendo with ariel arching on a rock as a wave crashes in , the cumulative effect is nothing short of breathtaking , and one becomes acutely aware that this single instance is one of the finest in animation history .	2	-1	 during[0] the[0] song's[0] reprise[0] which[0] builds[0] to[0] a[0] crescendo[0] with[0] ariel[0] arching[0] on[0] a[0] rock[1] as[0] a[0] wave[0] crashes[0] in[0] the[0] cumulative[0] effect[0] is[0] nothing[0] short[0] of[0] breathtaking[0] and[0] one[0] becomes[0] acutely[0] aware[0] that[0] this[0] single[0] instance[0] is[0] one[0] of[0] the[0] finest[0] in[0] animation[0] history[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
as of this writing , november 1997 has come to an end , as has disney's limited 17-day re-release of the little mermaid . 	as of this writing , november 1997 has come to an end , as has disney's limited 17-day re-release of the little mermaid .	1	-1	 as[0] of[0] this[0] writing[0] november[0] 1997[0] has[0] come[0] to[0] an[0] end[0] as[0] has[0] disney's[0] limited[0] 17[0] day[0] re[0] release[0] of[0] the[0] little[0] mermaid[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there's no question that the primary motivation for , if not the film's reissue itself , at least its timing , was to reinforce disney's dominance in the animation market and provide direct competition to fox's costly new upstart animation division and their first major venture , anastasia . 	there's no question that the primary motivation for , if not the film's reissue itself , at least its timing , was to reinforce disney's dominance in the animation market and provide direct competition to fox's costly new upstart animation division and their first major venture , anastasia .	1	-2	 there's[0] no[0] question[0] that[0] the[0] primary[0] motivation[0] for[0] if[0] not[0] the[0] film's[0] reissue[0] itself[0] at[0] least[0] its[0] timing[0] was[0] to[0] reinforce[0] disney's[0] dominance[0] in[0] the[0] animation[0] market[0] and[0] provide[0] direct[0] competition[0] to[0] fox's[0] costly[-1] new[0] upstart[0] animation[0] division[-1] and[0] their[0] first[0] major[0] venture[0] anastasia[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in every respect , the re-release of the little mermaid appears to be a success -- the film's 1997 grosses have pushed its cumulative domestic gross over the magic  100 million mark ; the little mermaid proved to have remarkably strong drawing power for a film initially released only eight years ago and in many homes on video , pulling in close to  10 million in its opening weekend ; and although nobody could possibly expect the little mermaid to possibly defeat the aggressively-marketed anastasia in head-to-head competition , it siphoned enough from the fox film's opening weekend totals to keep anastasia from the coveted weekend leader spot , allowing for disney's odious flubber to sweep in on the subsequent week and wrestle the family demographic market share away . 	in every respect , the re-release of the little mermaid appears to be a success - the film's 1997 grosses have pushed its cumulative domestic gross over the magic  100 million mark ; the little mermaid proved to have remarkably strong drawing power for a film initially released only eight years ago and in many homes on video , pulling in close to  10 million in its opening weekend ; and although nobody could possibly expect the little mermaid to possibly defeat the aggressively-marketed anastasia in head-to-head competition , it siphoned enough from the fox film's opening weekend totals to keep anastasia from the coveted weekend leader spot , allowing for disney's odious flubber to sweep in on the subsequent week and wrestle the family demographic market share away .	3	-3	 in[0] every[0] respect[2] the[0] re[0] release[0] of[0] the[0] little[0] mermaid[0] appears[0] to[0] be[0] a[0] success[2] the[0] film's[0] 1997[0] grosses[-1] have[0] pushed[0] its[0] cumulative[0] domestic[0] gross[-1] over[0] the[0] magic[0] 100[0] million[0] mark[0] the[0] little[0] mermaid[0] proved[0] to[0] have[0] remarkably[0] strong[0] drawing[0] power[0] for[0] a[0] film[0] initially[0] released[0] only[0] eight[0] years[0] ago[0] and[0] in[0] many[0] homes[0] on[0] video[0] pulling[0] in[0] close[0] to[0] 10[0] million[0] in[0] its[0] opening[0] weekend[0] and[0] although[0] nobody[0] could[0] possibly[0] expect[0] the[0] little[0] mermaid[0] to[0] possibly[0] defeat[0] the[0] aggressively[-2] marketed[0] anastasia[0] in[0] head[0] to[0] head[0] competition[0] it[0] siphoned[0] enough[0] from[0] the[0] fox[0] film's[0] opening[0] weekend[0] totals[0] to[0] keep[0] anastasia[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
but although disney's motives in the reissue of the little mermaid were self-serving and protectionist , the real winner is the public . 	but although disney's motives in the reissue of the little mermaid were self-serving and protectionist , the real winner is the public .	2	-1	 but[0] although[0] disney's[0] motives[0] in[0] the[0] reissue[0] of[0] the[0] little[0] mermaid[0] were[0] self[0] serving[0] and[0] protectionist[0] the[0] real[0] winner[1] is[0] the[0] public[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
any reason to put this film back into theatres is a good one , and it's a true joy to see this heartwarming gem back on the silver screen . 	any reason to put this film back into theatres is a good one , and it's a true joy to see this heartwarming gem back on the silver screen .	3	-1	 any[0] reason[0] to[0] put[0] this[0] film[0] back[0] into[0] theatres[0] is[0] a[0] good[1] one[0] and[0] it's[0] a[0] true[1] joy[2] to[0] see[0] this[0] heartwarming[2] gem[0] back[0] on[0] the[0] silver[0] screen[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the little mermaid is the best film to come out of the disney's modern animation renaissance , and one of the greatest animated films ever made . 	the little mermaid is the best film to come out of the disney's modern animation renaissance , and one of the greatest animated films ever made .	3	-1	 the[0] little[0] mermaid[0] is[0] the[0] best[1] film[0] to[0] come[0] out[0] of[0] the[0] disney's[0] modern[0] animation[0] renaissance[0] and[0] one[0] of[0] the[0] greatest[2] animated[0] films[0] ever[0] made[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
