few films in 1999 have divided the critical consensus as sharply as alan parker's adaptation of frank mccourt's memoir angela's ashes . 	Translation	Positive	Negative	EmotionRationale
two of frank's brothers soon die , crippled by the dreadful living conditions and malnutrition . 	two of frank's brothers soon die , crippled by the dreadful living conditions and malnutrition .	1	-4	 two[0] of[0] frank's[0] brothers[0] soon[0] die[0] crippled[-1] by[0] the[0] dreadful[-3] living[0] conditions[0] and[0] malnutrition[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
as if the poverty and the suffering weren't intense enough as it stood , malachy and angela have another baby , worsening the situation further . 	as if the poverty and the suffering weren't intense enough as it stood , malachy and angela have another baby , worsening the situation further .	2	-4	 as[0] if[0] the[0] poverty[-1] and[0] the[0] suffering[-3] weren't[0] intense[0] enough[0] as[0] it[0] stood[0] malachy[0] and[0] angela[0] have[0] another[0] baby[1] worsening[-2] the[0] situation[0] further[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
i imagine this doesn't sound like much of a plot . 	i imagine this doesn't sound like much of a plot .	2	-1	 i[0] imagine[0] this[0] doesn't[0] sound[0] like[1] much[0] of[0] a[0] plot[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
that's probably because it isn't one . 	that's probably because it isn't one .	1	-1	 that's[0] probably[0] because[0] it[0] isn't[0] one[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
these are people . 	these are people .	1	-1	 these[0] are[0] people[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is their story . 	this is their story .	1	-1	 this[0] is[0] their[0] story[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
director alan parker ( the commitments ) knows how to tell a good story and angela's ashes , despite its relentlessly literary tone remains interesting . 	director alan parker ( the commitments ) knows how to tell a good story and angela's ashes , despite its relentlessly literary tone remains interesting .	2	-1	 director[0] alan[0] parker[0] the[0] commitments[0] knows[0] how[0] to[0] tell[0] a[0] good[1] story[0] and[0] angela's[0] ashes[0] despite[0] its[0] relentlessly[0] literary[0] tone[0] remains[0] interesting[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
though the film occasionally indulges too much in its gloomily picturesque irish setting , it avoids looking like a glorified travelogue . 	though the film occasionally indulges too much in its gloomily picturesque irish setting , it avoids looking like a glorified travelogue .	2	-3	 though[0] the[0] film[0] occasionally[0] indulges[0] too[0] much[0] in[0] its[0] gloomily[-2] picturesque[1] irish[0] setting[0] it[0] avoids[-1] looking[0] like[1] a[0] glorified[1] travelogue[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
supplementing parker's able direction are the engaging , often poignant performances of the leads , some of them seasoned thespians , others relative beginners . 	supplementing parker's able direction are the engaging , often poignant performances of the leads , some of them seasoned thespians , others relative beginners .	1	-1	 supplementing[0] parker's[0] able[0] direction[0] are[0] the[0] engaging[0] often[0] poignant[0] performances[0] of[0] the[0] leads[0] some[0] of[0] them[0] seasoned[0] thespians[0] others[0] relative[0] beginners[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
carlyle , the charismatic british actor who has shown astonishing range by hopping from the lead in a rowdy slapstick comedy to the villain in a james bond movie and now to sentimental melodrama , perfectly portrays his rather pathetic character . 	carlyle , the charismatic british actor who has shown astonishing range by hopping from the lead in a rowdy slapstick comedy to the villain in a james bond movie and now to sentimental melodrama , perfectly portrays his rather pathetic character .	3	-3	 carlyle[0] the[0] charismatic[0] british[0] actor[0] who[0] has[0] shown[0] astonishing[0] range[0] by[0] hopping[0] from[0] the[0] lead[0] in[0] a[0] rowdy[0] slapstick[-1] comedy[0] to[0] the[0] villain[-2] in[0] a[0] james[0] bond[0] movie[0] and[0] now[0] to[0] sentimental[2] melodrama[0] perfectly[1] portrays[0] his[0] rather[0] pathetic[-2] character[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
we empathize with the guy , but we don't like or admire him . 	we empathize with the guy , but we don't like or admire him .	3	-2	 we[0] empathize[0] with[0] the[0] guy[0] but[0] we[0] don't[0] like[1][NegatedDueToPreviousWord] or[0] admire[2] him[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
emily watson turns in a heartfelt , sincere supporting performance . 	emily watson turns in a heartfelt , sincere supporting performance .	2	-1	 emily[0] watson[0] turns[0] in[0] a[0] heartfelt[1] sincere[0] supporting[1] performance[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it is mostly she who implants that lump in our throats . 	it is mostly she who implants that lump in our throats .	1	-1	 it[0] is[0] mostly[0] she[0] who[0] implants[0] that[0] lump[0] in[0] our[0] throats[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
also worthy of mention is little joe breen , whose face graces the film's superb poster . 	also worthy of mention is little joe breen , whose face graces the film's superb poster .	2	-1	 also[0] worthy[0] of[0] mention[0] is[0] little[0] joe[0] breen[0] whose[0] face[0] graces[1] the[0] film's[0] superb[0] poster[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it is breen's first feature film and he's extraordinary as young frank . 	it is breen's first feature film and he's extraordinary as young frank .	1	-1	 it[0] is[0] breen's[0] first[0] feature[0] film[0] and[0] he's[0] extraordinary[0] as[0] young[0] frank[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
not unlike sudden oscar darling haley joel osment of the sixth sense , you can peer into the character's soul through breen's sad eyes . 	not unlike sudden oscar darling haley joel osment of the sixth sense , you can peer into the character's soul through breen's sad eyes .	3	-4	 not[0] unlike[0] sudden[0] oscar[0] darling[2] haley[0] joel[0] osment[0] of[0] the[0] sixth[0] sense[0] you[0] can[0] peer[0] into[0] the[0] character's[0] soul[0] through[0] breen's[0] sad[-3] eyes[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
on the flip side , one thing that could have vastly improved angela's ashes is a more decisive editor . 	on the flip side , one thing that could have vastly improved angela's ashes is a more decisive editor .	2	-1	 on[0] the[0] flip[0] side[0] one[0] thing[0] that[0] could[0] have[0] vastly[0] improved[1] angela's[0] ashes[0] is[0] a[0] more[0] decisive[0] editor[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
while gerry hambling sure makes the most of the scenery , he and parker also leave in at least a half an hour of unnecessary footage . 	while gerry hambling sure makes the most of the scenery , he and parker also leave in at least a half an hour of unnecessary footage .	1	-2	 while[0] gerry[0] hambling[0] sure[0] makes[0] the[0] most[0] of[0] the[0] scenery[0] he[0] and[0] parker[0] also[0] leave[0] in[0] at[0] least[0] a[0] half[0] an[0] hour[0] of[0] unnecessary[-1] footage[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the first half , especially , could have been trimmed down , bringing the film to a more reasonable running time and doing our bladders a favor in the process . 	the first half , especially , could have been trimmed down , bringing the film to a more reasonable running time and doing our bladders a favor in the process .	2	-1	 the[0] first[0] half[0] especially[0] could[0] have[0] been[0] trimmed[0] down[0] bringing[0] the[0] film[0] to[0] a[0] more[0] reasonable[0] running[0] time[0] and[0] doing[0] our[0] bladders[0] a[0] favor[1] in[0] the[0] process[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
things pick up at about the halfway point , sort of dismissing a lot of the criticisms i accumulated during the opening hour , but i maintain that the aggressively deliberate pace parker and co . set in the first half was ludicrously unnecessary . 	things pick up at about the halfway point , sort of dismissing a lot of the criticisms i accumulated during the opening hour , but i maintain that the aggressively deliberate pace parker and co .<br> set in the first half was ludicrously unnecessary .	1	-3	 things[0] pick[0] up[0] at[0] about[0] the[0] halfway[0] point[0] sort[0] of[0] dismissing[-1] a[0] lot[0] of[0] the[0] criticisms[-1] i[0] accumulated[0] during[0] the[0] opening[0] hour[0] but[0] i[0] maintain[0] that[0] the[0] aggressively[-2] deliberate[0] pace[0] parker[0] and[0] co[0] [[Sentence=-3,1=word max, 1-5]] set[0] in[0] the[0] first[0] half[0] was[0] ludicrously[-2] unnecessary[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
 * spoiler warning ! 	 * spoiler warning !	1	-2	 spoiler[-1] warning[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
skip next paragraph if in suspense ! * 	skip next paragraph if in suspense !<br> *	1	-1	 skip[0] next[0] paragraph[0] if[0] in[0] suspense[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film's final message is somewhat conflicted , as frankie , in effect , leaves his family famished in ireland while he himself goes back to america . 	the film's final message is somewhat conflicted , as frankie , in effect , leaves his family famished in ireland while he himself goes back to america .	1	-2	 the[0] film's[0] final[0] message[0] is[0] somewhat[0] conflicted[-1] as[0] frankie[0] in[0] effect[0] leaves[0] his[0] family[0] famished[-1] in[0] ireland[0] while[0] he[0] himself[0] goes[0] back[0] to[0] america[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
what , exactly , are we supposed to make of that ? 	what , exactly , are we supposed to make of that ?	1	-1	 what[0] exactly[0] are[0] we[0] supposed[0] to[0] make[0] of[0] that[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his mother doesn't seem to mind because she wants the best possible future for her son , as any mother would , but it still seems inconsiderate of him . 	his mother doesn't seem to mind because she wants the best possible future for her son , as any mother would , but it still seems inconsiderate of him .	2	-1	 his[0] mother[0] doesn't[0] seem[0] to[0] mind[0] because[0] she[0] wants[0] the[0] best[1] possible[0] future[0] for[0] her[0] son[0] as[0] any[0] mother[0] would[0] but[0] it[0] still[0] seems[0] inconsiderate[0] of[0] him[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i haven't read the book , but i'm sure that mccourt justifies his actions therein ; therefore , i'm suspicious . 	i haven't read the book , but i'm sure that mccourt justifies his actions therein ; therefore , i'm suspicious .	1	-2	 i[0] haven't[0] read[0] the[0] book[0] but[0] i'm[0] sure[0] that[0] mccourt[0] justifies[0] his[0] actions[0] therein[0] therefore[0] i'm[0] suspicious[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
another thing that's never made clear in the movie is the meaning of the title , which , i'm sure , is also explained in the memoir . 	another thing that's never made clear in the movie is the meaning of the title , which , i'm sure , is also explained in the memoir .	1	-1	 another[0] thing[0] that's[0] never[0] made[0] clear[0] in[0] the[0] movie[0] is[0] the[0] meaning[0] of[0] the[0] title[0] which[0] i'm[0] sure[0] is[0] also[0] explained[0] in[0] the[0] memoir[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if seen as a film onto itself , rather than an adaptation , angela's ashes stands tall . 	if seen as a film onto itself , rather than an adaptation , angela's ashes stands tall .	1	-1	 if[0] seen[0] as[0] a[0] film[0] onto[0] itself[0] rather[0] than[0] an[0] adaptation[0] angela's[0] ashes[0] stands[0] tall[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
despite a few minor setbacks , it is a captivating story of people forced to live in the trenches by an merciless society where those of weaker character are shoved to the bottom of the financial ladder . 	despite a few minor setbacks , it is a captivating story of people forced to live in the trenches by an merciless society where those of weaker character are shoved to the bottom of the financial ladder .	1	-2	 despite[0] a[0] few[0] minor[0] setbacks[0] it[0] is[0] a[0] captivating[0] story[0] of[0] people[0] forced[0] to[0] live[0] in[0] the[0] trenches[0] by[0] an[0] merciless[-1] society[0] where[0] those[0] of[0] weaker[-1] character[0] are[0] shoved[0] to[0] the[0] bottom[0] of[0] the[0] financial[0] ladder[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
