in the company of men made a splash at the sundance film festival because , in a year plagued by brothers mcmullen-style , earnestly shallow gen-x angst pictures , it seemed to be actually about something . 	Translation	Positive	Negative	EmotionRationale
its darned funny in spots , particularly in the men's room scenes , which demonstrate the lengths to which guys will go to hold a conversation while engaged in the most basic of bodily functions . 	its darned funny in spots , particularly in the men's room scenes , which demonstrate the lengths to which guys will go to hold a conversation while engaged in the most basic of bodily functions .	2	-1	 its[0] darned[0] funny[1] in[0] spots[0] particularly[0] in[0] the[0] men's[0] room[0] scenes[0] which[0] demonstrate[0] the[0] lengths[0] to[0] which[0] guys[0] will[0] go[0] to[0] hold[0] a[0] conversation[0] while[0] engaged[0] in[0] the[0] most[0] basic[0] of[0] bodily[0] functions[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it works less well as drama , since by necessity the characters in an allegory tend to be flat ciphers . 	it works less well as drama , since by necessity the characters in an allegory tend to be flat ciphers .	1	-1	 it[0] works[0] less[0] well[0] as[0] drama[0] since[0] by[0] necessity[0] the[0] characters[0] in[0] an[0] allegory[0] tend[0] to[0] be[0] flat[0] ciphers[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
stacy edwards gives a measured dignity to christine , and succeeds in making us care for her , but by the end of the film we still know nothing about her . 	stacy edwards gives a measured dignity to christine , and succeeds in making us care for her , but by the end of the film we still know nothing about her .	3	-1	 stacy[0] edwards[0] gives[0] a[0] measured[0] dignity[1] to[0] christine[0] and[0] succeeds[2] in[0] making[0] us[0] care[1] for[0] her[0] but[0] by[0] the[0] end[0] of[0] the[0] film[0] we[0] still[0] know[0] nothing[0] about[0] her[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
likewise , chad and howard are simply the sum of their actions . 	likewise , chad and howard are simply the sum of their actions .	1	-1	 likewise[0] chad[0] and[0] howard[0] are[0] simply[0] the[0] sum[0] of[0] their[0] actions[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
by the end of the film you'll feel as if you've met a genuine monster in chad ; perhaps we can also classify men as a horror film . 	by the end of the film you'll feel as if you've met a genuine monster in chad ; perhaps we can also classify men as a horror film .	1	-4	 by[0] the[0] end[0] of[0] the[0] film[0] you'll[0] feel[0] as[0] if[0] you've[0] met[0] a[0] genuine[0] monster[-1] in[0] chad[0] perhaps[0] we[0] can[0] also[0] classify[0] men[0] as[0] a[0] horror[-3] film[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
certainly those expecting a conventional hollywood resolution to the story will walk away disappointed . 	certainly those expecting a conventional hollywood resolution to the story will walk away disappointed .	1	-2	 certainly[0] those[0] expecting[0] a[0] conventional[0] hollywood[0] resolution[0] to[0] the[0] story[0] will[0] walk[0] away[0] disappointed[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but the picture is often mesmerizing , and the script is a work of fine craftsmanship , which makes it well worth your time . 	but the picture is often mesmerizing , and the script is a work of fine craftsmanship , which makes it well worth your time .	3	-1	 but[0] the[0] picture[0] is[0] often[0] mesmerizing[0] and[0] the[0] script[0] is[0] a[0] work[0] of[0] fine[2] craftsmanship[0] which[0] makes[0] it[0] well[0] worth[0] your[0] time[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
like all good films , it offers a myriad of parallels to the outside world . 	like all good films , it offers a myriad of parallels to the outside world .	2	-1	 like[1] all[0] good[1] films[0] it[0] offers[0] a[0] myriad[0] of[0] parallels[0] to[0] the[0] outside[0] world[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
while watching chad in his moment of triumph , i couldn't help but think that bill gates must have felt the same sort of cold , merciless satisfaction when he finally stuck it to steve jobs . 	while watching chad in his moment of triumph , i couldn't help but think that bill gates must have felt the same sort of cold , merciless satisfaction when he finally stuck it to steve jobs .	3	-2	 while[0] watching[0] chad[0] in[0] his[0] moment[0] of[0] triumph[2] i[0] couldn't[0] help[0] but[0] think[0] that[0] bill[0] gates[0] must[0] have[0] felt[0] the[0] same[0] sort[0] of[0] cold[-1] merciless[-1] satisfaction[1] when[0] he[0] finally[0] stuck[0] it[0] to[0] steve[0] jobs[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
there may be a little bit of chad in all of us , but some of us have taken chad-ness to the level of art . 	there may be a little bit of chad in all of us , but some of us have taken chad-ness to the level of art .	1	-1	 there[0] may[0] be[0] a[0] little[0] bit[0] of[0] chad[0] in[0] all[0] of[0] us[0] but[0] some[0] of[0] us[0] have[0] taken[0] chad[0] ness[0] to[0] the[0] level[0] of[0] art[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
