true faith and its expression through organized religion is a difficult subject for a motion picture to tackle head-on , which is probably why so few of them do it . 	Translation	Positive	Negative	EmotionRationale
one of his weaknesses become apparent when he finds out that , not only does his long-suffering wife , jessie ( farrah fawcett ) , want to leave him for another man in the congregation , but the two of them have secretly plotted to remove him as preacher . 	one of his weaknesses become apparent when he finds out that , not only does his long-suffering wife , jessie ( farrah fawcett ) , want to leave him for another man in the congregation , but the two of them have secretly plotted to remove him as preacher .	1	-4	 one[0] of[0] his[0] weaknesses[-1] become[0] apparent[0] when[0] he[0] finds[0] out[0] that[0] not[0] only[0] does[0] his[0] long[0] suffering[-3] wife[0] jessie[0] farrah[0] fawcett[0] want[0] to[0] leave[0] him[0] for[0] another[0] man[0] in[0] the[0] congregation[0] but[0] the[0] two[0] of[0] them[0] have[0] secretly[0] plotted[0] to[0] remove[0] him[0] as[0] preacher[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
faced with the loss of two things he loves passionately- his church and his family - that same raw power that allows sonny to get entire congregations rocking and swaying transforms into a violent temper . 	faced with the loss of two things he loves passionately- his church and his family - that same raw power that allows sonny to get entire congregations rocking and swaying transforms into a violent temper .	4	-4	 faced[0] with[0] the[0] loss[-2] of[0] two[0] things[0] he[0] loves[2] passionately[2][+1 MultiplePositiveWords] his[0] church[0] and[0] his[0] family[0] that[0] same[0] raw[0] power[0] that[0] allows[0] sonny[0] to[0] get[0] entire[0] congregations[0] rocking[0] and[0] swaying[0] transforms[0] into[0] a[0] violent[-2] temper[-2][-1 MultiplePositiveWords] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
at his son's baseball game , sonny snaps and smashes his wife's lover in the face with a baseball bat , inflicting a wound that may be fatal . 	at his son's baseball game , sonny snaps and smashes his wife's lover in the face with a baseball bat , inflicting a wound that may be fatal .	4	-3	 at[0] his[0] son's[0] baseball[0] game[0] sonny[0] snaps[0] and[0] smashes[0] his[0] wife's[0] lover[3] in[0] the[0] face[0] with[0] a[0] baseball[0] bat[0] inflicting[0] a[0] wound[-1] that[0] may[0] be[0] fatal[-2] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
not knowing what else to do , sonny disappears . 	not knowing what else to do , sonny disappears .	1	-1	 not[0] knowing[0] what[0] else[0] to[0] do[0] sonny[0] disappears[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he throws away his identification , drives his car into a lake , and takes a bus to louisiana , hoping to start over again . 	he throws away his identification , drives his car into a lake , and takes a bus to louisiana , hoping to start over again .	2	-1	 he[0] throws[0] away[0] his[0] identification[0] drives[0] his[0] car[0] into[0] a[0] lake[0] and[0] takes[0] a[0] bus[0] to[0] louisiana[0] hoping[1] to[0] start[0] over[0] again[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in the tiny , mostly poor coastal town of bayou boutte , sonny once again finds his calling . 	in the tiny , mostly poor coastal town of bayou boutte , sonny once again finds his calling .	1	-2	 in[0] the[0] tiny[0] mostly[0] poor[-1] coastal[0] town[0] of[0] bayou[0] boutte[0] sonny[0] once[0] again[0] finds[0] his[0] calling[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
after befriending a simple auto mechanic ( walt goggins ) and tracking down the town's ex-minister ( john beasley ) , sonny sets up his own church , the one way to heaven temple . 	after befriending a simple auto mechanic ( walt goggins ) and tracking down the town's ex-minister ( john beasley ) , sonny sets up his own church , the one way to heaven temple .	2	-1	 after[0] befriending[0] a[0] simple[0] auto[0] mechanic[0] walt[0] goggins[0] and[0] tracking[0] down[0] the[0] town's[0] ex[0] minister[0] john[0] beasley[0] sonny[0] sets[0] up[0] his[0] own[0] church[0] the[0] one[0] way[0] to[0] heaven[1] temple[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
re-christening himself as " the apostle e . f . , " he quickly draws together an eager congregation , and together they realize real change in each other's lives . 	re-christening himself as " the apostle e .<br> f .<br> , " he quickly draws together an eager congregation , and together they realize real change in each other's lives .	1	-1	 re[0] christening[0] himself[0] as[0] the[0] apostle[0] e[0] [[Sentence=-1,1=word max, 1-5]] f[0] [[Sentence=-1,1=word max, 1-5]] he[0] quickly[0] draws[0] together[0] an[0] eager[0] congregation[0] and[0] together[0] they[0] realize[0] real[0] change[0] in[0] each[0] other's[0] lives[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but , always , sonny's past is lurking a step behind him , waiting to swallow his progress . 	but , always , sonny's past is lurking a step behind him , waiting to swallow his progress .	1	-1	 but[0] always[0] sonny's[0] past[0] is[0] lurking[0] a[0] step[0] behind[0] him[0] waiting[0] to[0] swallow[0] his[0] progress[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
duvall has made his intentions in making " the apostle " clear . 	duvall has made his intentions in making " the apostle " clear .	1	-1	 duvall[0] has[0] made[0] his[0] intentions[0] in[0] making[0] the[0] apostle[0] clear[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in a recent article in " newsweek , " he wrote : " filmmakers hardly ever depict spirituality with such a strong emphasis on the holy spirit , and when they do , it tends to be patronizing - full of charlatans and snake handlers . . . 	in a recent article in " newsweek , " he wrote : " filmmakers hardly ever depict spirituality with such a strong emphasis on the holy spirit , and when they do , it tends to be patronizing - full of charlatans and snake handlers .<br> .<br> .	1	-1	 in[0] a[0] recent[0] article[0] in[0] newsweek[0] he[0] wrote[0] filmmakers[0] hardly[0] ever[0] depict[0] spirituality[0] with[0] such[0] a[0] strong[0] emphasis[0] on[0] the[0] holy[0] spirit[0] and[0] when[0] they[0] do[0] it[0] tends[0] to[0] be[0] patronizing[0] full[0] of[0] charlatans[0] and[0] snake[0] handlers[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but what i really wanted to do was try to understand what these preachers go through and what they believe , and to portray it in an accurate way . " 	but what i really wanted to do was try to understand what these preachers go through and what they believe , and to portray it in an accurate way .<br> "	1	-1	 but[0] what[0] i[0] really[0] wanted[0] to[0] do[0] was[0] try[0] to[0] understand[0] what[0] these[0] preachers[0] go[0] through[0] and[0] what[0] they[0] believe[0] and[0] to[0] portray[0] it[0] in[0] an[0] accurate[0] way[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the strength of duvall's convictions turn out to be the strength of his film - " the apostle " always rings true , even in the most painful moments , because we know he's being sincere with the subject matter . 	the strength of duvall's convictions turn out to be the strength of his film - " the apostle " always rings true , even in the most painful moments , because we know he's being sincere with the subject matter .	2	-4	 the[0] strength[0] of[0] duvall's[0] convictions[-1] turn[0] out[0] to[0] be[0] the[0] strength[0] of[0] his[0] film[0] the[0] apostle[0] always[0] rings[0] true[1] even[0] in[0] the[0] most[0] painful[-3] moments[0] because[0] we[0] know[0] he's[0] being[0] sincere[0] with[0] the[0] subject[0] matter[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
after fifteen years of traveling the country , listening to all shapes and sizes of ministers and taking studious notes on what they said , duvall has captured the energy and vitality of what it means to be truly spiritual . 	after fifteen years of traveling the country , listening to all shapes and sizes of ministers and taking studious notes on what they said , duvall has captured the energy and vitality of what it means to be truly spiritual .	2	-2	 after[0] fifteen[0] years[0] of[0] traveling[0] the[0] country[0] listening[0] to[0] all[0] shapes[0] and[0] sizes[0] of[0] ministers[0] and[0] taking[0] studious[0] notes[0] on[0] what[0] they[0] said[0] duvall[0] has[0] captured[-1] the[0] energy[0] and[0] vitality[0] of[0] what[0] it[0] means[0] to[0] be[0] truly[1] spiritual[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
his sonny is a man who speaks directly to god and expects to be spoken right back to . 	his sonny is a man who speaks directly to god and expects to be spoken right back to .	1	-1	 his[0] sonny[0] is[0] a[0] man[0] who[0] speaks[0] directly[0] to[0] god[0] and[0] expects[0] to[0] be[0] spoken[0] right[0] back[0] to[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " i've always called you jesus and you've always called me sonny , " he says . 	 " i've always called you jesus and you've always called me sonny , " he says .	1	-1	 i've[0] always[0] called[0] you[0] jesus[0] and[0] you've[0] always[0] called[0] me[0] sonny[0] he[0] says[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when neighbors call and complain that he is being too loud one night in one his rants with the man upstairs , sonny's mother ( june carter cash ) just hangs up on them because she knows there's no sense trying to interrupt him . 	when neighbors call and complain that he is being too loud one night in one his rants with the man upstairs , sonny's mother ( june carter cash ) just hangs up on them because she knows there's no sense trying to interrupt him .	1	-2	 when[0] neighbors[0] call[0] and[0] complain[-1] that[0] he[0] is[0] being[0] too[0] loud[0] one[0] night[0] in[0] one[0] his[0] rants[0] with[0] the[0] man[0] upstairs[0] sonny's[0] mother[0] june[0] carter[0] cash[0] just[0] hangs[0] up[0] on[0] them[0] because[0] she[0] knows[0] there's[0] no[0] sense[0] trying[0] to[0] interrupt[-1] him[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the main theme to emerge from " the apostle " is the fact that good can come from any situation . 	the main theme to emerge from " the apostle " is the fact that good can come from any situation .	2	-1	 the[0] main[0] theme[0] to[0] emerge[0] from[0] the[0] apostle[0] is[0] the[0] fact[0] that[0] good[1] can[0] come[0] from[0] any[0] situation[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
sonny's act of violence toward another human being is inarguably a horrific thing , and duvall never shrinks from that fact . 	sonny's act of violence toward another human being is inarguably a horrific thing , and duvall never shrinks from that fact .	1	-4	 sonny's[0] act[0] of[0] violence[-3] toward[0] another[0] human[0] being[0] is[0] inarguably[0] a[0] horrific[-3] thing[0] and[0] duvall[0] never[0] shrinks[0] from[0] that[0] fact[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
however , that very same act of violence is what brings sonny to bayou boutte , where he finds people whom he desperately needs and who desperately need him . 	however , that very same act of violence is what brings sonny to bayou boutte , where he finds people whom he desperately needs and who desperately need him .	1	-4	 however[0] that[0] very[0] same[0] act[0] of[0] violence[-3] is[0] what[0] brings[0] sonny[0] to[0] bayou[0] boutte[0] where[0] he[0] finds[0] people[0] whom[0] he[0] desperately[-2] needs[0] and[0] who[0] desperately[-2] need[0] him[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
in his short time in louisiana , he does a world of good , and when the police finally show up to take him away , he goes quietly , knowing that he deserves the punishment that is awaiting him . 	in his short time in louisiana , he does a world of good , and when the police finally show up to take him away , he goes quietly , knowing that he deserves the punishment that is awaiting him .	2	-2	 in[0] his[0] short[0] time[0] in[0] louisiana[0] he[0] does[0] a[0] world[0] of[0] good[1] and[0] when[0] the[0] police[0] finally[0] show[0] up[0] to[0] take[0] him[0] away[0] he[0] goes[0] quietly[0] knowing[0] that[0] he[0] deserves[0] the[0] punishment[-1] that[0] is[0] awaiting[0] him[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
and , as a scene during the final credits shows , he even turns his punishment into a positive opportunity for change and betterment . 	and , as a scene during the final credits shows , he even turns his punishment into a positive opportunity for change and betterment .	3	-2	 and[0] as[0] a[0] scene[0] during[0] the[0] final[0] credits[0] shows[0] he[0] even[0] turns[0] his[0] punishment[-1] into[0] a[0] positive[2] opportunity[0] for[0] change[0] and[0] betterment[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
it is that strength in sonny's character that makes him so appealing and magnetic to others - he is flawed , but he is powerful enough to overcome those flaws . 	it is that strength in sonny's character that makes him so appealing and magnetic to others - he is flawed , but he is powerful enough to overcome those flaws .	1	-1	 it[0] is[0] that[0] strength[0] in[0] sonny's[0] character[0] that[0] makes[0] him[0] so[0] appealing[0] and[0] magnetic[0] to[0] others[0] he[0] is[0] flawed[0] but[0] he[0] is[0] powerful[0] enough[0] to[0] overcome[0] those[0] flaws[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
weak men are the ones who simply accept their weaknesses and lack the desire to better themselves . 	weak men are the ones who simply accept their weaknesses and lack the desire to better themselves .	1	-2	 weak[-1] men[0] are[0] the[0] ones[0] who[0] simply[0] accept[0] their[0] weaknesses[-1] and[0] lack[-1] the[0] desire[0] to[0] better[0] themselves[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
watching duvall on-screen , it's not hard to imagine that he would have been a magnificent preacher if he had chosen that vocation over acting . 	watching duvall on-screen , it's not hard to imagine that he would have been a magnificent preacher if he had chosen that vocation over acting .	4	-1	 watching[0] duvall[0] on[0] screen[0] it's[0] not[0] hard[0] to[0] imagine[0] that[0] he[0] would[0] have[0] been[0] a[0] magnificent[3] preacher[0] if[0] he[0] had[0] chosen[0] that[0] vocation[0] over[0] acting[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
as sonny , he completely inhabits the character , and his performance is certainly the best of the year . 	as sonny , he completely inhabits the character , and his performance is certainly the best of the year .	2	-1	 as[0] sonny[0] he[0] completely[0] inhabits[0] the[0] character[0] and[0] his[0] performance[0] is[0] certainly[0] the[0] best[1] of[0] the[0] year[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
because he spent so much time absorbing the traits , methods , quirks , and personalities of real preachers , duvall was able to create a complete character who always feels indelibly human . 	because he spent so much time absorbing the traits , methods , quirks , and personalities of real preachers , duvall was able to create a complete character who always feels indelibly human .	1	-1	 because[0] he[0] spent[0] so[0] much[0] time[0] absorbing[0] the[0] traits[0] methods[0] quirks[0] and[0] personalities[0] of[0] real[0] preachers[0] duvall[0] was[0] able[0] to[0] create[0] a[0] complete[0] character[0] who[0] always[0] feels[0] indelibly[0] human[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as a director , duvall feels that less is more . 	as a director , duvall feels that less is more .	1	-1	 as[0] a[0] director[0] duvall[0] feels[0] that[0] less[0] is[0] more[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his camera simply takes in what goes on in front of it , with very little intrusion . 	his camera simply takes in what goes on in front of it , with very little intrusion .	1	-2	 his[0] camera[0] simply[0] takes[0] in[0] what[0] goes[0] on[0] in[0] front[0] of[0] it[0] with[0] very[0] little[0] intrusion[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there are no fancy crane shots or extended dollies or excessive close-ups . 	there are no fancy crane shots or extended dollies or excessive close-ups .	1	-2	 there[0] are[0] no[0] fancy[0] crane[0] shots[0] or[0] extended[0] dollies[0] or[0] excessive[-1] close[0] ups[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
duvall knew that the power of the film's characters ( enhanced by the fact that he cast mostly non-professional churchgoers and actual ministers ) didn't need to be artificially enhanced . 	duvall knew that the power of the film's characters ( enhanced by the fact that he cast mostly non-professional churchgoers and actual ministers ) didn't need to be artificially enhanced .	1	-1	 duvall[0] knew[0] that[0] the[0] power[0] of[0] the[0] film's[0] characters[0] enhanced[0] by[0] the[0] fact[0] that[0] he[0] cast[0] mostly[0] non[0] professional[0] churchgoers[0] and[0] actual[0] ministers[0] didn't[0] need[0] to[0] be[0] artificially[0] enhanced[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in this way , " the apostle " almost plays out like a documentary , not only in its technical simplicity , but more importantly , in its sense of reality . 	in this way , " the apostle " almost plays out like a documentary , not only in its technical simplicity , but more importantly , in its sense of reality .	2	-1	 in[0] this[0] way[0] the[0] apostle[0] almost[0] plays[1] out[0] like[1] a[0] documentary[0] not[0] only[0] in[0] its[0] technical[0] simplicity[0] but[0] more[0] importantly[0] in[0] its[0] sense[0] of[0] reality[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
