in 1977 , something never though possible happened . 	Translation	Positive	Negative	EmotionRationale
there are a variety of different very memorable set pieces that will stay with me forever . 	there are a variety of different very memorable set pieces that will stay with me forever .	1	-1	 there[0] are[0] a[0] variety[0] of[0] different[0] very[0] memorable[0] set[0] pieces[0] that[0] will[0] stay[0] with[0] me[0] forever[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the entire premise of star wars is amazing . 	the entire premise of star wars is amazing .	3	-3	 the[0] entire[0] premise[0] of[0] star[0] wars[-2] is[0] amazing[2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the creatures and droids that we see throughout the film are one of a kind . 	the creatures and droids that we see throughout the film are one of a kind .	2	-1	 the[0] creatures[0] and[0] droids[0] that[0] we[0] see[0] throughout[0] the[0] film[0] are[0] one[0] of[0] a[0] kind[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
even the human characters are different . 	even the human characters are different .	1	-1	 even[0] the[0] human[0] characters[0] are[0] different[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
every character is extremely likable and different from characters from other sci fi films . 	every character is extremely likable and different from characters from other sci fi films .	1	-1	 every[0] character[0] is[0] extremely[0] likable[0] and[0] different[0] from[0] characters[0] from[0] other[0] sci[0] fi[0] films[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the acting on everyone's part is great , especially that of sir alec guinness's . 	the acting on everyone's part is great , especially that of sir alec guinness's .	3	-1	 the[0] acting[0] on[0] everyone's[0] part[0] is[0] great[2] especially[0] that[0] of[0] sir[0] alec[0] guinness's[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
even though the concept is not realistic at all , it is pulled off very nicely . 	even though the concept is not realistic at all , it is pulled off very nicely .	3	-1	 even[0] though[0] the[0] concept[0] is[0] not[0] realistic[0] at[0] all[0] it[0] is[0] pulled[0] off[0] very[0] nicely[1][1 LastWordBoosterStrength] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the acting , setting , effects , costumes , and sound make it work . 	the acting , setting , effects , costumes , and sound make it work .	1	-1	 the[0] acting[0] setting[0] effects[0] costumes[0] and[0] sound[0] make[0] it[0] work[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if any of these were messed up , star wars would have come off as one huge joke . 	if any of these were messed up , star wars would have come off as one huge joke .	2	-3	 if[0] any[0] of[0] these[0] were[0] messed[0] up[0] star[0] wars[-2] would[0] have[0] come[0] off[0] as[0] one[0] huge[0] joke[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the ending works very well , and left it very open to the sequels that came afterward . 	the ending works very well , and left it very open to the sequels that came afterward .	1	-1	 the[0] ending[0] works[0] very[0] well[0] and[0] left[0] it[0] very[0] open[0] to[0] the[0] sequels[0] that[0] came[0] afterward[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in early 1997 , a special edition of star wars was released . 	in early 1997 , a special edition of star wars was released .	2	-3	 in[0] early[0] 1997[0] a[0] special[1] edition[0] of[0] star[0] wars[-2] was[0] released[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the film was re-mastered so it looked better than it did in 1977 . 	the film was re-mastered so it looked better than it did in 1977 .	1	-1	 the[0] film[0] was[0] re[0] mastered[0] so[0] it[0] looked[0] better[0] than[0] it[0] did[0] in[0] 1977[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a few creatures were added here and there , and even an entire deleted scene with han solo and jabba the hutt ( seen in return of the jedi ) was added to the film . 	a few creatures were added here and there , and even an entire deleted scene with han solo and jabba the hut ( seen in return of the jedi ) was added to the film .	1	-1	 a[0] few[0] creatures[0] were[0] added[0] here[0] and[0] there[0] and[0] even[0] an[0] entire[0] deleted[0] scene[0] with[0] han[0] solo[0] and[0] jabba[0] the[0] hutt/hut[0] seen[0] in[0] return[0] of[0] the[0] jedi[0] was[0] added[0] to[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
think that's enough ? 	think that's enough ?	1	-1	 think[0] that's[0] enough[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
on may 19 , 1999 , star wars episode i : the phantom menace will be released , followed by two more films that will reveal what went on before a new hope . 	on may 19 , 199 , star wars episode i : the phantom menace will be released , followed by two more films that will reveal what went on before a new hope .	3	-3	 on[0] may[0] 19[0] 1999/199[0] star[0] wars[-2] episode[0] i[0] the[0] phantom[0] menace[-2] will[0] be[0] released[0] followed[0] by[0] two[0] more[0] films[0] that[0] will[0] reveal[0] what[0] went[0] on[0] before[0] a[0] new[0] hope[2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
with this , star wars is bound to become the greatest tale told in our time . 	with this , star wars is bound to become the greatest tale told in our time .	3	-3	 with[0] this[0] star[0] wars[-2] is[0] bound[0] to[0] become[0] the[0] greatest[2] tale[0] told[0] in[0] our[0] time[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
