as african american detective vergil tibbs questions a suspected white murderer inside a jail cell , there is a wonderful , eye-catching shot which instantaneously presents the main message of the entire film . 	Translation	Positive	Negative	EmotionRationale
preceding the very original " a soldier's story " and the recently released " the hurricane , " " in the heat of the night contains some classic lines and some very memorable characters . 	preceding the very original " a soldier's story " and the recently released " the hurricane , " " in the heat of the night contains some classic lines and some very memorable characters .	1	-1	 preceding[0] the[0] very[0] original[0] a[0] soldier's[0] story[0] and[0] the[0] recently[0] released[0] the[0] hurricane[0] in[0] the[0] heat[0] of[0] the[0] night[0] contains[0] some[0] classic[0] lines[0] and[0] some[0] very[0] memorable[0] characters[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film , which won best picture in 1967 focuses on vergil tibbs , played superbly by sidney poitier as a fearless african american police officer from philadelphia who refuses to give up on an investigation in a white town where is he not wanted . 	the film , which won best picture in 1967 focuses on vergil tibbs , played superbly by sidney poitier as a fearless african american police officer from philadelphia who refuses to give up on an investigation in a white town where is he not wanted .	2	-2	 the[0] film[0] which[0] won[0] best[1] picture[0] in[0] 1967[0] focuses[0] on[0] vergil[0] tibbs[0] played[0] superbly[0] by[0] sidney[0] poitier[0] as[0] a[0] fearless[1] african[0] american[0] police[0] officer[0] from[0] philadelphia[0] who[0] refuses[-1] to[0] give[0] up[0] on[0] an[0] investigation[0] in[0] a[0] white[0] town[0] where[0] is[0] he[0] not[0] wanted[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
tibbs is a man who rarely loses his temper and that is worth mentioning because he is constantly facing abuse from those around him . 	tibbs is a man who rarely loses his temper and that is worth mentioning because he is constantly facing abuse from those around him .	1	-4	 tibbs[0] is[0] a[0] man[0] who[0] rarely[0] loses[-1] his[0] temper[-2] and[0] that[0] is[0] worth[0] mentioning[0] because[0] he[0] is[0] constantly[0] facing[0] abuse[-3] from[0] those[0] around[0] him[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
as a hero who is not afraid to face off against five men with chains , tibbs is the perfect protagonist . 	as a hero who is not afraid to face off against five men with chains , tibbs is the perfect protagonist .	4	-2	 as[0] a[0] hero[2] who[0] is[0] not[0] afraid[-3][NegatedDueToPreviousWord] to[0] face[0] off[0] against[-1] five[0] men[0] with[0] chains[0] tibbs[0] is[0] the[0] perfect[1] protagonist[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
poitier also gives an excellent , noteworthy voice to his character . 	poitier also gives an excellent , noteworthy voice to his character .	4	-1	 poitier[0] also[0] gives[0] an[0] excellent[3] noteworthy[0] voice[0] to[0] his[0] character[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
never nervous and always commanding , his speech patterns are very manipulative as they range from stentorian to soothing . 	never nervous and always commanding , his speech patterns are very manipulative as they range from stentorian to soothing .	3	-3	 never[0] nervous[-2][NegatedDueToPreviousWord] and[0] always[0] commanding[0] his[0] speech[0] patterns[0] are[0] very[0] manipulative[-1][-1 LastWordBoosterStrength] as[0] they[0] range[0] from[0] stentorian[0] to[0] soothing[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
however , unlike " the hurricane " where denzel washington dominated over the rest of the cast , poitier shares the spotlight with rod steiger , who won best actor for his excellent performance . 	however , unlike " the hurricane " where denzel washington dominated over the rest of the cast , poitier shares the spotlight with rod steiger , who won best actor for his excellent performance .	4	-2	 however[0] unlike[0] the[0] hurricane[0] where[0] denzel[0] washington[0] dominated[-1] over[0] the[0] rest[0] of[0] the[0] cast[0] poitier[0] shares[0] the[0] spotlight[0] with[0] rod[0] steiger[0] who[0] won[0] best[1] actor[0] for[0] his[0] excellent[3] performance[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
as a sheriff who helps tibbs and warns him of the dangers around him , steiger shows a great amount of skill in his role . 	as a sheriff who helps tibbs and warns him of the dangers around him , steiger shows a great amount of skill in his role .	3	-2	 as[0] a[0] sheriff[0] who[0] helps[0] tibbs[0] and[0] warns[0] him[0] of[0] the[0] dangers[-1] around[0] him[0] steiger[0] shows[0] a[0] great[2] amount[0] of[0] skill[0] in[0] his[0] role[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
he starts off as racist and blind as the other townspeople . 	he starts off as racist and blind as the other townspeople .	1	-2	 he[0] starts[0] off[0] as[0] racist[-1] and[0] blind[-1] as[0] the[0] other[0] townspeople[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he would refer to tibbs as " boy " and would always suspiciously keep an eye on him . 	he would refer to tibbs as " boy " and would always suspiciously keep an eye on him .	1	-2	 he[0] would[0] refer[0] to[0] tibbs[0] as[0] boy[0] and[0] would[0] always[0] suspiciously[-1] keep[0] an[0] eye[0] on[0] him[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as the film progresses though , there is a very gradual change in the sheriff . 	as the film progresses though , there is a very gradual change in the sheriff .	1	-1	 as[0] the[0] film[0] progresses[0] though[0] there[0] is[0] a[0] very[0] gradual[0] change[0] in[0] the[0] sheriff[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he begins to see the hardships tibbs faces and he sees the foolishness of his own neighbors . 	he begins to see the hardships tibbs faces and he sees the foolishness of his own neighbors .	1	-2	 he[0] begins[0] to[0] see[0] the[0] hardships[-1] tibbs[0] faces[0] and[0] he[0] sees[0] the[0] foolishness[-1] of[0] his[0] own[0] neighbors[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
what i really enjoyed about steiger's character was that he did not completely abandon his friends or connect with tibbs at the end of the film . 	what i really enjoyed about steiger's character was that he did not completely abandon his friends or connect with tibbs at the end of the film .	4	-1	 what[0] i[0] really[0] enjoyed[2][1 LastWordBoosterStrength] about[0] steiger's[0] character[0] was[0] that[0] he[0] did[0] not[0] completely[0] abandon[-1][-1 LastWordBoosterStrength][NegatedDueToPreviousWord] his[0] friends[1] or[0] connect[0] with[0] tibbs[0] at[0] the[0] end[0] of[0] the[0] film[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
he still could not refer to tibbs as mister tibbs or officer tibbs but rather settled for virgil . 	he still could not refer to tibbs as mister tibbs or officer tibbs but rather settled for virgil .	1	-1	 he[0] still[0] could[0] not[0] refer[0] to[0] tibbs[0] as[0] mister[0] tibbs[0] or[0] officer[0] tibbs[0] but[0] rather[0] settled[0] for[0] virgil[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
instead , it was apparent that he was eventually going to see the world differently in the future . 	instead , it was apparent that he was eventually going to see the world differently in the future .	1	-1	 instead[0] it[0] was[0] apparent[0] that[0] he[0] was[0] eventually[0] going[0] to[0] see[0] the[0] world[0] differently[0] in[0] the[0] future[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
most movies would have a character reversing all of his beliefs and influences in a matter of minutes . 	most movies would have a character reversing all of his beliefs and influences in a matter of minutes .	1	-1	 most[0] movies[0] would[0] have[0] a[0] character[0] reversing[0] all[0] of[0] his[0] beliefs[0] and[0] influences[0] in[0] a[0] matter[0] of[0] minutes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this action would not have been realistic at all since it is nearly impossible for someone to believe something one day and believe something else the next day . 	this action would not have been realistic at all since it is nearly impossible for someone to believe something one day and believe something else the next day .	1	-1	 this[0] action[0] would[0] not[0] have[0] been[0] realistic[0] at[0] all[0] since[0] it[0] is[0] nearly[0] impossible[0] for[0] someone[0] to[0] believe[0] something[0] one[0] day[0] and[0] believe[0] something[0] else[0] the[0] next[0] day[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
jewison's determination to make this film as realistic as possible is very obvious here and also very appropriate . 	jewison's determination to make this film as realistic as possible is very obvious here and also very appropriate .	1	-1	 jewison's[0] determination[0] to[0] make[0] this[0] film[0] as[0] realistic[0] as[0] possible[0] is[0] very[0] obvious[0] here[0] and[0] also[0] very[0] appropriate[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " in the heat of the night " shows the difference between the north and the south or a major city and a small town in the united states during the 1960's . 	 " in the heat of the night " shows the difference between the north and the south or a major city and a small town in the united states during the 1960's .	1	-1	 in[0] the[0] heat[0] of[0] the[0] night[0] shows[0] the[0] difference[0] between[0] the[0] north[0] and[0] the[0] south[0] or[0] a[0] major[0] city[0] and[0] a[0] small[0] town[0] in[0] the[0] united[0] states[0] during[0] the[0] 1960's[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it displays this perfectly . 	it displays this perfectly .	2	-1	 it[0] displays[0] this[0] perfectly[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
however , the actual investigation , although it is not the main focus of the film , lacks interest . 	however , the actual investigation , although it is not the main focus of the film , lacks interest .	2	-1	 however[0] the[0] actual[0] investigation[0] although[0] it[0] is[0] not[0] the[0] main[0] focus[0] of[0] the[0] film[0] lacks[0] interest[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it seemed rushed especially towards the end as if jewison had given his message about racism and did not feel like giving a credible explanation involving the murder victim . 	it seemed rushed especially towards the end as if jewison had given his message about racism and did not feel like giving a credible explanation involving the murder victim .	1	-4	 it[0] seemed[0] rushed[0] especially[0] towards[0] the[0] end[0] as[0] if[0] jewison[0] had[0] given[0] his[0] message[0] about[0] racism[-1] and[0] did[0] not[0] feel[0] like[1][NegatedDueToPreviousWord] giving[0] a[0] credible[0] explanation[0] involving[0] the[0] murder[-3] victim[-2][-1 MultiplePositiveWords] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
there were way too many characters added during the last fifteen minutes and some of the scenes during this time period were inane ( police officer sam being a suspect was not needed ) . 	there were way too many characters added during the last fifteen minutes and some of the scenes during this time period were inane ( police officer sam being a suspect was not needed ) .	1	-2	 there[0] were[0] way[0] too[0] many[0] characters[0] added[0] during[0] the[0] last[0] fifteen[0] minutes[0] and[0] some[0] of[0] the[0] scenes[0] during[0] this[0] time[0] period[0] were[0] inane[-1] police[0] officer[0] sam[0] being[0] a[0] suspect[-1] was[0] not[0] needed[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
also , it is given that tibbs is a vigilant homicide detective who is the best at what he does , but some of his discoveries came out of nowhere and how he found out some of the important case details towards the end were never answered . 	also , it is given that tibbs is a vigilant homicide detective who is the best at what he does , but some of his discoveries came out of nowhere and how he found out some of the important case details towards the end were never answered .	2	-1	 also[0] it[0] is[0] given[0] that[0] tibbs[0] is[0] a[0] vigilant[0] homicide[0] detective[0] who[0] is[0] the[0] best[1] at[0] what[0] he[0] does[0] but[0] some[0] of[0] his[0] discoveries[0] came[0] out[0] of[0] nowhere[0] and[0] how[0] he[0] found[0] out[0] some[0] of[0] the[0] important[0] case[0] details[0] towards[0] the[0] end[0] were[0] never[0] answered[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the rushed ending was the only mistake of this otherwise memorable jewison classic . 	the rushed ending was the only mistake of this otherwise memorable jewison classic .	1	-2	 the[0] rushed[0] ending[0] was[0] the[0] only[0] mistake[-1] of[0] this[0] otherwise[0] memorable[0] jewison[0] classic[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 ( a congratulations has to be given to actor scott wilson . 	 ( a congratulations has to be given to actor scot wilson .	3	-1	 a[0] congratulations[2] has[0] to[0] be[0] given[0] to[0] actor[0] scott/scot[0] wilson[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
he managed to be in the two best movies of 1967 , " in the heat of the night " and the even better " in cold blood . " ) 	he managed to be in the two best movies of 1967 , " in the heat of the night " and the even better " in cold blood .<br> " )	2	-2	 he[0] managed[0] to[0] be[0] in[0] the[0] two[0] best[1] movies[0] of[0] 1967[0] in[0] the[0] heat[0] of[0] the[0] night[0] and[0] the[0] even[0] better[0] in[0] cold[-1] blood[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
