this is a good year if you want plenty of sci-fi on your multiplex . 	Translation	Positive	Negative	EmotionRationale
as the team search the event horizon , they find no trace of the crew but plenty of blood lying around . 	as the team search the event horizon , they find no trace of the crew but plenty of blood lying around .	1	-4	 as[0] the[0] team[0] search[0] the[0] event[0] horizon[0] they[0] find[0] no[0] trace[0] of[0] the[0] crew[0] but[0] plenty[0] of[0] blood[0] lying[-3] around[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
not a good sign . . . 	not a good sign .<br> .<br> .	1	-2	 not[0] a[0] good[1][NegatedDueToPreviousWord] sign[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
to make matters worse , as they search the ship , they find themselves being subjected to a series of illusions based on their own individual inner secrets and worse , some very bloody events start to occur as they slowly piece together the events that transpired on the ship seven years ago . 	to make matters worse , as they search the ship , they find themselves being subjected to a series of illusions based on their own individual inner secrets and worse , some very bloody events start to occur as they slowly piece together the events that transpired on the ship seven years ago .	1	-3	 to[0] make[0] matters[0] worse[-2] as[0] they[0] search[0] the[0] ship[0] they[0] find[0] themselves[0] being[0] subjected[0] to[0] a[0] series[0] of[0] illusions[0] based[0] on[0] their[0] own[0] individual[0] inner[0] secrets[0] and[0] worse[-2] some[0] very[0] bloody[-1][-1 LastWordBoosterStrength] events[0] start[0] to[0] occur[0] as[0] they[0] slowly[0] piece[0] together[0] the[0] events[0] that[0] transpired[0] on[0] the[0] ship[0] seven[0] years[0] ago[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it soon becomes apparent that , wherever the ship went , it bought something back with it . 	it soon becomes apparent that , wherever the ship went , it bought something back with it .	1	-1	 it[0] soon[0] becomes[0] apparent[0] that[0] wherever[0] the[0] ship[0] went[0] it[0] bought[0] something[0] back[0] with[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
something very , very evil . . . 	something very , very evil .<br> .<br> .	1	-4	 something[0] very[0] very[0] evil[-2][-1 LastWordBoosterStrength] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the first thing you'll notice in this film is it's incredible visual effects . 	the first thing you'll notice in this film is it's incredible visual effects .	1	-1	 the[0] first[0] thing[0] you'll[0] notice[0] in[0] this[0] film[0] is[0] it's[0] incredible[0] visual[0] effects[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they really are eye popping , with some great models to boot . 	they really are eye popping , with some great models to boot .	2	-1	 they[0] really[0] are[0] eye[0] popping[0] with[0] some[0] great[2][-1 LastWordBoosterStrength] models[0] to[0] boot[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the acting is quite good , with some occasional witty moments . 	the acting is quite good , with some occasional witty moments .	2	-1	 the[0] acting[0] is[0] quite[0] good[1] with[0] some[0] occasional[0] witty[0] moments[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
sam neill does a good job as the scientist that increasingly becomes more and more disturbed as the search continues , but a tip of the hat goes to laurence fishburne who leads the team , in a cool , calm , take no nonense manner . 	sam neill does a good job as the scientist that increasingly becomes more and more disturbed as the search continues , but a tip of the hat goes to laurence fishburne who leads the team , in a cool , calm , take no nonense manner .	2	-2	 sam[0] neill[0] does[0] a[0] good[1] job[0] as[0] the[0] scientist[0] that[0] increasingly[0] becomes[0] more[0] and[0] more[0] disturbed[-1] as[0] the[0] search[0] continues[0] but[0] a[0] tip[0] of[0] the[0] hat[0] goes[0] to[0] laurence[0] fishburne[0] who[0] leads[0] the[0] team[0] in[0] a[0] cool[1] calm[1] take[0] no[0] nonense[0] manner[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it is his acting skills that help hold this film together . 	it is his acting skills that help hold this film together .	1	-1	 it[0] is[0] his[0] acting[0] skills[0] that[0] help[0] hold[0] this[0] film[0] together[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the idea behind event horizon is certainly a good one . 	the idea behind event horizon is certainly a good one .	2	-1	 the[0] idea[0] behind[0] event[0] horizon[0] is[0] certainly[0] a[0] good[1] one[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it starts off incredibly well , but the middle section becomes quite confused and sometimes muddled , leaving the viewer unsure on just what the reasons are behind some of the bloody and bizarre events that occur . 	it starts off incredibly well , but the middle section becomes quite confused and sometimes muddled , leaving the viewer unsure on just what the reasons are behind some of the bloody and bizarre events that occur .	1	-2	 it[0] starts[0] off[0] incredibly[0] well[0] but[0] the[0] middle[0] section[0] becomes[0] quite[0] confused[-1] and[0] sometimes[0] muddled[-1][--1 LastWordBoosterStrength] leaving[0] the[0] viewer[0] unsure[0] on[0] just[0] what[0] the[0] reasons[0] are[0] behind[0] some[0] of[0] the[0] bloody[-1] and[0] bizarre[-1] events[0] that[0] occur[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
however , the closing 20 minutes of the film more than make up for this , producing one the most nail biting ( or in my case , straw of my drink biting ! ) 	however , the closing 20 minutes of the film more than make up for this , producing one the most nail biting ( or in my case , straw of my drink biting !<br> )	1	-1	 however[0] the[0] closing[0] 20[0] minutes[0] of[0] the[0] film[0] more[0] than[0] make[0] up[0] for[0] this[0] producing[0] one[0] the[0] most[0] nail[0] biting[0] or[0] in[0] my[0] case[0] straw[0] of[0] my[0] drink[0] biting[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
climaxes i've recently witnessed . 	climaxes i've recently witnessed .	1	-1	 climaxes[0] i've[0] recently[0] witnessed[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
overall , event horizon is a smart film indeed . 	overall , event horizon is a smart film indeed .	2	-1	 overall[0] event[0] horizon[0] is[0] a[0] smart[1] film[0] indeed[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's very enjoyable and has some amazing visuals . 	it's very enjoyable and has some amazing visuals .	4	-1	 it's[0] very[0] enjoyable[2][1 LastWordBoosterStrength] and[0] has[0] some[0] amazing[2][-1 LastWordBoosterStrength] visuals[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
but be warned , the horror scenes , despite being very brief are very , very , gory . 	but be warned , the horror scenes , despite being very brief are very , very , gory .	1	-4	 but[0] be[0] warned[0] the[0] horror[-3] scenes[0] despite[0] being[0] very[0] brief[0] are[0] very[0] very[0] gory[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
not for the squemish ! 	not for the squemish !	1	-1	 not[0] for[0] the[0] squemish[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
