 " love is the devil " is a challenging film , munundating its audience with wild imagery and a plot structure that disallows a plot , perhaps in an attempt to get us to know the artist's psyche rather than the artist's lifeline . 	Translation	Positive	Negative	EmotionRationale
i've not heard much about francis bacon that i didn't read prior to the film , but what i learned was this : he was a painter in england who reached his peak during the 60s and 70s , drawing hideously bizarre drawings of carnage and the like . 	i've not heard much about francis bacon that i didn't read prior to the film , but what i learned was this : he was a painter in england who reached his peak during the 60s and 70s , drawing hideously bizarre drawings of carnage and the like .	2	-2	 i've[0] not[0] heard[0] much[0] about[0] francis[0] bacon[0] that[0] i[0] didn't[0] read[0] prior[0] to[0] the[0] film[0] but[0] what[0] i[0] learned[0] was[0] this[0] he[0] was[0] a[0] painter[0] in[0] england[0] who[0] reached[0] his[0] peak[0] during[0] the[0] 60s[0] and[0] 70s[0] drawing[0] hideously[0] bizarre[-1] drawings[0] of[0] carnage[0] and[0] the[0] like[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
he was one of the first to really come out of the closet , and in interviews , he was notoriously drunk yet incredibly witty . 	he was one of the first to really come out of the closet , and in interviews , he was notoriously drunk yet incredibly witty .	1	-2	 he[0] was[0] one[0] of[0] the[0] first[0] to[0] really[0] come[0] out[0] of[0] the[0] closet[0] and[0] in[0] interviews[0] he[0] was[0] notoriously[-1] drunk[-1] yet[0] incredibly[0] witty[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as played by great shakesperean actor derek jacobi , he's like a foppish and self-absorbed cross between oscar wilde and nero . 	as played by great shakesperean actor derek jacobi , he's like a foppish and self-absorbed cross between oscar wilde and nero .	3	-2	 as[0] played[0] by[0] great[2] shakesperean[-1] actor[0] derek[0] jacobi[0] he's[0] like[1] a[0] foppish[0] and[0] self[0] absorbed[0] cross[-1] between[0] oscar[0] wilde[0] and[0] nero[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
he lives life the way he wants to live it , to the disatisfaction of those who have the privelege of being really close to him . 	he lives life the way he wants to live it , to the disatisfaction of those who have the privelege of being really close to him .	1	-1	 he[0] lives[0] life[0] the[0] way[0] he[0] wants[0] to[0] live[0] it[0] to[0] the[0] disatisfaction[0] of[0] those[0] who[0] have[0] the[0] privelege[0] of[0] being[0] really[0] close[0] to[0] him[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's as if he were taking delight in the destruction of others and maybe himself ( " champagne for my real friends , and pain for my sham friends , " he says one night at the bar he frequents ) . 	it's as if he were taking delight in the destruction of others and maybe himself ( " champagne for my real friends , and pain for my sham friends , " he says one night at the bar he frequents ) .	3	-4	 it's[0] as[0] if[0] he[0] were[0] taking[0] delight[2] in[0] the[0] destruction[-1] of[0] others[0] and[0] maybe[0] himself[0] champagne[0] for[0] my[0] real[0] friends[1] and[0] pain[-3] for[0] my[0] sham[0] friends[1] he[0] says[0] one[0] night[0] at[0] the[0] bar[0] he[0] frequents[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
 " love is the devil " chronicles the latter part of his life . 	 " love is the devil " chronicles the latter part of his life .	3	-2	 love[2] is[0] the[0] devil[-1] chronicles[0] the[0] latter[0] part[0] of[0] his[0] life[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
bacon , well-known in his mid-life , awakens one night when he hears a man tumble through his ceiling window and land on the floor . 	bacon , well-known in his mid-life , awakens one night when he hears a man tumble through his ceiling window and land on the floor .	1	-1	 bacon[0] well[0] known[0] in[0] his[0] mid[0] life[0] awakens[0] one[0] night[0] when[0] he[0] hears[0] a[0] man[0] tumble[0] through[0] his[0] ceiling[0] window[0] and[0] land[0] on[0] the[0] floor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he walks in , unafraid of what he finds , and discovers a thief , george dyer ( daniel craig ) . 	he walks in , unafraid of what he finds , and discovers a thief , george dyer ( daniel craig ) .	1	-2	 he[0] walks[0] in[0] unafraid[0] of[0] what[0] he[0] finds[0] and[0] discovers[0] a[0] thief[-1] george[0] dyer[0] daniel[0] craig[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
bacon gives him an offer : if he spends the night with him , he can take anything he wants in the morning . 	bacon gives him an offer : if he spends the night with him , he can take anything he wants in the morning .	1	-1	 bacon[0] gives[0] him[0] an[0] offer[0] if[0] he[0] spends[0] the[0] night[0] with[0] him[0] he[0] can[0] take[0] anything[0] he[0] wants[0] in[0] the[0] morning[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
george agrees to this , and off to bed he goes , but ends up staying with him , for whatever reason . 	george agrees to this , and off to bed he goes , but ends up staying with him , for whatever reason .	1	-1	 george[0] agrees[0] to[0] this[0] and[0] off[0] to[0] bed[0] he[0] goes[0] but[0] ends[0] up[0] staying[0] with[0] him[0] for[0] whatever[0] reason[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film shows their lives together , at least in reference to one another . 	the film shows their lives together , at least in reference to one another .	1	-1	 the[0] film[0] shows[0] their[0] lives[0] together[0] at[0] least[0] in[0] reference[0] to[0] one[0] another[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
while creating bacon's world of friends ( like " high art , " this film minors in showing a certain group of people who radiate a connection that is not shown but is understood ) , the film shows the relationship of bacon and george as it remains rather stagnant . 	while creating bacon's world of friends ( like " high art , " this film minors in showing a certain group of people who radiate a connection that is not shown but is understood ) , the film shows the relationship of bacon and george as it remains rather stagnant .	2	-2	 while[0] creating[0] bacon's[0] world[0] of[0] friends[1] like[1] high[0] art[0] this[0] film[0] minors[0] in[0] showing[0] a[0] certain[0] group[0] of[0] people[0] who[0] radiate[0] a[0] connection[0] that[0] is[0] not[0] shown[0] but[0] is[0] understood[0] the[0] film[0] shows[0] the[0] relationship[0] of[0] bacon[0] and[0] george[0] as[0] it[0] remains[0] rather[0] stagnant[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
bacon is haughty and bizarre ; george is simple and doesn't understand bacon in the least , especially not his paintings . 	bacon is haughty and bizarre ; george is simple and doesn't understand bacon in the least , especially not his paintings .	1	-2	 bacon[0] is[0] haughty[-1] and[0] bizarre[-1] george[0] is[0] simple[0] and[0] doesn't[0] understand[0] bacon[0] in[0] the[0] least[0] especially[0] not[0] his[0] paintings[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
while watching this , that's basically all i thought was there . 	while watching this , that's basically all i thought was there .	1	-1	 while[0] watching[0] this[0] that's[0] basically[0] all[0] i[0] thought[0] was[0] there[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film has a hypnotic feel , free of any restraints of form , and is shot so uniquely that i felt my attention was almost entirely on the way this film was made rather than what it is about . 	the film has a hypnotic feel , free of any restraints of form , and is shot so uniquely that i felt my attention was almost entirely on the way this film was made rather than what it is about .	1	-2	 the[0] film[0] has[0] a[0] hypnotic[0] feel[0] free[0] of[0] any[0] restraints[0] of[0] form[0] and[0] is[0] shot[-1] so[0] uniquely[0] that[0] i[0] felt[0] my[0] attention[0] was[0] almost[0] entirely[0] on[0] the[0] way[0] this[0] film[0] was[0] made[0] rather[0] than[0] what[0] it[0] is[0] about[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
once the film is over , it's easier to piece it together . 	once the film is over , it's easier to piece it together .	1	-1	 once[0] the[0] film[0] is[0] over[0] it's[0] easier[0] to[0] piece[0] it[0] together[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i kept on thinking about this film , wondering what the point to all of it was . 	i kept on thinking about this film , wondering what the point to all of it was .	1	-1	 i[0] kept[0] on[0] thinking[0] about[0] this[0] film[0] wondering[0] what[0] the[0] point[0] to[0] all[0] of[0] it[0] was[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
someone doesn't merely make a film of all style and no substance at all , and if they do , they do it by accident , but still allow some substance to creep in . 	someone doesn't merely make a film of all style and no substance at all , and if they do , they do it by accident , but still allow some substance to creep in .	1	-2	 someone[0] doesn't[0] merely[0] make[0] a[0] film[0] of[0] all[0] style[0] and[0] no[0] substance[0] at[0] all[0] and[0] if[0] they[0] do[0] they[0] do[0] it[0] by[0] accident[-1] but[0] still[0] allow[0] some[0] substance[0] to[0] creep[0] in[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
thinking about it , i remembered how the two fed off of eachother . 	thinking about it , i remembered how the two fed off of eachother .	1	-1	 thinking[0] about[0] it[0] i[0] remembered[0] how[0] the[0] two[0] fed[0] off[0] of[0] eachother[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i thought about how bacon was a masochist , in love with cruelty ( in one scene , he watches a boxing match with a orgiastic delight , and lets out a squeal of pleasure when blood from the one boxer's head splashes across his face ; in another scene , he masturbates to the odessa steps sequence of eisenstein's " battleship potemkin " ) , and perhaps he drove george too far in his delight for pain . 	i thought about how bacon was a masochist , in love with cruelty ( in one scene , he watches a boxing match with a orgiastic delight , and lets out a squeal of pleasure when blood from the one boxer's head splashes across his face ; in another scene , he masturbates to the odessa steps sequence of eisenstein's " battleship potemkin " ) , and perhaps he drove george too far in his delight for pain .	3	-4	 i[0] thought[0] about[0] how[0] bacon[0] was[0] a[0] masochist[-2] in[0] love[2] with[0] cruelty[-3] in[0] one[0] scene[0] he[0] watches[0] a[0] boxing[0] match[0] with[0] a[0] orgiastic[0] delight[2] and[0] lets[0] out[0] a[0] squeal[0] of[0] pleasure[2] when[0] blood[0] from[0] the[0] one[0] boxer's[0] head[0] splashes[0] across[0] his[0] face[0] in[0] another[0] scene[0] he[0] masturbates[0] to[0] the[0] odessa[0] steps[0] sequence[0] of[0] eisenstein's[0] battleship[-1] potemkin[0] and[0] perhaps[0] he[0] drove[0] george[0] too[0] far[0] in[0] his[0] delight[2] for[0] pain[-3] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
he drove him over the edge , and for him that was love , even if it wasn't for george . 	he drove him over the edge , and for him that was love , even if it wasn't for george .	3	-1	 he[0] drove[0] him[0] over[0] the[0] edge[0] and[0] for[0] him[0] that[0] was[0] love[2] even[0] if[0] it[0] wasn't[0] for[0] george[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i guess that explains the title . 	i guess that explains the title .	1	-1	 i[0] guess[0] that[0] explains[0] the[0] title[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a bit . 	a bit .	1	-1	 a[0] bit[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that's great and all , but i almost wish the film was devoid of any meaning . 	that's great and all , but i almost wish the film was devoid of any meaning .	3	-2	 that's[0] great[2] and[0] all[0] but[0] i[0] almost[0] wish[0] the[0] film[0] was[0] devoid[-1] of[0] any[0] meaning[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
i wish it hadn't reduced itself to making some point about humanity , about how love is the most selfish thing in the world ( and it is , if you look at it a certain way ) . 	i wish it hadn't reduced itself to making some point about humanity , about how love is the most selfish thing in the world ( and it is , if you look at it a certain way ) .	3	-4	 i[0] wish[0] it[0] hadn't[0] reduced[0] itself[0] to[0] making[0] some[0] point[0] about[0] humanity[0] about[0] how[0] love[2] is[0] the[0] most[0] selfish[-3] thing[0] in[0] the[0] world[0] and[0] it[0] is[0] if[0] you[0] look[0] at[0] it[0] a[0] certain[0] way[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
or maybe if it had avoided any meaning about humanity and merely drove itself into being the one film that was truly inside one man's twisted pysche . 	or maybe if it had avoided any meaning about humanity and merely drove itself into being the one film that was truly inside one man's twisted pysche .	2	-2	 or[0] maybe[0] if[0] it[0] had[0] avoided[-1] any[0] meaning[0] about[0] humanity[0] and[0] merely[0] drove[0] itself[0] into[0] being[0] the[0] one[0] film[0] that[0] was[0] truly[1] inside[0] one[0] man's[0] twisted[0] pysche[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it's almost always best to obtain insights from looking at one man's uniqueness than it is forcing universality down an audience's throat . 	it's almost always best to obtain insights from looking at one man's uniqueness than it is forcing universality down an audience's throat .	2	-1	 it's[0] almost[0] always[0] best[1] to[0] obtain[0] insights[0] from[0] looking[0] at[0] one[0] man's[0] uniqueness[0] than[0] it[0] is[0] forcing[0] universality[0] down[0] an[0] audience's[0] throat[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
that way you don't reduce your film to something it's just not . 	that way you don't reduce your film to something it's just not .	1	-1	 that[0] way[0] you[0] don't[0] reduce[0] your[0] film[0] to[0] something[0] it's[0] just[0] not[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i can't say i totally enjoyed " love is the devil , " though . 	i can't say i totally enjoyed " love is the devil , " though .	4	-2	 i[0] can't[0] say[0] i[0] totally[0] enjoyed[2][1 LastWordBoosterStrength] love[2][+1 MultiplePositiveWords] is[0] the[0] devil[-1] though[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
despite all of the things i respect about this movie , it's still rather uncomfortable to sit through . 	despite all of the things i respect about this movie , it's still rather uncomfortable to sit through .	3	-3	 despite[0] all[0] of[0] the[0] things[0] i[0] respect[2] about[0] this[0] movie[0] it's[0] still[0] rather[0] uncomfortable[-2] to[0] sit[0] through[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
even at a normally trite length of ninety minutes , the film still seems like an arduous task to sit through , especially after an exhausting first hour . 	even at a normally trite length of ninety minutes , the film still seems like an arduous task to sit through , especially after an exhausting first hour .	2	-3	 even[0] at[0] a[0] normally[0] trite[-2] length[0] of[0] ninety[0] minutes[0] the[0] film[0] still[0] seems[0] like[1] an[0] arduous[-1] task[0] to[0] sit[0] through[0] especially[0] after[0] an[0] exhausting[-1] first[0] hour[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
though hypnotic , it still almost seems gimmicky and even redundant at times , as if it were taking advantage of one man's truly bizarre nature but not doing anything deeper with it . 	though hypnotic , it still almost seems gimmicky and even redundant at times , as if it were taking advantage of one man's truly bizarre nature but not doing anything deeper with it .	2	-2	 though[0] hypnotic[0] it[0] still[0] almost[0] seems[0] gimmicky[0] and[0] even[0] redundant[-1] at[0] times[0] as[0] if[0] it[0] were[0] taking[0] advantage[0] of[0] one[0] man's[0] truly[1] bizarre[-1] nature[0] but[0] not[0] doing[0] anything[0] deeper[0] with[0] it[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
as such , i respect the way the film looks . 	as such , i respect the way the film looks .	3	-1	 as[0] such[0] i[0] respect[2] the[0] way[0] the[0] film[0] looks[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it's beautiful and painstakingly crafted so that , along with " what dreams may come " and " dark city , " it's the year's most visually stunning film . 	it's beautiful and painstakingly crafted so that , along with " what dreams may come " and " dark city , " it's the year's most visually stunning film .	3	-1	 it's[0] beautiful[2] and[0] painstakingly[0] crafted[0] so[0] that[0] along[0] with[0] what[0] dreams[0] may[0] come[0] and[0] dark[0] city[0] it's[0] the[0] year's[0] most[0] visually[0] stunning[0] film[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
in fact , if a better script had been forged , i'd almost compare it in visual power to a peter greenaway film , complete with similar haunting images that stick in the mind forever . 	in fact , if a better script had been forged , i'd almost compare it in visual power to a peter greenaway film , complete with similar haunting images that stick in the mind forever .	1	-1	 in[0] fact[0] if[0] a[0] better[0] script[0] had[0] been[0] forged[0] i'd[0] almost[0] compare[0] it[0] in[0] visual[0] power[0] to[0] a[0] peter[0] greenaway[0] film[0] complete[0] with[0] similar[0] haunting[0] images[0] that[0] stick[0] in[0] the[0] mind[0] forever[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and with a dymanite performance by derek jacobi , it has the comic and distanced tone that it needs . 	and with a dymanite performance by derek jacobi , it has the comic and distanced tone that it needs .	1	-1	 and[0] with[0] a[0] dymanite[0] performance[0] by[0] derek[0] jacobi[0] it[0] has[0] the[0] comic[0] and[0] distanced[0] tone[0] that[0] it[0] needs[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i just wish it had been more than mostly style and just a hair bit of substance . 	i just wish it had been more than mostly style and just a hair bit of substance .	1	-1	 i[0] just[0] wish[0] it[0] had[0] been[0] more[0] than[0] mostly[0] style[0] and[0] just[0] a[0] hair[0] bit[0] of[0] substance[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
then i would have had something to hold me over even now . 	then i would have had something to hold me over even now .	1	-1	 then[0] i[0] would[0] have[0] had[0] something[0] to[0] hold[0] me[0] over[0] even[0] now[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
