ingredients : london gal , fate , true love , running joke about monty python's spanish inquisition 	Translation	Positive	Negative	EmotionRationale
this leads to a life where helen moves out . 	this leads to a life where helen moves out .	1	-1	 this[0] leads[0] to[0] a[0] life[0] where[0] helen[0] moves[0] out[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
helen's winsome new friend james helps her recover from a broken heart , and encourages her to start her own business . 	helen's winsome new friend james helps her recover from a broken heart , and encourages her to start her own business .	2	-2	 helen's[0] winsome[0] new[0] friend[1] james[0] helps[0] her[0] recover[0] from[0] a[0] broken[-1] heart[0] and[0] encourages[1] her[0] to[0] start[0] her[0] own[0] business[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
in story two , helen experiences a different fate . 	in story two , helen experiences a different fate .	1	-1	 in[0] story[0] two[0] helen[0] experiences[0] a[0] different[0] fate[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she misses the train , never meets james , and doesn't get home early enough to discover gerry's infidelity . 	she misses the train , never meets james , and doesn't get home early enough to discover gerry's infidelity .	1	-3	 she[0] misses[-2] the[0] train[0] never[0] meets[0] james[0] and[0] doesn't[0] get[0] home[0] early[0] enough[0] to[0] discover[0] gerry's[0] infidelity[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in this new life , helen takes up odd menial jobs , and faces the constant sneaking suspicion that all is not right with her relationship with gerry . 	in this new life , helen takes up odd menial jobs , and faces the constant sneaking suspicion that all is not right with her relationship with gerry .	1	-2	 in[0] this[0] new[0] life[0] helen[0] takes[0] up[0] odd[0] menial[-1] jobs[0] and[0] faces[0] the[0] constant[0] sneaking[-1] suspicion[-1] that[0] all[0] is[0] not[0] right[0] with[0] her[0] relationship[0] with[0] gerry[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
will the truth of the heart finally work its way through a number of problems and setbacks in both scenarios ? 	will the truth of the heart finally work its way through a number of problems and setbacks in both scenarios ?	2	-2	 will[0] the[0] truth[1] of[0] the[0] heart[0] finally[0] work[0] its[0] way[0] through[0] a[0] number[0] of[0] problems[-1] and[0] setbacks[0] in[0] both[0] scenarios[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
opinion : rejoice all ye monty python fans , gwyneth paltrow fans , and watchers of quirky romance flicks . 	opinion : rejoice all ye monty python fans , gwyneth paltrow fans , and watchers of quirky romance flicks .	4	-1	 opinion[0] rejoice[3] all[0] ye[0] monty[0] python[0] fans[0] gwyneth[0] paltrow[0] fans[0] and[0] watchers[0] of[0] quirky[0] romance[3] flicks[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
at last here's proof that there's still creativity in 1990s filmmaking . 	at last here's proof that there's still creativity in 1990s filmmaking .	1	-1	 at[0] last[0] here's[0] proof[0] that[0] there's[0] still[0] creativity[0] in[0] 1990s[0] filmmaking[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sliding doors is refreshingly different from anything this year . 	sliding doors is refreshingly different from anything this year .	1	-1	 sliding[0] doors[0] is[0] refreshingly[0] different[0] from[0] anything[0] this[0] year[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
not only is it a well-acted , heartwarming film , but it's also easily gwyneth paltrow's best recent performance . 	not only is it a well-acted , heartwarming film , but it's also easily gwyneth paltrow's best recent performance .	3	-1	 not[0] only[0] is[0] it[0] a[0] well[0] acted[0] heartwarming[2] film[0] but[0] it's[0] also[0] easily[0] gwyneth[0] paltrow's[0] best[1] recent[0] performance[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
when helen ( paltrow ) screams that her unfaithful boyfriend is a 'shagging wanker , ' ( a british phrase better left untranslated ) she sounds like she knows what she's talking about ! 	when helen ( paltrow ) screams that her unfaithful boyfriend is a 'shagging wanker , ' ( a british phrase better left untranslated ) she sounds like she knows what she's talking about !	2	-4	 when[0] helen[0] paltrow[0] screams[-3] that[0] her[0] unfaithful[-1] boyfriend[0] is[0] a[0] 'shagging[0] wanker[-1] '[0] a[0] british[0] phrase[0] better[0] left[0] untranslated[0] she[0] sounds[0] like[1] she[0] knows[0] what[0] she's[0] talking[0] about[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
nor does sliding doors go overboard with formulaic true love or other stereotypes . 	nor does sliding doors go overboard with formulaic true love or other stereotypes .	3	-1	 nor[0] does[0] sliding[0] doors[0] go[0] overboard[0] with[0] formulaic[0] true[1] love[2] or[0] other[0] stereotypes[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
nobody scrambles around in danger , screaming , " i will find you no matter what , my darling ! " 	nobody scrambles around in danger , screaming , " i will find you no matter what , my darling !<br> "	3	-4	 nobody[0] scrambles[0] around[0] in[0] danger[-1] screaming[-3] i[0] will[0] find[0] you[0] no[0] matter[0] what[0] my[0] darling[2] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
when helen finds herself on a boat in the starlight with james , she doesn't take the easy way out and leap into his arms , since she's supposed to be recovering from heartache . 	when helen finds herself on a boat in the starlight with james , she doesn't take the easy way out and leap into his arms , since she's supposed to be recovering from heartache .	1	-1	 when[0] helen[0] finds[0] herself[0] on[0] a[0] boat[0] in[0] the[0] starlight[0] with[0] james[0] she[0] doesn't[0] take[0] the[0] easy[0] way[0] out[0] and[0] leap[0] into[0] his[0] arms[0] since[0] she's[0] supposed[0] to[0] be[0] recovering[0] from[0] heartache[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and handsome live-in boyfriend gerry isn't the stereotypical screen hunk ( either a stud or a snob ) . 	and handsome live-in boyfriend gerry isn't the stereotypical screen hunk ( either a stud or a snob ) .	2	-3	 and[0] handsome[1] live[0] in[0] boyfriend[0] gerry[0] isn't[0] the[0] stereotypical[0] screen[0] hunk[0] either[0] a[0] stud[0] or[0] a[0] snob[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
instead he's a nervous and indecisive , almost helpless hunk . 	instead he's a nervous and indecisive , almost helpless hunk .	1	-3	 instead[0] he's[0] a[0] nervous[-2] and[0] indecisive[-1] almost[0] helpless[-1] hunk[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
another example : when one of the protagonists lies wounded in a hospital , sliding doors gives us neither the 'hospital miracle' nor a maudlin tragedy but surprises us with a third variation . 	another example : when one of the protagonists lies wounded in a hospital , sliding doors gives us neither the 'hospital miracle' nor a maudlin tragedy but surprises us with a third variation .	1	-3	 another[0] example[0] when[0] one[0] of[0] the[0] protagonists[0] lies[-2] wounded[-1] in[0] a[0] hospital[0] sliding[0] doors[0] gives[0] us[0] neither[0] the[0] 'hospital[0] miracle'[0] nor[0] a[0] maudlin[0] tragedy[-2] but[0] surprises[0] us[0] with[0] a[0] third[0] variation[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in other words , all of the characters seem non-stereotyped , human , and local . 	in other words , all of the characters seem non-stereotyped , human , and local .	1	-1	 in[0] other[0] words[0] all[0] of[0] the[0] characters[0] seem[0] non[0] stereotyped[0] human[0] and[0] local[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there are minor inconveniences . 	there are minor inconveniences .	1	-2	 there[0] are[0] minor[0] inconveniences[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
since sliding doors switches back and forth between two possible fates , it's occasionally difficult to distinguish between the two . 	since sliding doors switches back and forth between two possible fates , it's occasionally difficult to distinguish between the two .	1	-2	 since[0] sliding[0] doors[0] switches[0] back[0] and[0] forth[0] between[0] two[0] possible[0] fates[0] it's[0] occasionally[0] difficult[-1] to[0] distinguish[0] between[0] the[0] two[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
distinguishing between the two stories isn't a problem in the scenes containing paltrow , who sports two different hairstyles . 	distinguishing between the two stories isn't a problem in the scenes containing paltrow , who sports two different hairstyles .	2	-1	 distinguishing[0] between[0] the[0] two[0] stories[0] isn't[0] a[0] problem[-1][NegatedDueToPreviousWord] in[0] the[0] scenes[0] containing[0] paltrow[0] who[0] sports[0] two[0] different[0] hairstyles[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but in scenes containing only lydia and gerry , who look the same in both stories , it's slightly confusing . 	but in scenes containing only lydia and gerry , who look the same in both stories , it's slightly confusing .	1	-1	 but[0] in[0] scenes[0] containing[0] only[0] lydia[0] and[0] gerry[0] who[0] look[0] the[0] same[0] in[0] both[0] stories[0] it's[0] slightly[0] confusing[-1][--1 LastWordBoosterStrength] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
also , quite a few snappy comebacks referring to american pop culture ( seinfeld , woody allen , etc . ) are spoken by the british characters . 	also , quite a few snappy comebacks referring to american pop culture ( seinfeld , woody allen , etc .<br> ) are spoken by the british characters .	1	-1	 also[0] quite[0] a[0] few[0] snappy[0] comebacks[0] referring[0] to[0] american[0] pop[0] culture[0] seinfeld[0] woody[0] allen[0] etc[0] [[Sentence=-1,1=word max, 1-5]] are[0] spoken[0] by[0] the[0] british[0] characters[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but these seem slightly forced , given that the remaining dialogue is predominantly british slang . 	but these seem slightly forced , given that the remaining dialogue is predominantly british slang .	1	-1	 but[0] these[0] seem[0] slightly[0] forced[0] given[0] that[0] the[0] remaining[0] dialogue[0] is[0] predominantly[0] british[0] slang[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
possibly an attempt by the screenwriter to balance the british so that american audiences can feel more comfortable ? 	possibly an attempt by the screenwriter to balance the british so that american audiences can feel more comfortable ?	2	-1	 possibly[0] an[0] attempt[0] by[0] the[0] screenwriter[0] to[0] balance[0] the[0] british[0] so[0] that[0] american[0] audiences[0] can[0] feel[0] more[0] comfortable[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
sliding doors is a charming , quirky , original , happy romance with a little 'philosophy of fate' thrown in . 	sliding doors is a charming , quirky , original , happy romance with a little 'philosophy of fate' thrown in .	4	-1	 sliding[0] doors[0] is[0] a[0] charming[1] quirky[0] original[0] happy[1] romance[3] with[0] a[0] little[0] 'philosophy[0] of[0] fate'[0] thrown[0] in[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
monty python and the meaning of fate , anybody ? 	monty python and the meaning of fate , anybody ?	1	-1	 monty[0] python[0] and[0] the[0] meaning[0] of[0] fate[0] anybody[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
