 " you'll go ape over tarzan because it's more fun than a barrel of monkeys ! " 	Translation	Positive	Negative	EmotionRationale
the way he slides down tree limbs and trunks is very reminiscent of skateboarding and rollerblading maneuvers , and had me thinking this isn't just tarzan , it's " extreme tarzan . " 	the way he slides down tree limbs and trunks is very reminiscent of skateboarding and rollerblading maneuvers , and had me thinking this isn't just tarzan , it's " extreme tarzan .<br> "	1	-1	 the[0] way[0] he[0] slides[0] down[0] tree[0] limbs[0] and[0] trunks[0] is[0] very[0] reminiscent[0] of[0] skateboarding[0] and[0] rollerblading[0] maneuvers[0] and[0] had[0] me[0] thinking[0] this[0] isn't[0] just[0] tarzan[0] it's[0] extreme[0] tarzan[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
however , tarzan does not seem to have what i call its " chandelier scene , " which is the one scene to which the animators have chosen to devote an inordinate amount of effort , utilizing a computer-assisted process that makes the animation absolutely breathtaking . 	however , tarzan does not seem to have what i call its " chandelier scene , " which is the one scene to which the animators have chosen to devote an inordinate amount of effort , utilizing a computer-assisted process that makes the animation absolutely breathtaking .	3	-1	 however[0] tarzan[0] does[0] not[0] seem[0] to[0] have[0] what[0] i[0] call[0] its[0] chandelier[0] scene[0] which[0] is[0] the[0] one[0] scene[0] to[0] which[0] the[0] animators[0] have[0] chosen[0] to[0] devote[2] an[0] inordinate[0] amount[0] of[0] effort[0] utilizing[0] a[0] computer[0] assisted[0] process[0] that[0] makes[0] the[0] animation[0] absolutely[0] breathtaking[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
lasting but a few seconds at most , it's been the signature of nearly every disney animated feature since beauty and the beast , in which the castle ballroom chandelier was rendered in stunning detail . 	lasting but a few seconds at most , it's been the signature of nearly every disney animated feature since beauty and the beast , in which the castle ballroom chandelier was rendered in stunning detail .	3	-1	 lasting[0] but[0] a[0] few[0] seconds[0] at[0] most[0] it's[0] been[0] the[0] signature[0] of[0] nearly[0] every[0] disney[0] animated[0] feature[0] since[0] beauty[2] and[0] the[0] beast[0] in[0] which[0] the[0] castle[0] ballroom[0] chandelier[0] was[0] rendered[0] in[0] stunning[0] detail[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
as usual , the voice talent is up to snuff , convincingly make you believe in the convictions of animated characters . 	as usual , the voice talent is up to snuff , convincingly make you believe in the convictions of animated characters .	2	-2	 as[0] usual[0] the[0] voice[0] talent[1] is[0] up[0] to[0] snuff[0] convincingly[0] make[0] you[0] believe[0] in[0] the[0] convictions[-1] of[0] animated[0] characters[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the one poor choice in casting , however , was rosie o'donnell . 	the one poor choice in casting , however , was rosie o'donnell .	1	-2	 the[0] one[0] poor[-1] choice[0] in[0] casting[0] however[0] was[0] rosie[0] o'donnell[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
going into the film , i didn't know she was even a part of it , but when terk started talking , i recognized her voice immediately . 	going into the film , i didn't know she was even a part of it , but when terk started talking , i recognized her voice immediately .	1	-1	 going[0] into[0] the[0] film[0] i[0] didn't[0] know[0] she[0] was[0] even[0] a[0] part[0] of[0] it[0] but[0] when[0] terk[0] started[0] talking[0] i[0] recognized[0] her[0] voice[0] immediately[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
her performance was fine , but through the rest of the film i kept thinking , " that's no boy ape , that rosie o'donnell . " 	her performance was fine , but through the rest of the film i kept thinking , " that's no boy ape , that rosie o'donnell .<br> "	3	-1	 her[0] performance[0] was[0] fine[2] but[0] through[0] the[0] rest[0] of[0] the[0] film[0] i[0] kept[0] thinking[0] that's[0] no[0] boy[0] ape[0] that[0] rosie[0] o'donnell[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
distracting to say the least . 	distracting to say the least .	1	-2	 distracting[-1] to[0] say[0] the[0] least[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i'll admit i've never read the edgar rice burroughs story " tarzan of the apes , " so i couldn't tell you how true this film stays to the book . 	i'll admit i've never read the edgar rice burroughs story " tarzan of the apes , " so i couldn't tell you how true this film stays to the book .	2	-1	 i'll[0] admit[0] i've[0] never[0] read[0] the[0] edgar[0] rice[0] burroughs[0] story[0] tarzan[0] of[0] the[0] apes[0] so[0] i[0] couldn't[0] tell[0] you[0] how[0] true[1] this[0] film[0] stays[0] to[0] the[0] book[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but unless you're a purist , you should have few objections to this film . 	but unless you're a purist , you should have few objections to this film .	1	-2	 but[0] unless[0] you're[0] a[0] purist[0] you[0] should[0] have[0] few[0] objections[-1] to[0] this[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
with solid performances , action , adventure , a bit of romance , and great music and animation , tarzan should appeal to the kids and to the kid in all of us . 	with solid performances , action , adventure , a bit of romance , and great music and animation , tarzan should appeal to the kids and to the kid in all of us .	4	-1	 with[0] solid[0] performances[0] action[0] adventure[0] a[0] bit[0] of[0] romance[3] and[0] great[2] music[0] and[0] animation[0] tarzan[0] should[0] appeal[0] to[0] the[0] kids[0] and[0] to[0] the[0] kid[0] in[0] all[0] of[0] us[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
note : when i wrote my review of mulan a year ago , i went off on the promotional and merchandising tie-ins prevalent with the release of a disney animated feature . 	note : when i wrote my review of mulan a year ago , i went off on the promotional and merchandising tie-ins prevalent with the release of a disney animated feature .	1	-1	 note[0] when[0] i[0] wrote[0] my[0] review[0] of[0] mulan[0] a[0] year[0] ago[0] i[0] went[0] off[0] on[0] the[0] promotional[0] and[0] merchandising[0] tie[0] ins[0] prevalent[0] with[0] the[0] release[0] of[0] a[0] disney[0] animated[0] feature[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this time , i'll just say that i went to mcdonald's yesterday to treat myself to a mcflurry , and tarzan was on the cup . 	this time , i'll just say that i went to mcdonald's yesterday to treat myself to a mcflurry , and tarzan was on the cup .	2	-1	 this[0] time[0] i'll[0] just[0] say[0] that[0] i[0] went[0] to[0] mcdonald's[0] yesterday[0] to[0] treat[1] myself[0] to[0] a[0] mcflurry[0] and[0] tarzan[0] was[0] on[0] the[0] cup[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
'nuff said . 	'nuff said .	1	-1	 'nuff[0] said[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
