film adaptation of hunter s . thompson's infamous semi-autobiographical hallucinogen-fueled book of the same title . 	Translation	Positive	Negative	EmotionRationale
this movie relies heavily on style and peculiar humour , rather than substance or plot . 	this movie relies heavily on style and peculiar humour , rather than substance or plot .	3	-1	 this[0] movie[0] relies[0] heavily[0] on[0] style[0] and[0] peculiar[0] humour[2] rather[0] than[0] substance[0] or[0] plot[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it moves admirably from one scene to the next , without much basis of their being , while presenting us with the two days in the life of writer hunter s . thompson during which he seemed to consume more drugs and alcohol than anyone could ever imagine . 	it moves admirably from one scene to the next , without much basis of their being , while presenting us with the two days in the life of writer hunter s .<br> thompson during which he seemed to consume more drugs and alcohol than anyone could ever imagine .	3	-2	 it[0] moves[0] admirably[2] from[0] one[0] scene[0] to[0] the[0] next[0] without[0] much[0] basis[0] of[0] their[0] being[0] while[0] presenting[0] us[0] with[0] the[0] two[0] days[0] in[0] the[0] life[0] of[0] writer[0] hunter[-1] s[0] [[Sentence=-2,3=word max, 1-5]] thompson[0] during[0] which[0] he[0] seemed[0] to[0] consume[0] more[0] drugs[0] and[0] alcohol[0] than[0] anyone[0] could[0] ever[0] imagine[0] [[Sentence=-1,1=word max, 1-5]][[[3,-2 max of sentences]]]
it was 1971 , and the times were apparently " a' changing " in the states . 	it was 1971 , and the times were apparently " a' changing " in the states .	1	-1	 it[0] was[0] 1971[0] and[0] the[0] times[0] were[0] apparently[0] a'[0] changing[0] in[0] the[0] states[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
johnny depp chews into his role like an overgrown child sucking on a chocolate lollipop . 	johnny dep chews into his role like an overgrown child sucking on a chocolate lollipop .	2	-1	 johnny[0] depp/dep[0] chews[0] into[0] his[0] role[0] like[1] an[0] overgrown[0] child[0] sucking[0] on[0] a[0] chocolate[0] lollipop[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
during the filming , depp apparently become fast friends with real-life writer thompson , and was known to wander off the set from time to time , for the sake of checking out the newest barmaid at the local watering hole . 	during the filming , dep apparently become fast friends with real-life writer thompson , and was known to wander off the set from time to time , for the sake of checking out the newest barmaid at the local watering hole .	2	-1	 during[0] the[0] filming[0] depp/dep[0] apparently[0] become[0] fast[0] friends[1] with[0] real[0] life[0] writer[0] thompson[0] and[0] was[0] known[0] to[0] wander[0] off[0] the[0] set[0] from[0] time[0] to[0] time[0] for[0] the[0] sake[0] of[0] checking[0] out[0] the[0] newest[0] barmaid[0] at[0] the[0] local[0] watering[0] hole[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i thought he did seem to exaggerate his walk a little bit too much , but then again , this movie is supposed to be a wild exaggeration of everything and anything , so who am i to talk . 	i thought he did seem to exaggerate his walk a little bit too much , but then again , this movie is supposed to be a wild exaggeration of everything and anything , so who am i to talk .	1	-2	 i[0] thought[0] he[0] did[0] seem[0] to[0] exaggerate[-1] his[0] walk[0] a[0] little[0] bit[0] too[0] much[0] but[0] then[0] again[0] this[0] movie[0] is[0] supposed[0] to[0] be[0] a[0] wild[0] exaggeration[-1] of[0] everything[0] and[0] anything[0] so[0] who[0] am[0] i[0] to[0] talk[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the one thing that did blow my mind was the actual physical transformation endured by actor benicio del toro for his role as dr . gonzo . 	the one thing that did blow my mind was the actual physical transformation endured by actor benicio del toro for his role as dr .<br> gonzo .	1	-1	 the[0] one[0] thing[0] that[0] did[0] blow[0] my[0] mind[0] was[0] the[0] actual[0] physical[0] transformation[0] endured[0] by[0] actor[0] benicio[0] del[0] toro[0] for[0] his[0] role[0] as[0] dr[0] [[Sentence=-1,1=word max, 1-5]] gonzo[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i couldn't believe that this fat , samoan lawyer , was the same guy who played the slick mumbling criminal in the usual suspects ( 7 . 5/10 ) . 	i couldn't believe that this fat , samoan lawyer , was the same guy who played the slick mumbling criminal in the usual suspects ( 7 .<br> 5/10 ) .	1	-2	 i[0] couldn't[0] believe[0] that[0] this[0] fat[-1] samoan[0] lawyer[0] was[0] the[0] same[0] guy[0] who[0] played[0] the[0] slick[0] mumbling[0] criminal[-1] in[0] the[0] usual[0] suspects[0] 7[0] [[Sentence=-2,1=word max, 1-5]] 5/10[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
word on the street is that gained over 40 pounds for this role , and i must say that his look was deliciously reprehensible . 	word on the street is that gained over 40 pounds for this role , and i must say that his look was deliciously reprehensible .	3	-4	 word[0] on[0] the[0] street[0] is[0] that[0] gained[0] over[0] 40[0] pounds[0] for[0] this[0] role[0] and[0] i[0] must[0] say[0] that[0] his[0] look[0] was[0] deliciously[2] reprehensible[-3] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
plenty of cameos also pepper this kaleidoscopic moving picture in the form of ellen barkin , christina ricci , tobey maguire and cameron diaz , along with a bunch of others . 	plenty of cameos also pepper this kaleidoscopic moving picture in the form of ellen barkin , christina ricci , tobey maguire and cameron diaz , along with a bunch of others .	1	-1	 plenty[0] of[0] cameos[0] also[0] pepper[0] this[0] kaleidoscopic[0] moving[0] picture[0] in[0] the[0] form[0] of[0] ellen[0] barkin[0] christina[0] ricci[0] tobey[0] maguire[0] and[0] cameron[0] diaz[0] along[0] with[0] a[0] bunch[0] of[0] others[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
other than that , the soundtrack was expectedly eclectic , the style was not as wild as i thought it would be , and the ending was certainly not much of a barn-burner , but then again , who really noticed . 	other than that , the soundtrack was expectedly eclectic , the style was not as wild as i thought it would be , and the ending was certainly not much of a barn-burner , but then again , who really noticed .	1	-2	 other[0] than[0] that[0] the[0] soundtrack[0] was[0] expectedly[0] eclectic[0] the[0] style[0] was[0] not[0] as[0] wild[0] as[0] i[0] thought[0] it[0] would[0] be[0] and[0] the[0] ending[0] was[0] certainly[0] not[0] much[0] of[0] a[0] barn[0] burner[-1] but[0] then[0] again[0] who[0] really[0] noticed[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this movie is about visions of bats floating through your head , johnny depp looking goofy and being bald , and the cornucopia of drug-ravaged scenes filling your own intoxicated system with ideas of anarchy , rebellion and the lost american dream . 	this movie is about visions of bats floating through your head , johnny dep looking goofy and being bald , and the cornucopia of drug-ravaged scenes filling your own intoxicated system with ideas of anarchy , rebellion and the lost american dream .	1	-2	 this[0] movie[0] is[0] about[0] visions[0] of[0] bats[0] floating[0] through[0] your[0] head[0] johnny[0] depp/dep[0] looking[0] goofy[0] and[0] being[0] bald[0] and[0] the[0] cornucopia[0] of[0] drug[0] ravaged[-1] scenes[0] filling[0] your[0] own[0] intoxicated[-1] system[0] with[0] ideas[0] of[0] anarchy[-1] rebellion[-1] and[0] the[0] lost[0] american[0] dream[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and for all those who plan on seeing this movie without the partnership of a mean drink or a mighty doobie , i suggest you move further down the aisle , buy yourself a ticket to godzilla ( 6/10 ) , and enjoy the visual fabrications manufactured for the unstimulated mind . 	and for all those who plan on seeing this movie without the partnership of a mean drink or a mighty doobie , i suggest you move further down the aisle , buy yourself a ticket to godzilla ( 6/10 ) , and enjoy the visual fabrications manufactured for the unstimulated mind .	3	-2	 and[0] for[0] all[0] those[0] who[0] plan[0] on[0] seeing[0] this[0] movie[0] without[0] the[0] partnership[0] of[0] a[0] mean[0] drink[0] or[0] a[0] mighty[0] doobie[0] i[0] suggest[0] you[0] move[0] further[0] down[0] the[0] aisle[0] buy[0] yourself[0] a[0] ticket[0] to[0] godzilla[0] 6/10[0] and[0] enjoy[2] the[0] visual[0] fabrications[-1] manufactured[0] for[0] the[0] unstimulated[0] mind[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
little known facts : depp and del toro snorted plenty of powdered milk instead of cocaine . 	little known facts : dep and del toro snorted plenty of powdered milk instead of cocaine .	1	-1	 little[0] known[0] facts[0] depp/dep[0] and[0] del[0] toro[0] snorted[0] plenty[0] of[0] powdered[0] milk[0] instead[0] of[0] cocaine[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
bill murray also portrayed a thompson-based character in the film where the buffalo roam . 	bill murray also portrayed a thompson-based character in the film where the buffalo roam .	1	-1	 bill[0] murray[0] also[0] portrayed[0] a[0] thompson[0] based[0] character[0] in[0] the[0] film[0] where[0] the[0] buffalo[0] roam[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
johnny depp turned down roles in the three musketeers , speed ( 7 . 5/10 ) , and legends of the fall ( 7 . 5/10 ) , for smaller and quirkier roles in benny and joon ( 6 . 5/10 ) and what's eating gilbert grape ? 	johnny dep turned down roles in the three musketeers , speed ( 7 .<br> 5/10 ) , and legends of the fall ( 7 .<br> 5/10 ) , for smaller and quirkier roles in benny and joon ( 6 .<br> 5/10 ) and what's eating gilbert grape ?	1	-1	 johnny[0] depp/dep[0] turned[0] down[0] roles[0] in[0] the[0] three[0] musketeers[0] speed[0] 7[0] [[Sentence=-1,1=word max, 1-5]] 5/10[0] and[0] legends[0] of[0] the[0] fall[0] 7[0] [[Sentence=-1,1=word max, 1-5]] 5/10[0] for[0] smaller[0] and[0] quirkier[0] roles[0] in[0] benny[0] and[0] joon[0] 6[0] [[Sentence=-1,1=word max, 1-5]] 5/10[0] and[0] what's[0] eating[0] gilbert[0] grape[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( 7/10 ) . 	 ( 7/10 ) .	1	-1	 7/10[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in 1988 , depp told rolling stone magazine that he'd tried every drug by the age of 14 . 	in 1988 , dep told rolling stone magazine that he'd tried every drug by the age of 14 .	1	-1	 in[0] 1988[0] depp/dep[0] told[0] rolling[0] stone[0] magazine[0] that[0] he'd[0] tried[0] every[0] drug[0] by[0] the[0] age[0] of[0] 14[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
johnny hung out with some of the members of oasis while filming the uncompleted divine rapture in ireland , and later played some slide guitar on the 1997 album , be here now . 	johnny hung out with some of the members of oasis while filming the uncompleted divine rapture in ireland , and later played some slide guitar on the 1997 album , be here now .	2	-1	 johnny[0] hung[0] out[0] with[0] some[0] of[0] the[0] members[0] of[0] oasis[0] while[0] filming[0] the[0] uncompleted[0] divine[1] rapture[0] in[0] ireland[0] and[0] later[0] played[0] some[0] slide[0] guitar[0] on[0] the[0] 1997[0] album[0] be[0] here[0] now[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
johnny was born in kentucky , is a high-school dropout , has nicknamed himself " mr . stench " , has been engaged to four women until now ( including actress winona ryder , whose " winona forever " tattoo had to be altered to " wino forever " after their breakup ) , currently plays guitar in a band called " p " , and owns the viper room nightclub in l . a . 	johnny was born in kentucky , is a high-school dropout , has nicknamed himself " mr .<br> stench " , has been engaged to four women until now ( including actress winona ryder , whose " winona forever " tattoo had to be altered to " wino forever " after their breakup ) , currently plays guitar in a band called " p " , and owns the viper room nightclub in l .<br> a .	2	-3	 johnny[0] was[0] born[0] in[0] kentucky[0] is[0] a[0] high[0] school[0] dropout[0] has[0] nicknamed[0] himself[0] mr[0] [[Sentence=-1,1=word max, 1-5]] stench[-2] has[0] been[0] engaged[0] to[0] four[0] women[0] until[0] now[0] including[0] actress[0] winona[0] ryder[0] whose[0] winona[0] forever[0] tattoo[0] had[0] to[0] be[0] altered[0] to[0] wino[0] forever[0] after[0] their[0] breakup[0] currently[0] plays[1] guitar[0] in[0] a[0] band[0] called[0] p[0] and[0] owns[0] the[0] viper[-1] room[0] nightclub[0] in[0] l[0] [[Sentence=-3,2=word max, 1-5]] a[0] [[Sentence=-1,1=word max, 1-5]][[[2,-3 max of sentences]]]
