as any sociologist will attest , your childhood and the types of parents that you have will heavily influence your happiness as an adult . 	Translation	Positive	Negative	EmotionRationale
what kind of force can move a man to the edge of his emotions and beyond the reach of people who genuinely care for him ? 	what kind of force can move a man to the edge of his emotions and beyond the reach of people who genuinely care for him ?	2	-2	 what[0] kind[1] of[0] force[-1] can[0] move[0] a[0] man[0] to[0] the[0] edge[0] of[0] his[0] emotions[0] and[0] beyond[0] the[0] reach[0] of[0] people[0] who[0] genuinely[0] care[1] for[0] him[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
we learn that the answer is his father ( james coburn ) . 	we learn that the answer is his father ( james coburn ) .	1	-1	 we[0] learn[0] that[0] the[0] answer[0] is[0] his[0] father[0] james[0] coburn[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is the kind of father that every son would be ashamed to have and that any woman would be afraid to meet . 	this is the kind of father that every son would be ashamed to have and that any woman would be afraid to meet .	2	-4	 this[0] is[0] the[0] kind[1] of[0] father[0] that[0] every[0] son[0] would[0] be[0] ashamed[-1] to[0] have[0] and[0] that[0] any[0] woman[0] would[0] be[0] afraid[-3] to[0] meet[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
he is an overbearingly misogynistic and frequent drunk who rules with an iron fist . 	he is an overbearingly misogynistic and frequent drunk who rules with an iron fist .	1	-2	 he[0] is[0] an[0] overbearingly[0] misogynistic[0] and[0] frequent[0] drunk[-1] who[0] rules[0] with[0] an[0] iron[0] fist[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
we see his tyrannical behavior through flashbacks . 	we see his tyrannical behavior through flashbacks .	1	-1	 we[0] see[0] his[0] tyrannical[0] behavior[0] through[0] flashbacks[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
to heighten the father's churlishness , the flashbacks are shown as home video footage taken by a very frightened person . 	to heighten the father's churlishness , the flashbacks are shown as home video footage taken by a very frightened person .	1	-5	 to[0] heighten[0] the[0] father's[0] churlishness[0] the[0] flashbacks[0] are[0] shown[0] as[0] home[0] video[0] footage[0] taken[0] by[0] a[0] very[0] frightened[-3][-1 LastWordBoosterStrength] person[0] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
very effective . 	very effective .	1	-1	 very[0] effective[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
today , wade's dad is quite elderly , but still manages to instill fear into a grown man . 	today , wade's dad is quite elderly , but still manages to instil fear into a grown man .	1	-4	 today[0] wade's[0] dad[0] is[0] quite[0] elderly[0] but[0] still[0] manages[0] to[0] instill/instil[0] fear[-3] into[0] a[0] grown[0] man[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the influence that the father possesses is inescapable , and its unsavory effect clamps down hard on the tortured wade . 	the influence that the father possesses is inescapable , and its unsavory effect clamps down hard on the tortured wade .	1	-4	 the[0] influence[0] that[0] the[0] father[0] possesses[0] is[0] inescapable[0] and[0] its[0] unsavory[-2] effect[0] clamps[0] down[0] hard[0] on[0] the[0] tortured[-3] wade[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the result is every son's nightmare ? becoming like the father that one has always dreaded to be . 	the result is every son's nightmare ?<br> becoming like the father that one has always dreaded to be .	2	-4	 the[0] result[0] is[0] every[0] son's[0] nightmare[-2] [[Sentence=-3,1=word max, 1-5]] becoming[0] like[1] the[0] father[0] that[0] one[0] has[0] always[0] dreaded[-3] to[0] be[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
this is a terrifically presented piece of psychological drama , and nolte turns in a strong performance as a man whose pain seems to become a detriment as well as a necessity . 	this is a terrifically presented piece of psychological drama , and nolte turns in a strong performance as a man whose pain seems to become a detriment as well as a necessity .	4	-4	 this[0] is[0] a[0] terrifically[3] presented[0] piece[0] of[0] psychological[0] drama[0] and[0] nolte[0] turns[0] in[0] a[0] strong[0] performance[0] as[0] a[0] man[0] whose[0] pain[-3] seems[0] to[0] become[0] a[0] detriment[0] as[0] well[0] as[0] a[0] necessity[0] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
he's a hulking person who is still reduced to whimpers when in the presence of his father . 	he's a hulking person who is still reduced to whimpers when in the presence of his father .	1	-1	 he's[0] a[0] hulking[0] person[0] who[0] is[0] still[0] reduced[0] to[0] whimpers[0] when[0] in[0] the[0] presence[0] of[0] his[0] father[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
coburn displays heft as the bitter dad . 	coburn displays heft as the bitter dad .	1	-2	 coburn[0] displays[0] heft[0] as[0] the[0] bitter[-1] dad[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but , it's most certainly not saturday-night-friendly fare . 	but , it's most certainly not saturday-night-friendly fare .	2	-1	 but[0] it's[0] most[0] certainly[0] not[0] saturday[0] night[0] friendly[1] fare[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
there's nothing light or fluffy about this film . 	there's nothing light or fluffy about this film .	1	-1	 there's[0] nothing[0] light[0] or[0] fluffy[0] about[0] this[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that may turn many moviegoers away . 	that may turn many moviegoers away .	1	-1	 that[0] may[0] turn[0] many[0] moviegoers[0] away[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but it's certainly worth noting that this is a well-acted drama showcasing nolte's and coburn's raw acting talents . 	but it's certainly worth noting that this is a well-acted drama showcasing nolte's and coburn's raw acting talents .	2	-1	 but[0] it's[0] certainly[0] worth[0] noting[0] that[0] this[0] is[0] a[0] well[0] acted[0] drama[0] showcasing[0] nolte's[0] and[0] coburn's[0] raw[0] acting[0] talents[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
