 " six days , seven nights " is a summer movie that gets the summer movie experience deliciously right , a commendable achievement considering the season thus far has been littered with some pretty uneven fare . 	Translation	Positive	Negative	EmotionRationale
and since the film spends most of its time with the castaways , this flaw is only a minor inconvenience . 	and since the film spends most of its time with the castaways , this flaw is only a minor inconvenience .	1	-2	 and[0] since[0] the[0] film[0] spends[0] most[0] of[0] its[0] time[0] with[0] the[0] castaways[0] this[0] flaw[-1] is[0] only[0] a[0] minor[0] inconvenience[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
director ivan reitman keeps the pace brisk . 	director ivan reitman keeps the pace brisk .	1	-1	 director[0] ivan[0] reitman[0] keeps[0] the[0] pace[0] brisk[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
at a slim 101 minutes , " six days , seven nights " never wears out its welcome , where a lesser film could have felt like it was as long as its title . 	at a slim 101 minutes , " six days , seven nights " never wears out its welcome , where a lesser film could have felt like it was as long as its title .	2	-1	 at[0] a[0] slim[0] 101[0] minutes[0] six[0] days[0] seven[0] nights[0] never[0] wears[0] out[0] its[0] welcome[1] where[0] a[0] lesser[0] film[0] could[0] have[0] felt[0] like[1] it[0] was[0] as[0] long[0] as[0] its[0] title[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
michael browning's clever screenplay allows for plenty of notable one-liners ( my favorite , taken in context , is " you mean _arrrgh_ pirates ? " ) , and though it essentially boils down to one mishap after another , they're all quite engaging . 	michael browning's clever screenplay allows for plenty of notable one-liners ( my favorite , taken in context , is " you mean _arrgh_ pirates ?<br> " ) , and though it essentially boils down to one mishap after another , they're all quite engaging .	2	-2	 michael[0] browning's[0] clever[0] screenplay[0] allows[0] for[0] plenty[0] of[0] notable[0] one[0] liners[0] my[0] favorite[1] taken[0] in[0] context[0] is[0] you[0] mean[0] _arrrgh_/_arrgh_[0] pirates[0] [[Sentence=-1,2=word max, 1-5]] and[0] though[0] it[0] essentially[0] boils[0] down[0] to[0] one[0] mishap[-1] after[0] another[0] they're[0] all[0] quite[0] engaging[0] [[Sentence=-2,1=word max, 1-5]][[[2,-2 max of sentences]]]
even the movie's more " serious " moments are played with a wink . 	even the movie's more " serious " moments are played with a wink .	1	-2	 even[0] the[0] movie's[0] more[0] serious[-1] moments[0] are[0] played[0] with[0] a[0] wink[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
heche has been under undeserved fire over whether or not her private life with ellen degeneres would affect the " believability " of " six days , seven nights " ' heterosexual pairing . 	heche has been under undeserved fire over whether or not her private life with ellen degeneres would affect the " believability " of " six days , seven nights " ' heterosexual pairing .	1	-1	 heche[0] has[0] been[0] under[0] undeserved[0] fire[0] over[0] whether[0] or[0] not[0] her[0] private[0] life[0] with[0] ellen[0] degeneres[0] would[0] affect[0] the[0] believability[0] of[0] six[0] days[0] seven[0] nights[0] '[0] heterosexual[0] pairing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( so she's a lesbian . 	 ( so she's a lesbian .	1	-1	 so[0] she's[0] a[0] lesbian[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
so what . 	so what .	1	-1	 so[0] what[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
deal with it . ) 	deal with it .<br> )	1	-1	 deal[0] with[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
of course it doesn't , and here , her naysayers are proved wrong in a big way . 	of course it doesn't , and here , her naysayers are proved wrong in a big way .	1	-2	 of[0] course[0] it[0] doesn't[0] and[0] here[0] her[0] naysayers[0] are[0] proved[0] wrong[-1] in[0] a[0] big[0] way[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in fact , her chemistry with ford is what really makes the film click ; these opposites attract with the utmost , endearing electricity . 	in fact , her chemistry with ford is what really makes the film click ; these opposites attract with the utmost , endearing electricity .	2	-1	 in[0] fact[0] her[0] chemistry[0] with[0] ford[0] is[0] what[0] really[0] makes[0] the[0] film[0] click[0] these[0] opposites[0] attract[1] with[0] the[0] utmost[0] endearing[0] electricity[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
at one point , when the two are discussing the likelihood of romantic interest , heche asks ford how old he is . 	at one point , when the two are discussing the likelihood of romantic interest , heche asks ford how old he is .	4	-1	 at[0] one[0] point[0] when[0] the[0] two[0] are[0] discussing[0] the[0] likelihood[0] of[0] romantic[3] interest[1] heche[0] asks[0] ford[0] how[0] old[0] he[0] is[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
after several wrong guesses ( " forty-five ? 	after several wrong guesses ( " forty-five ?	1	-2	 after[0] several[0] wrong[-1] guesses[0] forty[0] five[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
_fifty_ ? " ) , he whispers his age to her . 	_fifty_ ?<br> " ) , he whispers his age to her .	1	-1	 _fifty_[0] [[Sentence=-1,1=word max, 1-5]] he[0] whispers[0] his[0] age[0] to[0] her[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " you still look good , " heche stammers . 	 " you still look good , " heche stammers .	2	-2	 you[0] still[0] look[0] good[1] heche[0] stammers[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
 " i still _am_ good , " ford replies . 	 " i still _am_ good , " ford replies .	2	-1	 i[0] still[0] _am_[0] good[1] ford[0] replies[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
she's good too , and together , they make " six days , seven nights " one memorable ride . 	she's good too , and together , they make " six days , seven nights " one memorable ride .	2	-1	 she's[0] good[1] too[0] and[0] together[0] they[0] make[0] six[0] days[0] seven[0] nights[0] one[0] memorable[0] ride[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
