the most amazing thing about paul cox's innocence is how unlike a movie it is . 	Translation	Positive	Negative	EmotionRationale
a master of the understated , cox strings together a series of memorable moments . 	a master of the understated , cox strings together a series of memorable moments .	1	-1	 a[0] master[0] of[0] the[0] understated[0] cox[0] strings[0] together[0] a[0] series[0] of[0] memorable[0] moments[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in andreas' dream sequence , amidst the roar of the train and conversations , we get the whole picture of andreas and claire's love . 	in andreas' dream sequence , amidst the roar of the train and conversations , we get the whole picture of andreas and claire's love .	3	-1	 in[0] andreas'[0] dream[0] sequence[0] amidst[0] the[0] roar[0] of[0] the[0] train[0] and[0] conversations[0] we[0] get[0] the[0] whole[0] picture[0] of[0] andreas[0] and[0] claire's[0] love[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
we also get glimpses into john and claire's relationship . 	we also get glimpses into john and claire's relationship .	1	-1	 we[0] also[0] get[0] glimpses[0] into[0] john[0] and[0] claire's[0] relationship[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
during a silent candlelit dinner shortly afterward , claire admits to john about her indiscretion , telling more than any monologue could . 	during a silent candlelit dinner shortly afterward , claire admits to john about her indiscretion , telling more than any monologue could .	1	-1	 during[0] a[0] silent[0] candlelit[0] dinner[0] shortly[0] afterward[0] claire[0] admits[0] to[0] john[0] about[0] her[0] indiscretion[0] telling[0] more[0] than[0] any[0] monologue[0] could[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
all that's heard is the scraping of forks against plates . 	all that's heard is the scraping of forks against plates .	1	-2	 all[0] that's[0] heard[0] is[0] the[0] scraping[0] of[0] forks[0] against[-1] plates[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the characters are unlike anything i've seen -- they're people . 	the characters are unlike anything i've seen - they're people .	1	-1	 the[0] characters[0] are[0] unlike[0] anything[0] i've[0] seen[0] they're[0] people[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
so many times , movies and especially television portray senior citizens as gratingly spunky . 	so many times , movies and especially television portray senior citizens as gratingly spunky .	2	-1	 so[0] many[0] times[0] movies[0] and[0] especially[0] television[0] portray[0] senior[0] citizens[0] as[0] gratingly[1] spunky[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
or they're reduced to comedic buffoons . 	or they're reduced to comedic buffoons .	1	-2	 or[0] they're[0] reduced[0] to[0] comedic[0] buffoons[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
ordinary people with a pile of emotions , claire and andreas aren't sure what the next step is . 	ordinary people with a pile of emotions , claire and andreas aren't sure what the next step is .	1	-1	 ordinary[0] people[0] with[0] a[0] pile[0] of[0] emotions[0] claire[0] and[0] andreas[0] aren't[0] sure[0] what[0] the[0] next[0] step[0] is[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they do want to be happy , which consists of an entirely different set of conditions than what they've known throughout their adult lives . 	they do want to be happy , which consists of an entirely different set of conditions than what they've known throughout their adult lives .	2	-1	 they[0] do[0] want[0] to[0] be[0] happy[1] which[0] consists[0] of[0] an[0] entirely[0] different[0] set[0] of[0] conditions[0] than[0] what[0] they've[0] known[0] throughout[0] their[0] adult[0] lives[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
bravo to cox , who wrote the script , for not making john a monster , so that claire's affair is automatically justified . 	bravo to cox , who wrote the script , for not making john a monster , so that claire's affair is automatically justified .	1	-2	 bravo[0] to[0] cox[0] who[0] wrote[0] the[0] script[0] for[0] not[0] making[0] john[0] a[0] monster[-1] so[0] that[0] claire's[0] affair[0] is[0] automatically[0] justified[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
norris is so effective as john that he makes andreas and claire's love difficult to accept . 	norris is so effective as john that he makes andreas and claire's love difficult to accept .	3	-2	 norris[0] is[0] so[0] effective[0] as[0] john[0] that[0] he[0] makes[0] andreas[0] and[0] claire's[0] love[2] difficult[-1] to[0] accept[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
we feel for him . 	we feel for him .	1	-1	 we[0] feel[0] for[0] him[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he's a decent man . 	he's a decent man .	1	-1	 he's[0] a[0] decent[0] man[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sure , he may have become complacent , but he never expected this , especially now . 	sure , he may have become complacent , but he never expected this , especially now .	1	-1	 sure[0] he[0] may[0] have[0] become[0] complacent[0] but[0] he[0] never[0] expected[0] this[0] especially[0] now[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
with so much presented to the audience , it's only expected that the material gets a little drawn out and repetitive , which it does . 	with so much presented to the audience , it's only expected that the material gets a little drawn out and repetitive , which it does .	1	-1	 with[0] so[0] much[0] presented[0] to[0] the[0] audience[0] it's[0] only[0] expected[0] that[0] the[0] material[0] gets[0] a[0] little[0] drawn[0] out[0] and[0] repetitive[0] which[0] it[0] does[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
however , in bringing up tough questions and not offering easy answers , cox displays a skill and ? lan isn't likely to be surpassed by anyone anytime soon . 	however , in bringing up tough questions and not offering easy answers , cox displays a skill and ?<br> lan isn't likely to be surpassed by anyone anytime soon .	1	-2	 however[0] in[0] bringing[0] up[0] tough[-1] questions[0] and[0] not[0] offering[0] easy[0] answers[0] cox[0] displays[0] a[0] skill[0] and[0] [[Sentence=-2,1=word max, 1-5]] lan[0] isn't[0] likely[0] to[0] be[0] surpassed[0] by[0] anyone[0] anytime[0] soon[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
