anna and the king strides onto the screen in full regalia , wearing a brilliant suit of sumptuous landscapes , deep , vibrant colors and an epic storyline . 	Translation	Positive	Negative	EmotionRationale
when she makes her entrance into a politically charged banquet mid-film , she exudes a hypnotic beauty that is deepened by her textured performance . 	when she makes her entrance into a politically charged banquet mid-film , she exudes a hypnotic beauty that is deepened by her textured performance .	3	-2	 when[0] she[0] makes[0] her[0] entrance[0] into[0] a[0] politically[0] charged[-1] banquet[0] mid[0] film[0] she[0] exudes[0] a[0] hypnotic[0] beauty[2] that[0] is[0] deepened[0] by[0] her[0] textured[0] performance[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
chow-yun fat's king mongkut is every measure of foster's anna , perhaps even more so . 	chow-yun fat's king mongkut is every measure of foster's anna , perhaps even more so .	1	-1	 chow[0] yun[0] fat's[0] king[0] mongkut[0] is[0] every[0] measure[0] of[0] foster's[0] anna[0] perhaps[0] even[0] more[0] so[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is the chow yun-fat that hong kong cinema has been in love with for nearly twenty years . 	this is the chow yun-fat that hong kong cinema has been in love with for nearly twenty years .	3	-2	 this[0] is[0] the[0] chow[0] yun[0] fat[-1] that[0] hong[0] kong[0] cinema[0] has[0] been[0] in[0] love[2] with[0] for[0] nearly[0] twenty[0] years[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
he is imposing , yet vulnerable , playful , but stern . 	he is imposing , yet vulnerable , playful , but stern .	2	-3	 he[0] is[0] imposing[0] yet[0] vulnerable[-2] playful[1] but[0] stern[-1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
it is an impressively assured and nuanced performance . 	it is an impressively assured and nuanced performance .	2	-1	 it[0] is[0] an[0] impressively[1] assured[0] and[0] nuanced[0] performance[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
precious time is stolen from the movie's 155 minutes running time by an unengaging subplot involving one the king's concubines ( bai ling ) and her love of a commoner . 	precious time is stolen from the movie's 155 minutes running time by an unengaging subplot involving one the king's concubines ( bai ling ) and her love of a commoner .	3	-2	 precious[2] time[0] is[0] stolen[-1] from[0] the[0] movie's[0] 155[0] minutes[0] running[0] time[0] by[0] an[0] unengaging[0] subplot[0] involving[0] one[0] the[0] king's[0] concubines[0] bai[0] ling[0] and[0] her[0] love[2] of[0] a[0] commoner[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
it strikes with the subtlety of siam's fabled white elephant as it stomps through the leisurely paced story . 	it strikes with the subtlety of siam's fabled white elephant as it stomps through the leisurely paced story .	1	-1	 it[0] strikes[0] with[0] the[0] subtlety[0] of[0] siam's[0] fabled[0] white[0] elephant[0] as[0] it[0] stomps[0] through[0] the[0] leisurely[0] paced[0] story[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
some may be put off by the action filled climax of the movie . 	some may be put off by the action filled climax of the movie .	1	-1	 some[0] may[0] be[0] put[0] off[0] by[0] the[0] action[0] filled[0] climax[0] of[0] the[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
although a bit inconsistent in tone from the rest of the film , it fits within the established subplot of a perceived siege by neighboring burma , a country backed by the british . 	although a bit inconsistent in tone from the rest of the film , it fits within the established subplot of a perceived siege by neighboring burma , a country backed by the british .	1	-2	 although[0] a[0] bit[0] inconsistent[-1] in[0] tone[0] from[0] the[0] rest[0] of[0] the[0] film[0] it[0] fits[0] within[0] the[0] established[0] subplot[0] of[0] a[0] perceived[0] siege[-1] by[0] neighboring[0] burma[0] a[0] country[0] backed[0] by[0] the[0] british[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
anna and the king transcends being a predictable , traditional love story by avoiding mawkishness . 	anna and the king transcends being a predictable , traditional love story by avoiding mawkishness .	3	-2	 anna[0] and[0] the[0] king[0] transcends[0] being[0] a[0] predictable[0] traditional[0] love[2] story[0] by[0] avoiding[-1] mawkishness[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
it shows a seduction of intelligence . 	it shows a seduction of intelligence .	1	-1	 it[0] shows[0] a[0] seduction[0] of[0] intelligence[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ever mindful of each other's positions , anna and king mongkut negotiate a maze of social customs , conflicting world views and lost loved ones to connect on a level that ultimately proves deeply satisfying , if not achingly bittersweet . 	ever mindful of each other's positions , anna and king mongkut negotiate a maze of social customs , conflicting world views and lost loved ones to connect on a level that ultimately proves deeply satisfying , if not achingly bittersweet .	4	-2	 ever[0] mindful[0] of[0] each[0] other's[0] positions[0] anna[0] and[0] king[0] mongkut[0] negotiate[0] a[0] maze[0] of[0] social[0] customs[0] conflicting[-1] world[0] views[0] and[0] lost[0] loved[3] ones[0] to[0] connect[0] on[0] a[0] level[0] that[0] ultimately[0] proves[0] deeply[0] satisfying[1] if[0] not[0] achingly[0] bittersweet[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
