whenever writer/director robert altman works in a specific genre , he has the tendency to rewrite it on his own terms . 	Translation	Positive	Negative	EmotionRationale
after an office party celebrating another of his court victories ( he hasn't lost in eight years ) , rick becomes involved with mallory doss ( embeth davidtz ) , one of the catering waitresses . 	after an office party celebrating another of his court victories ( he hasn't lost in eight years ) , rick becomes involved with mallory doss ( embeth davidtz ) , one of the catering waitresses .	2	-1	 after[0] an[0] office[0] party[0] celebrating[1] another[0] of[0] his[0] court[0] victories[0] he[0] hasn't[0] lost[0] in[0] eight[0] years[0] rick[0] becomes[0] involved[0] with[0] mallory[0] doss[0] embeth[0] davidtz[0] one[0] of[0] the[0] catering[0] waitresses[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he drives her home because her car has been stolen , and they end up in bed together . 	he drives her home because her car has been stolen , and they end up in bed together .	1	-2	 he[0] drives[0] her[0] home[0] because[0] her[0] car[0] has[0] been[0] stolen[-1] and[0] they[0] end[0] up[0] in[0] bed[0] together[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
rick finds out that mallory is being terrorized and stalked by her slightly psychotic father , dixon doss ( robert duvall ) , a grungy , stringy , bare-footed old man who leads a commune of other greasy old codgers . 	rick finds out that mallory is being terrorized and stalked by her slightly psychotic father , dixon doss ( robert duvall ) , a grungy , stringy , bare-footed old man who leads a commune of other greasy old codgers .	1	-3	 rick[0] finds[0] out[0] that[0] mallory[0] is[0] being[0] terrorized[-2] and[0] stalked[0] by[0] her[0] slightly[0] psychotic[0] father[0] dixon[0] doss[0] robert[0] duvall[0] a[0] grungy[0] stringy[0] bare[0] footed[0] old[0] man[0] who[0] leads[0] a[0] commune[0] of[0] other[0] greasy[0] old[0] codgers[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it was actually dixon who stole her car that night , and when rick asks why , mallory replies that he always does " weird " stuff like that . 	it was actually dixon who stole her car that night , and when rick asks why , mallory replies that he always does " weird " stuff like that .	2	-2	 it[0] was[0] actually[0] dixon[0] who[0] stole[-1] her[0] car[0] that[0] night[0] and[0] when[0] rick[0] asks[0] why[0] mallory[0] replies[0] that[0] he[0] always[0] does[0] weird[-1] stuff[0] like[1] that[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
as another character puts it , dixon is " a few beers short of six-pack . " 	as another character puts it , dixon is " a few beers short of six-pack .<br> "	1	-1	 as[0] another[0] character[0] puts[0] it[0] dixon[0] is[0] a[0] few[0] beers[0] short[0] of[0] six[0] pack[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
rick ends up convincing mallory to have dixon brought to court and tried for competency . 	rick ends up convincing mallory to have dixon brought to court and tried for competency .	1	-1	 rick[0] ends[0] up[0] convincing[0] mallory[0] to[0] have[0] dixon[0] brought[0] to[0] court[0] and[0] tried[0] for[0] competency[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he succeeds with information dug up by clyde pell , a private investigator friend ( robert downey jr . ) , and testimony from mallory's begrudging ex-husband , pete randle ( tom berenger ) . 	he succeeds with information dug up by clyde pell , a private investigator friend ( robert downey jr .<br> ) , and testimony from mallory's begrudging ex-husband , pete randle ( tom berenger ) .	3	-1	 he[0] succeeds[2] with[0] information[0] dug[0] up[0] by[0] clyde[0] pell[0] a[0] private[0] investigator[0] friend[1] robert[0] downey[0] jr[0] [[Sentence=-1,3=word max, 1-5]] and[0] testimony[0] from[0] mallory's[0] begrudging[0] ex[0] husband[0] pete[0] randle[0] tom[0] berenger[0] [[Sentence=-1,1=word max, 1-5]][[[3,-1 max of sentences]]]
dixon is put in a mental hospital , but his commune buddies succeed in breaking him out . 	dixon is put in a mental hospital , but his commune buddies succeed in breaking him out .	3	-1	 dixon[0] is[0] put[0] in[0] a[0] mental[0] hospital[0] but[0] his[0] commune[0] buddies[0] succeed[2] in[0] breaking[0] him[0] out[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
from there , the story delves into kidnapping , murder , double-crossing , and even a hurricane that adds an ominous cloud of constant violence to the action . 	from there , the story delves into kidnapping , murder , double-crossing , and even a hurricane that adds an ominous cloud of constant violence to the action .	1	-4	 from[0] there[0] the[0] story[0] delves[0] into[0] kidnapping[0] murder[-3] double[0] crossing[0] and[0] even[0] a[0] hurricane[0] that[0] adds[0] an[0] ominous[-2] cloud[0] of[0] constant[0] violence[-3] to[0] the[0] action[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
altman's cinematographer , changwei gu , gives the film a dark , soaked look . 	altman's cinematographer , changwei gu , gives the film a dark , soaked look .	1	-1	 altman's[0] cinematographer[0] changwei[0] gu[0] gives[0] the[0] film[0] a[0] dark[0] soaked[0] look[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if it isn't night-time , at least it's raining . 	if it isn't night-time , at least it's raining .	1	-1	 if[0] it[0] isn't[0] night[0] time[0] at[0] least[0] it's[0] raining[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
gu shoots the interiors , which are almost all dark wood paneling , with a minimum of light . 	gu shoots the interiors , which are almost all dark wood paneling , with a minimum of light .	1	-2	 gu[0] shoots[-1] the[0] interiors[0] which[0] are[0] almost[0] all[0] dark[0] wood[0] paneling[0] with[0] a[0] minimum[0] of[0] light[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
a great deal of the action takes place in the leafy georgia backwoods , which altman uses to create an acute sense of dread and vulnerability . 	a great deal of the action takes place in the leafy georgia backwoods , which altman uses to create an acute sense of dread and vulnerability .	3	-4	 a[0] great[2] deal[0] of[0] the[0] action[0] takes[0] place[0] in[0] the[0] leafy[0] georgia[0] backwoods[0] which[0] altman[0] uses[0] to[0] create[0] an[0] acute[0] sense[0] of[0] dread[-3] and[0] vulnerability[-2] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
in the city there is danger enough , but when rick has to venture into the woods , you can almost feel him leaving all hope of civilization behind as he literally enters another world . 	in the city there is danger enough , but when rick has to venture into the woods , you can almost feel him leaving all hope of civilization behind as he literally enters another world .	3	-2	 in[0] the[0] city[0] there[0] is[0] danger[-1] enough[0] but[0] when[0] rick[0] has[0] to[0] venture[0] into[0] the[0] woods[0] you[0] can[0] almost[0] feel[0] him[0] leaving[0] all[0] hope[2] of[0] civilization[0] behind[0] as[0] he[0] literally[0] enters[0] another[0] world[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
altman has worked in just about every conceivable genre , from westerns to epic dramas to comedies . 	altman has worked in just about every conceivable genre , from westerns to epic dramas to comedies .	1	-1	 altman[0] has[0] worked[0] in[0] just[0] about[0] every[0] conceivable[0] genre[0] from[0] westerns[0] to[0] epic[0] dramas[0] to[0] comedies[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but , no matter what the genre , he is always sure to give it the altman stamp , which usually consists of all kinds of idiosyncratic quirks and little details that are often missed without repeat viewings . 	but , no matter what the genre , he is always sure to give it the altman stamp , which usually consists of all kinds of idiosyncratic quirks and little details that are often missed without repeat viewings .	1	-2	 but[0] no[0] matter[0] what[0] the[0] genre[0] he[0] is[0] always[0] sure[0] to[0] give[0] it[0] the[0] altman[0] stamp[0] which[0] usually[0] consists[0] of[0] all[0] kinds[0] of[0] idiosyncratic[0] quirks[0] and[0] little[0] details[0] that[0] are[0] often[0] missed[-1] without[0] repeat[0] viewings[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 " the gingerbread man " is no different , although his style is much more restrained here . 	 " the gingerbread man " is no different , although his style is much more restrained here .	1	-1	 the[0] gingerbread[0] man[0] is[0] no[0] different[0] although[0] his[0] style[0] is[0] much[0] more[0] restrained[0] here[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
however , without those little touches , the film could have easily slumped into a routine action/thriller . 	however , without those little touches , the film could have easily slumped into a routine action/thriller .	1	-2	 however[0] without[0] those[0] little[0] touches[0] the[0] film[0] could[0] have[0] easily[0] slumped[-1] into[0] a[0] routine[0] action/thriller[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
a great deal of the credit for the film's success can be given to the actors , especially branagh , who rarely works outside of period pieces and his own direction . 	a great deal of the credit for the film's success can be given to the actors , especially branagh , who rarely works outside of period pieces and his own direction .	3	-1	 a[0] great[2] deal[0] of[0] the[0] credit[0] for[0] the[0] film's[0] success[2] can[0] be[0] given[0] to[0] the[0] actors[0] especially[0] branagh[0] who[0] rarely[0] works[0] outside[0] of[0] period[0] pieces[0] and[0] his[0] own[0] direction[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
here , the british actor consistently maintains a serviceable southern drawl , while making an essentially contemptible character interesting and sympathetic . 	here , the british actor consistently maintains a serviceable southern drawl , while making an essentially contemptible character interesting and sympathetic .	2	-4	 here[0] the[0] british[0] actor[0] consistently[0] maintains[0] a[0] serviceable[0] southern[0] drawl[0] while[0] making[0] an[0] essentially[0] contemptible[-3] character[0] interesting[1] and[0] sympathetic[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
rick is an extremely flawed man , but branaugh brings real humanity to his character . 	rick is an extremely flawed man , but branaugh brings real humanity to his character .	1	-1	 rick[0] is[0] an[0] extremely[0] flawed[0] man[0] but[0] branaugh[0] brings[0] real[0] humanity[0] to[0] his[0] character[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
without it , the entire film would fall flat because so much of it is reliant on the audience feeling rick's pain and frustration . 	without it , the entire film would fall flat because so much of it is reliant on the audience feeling rick's pain and frustration .	1	-4	 without[0] it[0] the[0] entire[0] film[0] would[0] fall[0] flat[0] because[0] so[0] much[0] of[0] it[0] is[0] reliant[0] on[0] the[0] audience[0] feeling[0] rick's[0] pain[-3] and[0] frustration[-2] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the supporting actors also put in fine performances , including embeth davidtz , who is probably best known for her heart-breaking role as the jewish maid in " schindler's list " ( 1993 ) . 	the supporting actors also put in fine performances , including embeth davidtz , who is probably best known for her heart-breaking role as the jewish maid in " schindler's list " ( 1993 ) .	3	-1	 the[0] supporting[1] actors[0] also[0] put[0] in[0] fine[2] performances[0] including[0] embeth[0] davidtz[0] who[0] is[0] probably[0] best[1] known[0] for[0] her[0] heart[0] breaking[0] role[0] as[0] the[0] jewish[0] maid[0] in[0] schindler's[0] list[0] 1993[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
tom berenger provides some gruff comic relief , and robert duvall spends most of his on-screen time just looking weird . 	tom berenger provides some gruff comic relief , and robert duvall spends most of his on-screen time just looking weird .	2	-2	 tom[0] berenger[0] provides[0] some[0] gruff[-1][--1 LastWordBoosterStrength] comic[0] relief[1] and[0] robert[0] duvall[0] spends[0] most[0] of[0] his[0] on[0] screen[0] time[0] just[0] looking[0] weird[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it doesn't seem like he does much because he has very little spoken dialogue , but watch him closely during the film's one courtroom scene : his entire performance is in his eyes and his body language , and few actors could have pulled it off without being either silly or overbearing . 	it doesn't seem like he does much because he has very little spoken dialogue , but watch him closely during the film's one courtroom scene : his entire performance is in his eyes and his body language , and few actors could have pulled it off without being either silly or overbearing .	2	-2	 it[0] doesn't[0] seem[0] like[1] he[0] does[0] much[0] because[0] he[0] has[0] very[0] little[0] spoken[0] dialogue[0] but[0] watch[0] him[0] closely[0] during[0] the[0] film's[0] one[0] courtroom[0] scene[0] his[0] entire[0] performance[0] is[0] in[0] his[0] eyes[0] and[0] his[0] body[0] language[0] and[0] few[0] actors[0] could[0] have[0] pulled[0] it[0] off[0] without[0] being[0] either[0] silly[-1] or[0] overbearing[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
while " the gingerbread man " isn't in league with altman's greatest works like " nashville " ( 1975 ) or " the player " ( 1992 ) , it is nonetheless a solid piece of genre filmmaking , which may prove a successful vehicle to restart his somewhat lagging career . 	while " the gingerbread man " isn't in league with altman's greatest works like " nashville " ( 1975 ) or " the player " ( 1992 ) , it is nonetheless a solid piece of genre filmmaking , which may prove a successful vehicle to restart his somewhat lagging career .	3	-1	 while[0] the[0] gingerbread[0] man[0] isn't[0] in[0] league[0] with[0] altman's[0] greatest[2] works[0] like[1] nashville[0] 1975[0] or[0] the[0] player[0] 1992[0] it[0] is[0] nonetheless[0] a[0] solid[0] piece[0] of[0] genre[0] filmmaking[0] which[0] may[0] prove[0] a[0] successful[2] vehicle[0] to[0] restart[0] his[0] somewhat[0] lagging[0] career[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
some critics love to stamp films like this as " commercial , " as if altman can only maintain artistic integrity if his films are aimed at a tiny audience and don't make money . 	some critics love to stamp films like this as " commercial , " as if altman can only maintain artistic integrity if his films are aimed at a tiny audience and don't make money .	3	-1	 some[0] critics[0] love[2] to[0] stamp[0] films[0] like[1] this[0] as[0] commercial[0] as[0] if[0] altman[0] can[0] only[0] maintain[0] artistic[0] integrity[0] if[0] his[0] films[0] are[0] aimed[0] at[0] a[0] tiny[0] audience[0] and[0] don't[0] make[0] money[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
altman has done something much better : he took what could have been a generic movie , and by investing artistry and effort , he made it into something more . 	altman has done something much better : he took what could have been a generic movie , and by investing artistry and effort , he made it into something more .	1	-1	 altman[0] has[0] done[0] something[0] much[0] better[0] he[0] took[0] what[0] could[0] have[0] been[0] a[0] generic[0] movie[0] and[0] by[0] investing[0] artistry[0] and[0] effort[0] he[0] made[0] it[0] into[0] something[0] more[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
