this is one of the most funny and entertaining comedies of the year and it just happens to be animated . 	Translation	Positive	Negative	EmotionRationale
and so , buzz , rex ( voice of wallace shawn ) , hamm ( voice of john ratzenberger ) , mr . potatohead ( voice of don rickles ) , and slinky ( voice of jim varney ) , go out on a dangerous journey to rescue their friend , they find themselves confronting things like busy streets and other buzz lightyear toys . 	and so , buz , rex ( voice of wallace shawn ) , ham ( voice of john ratzenberger ) , mr .<br> potatohead ( voice of don rickles ) , and slinky ( voice of jim varney ) , go out on a dangerous journey to rescue their friend , they find themselves confronting things like busy streets and other buz lightyear toys .	2	-3	 and[0] so[0] buzz/buz[0] rex[0] voice[0] of[0] wallace[0] shawn[0] hamm/ham[0] voice[0] of[0] john[0] ratzenberger[0] mr[0] [[Sentence=-1,1=word max, 1-5]] potatohead[0] voice[0] of[0] don[0] rickles[0] and[0] slinky[0] voice[0] of[0] jim[0] varney[0] go[0] out[0] on[0] a[0] dangerous[-1] journey[0] to[0] rescue[0] their[0] friend[1] they[0] find[0] themselves[0] confronting[-2] things[0] like[1] busy[0] streets[0] and[0] other[0] buzz/buz[0] lightyear[0] toys[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
there are car chases , gun fights and finally the confrontation between buzz and his nemesis ( who , by the way , resembles darth vader ) . 	there are car chases , gun fights and finally the confrontation between buz and his nemesis ( who , by the way , resembles darth vader ) .	1	-3	 there[0] are[0] car[0] chases[-1] gun[-1] fights[-2] and[0] finally[0] the[0] confrontation[-2] between[0] buzz/buz[0] and[0] his[0] nemesis[0] who[0] by[0] the[0] way[0] resembles[0] darth[0] vader[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
meanwhile , woody learns that he was once a tv celebrity and has a family - a cowgirl named jessie ( voice of joan cusack ) , a horse named bullseye , and a father figure called the prospector ( voice of kelsey grammar ) . 	meanwhile , woody learns that he was once a tv celebrity and has a family - a cowgirl named jessie ( voice of joan cusack ) , a horse named bullseye , and a father figure called the prospector ( voice of kelsey grammar ) .	1	-1	 meanwhile[0] woody[0] learns[0] that[0] he[0] was[0] once[0] a[0] tv[0] celebrity[0] and[0] has[0] a[0] family[0] a[0] cowgirl[0] named[0] jessie[0] voice[0] of[0] joan[0] cusack[0] a[0] horse[0] named[0] bullseye[0] and[0] a[0] father[0] figure[0] called[0] the[0] prospector[0] voice[0] of[0] kelsey[0] grammar[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they offer him another life , as a celebrity -- a toy in a museum in japan . 	they offer him another life , as a celebrity - a toy in a museum in japan .	1	-1	 they[0] offer[0] him[0] another[0] life[0] as[0] a[0] celebrity[0] a[0] toy[0] in[0] a[0] museum[0] in[0] japan[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he is now forced to choose between being loved intensively by andy for a little while ( before he grows up ) and be forgotten , or be admired by children for generations . 	he is now forced to choose between being loved intensively by andy for a little while ( before he grows up ) and be forgotten , or be admired by children for generations .	4	-1	 he[0] is[0] now[0] forced[0] to[0] choose[0] between[0] being[0] loved[3] intensively[0] by[0] andy[0] for[0] a[0] little[0] while[0] before[0] he[0] grows[0] up[0] and[0] be[0] forgotten[0] or[0] be[0] admired[2] by[0] children[0] for[0] generations[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
the problem is , if woody escapes from al's clutches and returns home , they will end up back in the lonely darkness of storage . 	the problem is , if woody escapes from al's clutches and returns home , they will end up back in the lonely darkness of storage .	1	-2	 the[0] problem[-1] is[0] if[0] woody[0] escapes[0] from[0] al's[0] clutches[0] and[0] returns[0] home[0] they[0] will[0] end[0] up[0] back[0] in[0] the[0] lonely[-1] darkness[0] of[0] storage[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
a real effort is made in the technical department . 	a real effort is made in the technical department .	1	-1	 a[0] real[0] effort[0] is[0] made[0] in[0] the[0] technical[0] department[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the animation is rich and colorful , with lots of wonderful details . the " cinematography " is also extremely improved since toy story ; there are a lot of complicated swings , turns and close-ups that really make an impression . 	the animation is rich and colorful , with lots of wonderful details .<br> the " cinematography " is also extremely improved since toy story ; there are a lot of complicated swings , turns and close-ups that really make an impression .	4	-2	 the[0] animation[0] is[0] rich[0] and[0] colorful[0] with[0] lots[0] of[0] wonderful[2] details[0] [[Sentence=-1,3=word max, 1-5]] the[0] cinematography[0] is[0] also[0] extremely[0] improved[1][2 LastWordBoosterStrength] since[0] toy[0] story[0] there[0] are[0] a[0] lot[0] of[0] complicated[-1] swings[0] turns[0] and[0] close[0] ups[0] that[0] really[0] make[0] an[0] impression[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
lighting and filters are used to create a mood ( as in a surprisingly emotional moment - jessie's remembrance of her days when she was a beloved toy ) the film contains a lot of in-side jokes ( such as the one about videogames ) , and entertaining parodies on " jurassic park " and " star wars " . 	lighting and filters are used to create a mood ( as in a surprisingly emotional moment - jessie's remembrance of her days when she was a beloved toy ) the film contains a lot of in-side jokes ( such as the one about videogames ) , and entertaining parodies on " jurassic park " and " star wars " .	3	-3	 lighting[0] and[0] filters[0] are[0] used[0] to[0] create[0] a[0] mood[0] as[0] in[0] a[0] surprisingly[0] emotional[-1] moment[0] jessie's[0] remembrance[0] of[0] her[0] days[0] when[0] she[0] was[0] a[0] beloved[2] toy[0] the[0] film[0] contains[0] a[0] lot[0] of[0] in[0] side[0] jokes[1] such[0] as[0] the[0] one[0] about[0] videogames[0] and[0] entertaining[0] parodies[0] on[0] jurassic[0] park[0] and[0] star[0] wars[-2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the film ends with the " failed takes " , the kind of scenes that we are used to see after comedy shows on tv . 	the film ends with the " failed takes " , the kind of scenes that we are used to see after comedy shows on tv .	2	-3	 the[0] film[0] ends[0] with[0] the[0] failed[-2] takes[0] the[0] kind[1] of[0] scenes[0] that[0] we[0] are[0] used[0] to[0] see[0] after[0] comedy[0] shows[0] on[0] tv[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
these outtakes are some of the funniest scenes in the film . 	these outtakes are some of the funniest scenes in the film .	2	-1	 these[0] outtakes[0] are[0] some[0] of[0] the[0] funniest[1] scenes[0] in[0] the[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but what in the end makes " toy story 2 " a memorable experience is not the jokes , its multiple parodies or marvelous animation . 	but what in the end makes " toy story 2 " a memorable experience is not the jokes , its multiple parodies or marvelous animation .	1	-2	 but[0] what[0] in[0] the[0] end[0] makes[0] toy[0] story[0] 2[0] a[0] memorable[0] experience[0] is[0] not[0] the[0] jokes[1][NegatedDueToPreviousWord] its[0] multiple[0] parodies[0] or[0] marvelous[0] animation[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it is its heart and emotions -- the story about the meaning of friendship , love and even life itself . 	it is its heart and emotions - the story about the meaning of friendship , love and even life itself .	3	-1	 it[0] is[0] its[0] heart[0] and[0] emotions[0] the[0] story[0] about[0] the[0] meaning[0] of[0] friendship[1] love[2] and[0] even[0] life[0] itself[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it is not difficult to predict that " toy story 2 " would be a huge economical success , but its artistic achievement was unexpected . 	it is not difficult to predict that " toy story 2 " would be a huge economical success , but its artistic achievement was unexpected .	3	-1	 it[0] is[0] not[0] difficult[-1][NegatedDueToPreviousWord] to[0] predict[0] that[0] toy[0] story[0] 2[0] would[0] be[0] a[0] huge[0] economical[0] success[2] but[0] its[0] artistic[0] achievement[0] was[0] unexpected[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
unexpected because the first film wasn't much more than a demonstration of special effects . 	unexpected because the first film wasn't much more than a demonstration of special effects .	2	-1	 unexpected[0] because[0] the[0] first[0] film[0] wasn't[0] much[0] more[0] than[0] a[0] demonstration[0] of[0] special[1] effects[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but mostly it was unexpected because disney hasn't produced anything spectacular in years and is constantly surpassed by companies such as dreamworks and warner brs . 	but mostly it was unexpected because disney hasn't produced anything spectacular in years and is constantly surpassed by companies such as dreamworks and warner brs .	1	-1	 but[0] mostly[0] it[0] was[0] unexpected[0] because[0] disney[0] hasn't[0] produced[0] anything[0] spectacular[0] in[0] years[0] and[0] is[0] constantly[0] surpassed[0] by[0] companies[0] such[0] as[0] dreamworks[0] and[0] warner[0] brs[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but here the director has changed the atmosphere of the film , making it more accessible and interesting for persons older that 9 years . 	but here the director has changed the atmosphere of the film , making it more accessible and interesting for persons older that 9 years .	2	-1	 but[0] here[0] the[0] director[0] has[0] changed[0] the[0] atmosphere[0] of[0] the[0] film[0] making[0] it[0] more[0] accessible[0] and[0] interesting[1] for[0] persons[0] older[0] that[0] 9[0] years[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this is a big step-away from the ancient laws of disney-animation . 	this is a big step-away from the ancient laws of disney-animation .	1	-1	 this[0] is[0] a[0] big[0] step[0] away[0] from[0] the[0] ancient[0] laws[0] of[0] disney[0] animation[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
off course , this is not " antz " , it is not as intelligent ; this is not a landmark and no masterpiece , but i promise that you'll find it as funny and enjoyable as i have . 	off course , this is not " antz " , it is not as intelligent ; this is not a landmark and no masterpiece , but i promise that you'll find it as funny and enjoyable as i have .	3	-2	 off[0] course[0] this[0] is[0] not[0] antz[0] it[0] is[0] not[0] as[0] intelligent[1][NegatedDueToPreviousWord] this[0] is[0] not[0] a[0] landmark[0] and[0] no[0] masterpiece[0] but[0] i[0] promise[1] that[0] you'll[0] find[0] it[0] as[0] funny[1] and[0] enjoyable[2] as[0] i[0] have[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
whether this is the best animated film of the year , i dare not say . 	whether this is the best animated film of the year , i dare not say .	2	-1	 whether[0] this[0] is[0] the[0] best[1] animated[0] film[0] of[0] the[0] year[0] i[0] dare[0] not[0] say[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
my choice would probably be " the iron giant " , but ( along side with " american pie " ) this is the comedy of the year . 	my choice would probably be " the iron giant " , but ( along side with " american pie " ) this is the comedy of the year .	1	-1	 my[0] choice[0] would[0] probably[0] be[0] the[0] iron[0] giant[0] but[0] along[0] side[0] with[0] american[0] pie[0] this[0] is[0] the[0] comedy[0] of[0] the[0] year[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i almost lost my hopes for disney , but " toy story 2 " proves that disney hasn't lost their ability to entertain . 	i almost lost my hopes for disney , but " toy story 2 " proves that disney hasn't lost their ability to entertain .	2	-1	 i[0] almost[0] lost[0] my[0] hopes[1] for[0] disney[0] but[0] toy[0] story[0] 2[0] proves[0] that[0] disney[0] hasn't[0] lost[0] their[0] ability[0] to[0] entertain[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
