plot : a young man who loves heavy metal music and especially the band steel dragon , to whom he's devoted a tribute band in which he sings , gets launched into stardom when the real group get rid of their lead singer and call on him to take his place . 	Translation	Positive	Negative	EmotionRationale
he came off like a regular guy with extremely passionate goals and work ethic , who was willing to do anything in order to fulfill his dreams . 	he came off like a regular guy with extremely passionate goals and work ethic , who was willing to do anything in order to fulfil his dreams .	5	-1	 he[0] came[0] off[0] like[1] a[0] regular[0] guy[0] with[0] extremely[0] passionate[2][2 LastWordBoosterStrength] goals[0] and[0] work[0] ethic[0] who[0] was[0] willing[0] to[0] do[0] anything[0] in[0] order[0] to[0] fulfill/fulfil[0] his[0] dreams[0] [[Sentence=-1,5=word max, 1-5]][[[5,-1 max of sentences]]]
aniston was also surprisingly good as the girlfriend ( and the romance angle between them was sweet ) , but she didn't pull me in hard enough during their emotional scenes . 	aniston was also surprisingly good as the girlfriend ( and the romance angle between them was sweet ) , but she didn't pull me in hard enough during their emotional scenes .	4	-2	 aniston[0] was[0] also[0] surprisingly[0] good[1] as[0] the[0] girlfriend[0] and[0] the[0] romance[3] angle[0] between[0] them[0] was[0] sweet[1] but[0] she[0] didn't[0] pull[0] me[0] in[0] hard[0] enough[0] during[0] their[0] emotional[-1] scenes[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
i was also impressed by some of the " real " musicians who played in the film ( zakk wylde from ozzy osbourne , jeff pilson from dokken , stephan jenkins from third eye blind , blas elias from slaughter ) , but actor dominic west as kirk cuddy made the biggest impression among the band members . 	i was also impressed by some of the " real " musicians who played in the film ( zak wylde from ozy osbourne , jeff pilson from doken , stephan jenkins from third eye blind , blas elias from slaughter ) , but actor dominic west as kirk cuddy made the biggest impression among the band members .	2	-2	 i[0] was[0] also[0] impressed[1] by[0] some[0] of[0] the[0] real[0] musicians[0] who[0] played[0] in[0] the[0] film[0] zakk/zak[0] wylde[0] from[0] ozzy/ozy[0] osbourne[0] jeff[0] pilson[0] from[0] dokken/doken[0] stephan[0] jenkins[0] from[0] third[0] eye[0] blind[-1] blas[0] elias[0] from[0] slaughter[-1] but[0] actor[0] dominic[0] west[0] as[0] kirk[0] cuddy[0] made[0] the[0] biggest[0] impression[0] among[0] the[0] band[0] members[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it's to note that this film was based on a real-life tale of a young man who used to sing in a judas priest cover band and then went on to become their actual singer ( their original singer also admitted to being gay , as in this film ) . 	it's to note that this film was based on a real-life tale of a young man who used to sing in a judas priest cover band and then went on to become their actual singer ( their original singer also admitted to being gay , as in this film ) .	1	-2	 it's[0] to[0] note[0] that[0] this[0] film[0] was[0] based[0] on[0] a[0] real[0] life[0] tale[0] of[0] a[0] young[0] man[0] who[0] used[0] to[0] sing[0] in[0] a[0] judas[0] priest[0] cover[0] band[0] and[0] then[0] went[0] on[0] to[0] become[0] their[0] actual[0] singer[0] their[0] original[0] singer[0] also[0] admitted[0] to[0] being[0] gay[-1] as[0] in[0] this[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
just for the record , i'm certainly not recommending this film for its originality or surprise elements , since most of this stuff has already been covered in some way or another in other movies , but because it's a fun , uplifting , well-paced movie with a solid central showing by wahlberg and energetic live performances . 	just for the record , i'm certainly not recommending this film for its originality or surprise elements , since most of this stuff has already been covered in some way or another in other movies , but because it's a fun , uplifting , well-paced movie with a solid central showing by wahlberg and energetic live performances .	2	-1	 just[0] for[0] the[0] record[0] i'm[0] certainly[0] not[0] recommending[0] this[0] film[0] for[0] its[0] originality[0] or[0] surprise[0] elements[0] since[0] most[0] of[0] this[0] stuff[0] has[0] already[0] been[0] covered[0] in[0] some[0] way[0] or[0] another[0] in[0] other[0] movies[0] but[0] because[0] it's[0] a[0] fun[1] uplifting[0] well[0] paced[0] movie[0] with[0] a[0] solid[0] central[0] showing[0] by[0] wahlberg[0] and[0] energetic[0] live[0] performances[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
oh yeah , and for those who dig the " heavier " side of music , the soundtrack also rocks ! ! 	oh yeah , and for those who dig the " heavier " side of music , the soundtrack also rocks !<br> !	1	-1	 oh[0] yeah[0] and[0] for[0] those[0] who[0] dig[0] the[0] heavier[0] side[0] of[0] music[0] the[0] soundtrack[0] also[0] rocks[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you see . . . dreams 	you see .<br> .<br> .<br> dreams	1	-1	 you[0] see[0] [[Sentence=-1,1=word max, 1-5]] dreams[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
can come true . . . 	can come true .<br> .<br> .	2	-1	 can[0] come[0] true[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
where's joblo coming from ? 	where's joblo coming from ?	1	-1	 where's[0] joblo[0] coming[0] from[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
almost famous ( 8/10 ) - blow ( 8/10 ) - boogie nights ( 9/10 ) - detroit rock city ( 8/10 ) - girlfight ( 6/10 ) - goodfellas ( 10/10 ) 	almost famous ( 8/10 ) - blow ( 8/10 ) - boogie nights ( 9/10 ) - detroit rock city ( 8/10 ) - girlfight ( 6/10 ) - goodfellas ( 10/10 )	2	-1	 almost[0] famous[0] 8/10[0] blow[0] 8/10[0] boogie[0] nights[0] 9/10[0] detroit[0] rock[1] city[0] 8/10[0] girlfight[0] 6/10[0] goodfellas[0] 10/10[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
