a frequent error is the categorization of a terrorist as a soldier or a common criminal . 	Translation	Positive	Negative	EmotionRationale
revisiting the scenario of foreign terrorists committing acts of violence in the united states , the siege is almost an invitation in itself , because it shows just what kind of turmoil could be produced if an effective terrorist network were to set up operations here in america . 	revisiting the scenario of foreign terrorists committing acts of violence in the united states , the siege is almost an invitation in itself , because it shows just what kind of turmoil could be produced if an effective terrorist network were to set up operations here in america .	2	-4	 revisiting[0] the[0] scenario[0] of[0] foreign[-1] terrorists[-2] committing[0] acts[0] of[0] violence[-3] in[0] the[0] united[0] states[0] the[0] siege[-1] is[0] almost[0] an[0] invitation[0] in[0] itself[0] because[0] it[0] shows[0] just[0] what[0] kind[1] of[0] turmoil[-2] could[0] be[0] produced[0] if[0] an[0] effective[0] terrorist[-2] network[0] were[0] to[0] set[0] up[0] operations[0] here[0] in[0] america[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
admittedly , the terror wrought upon new york is a bit excessive ( who's going to believe that a few bombs are going to cause new yorkers to jump at the backfire of a bus or to curtail their shopping by two-thirds ? ) , but the basic premise is still valid . 	admittedly , the terror wrought upon new york is a bit excessive ( who's going to believe that a few bombs are going to cause new yorkers to jump at the backfire of a bus or to curtail their shopping by two-thirds ?<br> ) , but the basic premise is still valid .	1	-2	 admittedly[0] the[0] terror[-1] wrought[0] upon[0] new[0] york[0] is[0] a[0] bit[0] excessive[-1] who's[0] going[0] to[0] believe[0] that[0] a[0] few[0] bombs[-1] are[0] going[0] to[0] cause[0] new[0] yorkers[0] to[0] jump[0] at[0] the[0] backfire[0] of[0] a[0] bus[0] or[0] to[0] curtail[-1] their[0] shopping[0] by[0] two[0] thirds[0] [[Sentence=-2,1=word max, 1-5]] but[0] the[0] basic[0] premise[0] is[0] still[0] valid[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
i liked the fact that this film rises above the basic action-thriller fare of good guy g-men against bad guy terrorists by exploring some of the effects on society and law and order . 	i liked the fact that this film rises above the basic action-thriller fare of good guy grin�-men against bad guy terrorists by exploring some of the effects on society and law and order .	3	-3	 i[0] liked[2] the[0] fact[0] that[0] this[0] film[0] rises[0] above[0] the[0] basic[0] action[0] thriller[1] fare[0] of[0] good[1] guy[0] g[0] men[0] against[-1] bad[-1] guy[0] terrorists[-2] by[0] exploring[0] some[0] of[0] the[0] effects[0] on[0] society[0] and[0] law[0] and[0] order[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
it provides a very possible hypothesis that violent activity on the part of a few arabs would escalate into a series of hate crimes against the arab-american population , and that in an effort to find the terrorists , the civil liberties of the minority may be violated by the government itself . 	it provides a very possible hypothesis that violent activity on the part of a few arabs would escalate into a series of hate crimes against the arab-american population , and that in an effort to find the terrorists , the civil liberties of the minority may be violated by the government itself .	1	-4	 it[0] provides[0] a[0] very[0] possible[0] hypothesis[0] that[0] violent[-2] activity[0] on[0] the[0] part[0] of[0] a[0] few[0] arabs[0] would[0] escalate[0] into[0] a[0] series[0] of[0] hate[-3] crimes[-1] against[-1] the[0] arab[0] american[0] population[0] and[0] that[0] in[0] an[0] effort[0] to[0] find[0] the[0] terrorists[-2] the[0] civil[0] liberties[0] of[0] the[0] minority[0] may[0] be[0] violated[-2] by[0] the[0] government[0] itself[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
in fact , about halfway through the film , when the president authorizes the declaration of martial law within new york city , the liberties of all americans are put at risk . 	in fact , about halfway through the film , when the president authorizes the declaration of martial law within new york city , the liberties of all americans are put at risk .	1	-2	 in[0] fact[0] about[0] halfway[0] through[0] the[0] film[0] when[0] the[0] president[0] authorizes[0] the[0] declaration[0] of[0] martial[0] law[0] within[0] new[0] york[0] city[0] the[0] liberties[0] of[0] all[0] americans[0] are[0] put[0] at[0] risk[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
although it may actually be a side effect of a terrorist campaign , the demise of social order in america is a scary thought and a goal which would not be beneath many international terrorist groups . 	although it may actually be a side effect of a terrorist campaign , the demise of social order in america is a scary thought and a goal which would not be beneath many international terrorist groups .	1	-4	 although[0] it[0] may[0] actually[0] be[0] a[0] side[0] effect[0] of[0] a[0] terrorist[-2] campaign[0] the[0] demise[-1] of[0] social[0] order[0] in[0] america[0] is[0] a[0] scary[-3] thought[0] and[0] a[0] goal[0] which[0] would[0] not[0] be[0] beneath[0] many[0] international[0] terrorist[-2] groups[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
throughout , the film maintains a conflict between hubbard , who wants to use the fbi to pursue the terrorists within the letter of the law , and general devereaux ( bruce willis ) , who is in command of the army and of the mind that the greater good would be better served by suspending the law and pursuing the terrorists more forcefully . 	throughout , the film maintains a conflict between hubbard , who wants to use the fbi to pursue the terrorists within the letter of the law , and general devereaux ( bruce willis ) , who is in command of the army and of the mind that the greater good would be better served by suspending the law and pursuing the terrorists more forcefully .	3	-3	 throughout[0] the[0] film[0] maintains[0] a[0] conflict[-1] between[0] hubbard[0] who[0] wants[0] to[0] use[0] the[0] fbi[0] to[0] pursue[0] the[0] terrorists[-2] within[0] the[0] letter[0] of[0] the[0] law[0] and[0] general[0] devereaux[0] bruce[0] willis[0] who[0] is[0] in[0] command[0] of[0] the[0] army[0] and[0] of[0] the[0] mind[0] that[0] the[0] greater[2] good[1] would[0] be[0] better[0] served[0] by[0] suspending[0] the[0] law[0] and[0] pursuing[0] the[0] terrorists[-2] more[0] forcefully[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
what results is a fascinating debate over the appropriateness and constitutionality of the declaration of martial law and the invocation of the war powers act , utilizing philosophy and historical examples to make points on both sides . 	what results is a fascinating debate over the appropriateness and constitutionality of the declaration of martial law and the invocation of the war powers act , utilizing philosophy and historical examples to make points on both sides .	1	-3	 what[0] results[0] is[0] a[0] fascinating[0] debate[0] over[0] the[0] appropriateness[0] and[0] constitutionality[0] of[0] the[0] declaration[0] of[0] martial[0] law[0] and[0] the[0] invocation[0] of[0] the[0] war[-2] powers[0] act[0] utilizing[0] philosophy[0] and[0] historical[0] examples[0] to[0] make[0] points[0] on[0] both[0] sides[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it actually gets rather heady at times , but it's a credit to screenwriters zwick , lawrence wright , and menno meyjes that they don't underestimate the intelligence of the audience . 	it actually gets rather heady at times , but it's a credit to screenwriters zwick , lawrence wright , and menno meyjes that they don't underestimate the intelligence of the audience .	1	-1	 it[0] actually[0] gets[0] rather[0] heady[0] at[0] times[0] but[0] it's[0] a[0] credit[0] to[0] screenwriters[0] zwick[0] lawrence[0] wright[0] and[0] menno[0] meyjes[0] that[0] they[0] don't[0] underestimate[0] the[0] intelligence[0] of[0] the[0] audience[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i don't know if it's his tone or inflection or something else , but denzel washington has a way of spitting out dialog that makes whatever he says sound great . 	i don't know if it's his tone or inflection or something else , but denzel washington has a way of spitting out dialog that makes whatever he says sound great .	3	-1	 i[0] don't[0] know[0] if[0] it's[0] his[0] tone[0] or[0] inflection[0] or[0] something[0] else[0] but[0] denzel[0] washington[0] has[0] a[0] way[0] of[0] spitting[0] out[0] dialog[0] that[0] makes[0] whatever[0] he[0] says[0] sound[0] great[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
this , combined with his innate acting ability and his experience in playing the mid-level authority figure , makes his performance in the siege convincing and enjoyable . 	this , combined with his innate acting ability and his experience in playing the mid-level authority figure , makes his performance in the siege convincing and enjoyable .	3	-2	 this[0] combined[0] with[0] his[0] innate[0] acting[0] ability[0] and[0] his[0] experience[0] in[0] playing[1] the[0] mid[0] level[0] authority[0] figure[0] makes[0] his[0] performance[0] in[0] the[0] siege[-1] convincing[0] and[0] enjoyable[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
annette bening gives one of the more assertive portrayals of a female character i've seen recently , and the chemistry she shares with washington is palpable . 	annette bening gives one of the more assertive portrayals of a female character i've seen recently , and the chemistry she shares with washington is palpable .	1	-1	 annette[0] bening[0] gives[0] one[0] of[0] the[0] more[0] assertive[0] portrayals[0] of[0] a[0] female[0] character[0] i've[0] seen[0] recently[0] and[0] the[0] chemistry[0] she[0] shares[0] with[0] washington[0] is[0] palpable[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's somewhat unfortunate that her character's fortitude is broken at a certain point , but it allows us to watch bening play a little more range . 	it's somewhat unfortunate that her character's fortitude is broken at a certain point , but it allows us to watch bening play a little more range .	1	-2	 it's[0] somewhat[0] unfortunate[-1] that[0] her[0] character's[0] fortitude[0] is[0] broken[-1] at[0] a[0] certain[0] point[0] but[0] it[0] allows[0] us[0] to[0] watch[0] bening[0] play[0] a[0] little[0] more[0] range[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
bruce willis is pretty much relegated to a tough-guy role , always standing straight , and with a permanent scowl fixed upon his face . 	bruce willis is pretty much relegated to a tough-guy role , always standing straight , and with a permanent scowl fixed upon his face .	3	-2	 bruce[0] willis[0] is[0] pretty[2] much[0] relegated[0] to[0] a[0] tough[-1] guy[0] role[0] always[0] standing[0] straight[0] and[0] with[0] a[0] permanent[0] scowl[-1] fixed[0] upon[0] his[0] face[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
however , the tension that exists between devereaux and hubbard is a major drive behind the film's development . 	however , the tension that exists between devereaux and hubbard is a major drive behind the film's development .	1	-3	 however[0] the[0] tension[-2] that[0] exists[0] between[0] devereaux[0] and[0] hubbard[0] is[0] a[0] major[0] drive[0] behind[0] the[0] film's[0] development[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
notable is tony shalhoub who plays fbi agent frank haddad , a lebanese immigrant . 	notable is tony shalhoub who plays fbi agent frank haddad , a lebanese immigrant .	2	-1	 notable[0] is[0] tony[0] shalhoub[0] who[0] plays[1] fbi[0] agent[0] frank[0] haddad[0] a[0] lebanese[0] immigrant[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the role calls for evidencing both a kind of filial pride for his heritage , and contempt for those of his own race who might interfere with his integration into the american society . 	the role calls for evidencing both a kind of filial pride for his heritage , and contempt for those of his own race who might interfere with his integration into the american society .	2	-4	 the[0] role[0] calls[0] for[0] evidencing[0] both[0] a[0] kind[1] of[0] filial[0] pride[1] for[0] his[0] heritage[0] and[0] contempt[-3] for[0] those[0] of[0] his[0] own[0] race[0] who[0] might[0] interfere[-1][--1 LastWordBoosterStrength] with[0] his[0] integration[0] into[0] the[0] american[0] society[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
difficult to say the least , shalhoub does it with a naturalness you can almost reach out and touch . 	difficult to say the least , shalhoub does it with a naturalness you can almost reach out and touch .	1	-2	 difficult[-1] to[0] say[0] the[0] least[0] shalhoub[0] does[0] it[0] with[0] a[0] naturalness[0] you[0] can[0] almost[0] reach[0] out[0] and[0] touch[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
perhaps best known for his role as antonio the cab driver in the nbc sitcom " wings , " shalhoub gained notoriety for his dramatic abilities in the wonderful film big night . 	perhaps best known for his role as antonio the cab driver in the nbc sitcom " wings , " shalhoub gained notoriety for his dramatic abilities in the wonderful film big night .	3	-1	 perhaps[0] best[1] known[0] for[0] his[0] role[0] as[0] antonio[0] the[0] cab[0] driver[0] in[0] the[0] nbc[0] sitcom[0] wings[0] shalhoub[0] gained[0] notoriety[0] for[0] his[0] dramatic[0] abilities[0] in[0] the[0] wonderful[2] film[0] big[0] night[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
whereas denzel washington seems to be edward zwick's favorite actor ( he directed washington in glory and courage under fire ) , james horner seems to be his favorite composer . 	whereas denzel washington seems to be edward zwick's favorite actor ( he directed washington in glory and courage under fire ) , james horner seems to be his favorite composer .	2	-1	 whereas[0] denzel[0] washington[0] seems[0] to[0] be[0] edward[0] zwick's[0] favorite[1] actor[0] he[0] directed[0] washington[0] in[0] glory[1] and[0] courage[1] under[0] fire[0] james[0] horner[0] seems[0] to[0] be[0] his[0] favorite[1] composer[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i therefore found it odd that zwick chose the prolific score-writer graeme revell ( seven films this year already ) over horner for the siege until i realized that this film contained a lot of arabian-themed music , and horner's record has shown more of a propensity for scores either neutral in ethnicity or irish-sounding at most . 	i therefore found it odd that zwick chose the prolific score-writer graeme revel ( seven films this year already ) over horner for the siege until i realized that this film contained a lot of arabian-themed music , and horner's record has shown more of a propensity for scores either neutral in ethnicity or irish-sounding at most .	1	-2	 i[0] therefore[0] found[0] it[0] odd[0] that[0] zwick[0] chose[0] the[0] prolific[0] score[0] writer[0] graeme[0] revell/revel[0] seven[0] films[0] this[0] year[0] already[0] over[0] horner[0] for[0] the[0] siege[-1] until[0] i[0] realized[0] that[0] this[0] film[0] contained[0] a[0] lot[0] of[0] arabian[0] themed[0] music[0] and[0] horner's[0] record[0] has[0] shown[0] more[0] of[0] a[0] propensity[0] for[0] scores[0] either[0] neutral[0] in[0] ethnicity[0] or[0] irish[0] sounding[0] at[0] most[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
revell does a good job at providing appropriate music to punctuate key scenes and allowing the score to enhance the movie as a whole . 	revel does a good job at providing appropriate music to punctuate key scenes and allowing the score to enhance the movie as a whole .	2	-1	 revell/revel[0] does[0] a[0] good[1] job[0] at[0] providing[0] appropriate[0] music[0] to[0] punctuate[0] key[0] scenes[0] and[0] allowing[0] the[0] score[0] to[0] enhance[0] the[0] movie[0] as[0] a[0] whole[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's nowhere near as intrusive as in some of the other films we've been getting throughout the year . 	it's nowhere near as intrusive as in some of the other films we've been getting throughout the year .	1	-1	 it's[0] nowhere[0] near[0] as[0] intrusive[0] as[0] in[0] some[0] of[0] the[0] other[0] films[0] we've[0] been[0] getting[0] throughout[0] the[0] year[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
missteps in the siege can be found in a couple of the excesses it takes . 	missteps in the siege can be found in a couple of the excesses it takes .	1	-2	 missteps[0] in[0] the[0] siege[-1] can[0] be[0] found[0] in[0] a[0] couple[0] of[0] the[0] excesses[0] it[0] takes[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
for example , it's pretty clear throughout that the film is meant to be more of thriller than an action flick . 	for example , it's pretty clear throughout that the film is meant to be more of thriller than an action flick .	3	-1	 for[0] example[0] it's[0] pretty[2] clear[0] throughout[0] that[0] the[0] film[0] is[0] meant[0] to[0] be[0] more[0] of[0] thriller[1] than[0] an[0] action[0] flick[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
unfortunately , there's a scene where the army just cuts loose against some arab immigrants in a blatant display of firepower and explosions , obviously meant for the sole purpose of being eye-catching . 	unfortunately , there's a scene where the army just cuts loose against some arab immigrants in a blatant display of firepower and explosions , obviously meant for the sole purpose of being eye-catching .	1	-2	 unfortunately[-1] there's[0] a[0] scene[0] where[0] the[0] army[0] just[0] cuts[0] loose[0] against[-1] some[0] arab[0] immigrants[0] in[0] a[0] blatant[-1] display[0] of[0] firepower[0] and[0] explosions[-1] obviously[0] meant[0] for[0] the[0] sole[0] purpose[0] of[0] being[0] eye[0] catching[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in the middle of the city ( and against no real opposition ) , zwick even has the army use a cobra attack helicopter to shoot rockets into a building no farther than 50 feet from friendly troops . 	in the middle of the city ( and against no real opposition ) , zwick even has the army use a cobra attack helicopter to shoot rockets into a building no farther than 50 feet from friendly troops .	2	-3	 in[0] the[0] middle[0] of[0] the[0] city[0] and[0] against[-1] no[0] real[0] opposition[-1] zwick[0] even[0] has[0] the[0] army[0] use[0] a[0] cobra[0] attack[-2] helicopter[0] to[0] shoot[-1] rockets[0] into[0] a[0] building[0] no[0] farther[0] than[0] 50[0] feet[0] from[0] friendly[1] troops[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
verisimilitude really goes out the window at that point . 	verisimilitude really goes out the window at that point .	1	-1	 verisimilitude[0] really[0] goes[0] out[0] the[0] window[0] at[0] that[0] point[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film also gets a little preachy toward the end , focusing on the ability of different races to get along . 	the film also gets a little preachy toward the end , focusing on the ability of different races to get along .	1	-1	 the[0] film[0] also[0] gets[0] a[0] little[0] preachy[0] toward[0] the[0] end[0] focusing[0] on[0] the[0] ability[0] of[0] different[0] races[0] to[0] get[0] along[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a noble gesture , the film just puts the message across a bit too obviously . 	a noble gesture , the film just puts the message across a bit too obviously .	1	-1	 a[0] noble[0] gesture[0] the[0] film[0] just[0] puts[0] the[0] message[0] across[0] a[0] bit[0] too[0] obviously[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
these flaws are glaring , but they don't detract too much from an otherwise good film that makes you think about issues you may not have considered since history class . 	these flaws are glaring , but they don't detract too much from an otherwise good film that makes you think about issues you may not have considered since history class .	2	-1	 these[0] flaws[0] are[0] glaring[0] but[0] they[0] don't[0] detract[-1][NegatedDueToPreviousWord] too[0] much[0] from[0] an[0] otherwise[0] good[1] film[0] that[0] makes[0] you[0] think[0] about[0] issues[0] you[0] may[0] not[0] have[0] considered[0] since[0] history[0] class[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
