i am starting to write this review before going to see strawberry and chocolate , cuba's oscar nominee for best foreign film , directed by tomas gutierrez alea ( who also directed the sometimes and in some circles critically acclaimed memorias del subdesarrollo-- " memories of underdevelopment " . 	Translation	Positive	Negative	EmotionRationale
i saw the film--twice . 	i saw the film-twice .	1	-1	 i[0] saw[0] the[0] film[0] twice[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i was right ; castro remained intact . 	i was right ; castro remained intact .	1	-1	 i[0] was[0] right[0] castro[0] remained[0] intact[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
strawberry negotiates the relationship between a young " dialectic materialist , " as he describes himself , and a homosexual photographer ( diego ) in 1979 cuba . 	strawberry negotiates the relationship between a young " dialectic materialist , " as he describes himself , and a homosexual photographer ( diego ) in 1979 cuba .	1	-1	 strawberry[0] negotiates[0] the[0] relationship[0] between[0] a[0] young[0] dialectic[0] materialist[0] as[0] he[0] describes[0] himself[0] and[0] a[0] homosexual[0] photographer[0] diego[0] in[0] 1979[0] cuba[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the young man ( david ) is the son of peasants ; a symbol of the revolution's reason for being . 	the young man ( david ) is the son of peasants ; a symbol of the revolution's reason for being .	1	-2	 the[0] young[0] man[0] david[0] is[0] the[0] son[0] of[0] peasants[0] a[0] symbol[0] of[0] the[0] revolution's[-1] reason[0] for[0] being[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
grateful to the revolution for the opportunity to receive a university education , he studies political science instead of literature , his avocation , because he perceives it is his duty . 	grateful to the revolution for the opportunity to receive a university education , he studies political science instead of literature , his avocation , because he perceives it is his duty .	2	-2	 grateful[1] to[0] the[0] revolution[-1] for[0] the[0] opportunity[0] to[0] receive[0] a[0] university[0] education[0] he[0] studies[0] political[0] science[0] instead[0] of[0] literature[0] his[0] avocation[0] because[0] he[0] perceives[0] it[0] is[0] his[0] duty[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
therein lies a likely unintended irony , since cuba has no need for political theoreticians . 	therein lies a likely unintended irony , since cuba has no need for political theoreticians .	1	-3	 therein[0] lies[-2] a[0] likely[0] unintended[0] irony[-1] since[0] cuba[0] has[0] no[0] need[0] for[0] political[0] theoreticians[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
cuba's government is castro . 	cuba's government is castro .	1	-1	 cuba's[0] government[0] is[0] castro[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
diego's lifestyle is the antithesis of revolutionary life . 	diego's lifestyle is the antithesis of revolutionary life .	1	-2	 diego's[0] lifestyle[0] is[0] the[0] antithesis[0] of[0] revolutionary[-1] life[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he enjoys the finer things--tea , opera , art . 	he enjoys the finer things-tea , opera , art .	3	-1	 he[0] enjoys[2] the[0] finer[0] things[0] tea[0] opera[0] art[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
he does not do " voluntary work " for the revolution . 	he does not do " voluntary work " for the revolution .	1	-2	 he[0] does[0] not[0] do[0] voluntary[0] work[0] for[0] the[0] revolution[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
his small apartment is a sensual oasis . 	his small apartment is a sensual oasis .	1	-1	 his[0] small[0] apartment[0] is[0] a[0] sensual[0] oasis[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the moniker " bourgeois " figuratively hangs over his head during the early parts of the movie . 	the moniker " bourgeois " figuratively hangs over his head during the early parts of the movie .	1	-1	 the[0] moniker[0] bourgeois[0] figuratively[0] hangs[0] over[0] his[0] head[0] during[0] the[0] early[0] parts[0] of[0] the[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
however , he is a " revolucionario " in his own way . 	however , he is a " revolucionario " in his own way .	1	-1	 however[0] he[0] is[0] a[0] revolucionario[0] in[0] his[0] own[0] way[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the supporting roles are filled by : an aging busybody with a heart of gold and a troubled psyche ; david's roommate , who rally takes the communist party line to its expected extreme ; david's ex-girlfriend , who dumped him for another guy , yet wants to bed him before she leaves for italy with her husband ; german , a gay sculptor whose work diego is attempting to exhibit , and who strikes a faustian pact with the government . 	the supporting roles are filled by : an aging busybody with a heart of gold and a troubled psyche ; david's roommate , who rally takes the communist party line to its expected extreme ; david's ex-girlfriend , who dumped him for another guy , yet wants to bed him before she leaves for italy with her husband ; german , a gay sculptor whose work diego is attempting to exhibit , and who strikes a faustian pact with the government .	2	-2	 the[0] supporting[1] roles[0] are[0] filled[0] by[0] an[0] aging[0] busybody[-1] with[0] a[0] heart[0] of[0] gold[0] and[0] a[0] troubled[-1] psyche[0] david's[0] roommate[0] who[0] rally[0] takes[0] the[0] communist[0] party[0] line[0] to[0] its[0] expected[0] extreme[0] david's[0] ex[0] girlfriend[0] who[0] dumped[-1] him[0] for[0] another[0] guy[0] yet[0] wants[0] to[0] bed[0] him[0] before[0] she[0] leaves[0] for[0] italy[0] with[0] her[0] husband[0] german[-1] a[0] gay[-1] sculptor[0] whose[0] work[0] diego[0] is[0] attempting[0] to[0] exhibit[0] and[0] who[0] strikes[0] a[0] faustian[0] pact[0] with[0] the[0] government[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
gutierrez alea and co-director juan carlos tabio do a fine job at almost showing that homosexuals can be revolutionaries too . 	gutierrez alea and co-director juan carlos tabio do a fine job at almost showing that homosexuals can be revolutionaries too .	3	-2	 gutierrez[0] alea[0] and[0] co[0] director[0] juan[0] carlos[0] tabio[0] do[0] a[0] fine[2] job[0] at[0] almost[0] showing[0] that[0] homosexuals[0] can[0] be[0] revolutionaries[-1] too[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
heck , towards the end of the film you begin to think the guy deserves a medal for his patriotic fervor . 	heck , towards the end of the film you begin to think the guy deserves a medal for his patriotic fervor .	1	-1	 heck[0] towards[0] the[0] end[0] of[0] the[0] film[0] you[0] begin[0] to[0] think[0] the[0] guy[0] deserves[0] a[0] medal[0] for[0] his[0] patriotic[0] fervor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he really loves the revolution ( as supposedly does everybody else in cuba ) and wants to make it better by exposing and correcting some of its flaws . 	he really loves the revolution ( as supposedly does everybody else in cuba ) and wants to make it better by exposing and correcting some of its flaws .	4	-2	 he[0] really[0] loves[2][1 LastWordBoosterStrength] the[0] revolution[-1] as[0] supposedly[0] does[0] everybody[0] else[0] in[0] cuba[0] and[0] wants[0] to[0] make[0] it[0] better[0] by[0] exposing[0] and[0] correcting[0] some[0] of[0] its[0] flaws[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
real criticism is missing though . 	real criticism is missing though .	1	-2	 real[0] criticism[-1] is[0] missing[0] though[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this movie is political window dressing . 	this movie is political window dressing .	1	-1	 this[0] movie[0] is[0] political[0] window[0] dressing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
luis aguilar leon's op . 	luis aguilar leon's op .	1	-1	 luis[0] aguilar[0] leon's[0] op[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ed . 	ed .	1	-1	 ed[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
piece on fresa in the miami herald ( 10 march 1995 , at 21a ) did not color my judgment ; it presaged my intuition . 	piece on fresa in the miami herald ( 10 march 1995 , at 21a ) did not color my judgment ; it presaged my intuition .	1	-1	 piece[0] on[0] fresa[0] in[0] the[0] miami[0] herald[0] 10[0] march[0] 1995[0] at[0] 21a[0] did[0] not[0] color[0] my[0] judgment[0] it[0] presaged[0] my[0] intuition[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
aguilar leon expressed my sentiment about this film's political angle best : like many artistic manifestations in cuba , strawberry and chocolate sprang from a totally manipulated environment . 	aguilar leon expressed my sentiment about this film's political angle best : like many artistic manifestations in cuba , strawberry and chocolate sprang from a totally manipulated environment .	2	-3	 aguilar[0] leon[0] expressed[0] my[0] sentiment[0] about[0] this[0] film's[0] political[0] angle[0] best[1] like[1] many[0] artistic[0] manifestations[0] in[0] cuba[0] strawberry[0] and[0] chocolate[0] sprang[0] from[0] a[0] totally[0] manipulated[-1][-1 LastWordBoosterStrength] environment[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
as art critic ivan de la nuez well states in the latest issue of the magazine postmodern notes , the silenced artists are those who refuse to accept " the charade in which artists can provoke up to a point , while the institutions legitimize themselves by forbidding them to go beyond that point . " 	as art critic ivan de la nuez well states in the latest issue of the magazine postmodern notes , the silenced artists are those who refuse to accept " the charade in which artists can provoke up to a point , while the institutions legitimize themselves by forbidding them to go beyond that point .<br> "	1	-3	 as[0] art[0] critic[-1] ivan[0] de[0] la[0] nuez[0] well[0] states[0] in[0] the[0] latest[0] issue[0] of[0] the[0] magazine[0] postmodern[0] notes[0] the[0] silenced[0] artists[0] are[0] those[0] who[0] refuse[-1] to[0] accept[0] the[0] charade[0] in[0] which[0] artists[0] can[0] provoke[-1] up[0] to[0] a[0] point[0] while[0] the[0] institutions[0] legitimize[0] themselves[0] by[0] forbidding[-2] them[0] to[0] go[0] beyond[0] that[0] point[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
although terrible propaganda , this is otherwise a fine film . 	although terrible propaganda , this is otherwise a fine film .	3	-4	 although[0] terrible[-3] propaganda[-1] this[0] is[0] otherwise[0] a[0] fine[2] film[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
