warren beatty returns to the screens in the funniest , craziest and hard hitting movie in his career . 	Translation	Positive	Negative	EmotionRationale
 ( then again , he was the only characters face we could completely see . ) 	 ( then again , he was the only characters face we could completely see .<br> )	1	-1	 then[0] again[0] he[0] was[0] the[0] only[0] characters[0] face[0] we[0] could[0] completely[0] see[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film gives an opportunity for the 61 year old beatty to indulge in some rapping , which he does with gusto ( and also quite well . ) 	the film gives an opportunity for the 61 year old beatty to indulge in some rapping , which he does with gusto ( and also quite well .<br> )	1	-2	 the[0] film[0] gives[0] an[0] opportunity[0] for[0] the[0] 61[0] year[0] old[0] beatty[0] to[0] indulge[-1] in[0] some[0] rapping[0] which[0] he[0] does[0] with[0] gusto[0] and[0] also[0] quite[0] well[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and seeing beatty as a 'homeboy' has to be seen to be believed . 	and seeing beatty as a 'homeboy' has to be seen to be believed .	1	-1	 and[0] seeing[0] beatty[0] as[0] a[0] 'homeboy'[0] has[0] to[0] be[0] seen[0] to[0] be[0] believed[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's nice to see that beatty can laugh at himself . 	it's nice to see that beatty can laugh at himself .	2	-1	 it's[0] nice[1] to[0] see[0] that[0] beatty[0] can[0] laugh[1] at[0] himself[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
second best is oliver platt as the flustered , coke snorting assistant , who goes over the top when he finally snaps . 	second best is oliver platt as the flustered , coke snorting assistant , who goes over the top when he finally snaps .	2	-1	 second[0] best[1] is[0] oliver[0] platt[0] as[0] the[0] flustered[0] coke[0] snorting[0] assistant[0] who[0] goes[0] over[0] the[0] top[0] when[0] he[0] finally[0] snaps[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
halle berry is fine , and sexy , as the intellectual nina , who comes to like the senator . 	hale berry is fine , and sexy , as the intellectual nina , who comes to like the senator .	3	-1	 halle/hale[0] berry[0] is[0] fine[2] and[0] sexy[2] as[0] the[0] intellectual[0] nina[0] who[0] comes[0] to[0] like[1] the[0] senator[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
also popping up in the supporting cast is paul sorvino wit h a strange accent , laurie metcalf as the exact same characters she's also played , and christine baranski of cybill fame as bullworths wife , who all contribute to the fun . 	also popping up in the supporting cast is paul sorvino wit h a strange accent , laurie metcalf as the exact same characters she's also played , and christine baranski of cybill fame as bullworths wife , who all contribute to the fun .	2	-1	 also[0] popping[0] up[0] in[0] the[0] supporting[1] cast[0] is[0] paul[0] sorvino[0] wit[0] h[0] a[0] strange[0] accent[0] laurie[0] metcalf[0] as[0] the[0] exact[0] same[0] characters[0] she's[0] also[0] played[0] and[0] christine[0] baranski[0] of[0] cybill[0] fame[0] as[0] bullworths[0] wife[0] who[0] all[0] contribute[0] to[0] the[0] fun[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and , this being a political film , the ubiquitous larry king makes an appearance , as , * shock * , himself . 	and , this being a political film , the ubiquitous larry king makes an appearance , as , * shock * , himself .	1	-3	 and[0] this[0] being[0] a[0] political[0] film[0] the[0] ubiquitous[0] larry[0] king[0] makes[0] an[0] appearance[0] as[0] shock[-2] himself[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the writing and directing , both by beatty , are above par . 	the writing and directing , both by beatty , are above par .	1	-1	 the[0] writing[0] and[0] directing[0] both[0] by[0] beatty[0] are[0] above[0] par[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the direction is very nearly sitcom like , but suits the film perfectly , and both the politics are gangland parts are handled well . 	the direction is very nearly sitcom like , but suits the film perfectly , and both the politics are gangland parts are handled well .	2	-1	 the[0] direction[0] is[0] very[0] nearly[0] sitcom[0] like[1] but[0] suits[0] the[0] film[0] perfectly[1] and[0] both[0] the[0] politics[0] are[0] gangland[0] parts[0] are[0] handled[0] well[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the script is funny , and the raps are actually well produced and humorous , and quite clever . 	the script is funny , and the raps are actually well produced and humorous , and quite clever .	3	-1	 the[0] script[0] is[0] funny[1] and[0] the[0] raps[0] are[0] actually[0] well[0] produced[0] and[0] humorous[2] and[0] quite[0] clever[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
they're not cringe inducing , at least . 	they're not cringe inducing , at least .	2	-1	 they're[0] not[0] cringe[-1][NegatedDueToPreviousWord] inducing[0] at[0] least[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the script makes many points about society in america today , and isn't afraid to make any bold statements about what is a flawed system . 	the script makes many points about society in america today , and isn't afraid to make any bold statements about what is a flawed system .	4	-1	 the[0] script[0] makes[0] many[0] points[0] about[0] society[0] in[0] america[0] today[0] and[0] isn't[0] afraid[-3][NegatedDueToPreviousWord] to[0] make[0] any[0] bold[0] statements[0] about[0] what[0] is[0] a[0] flawed[0] system[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
best of all , the film is thought provoking , but directed and written in such a way that the film feels as light as a feather , and is very entertaining . 	best of all , the film is thought provoking , but directed and written in such a way that the film feels as light as a feather , and is very entertaining .	2	-1	 best[1] of[0] all[0] the[0] film[0] is[0] thought[0] provoking[0] but[0] directed[0] and[0] written[0] in[0] such[0] a[0] way[0] that[0] the[0] film[0] feels[0] as[0] light[0] as[0] a[0] feather[0] and[0] is[0] very[0] entertaining[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
there's also a great rap soundtrack with some well chosen tunes . 	there's also a great rap soundtrack with some well chosen tunes .	3	-1	 there's[0] also[0] a[0] great[2] rap[0] soundtrack[0] with[0] some[0] well[0] chosen[0] tunes[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
bulworth is a film with many advantages , and few flaws . 	bulworth is a film with many advantages , and few flaws .	1	-1	 bulworth[0] is[0] a[0] film[0] with[0] many[0] advantages[0] and[0] few[0] flaws[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
perhaps it could be somewhat embarrassing to see a 61 year old man rapping , but beatty does it so well it's irrelevant . 	perhaps it could be somewhat embarrassing to see a 61 year old man rapping , but beatty does it so well it's irrelevant .	1	-3	 perhaps[0] it[0] could[0] be[0] somewhat[0] embarrassing[-2] to[0] see[0] a[0] 61[0] year[0] old[0] man[0] rapping[0] but[0] beatty[0] does[0] it[0] so[0] well[0] it's[0] irrelevant[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in fact , there's very little against bulworth , except for the language which is very heavy , but then again it should be expected . 	in fact , there's very little against bulworth , except for the language which is very heavy , but then again it should be expected .	1	-2	 in[0] fact[0] there's[0] very[0] little[0] against[-1] bulworth[0] except[0] for[0] the[0] language[0] which[0] is[0] very[0] heavy[0] but[0] then[0] again[0] it[0] should[0] be[0] expected[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
bulworth , then , is well worth watching . 	bulworth , then , is well worth watching .	1	-1	 bulworth[0] then[0] is[0] well[0] worth[0] watching[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a david wilcock review ? 1999 	a david wilcock review ?<br> 199	1	-1	 a[0] david[0] wilcock[0] review[0] [[Sentence=-1,1=word max, 1-5]] 1999/199[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " you know , for kids " - norville barnes 	 " you know , for kids " - norville barnes	1	-1	 you[0] know[0] for[0] kids[0] norville[0] barnes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
