after having heard so many critics describe " return to me " as an old-fashioned hollywood romance , i kept asking myself going into this movie : what exactly is an old-fashioned hollywood romance ? 	Translation	Positive	Negative	EmotionRationale
 from the festive little family restaurant to grace ( minnie driver ) and bob's wardrobes . 	 from the festive little family restaurant to grace ( minnie driver ) and bob's wardrobes .	3	-1	 from[0] the[0] festive[0] little[0] family[0] restaurant[0] to[0] grace[2] minnie[0] driver[0] and[0] bob's[0] wardrobes[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
from the eloquent , not-in-a-hurry to progress storyline to the dainty watercolors that grace paints . 	from the eloquent , not-in-a-hurry to progress storyline to the dainty watercolors that grace paints .	3	-1	 from[0] the[0] eloquent[0] not[0] in[0] a[0] hurry[0] to[0] progress[0] storyline[0] to[0] the[0] dainty[0] watercolors[0] that[0] grace[2] paints[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
from the animal stars to the way all the characters interact on screen -- the most beautiful part . 	from the animal stars to the way all the characters interact on screen - the most beautiful part .	3	-1	 from[0] the[0] animal[0] stars[0] to[0] the[0] way[0] all[0] the[0] characters[0] interact[0] on[0] screen[0] the[0] most[0] beautiful[2] part[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 " return to me " has done an excellent job of assembling together a group of actors who blend in effortlessly as a family : the audience has no trouble at all believing that this rambunctious family actually does exist . 	 " return to me " has done an excellent job of assembling together a group of actors who blend in effortlessly as a family : the audience has no trouble at all believing that this rambunctious family actually does exist .	4	-2	 return[0] to[0] me[0] has[0] done[0] an[0] excellent[3] job[0] of[0] assembling[0] together[0] a[0] group[0] of[0] actors[0] who[0] blend[0] in[0] effortlessly[0] as[0] a[0] family[0] the[0] audience[0] has[0] no[0] trouble[-1] at[0] all[0] believing[0] that[0] this[0] rambunctious[0] family[0] actually[0] does[0] exist[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
we care for them , laugh with them , cry with them ; we're concerned that the little boy will pick up cursing from his father . 	we care for them , laugh with them , cry with them ; we're concerned that the little boy will pick up cursing from his father .	2	-4	 we[0] care[1] for[0] them[0] laugh[1] with[0] them[0] cry[-3] with[0] them[0] we're[0] concerned[-1] that[0] the[0] little[0] boy[0] will[0] pick[0] up[0] cursing[0] from[0] his[0] father[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
whatever hunt did , she brought out the naturalism in all of the actors . 	whatever hunt did , she brought out the naturalism in all of the actors .	1	-1	 whatever[0] hunt[0] did[0] she[0] brought[0] out[0] the[0] naturalism[0] in[0] all[0] of[0] the[0] actors[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
disappointingly , david alan grier's charlie , however much i like him , was the most flatly-written . 	disappointingly , david alan grier's charlie , however much i like him , was the most flatly-written .	2	-2	 disappointingly[-1] david[0] alan[0] grier's[0] charlie[0] however[0] much[0] i[0] like[1] him[0] was[0] the[0] most[0] flatly[0] written[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
duchovny here does a laudable job of shaking off his fox mulder persona -- with the help of his fellow co-stars rarely do we see any hint of special agent fox mulder . 	duchovny here does a laudable job of shaking off his fox mulder persona - with the help of his fellow co-stars rarely do we see any hint of special agent fox mulder .	2	-2	 duchovny[0] here[0] does[0] a[0] laudable[0] job[0] of[0] shaking[-1] off[0] his[0] fox[0] mulder[0] persona[0] with[0] the[0] help[0] of[0] his[0] fellow[0] co[0] stars[0] rarely[0] do[0] we[0] see[0] any[0] hint[0] of[0] special[1] agent[0] fox[0] mulder[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
instead we have a normal guy who when he falls in love shows more delight than fox mulder will show over the span of an entire season of " the x-files . " 	instead we have a normal guy who when he falls in love shows more delight than fox mulder will show over the span of an entire season of " the x-files .<br> "	3	-1	 instead[0] we[0] have[0] a[0] normal[0] guy[0] who[0] when[0] he[0] falls[0] in[0] love[2] shows[0] more[0] delight[2] than[0] fox[0] mulder[0] will[0] show[0] over[0] the[0] span[0] of[0] an[0] entire[0] season[0] of[0] the[0] x[1] files[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
duchovny , who is excellent at understatement and self-deprecation as an actor showcases his considerable comedic talent on screen . 	duchovny , who is excellent at understatement and self-deprecation as an actor showcases his considerable comedic talent on screen .	4	-1	 duchovny[0] who[0] is[0] excellent[3] at[0] understatement[0] and[0] self[0] deprecation[0] as[0] an[0] actor[0] showcases[0] his[0] considerable[0] comedic[0] talent[1] on[0] screen[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
minnie driver is engaging as always as the sweet , innocent grace with nothing but a good heart to offer . 	minnie driver is engaging as always as the sweet , innocent grace with nothing but a good heart to offer .	3	-1	 minnie[0] driver[0] is[0] engaging[0] as[0] always[0] as[0] the[0] sweet[1] innocent[1] grace[2] with[0] nothing[0] but[0] a[0] good[1] heart[0] to[0] offer[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
though an unlikely pair , duchovny and driver gradually warm up to each other as the movie progresses . 	though an unlikely pair , duchovny and driver gradually warm up to each other as the movie progresses .	1	-1	 though[0] an[0] unlikely[0] pair[0] duchovny[0] and[0] driver[0] gradually[0] warm[0] up[0] to[0] each[0] other[0] as[0] the[0] movie[0] progresses[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
while " return to me " functions remarkably as a laugh-out-loud comedy , a romantic scenic tour through chicago , and a tearjerker , the story is set up so the film ends up having nowhere to develop . 	while " return to me " functions remarkably as a laugh-out-loud comedy , a romantic scenic tour through chicago , and a tearjerker , the story is set up so the film ends up having nowhere to develop .	4	-1	 while[0] return[0] to[0] me[0] functions[0] remarkably[0] as[0] a[0] laugh[1] out[0] loud[0] comedy[0] a[0] romantic[3] scenic[0] tour[0] through[0] chicago[0] and[0] a[0] tearjerker[0] the[0] story[0] is[0] set[0] up[0] so[0] the[0] film[0] ends[0] up[0] having[0] nowhere[0] to[0] develop[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
the entire climax of the film hinges on when and how grace is going to tell bob that she actually was the recipient of his wife's heart . 	the entire climax of the film hinges on when and how grace is going to tell bob that she actually was the recipient of his wife's heart .	3	-1	 the[0] entire[0] climax[0] of[0] the[0] film[0] hinges[0] on[0] when[0] and[0] how[0] grace[2] is[0] going[0] to[0] tell[0] bob[0] that[0] she[0] actually[0] was[0] the[0] recipient[0] of[0] his[0] wife's[0] heart[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
we already know that there's going to be a happy ending ; we feel like we spend the entire film , however enjoyably , in a straight line going towards that point . 	we already know that there's going to be a happy ending ; we feel like we spend the entire film , however enjoyably , in a straight line going towards that point .	3	-1	 we[0] already[0] know[0] that[0] there's[0] going[0] to[0] be[0] a[0] happy[1] ending[0] we[0] feel[0] like[1] we[0] spend[0] the[0] entire[0] film[0] however[0] enjoyably[2] in[0] a[0] straight[0] line[0] going[0] towards[0] that[0] point[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
as a result bob and grace click almost too quickly--yes , i know she's supposed to have his ex-wife's heart and everything--it seems too effortless . 	as a result bob and grace click almost too quickly-yes , i know she's supposed to have his ex-wife's heart and everything-it seems too effortless .	3	-1	 as[0] a[0] result[0] bob[0] and[0] grace[2] click[0] almost[0] too[0] quickly[0] yes[0] i[0] know[0] she's[0] supposed[0] to[0] have[0] his[0] ex[0] wife's[0] heart[0] and[0] everything[0] it[0] seems[0] too[0] effortless[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the main subject is a love story , and the family scenes i love so much unfortunately are overused and distract from the turmoil of the two main characters ( whose story might not have that much meat after all ) . 	the main subject is a love story , and the family scenes i love so much unfortunately are overused and distract from the turmoil of the two main characters ( whose story might not have that much meat after all ) .	3	-3	 the[0] main[0] subject[0] is[0] a[0] love[2] story[0] and[0] the[0] family[0] scenes[0] i[0] love[2] so[0] much[0] unfortunately[-1] are[0] overused[0] and[0] distract[-1] from[0] the[0] turmoil[-2] of[0] the[0] two[0] main[0] characters[0] whose[0] story[0] might[0] not[0] have[0] that[0] much[0] meat[0] after[0] all[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
however , in the spirit of " return to me , " it won't do to be too picky about how " old " hollywood tells its stories . 	however , in the spirit of " return to me , " it won't do to be too picky about how " old " hollywood tells its stories .	1	-1	 however[0] in[0] the[0] spirit[0] of[0] return[0] to[0] me[0] it[0] won't[0] do[0] to[0] be[0] too[0] picky[0] about[0] how[0] old[0] hollywood[0] tells[0] its[0] stories[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i loved knowing that this was a labor of love for bonnie hunt . 	i loved knowing that this was a labor of love for bonnie hunt .	4	-1	 i[0] loved[3] knowing[0] that[0] this[0] was[0] a[0] labor[0] of[0] love[2] for[0] bonnie[0] hunt[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
it shows . 	it shows .	1	-1	 it[0] shows[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the bottom line : " return to me " is nothing remarkable , and yet its sweetness , sincerity , and charm might touch your heart in ways that you hadn't imagined . 	the bottom line : " return to me " is nothing remarkable , and yet its sweetness , sincerity , and charm might touch your heart in ways that you hadn't imagined .	3	-1	 the[0] bottom[0] line[0] return[0] to[0] me[0] is[0] nothing[0] remarkable[0] and[0] yet[0] its[0] sweetness[2] sincerity[0] and[0] charm[1] might[0] touch[0] your[0] heart[0] in[0] ways[0] that[0] you[0] hadn't[0] imagined[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
