magnolia left me relling from the theatre , staggering from the relentless assault of an adventurous director reveling in his craft . 	Translation	Positive	Negative	EmotionRationale
quite a few scenes , such as the game show , go on just a bit too long and will be off-putting for those used to a pat 90 minute film where the main theme is reiterated several times just in case you missed it the first go around . 	quite a few scenes , such as the game show , go on just a bit too long and will be off-putting for those used to a pat 90 minute film where the main theme is reiterated several times just in case you missed it the first go around .	1	-2	 quite[0] a[0] few[0] scenes[0] such[0] as[0] the[0] game[0] show[0] go[0] on[0] just[0] a[0] bit[0] too[0] long[0] and[0] will[0] be[0] off[0] putting[0] for[0] those[0] used[0] to[0] a[0] pat[0] 90[0] minute[0] film[0] where[0] the[0] main[0] theme[0] is[0] reiterated[0] several[0] times[0] just[0] in[0] case[0] you[0] missed[-1] it[0] the[0] first[0] go[0] around[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and just what is the theme ? 	and just what is the theme ?	1	-1	 and[0] just[0] what[0] is[0] the[0] theme[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
alienation ? 	alienation ?	1	-2	 alienation[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
hopelessness ? 	hopelessness ?	1	-4	 hopelessness[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
anderson challenges you to draw your own conclusions and he doesn't make it easy . 	anderson challenges you to draw your own conclusions and he doesn't make it easy .	1	-2	 anderson[0] challenges[-1] you[0] to[0] draw[0] your[0] own[0] conclusions[0] and[0] he[0] doesn't[0] make[0] it[0] easy[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the film starts by showing three , strange and seemingly unrelated events . 	the film starts by showing three , strange and seemingly unrelated events .	1	-1	 the[0] film[0] starts[0] by[0] showing[0] three[0] strange[0] and[0] seemingly[0] unrelated[0] events[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's a harbinger of the synchronicity to come . 	it's a harbinger of the synchronicity to come .	1	-1	 it's[0] a[0] harbinger[0] of[0] the[0] synchronicity[0] to[0] come[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
at times , different stories reach reach key moments at the same time . 	at times , different stories reach reach key moments at the same time .	1	-1	 at[0] times[0] different[0] stories[0] reach[0] reach[0] key[0] moments[0] at[0] the[0] same[0] time[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
other times , stories seem to veer off into uncharted territory , regardless of what else is happening . 	other times , stories seem to veer off into uncharted territory , regardless of what else is happening .	1	-2	 other[0] times[0] stories[0] seem[0] to[0] veer[0] off[0] into[0] uncharted[0] territory[0] regardless[-1] of[0] what[0] else[0] is[0] happening[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
anderson is audacious enough to even have a group sing in the middle of the film ! 	anderson is audacious enough to even have a group sing in the middle of the film !	1	-1	 anderson[0] is[0] audacious[0] enough[0] to[0] even[0] have[0] a[0] group[0] sing[0] in[0] the[0] middle[0] of[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what's surprising is that it mostly works . 	what's surprising is that it mostly works .	1	-1	 what's[0] surprising[0] is[0] that[0] it[0] mostly[0] works[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if you have doubts about anderson's intentions , i'll ask you to pay attention to the final frame . 	if you have doubts about anderson's intentions , i'll ask you to pay attention to the final frame .	1	-2	 if[0] you[0] have[0] doubts[-1] about[0] anderson's[0] intentions[0] i'll[0] ask[0] you[0] to[0] pay[0] attention[0] to[0] the[0] final[0] frame[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
despite all the sturm und drang , magnolia ultimately speaks to man's capacity for hope and attempts at redemption . 	despite all the sturm und drang , magnolia ultimately speaks to man's capacity for hope and attempts at redemption .	3	-1	 despite[0] all[0] the[0] sturm[0] und[0] drang[0] magnolia[0] ultimately[0] speaks[0] to[0] man's[0] capacity[0] for[0] hope[2] and[0] attempts[0] at[0] redemption[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
despite magnolia's needlessly long running time and its propensity for uneven editing as anderson plays the auteur , showing off fro the masses , i have to admire his guts . 	despite magnolia's needlessly long running time and its propensity for uneven editing as anderson plays the auteur , showing off fro the masses , i have to admire his guts .	3	-2	 despite[0] magnolia's[0] needlessly[0] long[0] running[0] time[0] and[0] its[0] propensity[0] for[0] uneven[-1] editing[0] as[0] anderson[0] plays[1] the[0] auteur[0] showing[0] off[0] fro[0] the[0] masses[0] i[0] have[0] to[0] admire[2] his[0] guts[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
this is truly adventurous filmmaking that spits in the face of conventional storytelling . 	this is truly adventurous filmmaking that spits in the face of conventional storytelling .	2	-1	 this[0] is[0] truly[1] adventurous[0] filmmaking[0] that[0] spits[0] in[0] the[0] face[0] of[0] conventional[0] storytelling[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
my rating : a bulleye . 	my rating : a bulleye .	1	-1	 my[0] rating[0] a[0] bulleye[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( stars ) 	 ( stars )	1	-1	 stars[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a side note : helping anchor the film is a perfectly matched soundtrack featuring aimee mann . 	a side note : helping anchor the film is a perfectly matched soundtrack featuring aimee man .	2	-1	 a[0] side[0] note[0] helping[0] anchor[0] the[0] film[0] is[0] a[0] perfectly[1] matched[0] soundtrack[0] featuring[0] aimee[0] mann/man[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
her lyrics often add depth to a scene thematically while the actual music is both morose and beautiful . 	her lyrics often add depth to a scene thematically while the actual music is both morose and beautiful .	3	-1	 her[0] lyrics[0] often[0] add[0] depth[0] to[0] a[0] scene[0] thematically[0] while[0] the[0] actual[0] music[0] is[0] both[0] morose[0] and[0] beautiful[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
when she sings " save me " at the end , it enhances the yearning felt by the characters , just as " wise up " mirrors the anguish felt by all as they contemplate their lives . 	when she sings " save me " at the end , it enhances the yearning felt by the characters , just as " wise up " mirrors the anguish felt by all as they contemplate their lives .	2	-4	 when[0] she[0] sings[0] save[1] me[0] at[0] the[0] end[0] it[0] enhances[0] the[0] yearning[-1] felt[0] by[0] the[0] characters[0] just[0] as[0] wise[0] up[0] mirrors[0] the[0] anguish[-3] felt[0] by[0] all[0] as[0] they[0] contemplate[0] their[0] lives[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
